label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D2_xe_scale,Dg_D1_scale,Dg_D3_scale,Dv_D1_scale,Dv_D2_scale,b_bulk_scale,b_dislocation_scale,gd_bubble_scale,gd_line_scale,gd_line_alpha,family,score_swig_diag,score_rizk_prior,score_partition,score_qgb,score_radius_guard,score_radius_saturation,score_Nd_coalescence_shape,score_bulk_plateau,score_highT_pressure,score_radius_band,score_base_highT_guard,p_d_over_eq_1p3_1600K,p_b_over_eq_1p3_1600K,bulk_gas_1p3_1600K,disl_gas_1p3_1600K,qgb_gas_1p3_1600K,bulk_gas_3p2_1600K,disl_gas_3p2_1600K,qgb_gas_3p2_1600K,bulk_gas_1p1_1200,disl_gas_1p1_1200,qgb_gas_1p1_1200,matrix_gas_1p1_1200,bulk_gas_1p1_1500,disl_gas_1p1_1500,qgb_gas_1p1_1500,matrix_gas_1p1_1500,bulk_gas_1p1_1600,disl_gas_1p1_1600,qgb_gas_1p1_1600,matrix_gas_1p1_1600,bulk_gas_1p1_2000,disl_gas_1p1_2000,qgb_gas_1p1_2000,matrix_gas_1p1_2000,bulk_gas_1p1_2200,disl_gas_1p1_2200,qgb_gas_1p1_2200,matrix_gas_1p1_2200,bulk_gas_3p2_1200,disl_gas_3p2_1200,qgb_gas_3p2_1200,matrix_gas_3p2_1200,bulk_gas_3p2_1500,disl_gas_3p2_1500,qgb_gas_3p2_1500,matrix_gas_3p2_1500,bulk_gas_3p2_1800,disl_gas_3p2_1800,qgb_gas_3p2_1800,matrix_gas_3p2_1800,bulk_gas_3p2_2000,disl_gas_3p2_2000,qgb_gas_3p2_2000,matrix_gas_3p2_2000,bulk_gas_3p2_2200,disl_gas_3p2_2200,qgb_gas_3p2_2200,matrix_gas_3p2_2200,Rd_1p3_1700K,Rd_1p3_1800K,Rd_1p3_1900K,Rd_1p3_2000K,Rd_ratio_2000_over_1800,Rd_ratio_2000_over_1700,Rd_ratio_2000_over_1900,Rd_inc_1600_1700_nm,Rd_inc_1700_1800_nm,Rd_inc_1800_1900_nm,Rd_inc_1900_2000_nm,Rd_inc_1800_2000_nm,Rd2000_max_nm,Rd1900_soft_max_nm,Rd_ratio_max,Rd_post1800_delta_max_nm,Rd_last_increment_factor_max,Rd_1900_2000_ratio_max,score_Nd_coalescence_shape_terms_rmse,Nd_drop_1600_over_1400_log10_v7,Nd_drop_1650_over_1400_log10_v7,Nd_drop_1725_over_1400_log10_v7,Nd_drop_1800_over_1400_log10_v7,Nd_drop_1725_over_1550_log10_v7,Nd_1p3_1550K_v7,Nd_1p3_1650K_v7,Nd_1p3_1800K_v7,bulk_plateau_bulk_1p1_1200,bulk_plateau_disl_1p1_1200,bulk_plateau_qgb_1p1_1200,bulk_plateau_bulk_1p1_1400,bulk_plateau_disl_1p1_1400,bulk_plateau_qgb_1p1_1400,bulk_plateau_bulk_1p1_1500,bulk_plateau_disl_1p1_1500,bulk_plateau_qgb_1p1_1500,bulk_plateau_bulk_1p1_1600,bulk_plateau_disl_1p1_1600,bulk_plateau_qgb_1p1_1600,bulk_plateau_bulk_3p2_1400,bulk_plateau_disl_3p2_1400,bulk_plateau_qgb_3p2_1400,bulk_plateau_bulk_3p2_1500,bulk_plateau_disl_3p2_1500,bulk_plateau_qgb_3p2_1500,bulk_plateau_bulk_3p2_1600,bulk_plateau_disl_3p2_1600,bulk_plateau_qgb_3p2_1600,bulk_plateau_disl_1p1_2000,bulk_plateau_bulk_1p1_2000,bulk_plateau_qgb_1p1_2000,pd_over_eq_highT_3p2_1700,pb_over_eq_highT_3p2_1700,pd_over_eq_highT_3p2_1800,pb_over_eq_highT_3p2_1800,pd_over_eq_highT_3p2_1900,pb_over_eq_highT_3p2_1900,pd_over_eq_highT_3p2_2000,pb_over_eq_highT_3p2_2000,pd_over_eq_highT_1p1_1900,pb_over_eq_highT_1p1_1900,pd_over_eq_highT_1p1_2000,pb_over_eq_highT_1p1_2000,score_radius_band_terms_rmse,Rd_band_1700_nm_v8,Rd_band_1800_nm_v8,Rd_band_1900_nm_v8,Rd_band_2000_nm_v8,Rd_band_inc_1800_2000_nm_v8,rhoFT_enabled,rhoFT_strength,rhoFT_clip_T,rhoFT_use_candidate_scale,rhoFT_base_1025_1p1FIMA,rhoFT_eff_1p1FIMA_940K,rhoFT_eff_1p1FIMA_1025K,rhoFT_eff_1p1FIMA_1300K,rhoFT_eff_1p1FIMA_1600K,rhoFT_eff_1p1FIMA_2000K,rhoFT_base_1025_1p3FIMA,rhoFT_eff_1p3FIMA_940K,rhoFT_eff_1p3FIMA_1025K,rhoFT_eff_1p3FIMA_1300K,rhoFT_eff_1p3FIMA_1600K,rhoFT_eff_1p3FIMA_2000K,rhoFT_base_1025_3p2FIMA,rhoFT_eff_3p2FIMA_940K,rhoFT_eff_3p2FIMA_1025K,rhoFT_eff_3p2FIMA_1300K,rhoFT_eff_3p2FIMA_1600K,rhoFT_eff_3p2FIMA_2000K
FINAL_rank5_capture_only_capture_only_v6_trial_00333,2.460183220391998,0.9757827790824076,0.5868478335420072,0.5172925412246695,0.13322919147295814,0.05796843155861002,0.17473250367070703,4.9169272129728855e-09,107883.02609010854,42931678062214.266,7.476571794228737e+19,1.0,1.0,1.0,6.268978903843243,1.0,0.3849011077815544,0.044228766802217406,1.4124115135655504,4.245177130799102,84.58845608578655,5.571079360498927e+18,5.664525510818356e+18,5.163291839686302e+18,-0.04023686408767046,5.4195386607490565,9.232239326818952,3.3043481933087593e-06,0.006464685842464456,0.006464685842464456,1.0,40,1,1.0,1.9649729156071125,0.9928904794068155,0.5238082919655871,2.9691762553188625,0.04276533261487717,0.21076705668875304,7.926711381853779,0.2117525706196396,0.9993276617627959,capture_only,3.5646265513475903,0.23604181929418583,0.09069856198069773,0.014434872251837129,0.0,0.018123514703484427,0.35681576004814014,0.0248463732109306,0.004578391790535066,0.08568886785647685,0.0438226213063988,0.9581800067239706,1.6086815990495493,76.30196084325297,13.72714159660842,9.760846565610922,68.37445541124124,22.864655658715325,8.679316785688101,83.49754947193156,6.560674746382052,8.730174069311719,1.211601712374688,81.57567033749643,9.019681767266215,8.610626809122927,0.7940210861144293,72.49440889989262,16.9676445156241,10.281028327869207,0.25691825661406503,1.177518625160693,85.39706209705591,13.424564629416388,0.0008546483670342597,0.09171521762651809,86.50013622463425,13.408077175003998,7.138273524703718e-05,82.26236211125527,9.991331014033898,7.3494536728532855,0.3968532018575645,79.31152605761727,13.13538264648975,7.295251424682089,0.25783987121088414,19.070195874705114,68.70309892492605,12.22202491739392,0.0046802829749155546,5.581715628178923,78.49499329651053,15.922805265003957,0.000485810306619129,2.3369083082514504,77.70743655207586,19.955611079575174,4.406009752737296e-05,127.30279847161457,178.61491416346595,228.62366904586492,280.314129011537,1.5693769488644005,2.20194789413086,1.226094088076691,42.71434238582802,51.31211569185139,50.00875488239896,51.69045996567206,101.69921484807102,800.0,700.0,2.8,350.0,0.75,1.35,0.35681576004814014,-0.007224191964871944,-0.015336193163018885,-0.04023686408767046,-0.08391713878858117,-0.03712278497176894,5.624053688609897e+18,5.467985369457192e+18,4.669242159959885e+18,83.49754947193156,6.560674746382052,8.730174069311719,82.96851074227423,7.540152369284808,8.38807082375201,81.57567033749643,9.019681767266215,8.610626809122927,72.49440889989262,16.9676445156241,10.281028327869207,81.33947616401437,11.274032240316492,7.024737075416823,79.31152605761727,13.13538264648975,7.295251424682089,68.37445541124124,22.864655658715325,8.679316785688101,85.39706209705591,1.177518625160693,13.424564629416388,1.1440744634400222,1.6904433185820957,1.3080947756683463,1.3978857084535317,1.5712277737216236,1.1850956640686623,3.033644171188075,1.1459729498147844,1.1692245113167201,1.0296798649845929,1.0977315941863006,1.0034076756279364,0.08568886785647685,127.30279847161457,178.61491416346595,228.62366904586492,280.314129011537,101.69921484807102,1,1.0,1,1,30000000000000.0,39881413939279.26,42931678062214.266,52800179636415.75,52800179636415.75,52800179636415.75,30000000000000.0,39881413939279.26,42931678062214.266,52800179636415.75,52800179636415.75,52800179636415.75,128000000000000.05,170160699474258.22,183175159732114.25,225280766448707.28,225280766448707.28,225280766448707.28
FINAL_rank3_capture_only_capture_only_v6_trial_00397,2.4603456545464732,0.8946860944314845,0.643538567813936,0.5169652321345107,0.0788631489612893,0.06314565064827009,0.18820111360415162,6.300379116141273e-09,113551.27887891607,32708575246355.16,7.712072753775257e+19,1.0,1.0,1.0,5.316902581383872,1.0,0.45513088779648053,0.02428013435811691,1.607838361853239,4.74978572333685,95.32557355396078,4.4312422815322286e+18,4.520801805678446e+18,4.1153596942730255e+18,-0.04080766795986044,5.99851242994042,10.673035037309683,1.7215885692253094e-06,0.0031109211346083817,0.0031109211346083817,1.0,40,1,1.0,1.070355299449894,2.382370265713837,0.9078686149469093,3.9617689166909758,0.03369252304373843,0.2620152852464306,7.226297095091691,0.6369069640313624,0.9582182935946045,capture_only,4.166794256269774,0.23476863127344955,0.05896101542070765,0.01228854755674433,0.0,0.04335679841676709,0.3554357876491104,0.037920069772911194,0.2935702041247688,0.0076086959667303776,0.060579489074033196,0.8116010501986355,1.367436863336888,78.76113949678232,12.008290001454677,9.004847122537198,71.25402016255633,20.8820727033043,7.777115831319135,79.4885160499209,9.95768996995926,9.942448930909809,0.6113450492100169,78.66430222912092,11.533980323011717,9.298102403928382,0.5036150439389896,74.75920044543003,15.380631753548377,9.578324210612433,0.2818435904091758,2.6567732048235992,82.9223234238161,14.419061082391279,0.0018422889690365533,0.25167274121575545,84.89973238369082,14.848399654864464,0.000195220228974214,76.81233201885583,14.952822978071747,8.042523702931753,0.19232130014067986,75.65919112948514,16.655218606073785,7.5283173251513045,0.1572729392897645,29.55200386859268,58.68199768928153,11.758619678833238,0.0073787632925647745,6.380601375429717,78.60162656105837,15.017143857660708,0.000628205851202746,0.861793081757598,82.84075349395535,16.2974022138374,5.1210449672283e-05,133.37243945639472,189.31626964306895,258.0183098781222,343.47690204573837,1.8143020813441926,2.575321434066114,1.3312113477837426,38.046865902433936,55.943830186674234,68.70204023505323,85.45859216761619,154.16063240266942,800.0,700.0,2.8,350.0,0.75,1.35,0.3554357876491104,-0.008689971692902417,-0.01674489719431962,-0.04080766795986044,-0.0902567819326371,-0.036504880688741616,4.4762329571125253e+18,4.349812836511995e+18,3.6724736281054126e+18,79.4885160499209,9.95768996995926,9.942448930909809,78.91793951399079,11.011105798102422,9.502290323649966,78.66430222912092,11.533980323011717,9.298102403928382,74.75920044543003,15.380631753548377,9.578324210612433,75.94210631873848,16.233622904932037,7.645468569887289,75.65919112948514,16.655218606073785,7.5283173251513045,71.25402016255633,20.8820727033043,7.777115831319135,82.9223234238161,2.6567732048235992,14.419061082391279,0.9866446559378295,1.4379630604296383,1.2275266268193945,1.2811717727781011,1.9107878003890577,1.131929825375422,5.157291611371155,1.0474644593577846,1.1417474338861895,1.0218905991208267,1.117788779433784,1.0030980800777367,0.0076086959667303776,133.37243945639472,189.31626964306895,258.0183098781222,343.47690204573837,154.16063240266942,1,1.0,1,1,30000000000000.0,30384655052933.04,32708575246355.16,40227140578014.95,40227140578014.95,40227140578014.95,30000000000000.0,30384655052933.04,32708575246355.16,40227140578014.95,40227140578014.95,40227140578014.95,128000000000000.05,129641194892514.34,139556587717782.06,171635799799530.53,171635799799530.53,171635799799530.53
FINAL_rank4_capture_only_capture_only_v6_trial_00396,2.466829867356168,0.8901419700967181,0.6516927543439988,0.5172401966044253,0.07595843235911778,0.09200809323952074,0.18748815151332293,3.7152021134679624e-09,112022.50296958015,32177046647162.082,7.699422570639809e+19,1.0,1.0,1.0,6.191389199636882,1.0,0.44335014977344206,0.023865937617431984,1.6005828773233743,4.77166397007915,96.10609789217014,4.3046388828279956e+18,4.3896330062681677e+18,3.999142440176105e+18,-0.040461339750681245,5.906577354760499,10.504432885889926,1.8703404833476726e-06,0.0033384922789378236,0.0033384922789378236,1.0,40,1,1.0,1.1104168914390824,2.3693080125672075,0.8935388147229547,3.8291783084803566,0.030575745030734323,0.26190000882797543,7.390572756243111,0.5681731297479408,0.999176688946854,capture_only,4.084972567414589,0.241164054146873,0.06222154963209962,0.01759664812002668,0.0,0.04138274379309787,0.35567794118789203,0.03837269097040993,0.25043928916429453,0.007696839346417266,0.060793209631280716,0.8219728954400806,1.549666507378528,78.26262327029032,12.00483661236087,9.495793658909692,71.31464685006223,20.4307131874374,8.16435518833496,79.073580720278,9.705661286781105,10.568124389539049,0.652633603401879,78.22060934304453,11.384014555474698,9.857997608524148,0.5373784929566273,74.19031841430191,15.393495208724636,10.1198094016927,0.2963769752807542,2.509273503141308,82.64781642632083,14.841058547356027,0.0018515231818404287,0.2350256720912676,84.50512923581918,15.259649675179158,0.00019541691039356402,77.13126448396214,14.193832273197469,8.472429183899722,0.20247405894065112,75.88127371989634,16.031988105395143,7.92116085938171,0.16557731532682854,29.30025392786721,58.35904705688472,12.33308707950235,0.0076119357457180474,7.12019042249344,76.9186219768154,15.960519865778679,0.0006677349124730259,1.081996769631036,81.36195664328649,17.555991389130618,5.5197951868585655e-05,135.13170511781937,192.23036419106506,260.10685034662606,343.4013348391853,1.786405265808401,2.5412343797466237,1.320231798514951,39.025607225649225,57.0986590732457,67.876486155561,83.29448449255926,151.17097064812026,800.0,700.0,2.8,350.0,0.75,1.35,0.35567794118789203,-0.008491488470437895,-0.016454869720021713,-0.040461339750681245,-0.08985457223655575,-0.036273086856400655,4.34750369539931e+18,4.226426716592188e+18,3.569222651351802e+18,79.073580720278,9.705661286781105,10.568124389539049,78.49738835236691,10.812796072211059,10.081412172904411,78.22060934304453,11.384014555474698,9.857997608524148,74.19031841430191,15.393495208724636,10.1198094016927,76.22603886518858,15.53384711391242,8.051381024196989,75.88127371989634,16.031988105395143,7.92116085938171,71.31464685006223,20.4307131874374,8.16435518833496,82.64781642632083,2.509273503141308,14.841058547356027,0.9919973834524939,1.6485294036958464,1.2253649300576568,1.4357025920066486,1.8447571378963157,1.234684284128307,4.8403454099935495,1.111512907537228,1.1484923518494876,1.0422669816631975,1.1193552780402962,1.0055789371088806,0.007696839346417266,135.13170511781937,192.23036419106506,260.10685034662606,343.4013348391853,151.17097064812026,1,1.0,1,1,30000000000000.0,29890891169437.375,32177046647162.08,39573432016271.41,39573432016271.41,39573432016271.41,30000000000000.0,29890891169437.375,32177046647162.08,39573432016271.41,39573432016271.41,39573432016271.41,128000000000000.05,127534468989599.52,137288732361224.92,168846643269424.75,168846643269424.75,168846643269424.75
FINAL_rank1_capture_only_capture_only_v6_trial_00342,2.489266705216185,0.9047175486473173,0.5912665222744307,0.5217998732035791,0.11516739790162367,0.10046529102350567,0.17962302451085604,2.7171963050282553e-09,114642.25579403243,39813319494958.14,7.561240099247622e+19,1.0,1.0,1.0,5.566824159102392,1.0,0.3868550753287973,0.039156212772856754,1.5129199137881466,4.461624493685272,87.02984330797862,5.479270298634757e+18,5.569258317721896e+18,5.142161186599309e+18,-0.034651676195285044,5.60846562301036,9.619622367279673,3.318162065969323e-06,0.005912640104153422,0.005912640104153422,1.0,40,1,1.0,1.980014124438851,3.3075071875545348,0.7508579852818678,3.0718347201545937,0.04337643758997171,0.296580547273028,6.2586467069544485,0.319156583525498,0.9735492155476967,capture_only,3.6919234276132165,0.23025765302145212,0.08609705583290442,0.0570565026353462,0.0,0.015046482614161472,0.3606722962606249,0.06390702060709703,0.05196713921286992,0.09156491429178873,0.05907583959773698,0.8490617360188918,1.677728939696932,75.45589848606888,12.82090035612215,11.510194925370813,67.29041726243173,22.189400917220055,10.437362934100502,77.07658296178795,9.265360316430693,13.008341993898943,0.6497147278824192,76.22349912995482,11.253708263822647,11.998623061398385,0.5241695448241487,71.37934620488262,16.11633143372488,12.241478633666018,0.2628437277264817,1.6929118570303323,81.07434768753227,17.231531294096577,0.0012091613408219703,0.13322199765734674,82.64773726750337,17.218943279577356,9.745526192746414e-05,74.82292599852083,14.221885525302257,10.746024256224713,0.20916421995220696,73.25781686261904,16.543050689346263,10.032124423930345,0.1670080241043652,22.97177124303181,61.62639084611453,15.395979075801147,0.005858835052506819,5.132313254775402,75.3360526835104,19.53109864241001,0.0005354193042005719,1.1014159315048162,76.5349690972172,22.363570702746493,4.4268531485666936e-05,123.39169804119591,173.81634431446795,225.4605448916769,275.96943060622044,1.587707023149316,2.2365315899460634,1.2240253865207797,36.361854733217285,50.424646273272046,51.64420057720895,50.50888571454354,102.15308629175249,800.0,700.0,2.8,350.0,0.75,1.35,0.3606722962606249,-0.007074636941521769,-0.01395512845543943,-0.034651676195285044,-0.07572902408136098,-0.031251764311013515,5.525829114113532e+18,5.393146698944627e+18,4.678087471705905e+18,77.07658296178795,9.265360316430693,13.008341993898943,76.55112549704057,10.463429378293727,12.380496249496787,76.22349912995482,11.253708263822647,11.998623061398385,71.37934620488262,16.11633143372488,12.241478633666018,73.87372849452825,15.74663450199749,10.184949293045097,73.25781686261904,16.543050689346263,10.032124423930345,67.29041726243173,22.189400917220055,10.437362934100502,81.07434768753227,1.6929118570303323,17.231531294096577,1.0218670049419247,1.7270338620354106,1.1784346731048734,1.4585639464169153,1.4949963486932265,1.2229882593303205,3.381878923391131,1.1242580922104564,1.1072260817099289,1.047162394506941,1.0636964718362272,1.005568167149131,0.09156491429178873,123.39169804119591,173.81634431446795,225.4605448916769,275.96943060622044,102.15308629175249,1,1.0,1,1,30000000000000.0,36984612452702.914,39813319494958.14,48965018749313.27,48965018749313.27,48965018749313.27,30000000000000.0,36984612452702.914,39813319494958.14,48965018749313.27,48965018749313.27,48965018749313.27,128000000000000.05,157801013131532.5,169870163178488.12,208917413330403.4,208917413330403.4,208917413330403.4
FINAL_rank2_capture_only_capture_only_v6_trial_00360,2.492030529615243,0.9036826202357279,0.6689467974841924,0.5131393680494178,0.07417517571090121,0.08312030063777083,0.19821115226322164,2.321502519493578e-09,110998.63687314565,30501410694850.984,7.891892422830855e+19,1.0,1.0,1.0,5.630516456591883,1.0,0.46133421888937043,0.03990749378926414,1.516792878522182,4.5386258575844245,96.36950973197673,4.0459333380645683e+18,4.125813600478348e+18,3.7144286747036216e+18,-0.045617579809982066,5.521010023291029,9.99713505503783,3.293539700375095e-06,0.005728874026115782,0.005728874026115782,1.0,40,1,1.0,1.8013873296844287,2.8407514606354667,0.8280383924009637,3.9695165845456057,0.053610390369531975,0.32500569221538644,9.347535238350062,0.32866886064928236,0.9965231039038965,capture_only,3.8306780223084558,0.22424262159430097,0.10200580710764266,0.09348807022588798,0.0,0.039257836643232194,0.3516951004481714,0.06362738977543125,0.07866684844302264,0.0016106065614852293,0.044435400940248705,0.9172522373813642,1.62208341949767,75.01626616301621,12.56384000188712,12.159035677696561,67.63546609942931,20.89686366602767,11.365977325965915,77.39837776392945,8.39782097754824,13.408162098091257,0.7956391604310631,76.28975629102733,10.507846146437151,12.568248054586498,0.6341495079490466,71.24327244248404,15.532877352926365,12.90582604145387,0.3180241631357152,1.6545696133508923,80.6762424570585,17.667717275860447,0.001470653730156903,0.1606168961783166,81.57417950598744,18.265036489333788,0.00016710850046199507,75.5982347432378,12.83048501306738,11.309876977175586,0.26140326651926155,73.90001388964932,15.347767787072883,10.54393342040522,0.20828490287258186,26.666932700595876,56.837096167159544,16.488781623926698,0.007189508317905076,12.278602490854313,64.61112693653006,23.109544149821748,0.0007264227938872438,3.6350858593534934,68.59670848296314,27.76814003182779,6.562585556565708e-05,140.3415613662765,201.53592481277914,268.02686807830344,348.6191925117939,1.7298116593140938,2.484076627891684,1.3006874833531452,43.97205163429976,61.19436344650265,66.4909432655243,80.59232443349049,147.08326769901478,800.0,700.0,2.8,350.0,0.75,1.35,0.3516951004481714,-0.008490880218540626,-0.01738216520028585,-0.045617579809982066,-0.10038979256710348,-0.04167152907516738,4.088495766767694e+18,3.963943338496663e+18,3.2743101214678134e+18,77.39837776392945,8.39782097754824,13.408162098091257,76.8633495061451,9.655954277090904,12.742030387564578,76.28975629102733,10.507846146437151,12.568248054586498,71.24327244248404,15.532877352926365,12.90582604145387,74.65145607411904,14.41196665448866,10.693887753496194,73.90001388964932,15.347767787072883,10.54393342040522,67.63546609942931,20.89686366602767,11.365977325965915,80.6762424570585,1.6545696133508923,17.667717275860447,1.0671522170015626,1.6665829854182044,1.2440381708984622,1.4726839581441524,1.66652558884715,1.328497839883961,3.5780809150747883,1.2980135218314577,1.182988844858001,1.0417909581471383,1.1328272657937035,1.0052359485748534,0.0016106065614852293,140.3415613662765,201.53592481277914,268.02686807830344,348.6191925117939,147.08326769901478,1,1.0,1,1,30000000000000.0,28334307918048.613,30501410694850.984,37512625560976.305,37512625560976.305,37512625560976.305,30000000000000.0,28334307918048.613,30501410694850.984,37512625560976.305,37512625560976.305,37512625560976.305,128000000000000.05,120893047117007.45,130139352298030.92,160053869060165.62,160053869060165.62,160053869060165.62
