Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Steam pressure (atm)	System pressure (Pa)	O/M ratio (/)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	Cs produced (at/m3)	Cs in grain (at/m3)	Cs in intragranular solution (at/m3)	Cs in intragranular bubbles (at/m3)	Cs at grain boundary (at/m3)	Cs released (at/m3)	Cs reacted (at/m3)	I produced (at/m3)	I in grain (at/m3)	I in intragranular solution (at/m3)	I in intragranular bubbles (at/m3)	I at grain boundary (at/m3)	I released (at/m3)	I reacted (at/m3)	Te produced (at/m3)	Te in grain (at/m3)	Te in intragranular solution (at/m3)	Te in intragranular bubbles (at/m3)	Te at grain boundary (at/m3)	Te released (at/m3)	Te reacted (at/m3)	Mo produced (at/m3)	Mo in solution (at/m3)	Mo reacted (at/m3)	Ba produced (at/m3)	Ba in solution (at/m3)	Ba reacted (at/m3)	Tc produced (at/m3)	Tc in solution (at/m3)	Tc reacted (at/m3)	Ru produced (at/m3)	Ru in solution (at/m3)	Ru reacted (at/m3)	Rh produced (at/m3)	Rh in solution (at/m3)	Rh reacted (at/m3)	Pd produced (at/m3)	Pd in solution (at/m3)	Pd reacted (at/m3)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas bubble swelling (/)	Intergranular bubble concentration (bub/m2)	Intergranular atoms per bubble (at/bub)	Intergranular vacancies per bubble (vac/bub)	Intergranular bubble radius (m)	Intergranular bubble area (m2)	Intergranular bubble volume (m3)	Intergranular fractional coverage (/)	Intergranular saturation fractional coverage (/)	Intergranular gas swelling (/)	Intergranular fractional intactness (/)	Burnup (MWd/kgUO2)	FIMA (%)	Fuel density (kg/m3)	U235 (at/m3)	U238 (at/m3)	Pu (at/m3)	Pu238 (at/m3)	Pu239 (at/m3)	Pu240 (at/m3)	Pu241 (at/m3)	Pu242 (at/m3)	q (-)	Intergranular vented fraction (/)	Intergranular venting probability (/)	Porosity (/)	Fabrication porosity (/)	Open porosity (/)	Residual porosity (/)	Densification factor (/)	Gap oxygen partial pressure (MPa)	Stoichiometry deviation (/)	Equilibrium stoichiometry deviation (/)	Fuel oxygen partial pressure (MPa)	Fuel oxygen partial pressure - Blackburn (MPa)	Fuel oxygen partial pressure - Kato (MPa)	Fuel oxygen partial pressure - CALPHAD (MPa)	Fuel oxygen potential (KJ/mol)	Fuel oxygen potential - Blackburn (KJ/mol)	Fuel oxygen potential - Kato (KJ/mol)	Fuel oxygen potential - CALPHAD (KJ/mol)	U content (mol/m3)	O content (mol/m3)	O available content (mol/m3)	Pu content (mol/m3)	Phase std density (g/m3)	Mo/Ru in HCP_A3 (/)	Mo in oxide fraction (/)	Mo oxide valence (/)	Ba/Mo in oxide compounds (/)	Ba in oxide fraction (/)	Ba oxide valence (/)	JOG (Cs2MoO4) (/)	JOG (BaMoO4) (/)	JOG (liquid) (/)	
0	909	3.45e+19	0	0	100000	1.975	1e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e+13	0	0	0	0	0	0	0.5	0	1	0	0	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03419205	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.025	0	1.686684e-36	0	1.686684e-36	0	-605.2034	0	-605.2034	0	30531.45	77194.93	0.001	8554.591	3915245	0	0	0	0	0	0	0	0	0	
28	909	3.45e+19	0	0	100000	1.97525	1e-05	8.137584e+23	7.935983e+23	7.935983e+23	0	1.947109e+22	6.889802e+20	5.91192e+22	5.765458e+22	5.765458e+22	0	1.414566e+21	5.005412e+19	0.0008466643	1.525275e+24	0	0	0	1.473148e+24	5.212703e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.615944e+23	7.615944e+23	0	3.442824e+23	3.442824e+23	0	1.843128e+23	1.843128e+23	0	6.885648e+23	6.885648e+23	0	2.051784e+23	2.051784e+23	0	6.572664e+23	6.572664e+23	0	1.316251e+24	0	0	1.77011e+13	281850.4	520.4023	4.059173e-08	3.522188e-15	4.723746e-23	0.0623466	0.5	0.0002508465	1	0.1188102	0.01477465	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03417367	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02475	0	1.755915e-36	0	1.755915e-36	0	-604.8994	0	-604.8994	0	30527.58	77194.93	0.001	8553.509	3915245	0	0	0	0	0	0	0	0	0	
56	909	3.45e+19	0	0	100000	1.9755	1e-05	1.627517e+24	1.582021e+24	1.396561e+24	1.854597e+23	4.394161e+22	1.554295e+21	1.182384e+23	1.149331e+23	1.014596e+23	1.347357e+22	3.192339e+21	1.129189e+20	0.0009550102	3.050551e+24	0	0	0	5.031361e+22	1.813417e+21	2.998424e+24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.523189e+24	0	1.523189e+24	6.885648e+23	0	6.885648e+23	3.686256e+23	0	3.686256e+23	1.37713e+24	0	1.37713e+24	4.103568e+23	0	4.103568e+23	1.314533e+24	0	1.314533e+24	1.326215e+24	0	0	1.77011e+13	19469.47	532.3863	1.4983e-08	4.798826e-16	2.375583e-24	0.00849445	0.5	1.261513e-05	1	0.2376204	0.0295493	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03415375	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0245	0	1.828733e-36	0	1.828733e-36	0	-604.5924	0	-604.5924	0	30523.72	77194.93	1.143389	8552.427	3915245	1.137378	0	0	0	1	2	0	0	0.0001613061	
84	909	3.45e+19	0	0	100000	1.97575	1e-05	2.441275e+24	2.365163e+24	2.086045e+24	2.791184e+23	7.351246e+22	2.599286e+21	1.773576e+23	1.718281e+23	1.515503e+23	2.027783e+22	5.340649e+21	1.88837e+20	0.001064724	4.575826e+24	0	0	0	1.717321e+21	9.609535e+19	4.574013e+24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.284783e+24	0	2.284783e+24	1.032847e+24	0	1.032847e+24	5.529384e+23	0	5.529384e+23	2.065694e+24	0	2.065694e+24	6.155352e+23	0	6.155352e+23	1.971799e+24	0	1.971799e+24	1.326291e+24	1.142588e-10	8.286975e-06	1.77011e+13	17064.85	541.7573	1.236758e-08	3.269694e-16	1.336068e-24	0.005787718	0.5	7.09496e-06	1	0.3564306	0.04432395	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.0341323	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02425	0	1.905361e-36	0	1.905361e-36	0	-604.2821	0	-604.2821	0	30519.86	77194.93	1.715083	8551.345	3915245	1.137958	0	0	0	1	2	0	0	0.0002465844	
112	909	3.45e+19	0	0	100000	1.976	1e-05	3.255034e+24	3.144194e+24	2.695607e+24	4.485867e+23	1.070561e+23	3.783845e+21	2.364768e+23	2.284243e+23	1.958347e+23	3.258963e+22	7.777582e+21	2.748947e+20	0.00116246	6.101101e+24	0	0	0	5.857682e+19	3.751854e+19	6.101005e+24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.046378e+24	0	3.046378e+24	1.37713e+24	0	1.37713e+24	7.372512e+23	0	7.372512e+23	2.754259e+24	0	2.754259e+24	8.207136e+23	0	8.207136e+23	2.629066e+24	0	2.629066e+24	1.069811e+24	1.406547e-10	1.246978e-05	1.77011e+13	24216.01	555.4342	1.380135e-08	4.071743e-16	1.856685e-24	0.007207432	0.5	9.85961e-06	1	0.4752408	0.0590986	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03410936	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.024	0	1.986043e-36	0	1.986043e-36	0	-603.9687	0	-603.9687	0	30516	77194.93	2.286778	8550.263	3915245	1.137971	0	0	0	1	2	0	0	0.0003289197	
140	909	3.45e+19	0	0	100000	1.97625	1e-05	4.068792e+24	3.918493e+24	3.441746e+24	4.767476e+23	1.451698e+23	5.128792e+21	2.95596e+23	2.846769e+23	2.500414e+23	3.463551e+22	1.054653e+22	3.726046e+20	0.00126052	7.626377e+24	0	0	0	1.99659e+18	3.552195e+19	7.626339e+24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.807972e+24	0	3.807972e+24	1.721412e+24	0	1.721412e+24	9.21564e+23	0	9.21564e+23	3.442824e+24	0	3.442824e+24	1.025892e+24	0	1.025892e+24	3.286332e+24	0	3.286332e+24	1.019661e+24	1.679114e-10	2.022016e-05	1.77011e+13	32732.68	574.3253	1.525438e-08	4.974236e-16	2.507017e-24	0.008804945	0.5	1.331309e-05	1	0.594051	0.07387325	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03408494	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02375	0	2.071038e-36	0	2.071038e-36	0	-603.652	0	-603.652	0	30512.14	77194.93	2.858472	8549.181	3915245	1.137971	0	0	0	1	2	0	0	0.0004111546	
168	909	3.45e+19	0	0	100000	1.9765	1e-05	4.88255e+24	4.688916e+24	4.128569e+24	5.603469e+23	1.870297e+23	6.604774e+21	3.547152e+23	3.406477e+23	2.999388e+23	4.070896e+22	1.358763e+22	4.79834e+20	0.00135273	9.151652e+24	0	0	0	6.800214e+16	3.545394e+19	9.151617e+24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.569566e+24	0	4.569566e+24	2.065694e+24	0	2.065694e+24	1.105877e+24	0	1.105877e+24	4.131389e+24	0	4.131389e+24	1.23107e+24	0	1.23107e+24	3.943598e+24	0	3.943598e+24	9.726053e+23	1.742436e-10	2.155239e-05	1.77011e+13	42093.45	598.8541	1.658729e-08	5.881506e-16	3.223299e-24	0.01041091	0.5	1.711678e-05	1	0.7128612	0.0886479	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03405907	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0235	0	2.160627e-36	0	2.160627e-36	0	-603.332	0	-603.332	0	30508.28	77194.93	3.430167	8548.1	3915245	1.137971	0	0	0	1	2	0	0	0.0004933861	
196	909	3.45e+19	0	0	100000	1.97675	1e-05	5.696309e+24	5.455675e+24	4.827116e+24	6.285591e+23	2.324295e+23	8.204248e+21	4.138344e+23	3.963525e+23	3.506879e+23	4.566455e+22	1.688591e+22	5.960351e+20	0.001440274	1.067693e+25	0	0	0	2.314238e+15	3.545163e+19	1.067689e+25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.331161e+24	0	5.331161e+24	2.409977e+24	0	2.409977e+24	1.29019e+24	0	1.29019e+24	4.819954e+24	0	4.819954e+24	1.436249e+24	0	1.436249e+24	4.600865e+24	0	4.600865e+24	9.619426e+23	1.846251e-10	2.535772e-05	1.77011e+13	52260.9	629.2713	1.782574e-08	6.792544e-16	4.00052e-24	0.01202355	0.5	2.124408e-05	1	0.8316714	0.1034226	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03403178	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02325	0	2.255109e-36	0	2.255109e-36	0	-603.0085	0	-603.0085	0	30504.42	77194.93	4.001861	8547.019	3915245	1.137971	0	0	0	1	2	0	0	0.0005756174	
224	909	3.45e+19	0	0	100000	1.977	1e-05	6.510067e+24	6.219156e+24	5.503882e+24	7.152743e+23	2.809972e+23	9.913834e+21	4.729536e+23	4.51819e+23	3.998547e+23	5.196437e+22	2.041433e+22	7.202358e+20	0.001522847	1.22022e+25	0	0	0	7.869139e+13	3.545155e+19	1.220217e+25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.092755e+24	0	6.092755e+24	2.754259e+24	0	2.754259e+24	1.474502e+24	0	1.474502e+24	5.508518e+24	0	5.508518e+24	1.641427e+24	0	1.641427e+24	5.258131e+24	0	5.258131e+24	9.451894e+23	1.929958e-10	2.846106e-05	1.77011e+13	63133.84	665.6256	1.898397e-08	7.703918e-16	4.832093e-24	0.01363678	0.5	2.566001e-05	1	0.9504816	0.1181972	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03400308	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.023	0	2.35481e-36	0	2.35481e-36	0	-602.6816	0	-602.6816	0	30500.56	77194.93	4.573555	8545.938	3915245	1.137971	0	0	0	1	2	0	0	0.0006578488	
252	909	3.45e+19	0	0	100000	1.97725	1e-05	7.323826e+24	6.979524e+24	6.184342e+24	7.95182e+23	3.325741e+23	1.172768e+22	5.320728e+23	5.070594e+23	4.492898e+23	5.776964e+22	2.416136e+22	8.520109e+20	0.001601305	1.372748e+25	0	0	0	2.673389e+12	3.545155e+19	1.372744e+25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.85435e+24	0	6.85435e+24	3.098542e+24	0	3.098542e+24	1.658815e+24	0	1.658815e+24	6.197083e+24	0	6.197083e+24	1.846606e+24	0	1.846606e+24	5.915398e+24	0	5.915398e+24	9.319532e+23	2.024544e-10	3.2394e-05	1.77011e+13	74680.42	707.8381	2.007656e-08	8.616203e-16	5.715334e-24	0.01525163	0.5	3.035031e-05	1	1.069292	0.1329719	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.033973	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02275	0	2.46008e-36	0	2.46008e-36	0	-602.351	0	-602.351	0	30496.71	77194.93	5.14525	8544.858	3915245	1.137971	0	0	0	1	2	0	0	0.0007400802	
