case,T_K,target_FIMA_percent,FIMA (%),Intragranular bulk gas bubble swelling (/),Dislocation gas bubble swelling (/),Intragranular gas bubble swelling (/),Dislocation bubble radius (m),Dislocation bubble concentration (bub/m3),Dislocation bubble pressure (MPa),Dislocation bubble equilibrium pressure (MPa),UN grain-face gas (at/m3),UN released gas (at/m3),UN fission gas release (/),Grain-face fractional coverage (/),UN bulk nucleation rate (bub/m3/s)
test_UN_T900_FIMA1p3,900,1.3,1.3,0.006563175518381599,0.004210837190668346,0.010774012709049945,3.9272287484251646e-08,1.6596680973774017e+19,258.90277926938904,56.52841080087912,4.972756769098994e+24,0.0,0.0,0.07349844411442476,8.498619508442981e+16
test_UN_T1200_FIMA1p3,1200,1.3,1.3,0.006727957908530511,0.011499646458159153,0.018227604366689666,5.581962494678381e-08,1.578465656082366e+19,60.951587162480834,39.77095872851993,4.799680964098497e+24,1.6471446646451744e+23,0.0015423298726167218,0.5000000000000009,8.285964912294418e+16
test_UN_T1600_FIMA1p3,1600,1.3,1.3,0.00757067552721409,0.0241829740696873,0.03175364959690139,7.985608702314034e-08,1.1336970681540979e+19,27.979261639737206,27.800009777046785,5.015916674096935e+24,1.8126347512641962e+23,0.0016972891240370758,0.5000000000000009,6.469150732448067e+16
test_UN_T1800_FIMA1p3,1800,1.3,1.3,0.0060217931340635225,0.07871899381047312,0.08474078694453664,1.3663099251827717e-07,7.367892072026056e+18,16.27289644311069,16.248143697726782,9.492825530891561e+23,5.764483943993687e+24,0.053976654132903076,0.5000000000000011,1.1977108882310026e+16
test_UN_T2000_FIMA1p3,2000,1.3,1.3,0.0018745765900919755,0.556259815163661,0.5581343917537529,1.873385363660896e-06,2.0197969370024184e+16,4.300625271530262,1.1850204677919354,2.5547020802693254e+24,5.332761009207344e+24,0.04993414837547359,0.5000000000000009,1451181047379649.8
test_UN_T1600_FIMA1p1,1600,1.1,1.1,0.006114871397705012,0.022622189452148656,0.028737060849853665,7.88795366845955e-08,1.100406058325617e+19,28.332104330460012,28.14418153692765,4.229470703038945e+24,1.3420468672849735e+23,0.0014851279659787127,0.5000000000000009,6.326442109368018e+16
test_UN_T1600_FIMA3p2,1600,3.2,3.2,0.021798970660141127,0.0368396652801395,0.05863863594028063,8.70200218753364e-08,1.3346564877785743e+19,25.66691559314042,25.51137028189144,4.1000138826766955e+24,9.15443731355646e+24,0.0348233506184589,0.500000000000001,7.568865607007126e+16
