label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D2_xe_scale,Dg_D1_scale,Dg_D3_scale,Dv_D1_scale,Dv_D2_scale,b_bulk_scale,b_dislocation_scale,gd_bubble_scale,gd_line_scale,gd_line_alpha,family,score_swig_diag,score_rizk_prior,score_partition,score_qgb,score_radius_guard,score_radius_saturation,score_Nd_coalescence_shape,score_bulk_plateau,score_highT_pressure,score_radius_band,score_base_highT_guard,p_d_over_eq_1p3_1600K,p_b_over_eq_1p3_1600K,bulk_gas_1p3_1600K,disl_gas_1p3_1600K,qgb_gas_1p3_1600K,bulk_gas_3p2_1600K,disl_gas_3p2_1600K,qgb_gas_3p2_1600K,bulk_gas_1p1_1200,disl_gas_1p1_1200,qgb_gas_1p1_1200,matrix_gas_1p1_1200,bulk_gas_1p1_1500,disl_gas_1p1_1500,qgb_gas_1p1_1500,matrix_gas_1p1_1500,bulk_gas_1p1_1600,disl_gas_1p1_1600,qgb_gas_1p1_1600,matrix_gas_1p1_1600,bulk_gas_1p1_2000,disl_gas_1p1_2000,qgb_gas_1p1_2000,matrix_gas_1p1_2000,bulk_gas_1p1_2200,disl_gas_1p1_2200,qgb_gas_1p1_2200,matrix_gas_1p1_2200,bulk_gas_3p2_1200,disl_gas_3p2_1200,qgb_gas_3p2_1200,matrix_gas_3p2_1200,bulk_gas_3p2_1500,disl_gas_3p2_1500,qgb_gas_3p2_1500,matrix_gas_3p2_1500,bulk_gas_3p2_1800,disl_gas_3p2_1800,qgb_gas_3p2_1800,matrix_gas_3p2_1800,bulk_gas_3p2_2000,disl_gas_3p2_2000,qgb_gas_3p2_2000,matrix_gas_3p2_2000,bulk_gas_3p2_2200,disl_gas_3p2_2200,qgb_gas_3p2_2200,matrix_gas_3p2_2200,Rd_1p3_1700K,Rd_1p3_1800K,Rd_1p3_1900K,Rd_1p3_2000K,Rd_ratio_2000_over_1800,Rd_ratio_2000_over_1700,Rd_ratio_2000_over_1900,Rd_inc_1600_1700_nm,Rd_inc_1700_1800_nm,Rd_inc_1800_1900_nm,Rd_inc_1900_2000_nm,Rd_inc_1800_2000_nm,Rd2000_max_nm,Rd1900_soft_max_nm,Rd_ratio_max,Rd_post1800_delta_max_nm,Rd_last_increment_factor_max,Rd_1900_2000_ratio_max,score_Nd_coalescence_shape_terms_rmse,Nd_drop_1600_over_1400_log10_v7,Nd_drop_1650_over_1400_log10_v7,Nd_drop_1725_over_1400_log10_v7,Nd_drop_1800_over_1400_log10_v7,Nd_drop_1725_over_1550_log10_v7,Nd_1p3_1550K_v7,Nd_1p3_1650K_v7,Nd_1p3_1800K_v7,bulk_plateau_bulk_1p1_1200,bulk_plateau_disl_1p1_1200,bulk_plateau_qgb_1p1_1200,bulk_plateau_bulk_1p1_1400,bulk_plateau_disl_1p1_1400,bulk_plateau_qgb_1p1_1400,bulk_plateau_bulk_1p1_1500,bulk_plateau_disl_1p1_1500,bulk_plateau_qgb_1p1_1500,bulk_plateau_bulk_1p1_1600,bulk_plateau_disl_1p1_1600,bulk_plateau_qgb_1p1_1600,bulk_plateau_bulk_3p2_1400,bulk_plateau_disl_3p2_1400,bulk_plateau_qgb_3p2_1400,bulk_plateau_bulk_3p2_1500,bulk_plateau_disl_3p2_1500,bulk_plateau_qgb_3p2_1500,bulk_plateau_bulk_3p2_1600,bulk_plateau_disl_3p2_1600,bulk_plateau_qgb_3p2_1600,bulk_plateau_disl_1p1_2000,bulk_plateau_bulk_1p1_2000,bulk_plateau_qgb_1p1_2000,pd_over_eq_highT_3p2_1700,pb_over_eq_highT_3p2_1700,pd_over_eq_highT_3p2_1800,pb_over_eq_highT_3p2_1800,pd_over_eq_highT_3p2_1900,pb_over_eq_highT_3p2_1900,pd_over_eq_highT_3p2_2000,pb_over_eq_highT_3p2_2000,pd_over_eq_highT_1p1_1900,pb_over_eq_highT_1p1_1900,pd_over_eq_highT_1p1_2000,pb_over_eq_highT_1p1_2000,score_radius_band_terms_rmse,Rd_band_1700_nm_v8,Rd_band_1800_nm_v8,Rd_band_1900_nm_v8,Rd_band_2000_nm_v8,Rd_band_inc_1800_2000_nm_v8
FINAL_rank1_capture_only_capture_only_v6_trial_00296,2.393794527495085,0.7665409727391252,0.5758278205114148,0.5167943915877128,0.07123650048190858,0.03584601106830322,0.03501034816232412,2.245465948598425e-07,324524.9822391175,17983121439665.613,5.4197637081189876e+19,1.0,1.0,1.0,3.2176657637171457,1.0,0.3680532965040369,0.029119911459699492,2.282257401314345,1.5028146749690356,98.86892886661043,5.637629455349489e+18,5.774360934582573e+18,5.255034182384444e+18,-0.04092838125712255,3.9459166034233903,4.884383323036076,6.456422893487118e-07,0.0015727872909142577,0.0015727872909142577,1.0,40,1,1.0,0.6810065341328015,0.15458216772096625,0.2284160698798135,3.9871295960563753,0.19970495244945935,0.03830417861764385,1.3468086234969823,1.808674530186445,0.8159030901535381,capture_only,1.8402889861564904,0.25150488806002025,0.03200189056554356,0.0,0.0,0.006158179202285976,0.35728606123496015,0.03638141494457809,0.0018972739138489343,0.09656367941044496,0.0,1.7432447077425588,1.0028526469353671,59.483225832291666,32.910046357369204,7.2496925421809,73.3903308405198,19.164176527598656,7.296087337302402,73.17881002049202,17.559325795314194,4.831210889961471,4.4306532942323305,70.02732610303165,22.397870092044766,5.593047089580836,1.98175671534273,56.8615143740456,35.44255280822543,7.27593393885384,0.4199988788751272,1.6369081816482316,90.09426154928282,8.267849817041364,0.0009804520275679656,0.1383500296785493,91.60392392224246,8.257649728485243,7.631959377724451e-05,84.52350073606219,9.158026474063208,4.7703847564832875,1.5480880333913312,81.99758164137629,11.821910662587362,5.485082087055679,0.6954256089806882,42.86513072127731,46.67490332301313,10.45310496262796,0.0068609930816154584,14.445935311833798,73.65167913944912,11.901856701256357,0.0005288474607562139,2.6686719732296447,84.84414852028627,12.487127890833323,5.16156507387339e-05,133.73840325505324,175.91117814495308,221.8190890613283,273.00516345455003,1.551948922936496,2.041337093982649,1.23075594895744,34.86947438844281,42.17277488989984,45.907910916375215,51.18607439322173,97.09398530959695,950.0,850.0,2.8,550.0,0.95,1.6,0.35728606123496015,-0.010407398996475994,-0.018974883430190468,-0.04092838125712255,-0.07705799044507886,-0.035672831372940104,5.704904473275103e+18,5.527503715194571e+18,4.835550644083239e+18,73.17881002049202,17.559325795314194,4.831210889961471,73.09664823596603,18.038155341520355,4.864732568093237,70.02732610303165,22.397870092044766,5.593047089580836,56.8615143740456,35.44255280822543,7.27593393885384,84.33905425003987,9.473282357628614,4.7901473357135025,81.99758164137629,11.821910662587362,5.485082087055679,73.3903308405198,19.164176527598656,7.296087337302402,90.09426154928282,1.6369081816482316,8.267849817041364,1.625870972023176,1.003473862915339,1.6267912945146565,1.0022898986619013,1.8597449402701305,1.001327892662094,3.013942058973669,1.0006880706126253,1.2451677080580823,1.0003125483182707,1.1458083887690826,1.000284793809106,0.09656367941044496,133.73840325505324,175.91117814495308,221.8190890613283,273.00516345455003,97.09398530959695
FINAL_rank3_capture_only_capture_only_v6_trial_00298,2.394400765919929,0.7861089890410755,0.5676551806421565,0.5143836443781027,0.07986488206590958,0.02417770255482158,0.0344903593208329,1.540495242159253e-07,354253.1205471087,17085541339650.066,5.41327840772787e+19,1.0,1.0,1.0,3.9894201897355455,1.0,0.40876186053973845,0.07264598896152076,2.202741968592155,1.7228590990713628,96.60552221306507,5.832693556856169e+18,5.984271072933029e+18,5.408017159890967e+18,-0.04397319681388728,3.800419637286925,5.544844449890902,1.645492142414147e-06,0.003991768677194689,0.003991768677194689,1.0,40,1,1.0,0.6673740780500371,0.1530349822009844,0.22766130832526052,3.9705375249895902,0.20388076060828286,0.03855767503772816,1.3228770804120542,1.8383412589333579,0.8160242891332973,capture_only,2.000732451961468,0.2493467994021826,0.03273494450624902,0.0,0.0,0.007909045433061581,0.35485937021923203,0.029406613277345096,0.013772543202168048,0.09458742200863858,0.0,1.6731703079433562,1.0055188618701585,61.14318109816065,31.27340254074212,7.223943443925352,74.49432653637142,18.11112478663757,7.244360136287823,74.01935630977395,16.719826427946636,4.820738752738712,4.440078509540722,71.1875953554385,21.25808857052859,5.565898686539181,1.9884173874937208,58.597063973051235,33.72386278850772,7.256049483590098,0.4230237548509578,1.9731929309399578,89.58578250229972,8.439991703063649,0.0010328636966604409,0.16737189347980685,91.39248615232819,8.440060282566986,8.167162501331077e-05,85.03764058078673,8.664087971319924,4.748643398292542,1.5496280496008052,82.71167813421374,11.14917687864258,5.4423452415877245,0.6967997455559667,44.825345349370046,44.650141184486785,10.517559934004451,0.0069535321387365415,15.796833208069273,72.03636441968625,12.166254995785504,0.0005473764589678275,2.947273206457035,84.25344020885791,12.799232120644056,5.446404099014102e-05,130.99646109156487,173.21973819797546,220.4447386059501,275.035328767529,1.5877828452389586,2.0995630452587783,1.2476384354047152,34.390938878499796,42.22327710641059,47.22500040797465,54.59059016157889,101.81559056955354,950.0,850.0,2.8,550.0,0.95,1.6,0.35485937021923203,-0.011142098099395077,-0.020337855350896182,-0.04397319681388728,-0.08318857212657457,-0.03835649769435693,5.907375243920076e+18,5.710490356140716e+18,4.941089103425758e+18,74.01935630977395,16.719826427946636,4.820738752738712,74.00848596766967,17.142879690984405,4.8469949087787185,71.1875953554385,21.25808857052859,5.565898686539181,58.597063973051235,33.72386278850772,7.256049483590098,84.90004867177089,8.943927017825853,4.759884450781759,82.71167813421374,11.14917687864258,5.4423452415877245,74.49432653637142,18.11112478663757,7.244360136287823,89.58578250229972,1.9731929309399578,8.439991703063649,1.5641334638911784,1.007134243868923,1.579033211938741,1.0049472383841536,1.8398815056237967,1.0030255430505703,3.1012071099172465,1.0015807078104755,1.235598314982795,1.0003882912303879,1.1468770264965353,1.0001676673202256,0.09458742200863858,130.99646109156487,173.21973819797546,220.4447386059501,275.035328767529,101.81559056955354
FINAL_rank2_capture_only_capture_only_v6_trial_00299,2.3944304293723966,0.7660145496729345,0.5667935996077016,0.5162572290244375,0.07708456489783447,0.032055604185956856,0.035619786911192663,1.6614780284726001e-07,361851.4862608224,16808795537912.574,5.427374517765246e+19,1.0,1.0,1.0,3.874254829293616,1.0,0.3783012207438898,0.04709312607659022,2.270012048180631,1.610194035149714,97.3658190520516,5.871106904391338e+18,6.016506878570691e+18,5.466790022689797e+18,-0.041612024431903955,3.9343783163866948,5.232880941961718,1.0660135619832191e-06,0.002630398059220992,0.002630398059220992,1.0,40,1,1.0,0.6872724653906827,0.15173571912247258,0.22078203111011988,3.9526814723912866,0.22103780366067538,0.03870390822176927,1.3665384048984233,1.9117508357988817,0.8138306904548889,capture_only,1.9427051766032921,0.24961832194345154,0.03278394782512692,0.0,0.0,0.006027901378446398,0.3567763782602101,0.03701900216088975,0.001177135271988347,0.10291567133400732,0.0,1.7297076651573882,1.0044627437177744,59.3133678538302,32.9481138890728,7.374183082455096,73.16527506341698,19.234336101892644,7.4476286610716755,72.97118467684383,17.50749205354443,4.894828147916906,4.626495121694826,69.89049011799473,22.392662695791532,5.679391891306177,2.0374552949075753,56.71879559897523,35.45757399374978,7.395262688246308,0.42836771902869153,1.6464363198148488,89.99675646492189,8.355818197450219,0.000989017813060054,0.13894037311412305,91.5190028241586,8.341979681622712,7.712110458690563e-05,84.39660022319,9.138697635541133,4.8468473215323025,1.6178548197365807,81.86362546940417,11.835578108086583,5.58494806729969,0.7158483552095685,42.41776951315045,46.8809834558381,10.694249781625789,0.006997249385661064,14.142993079922796,73.73578996086134,12.120677757633949,0.0005392015819214702,2.581048025940804,84.73477124476403,12.684128118812541,5.2610482627516964e-05,131.59844275585672,173.06673811937046,218.25253145463685,268.5923736072689,1.5519583747052013,2.0409996348176036,1.2306495224459517,34.23262370380512,41.46829536351373,45.185793335266396,50.33984215263203,95.52563548789843,950.0,850.0,2.8,550.0,0.95,1.6,0.3567763782602101,-0.010624429233179506,-0.019331833716810243,-0.041612024431903955,-0.07819914978696856,-0.036231399043804714,5.942426135885326e+18,5.754566111625527e+18,5.025106469071277e+18,72.97118467684383,17.50749205354443,4.894828147916906,72.92899649952129,17.981826779706427,4.927026276454156,69.89049011799473,22.392662695791532,5.679391891306177,56.71879559897523,35.45757399374978,7.395262688246308,84.22760905020868,9.452895212143975,4.864311663369996,81.86362546940417,11.835578108086583,5.58494806729969,73.16527506341698,19.234336101892644,7.4476286610716755,89.99675646492189,1.6464363198148488,8.355818197450219,1.619318912796738,1.005617714674207,1.622764326255448,1.0037446158694026,1.8572890778813482,1.002169176559101,3.0086501423238112,1.0010944275294456,1.2390004130454675,1.0003099237403659,1.1416180916517338,1.0001458722202363,0.10291567133400732,131.59844275585672,173.06673811937046,218.25253145463685,268.5923736072689,95.52563548789843
FINAL_rank4_capture_only_capture_only_v6_trial_00295,2.431405692240012,0.7649402818268755,0.586437977686988,0.5124111905143788,0.05955037346549064,0.057581897523553506,0.03381796014649671,2.208945634211778e-07,323125.4569993752,17220735913497.422,5.404903749977541e+19,1.0,1.0,1.0,2.523045183491881,1.0,0.3942628378656801,0.011826233891533621,2.3938503406662277,1.3390068442485172,102.2103468870767,5.352094827932842e+18,5.500487576302817e+18,4.942561447685295e+18,-0.046449110773467084,4.131211988619335,4.461553210355828,2.611458204731958e-07,0.0006499204141261072,0.0006499204141261072,1.0,40,1,1.0,0.712719820969892,0.15680787353339026,0.23748962451214234,3.5088387470893756,0.19762806238316868,0.03923666525322429,1.366467251075311,1.8153719812432823,0.8184286452956879,capture_only,1.7539527485888655,0.252412179917068,0.04099798224575907,0.0,0.0,0.008216954037890299,0.3531059274580495,0.052085205721726736,0.04795338304261766,0.0782521239651181,0.0,1.8542721861415155,1.0019495344180795,56.284800172515276,35.38345195383362,7.943811270601433,71.19005704064087,20.607116741163892,8.040007071636616,71.07107042152832,18.75069526260085,5.236330612706683,4.94190370316414,67.60463263481088,24.098913565377675,6.120572720725351,2.1758810790860674,53.49656550181678,38.08375524590753,7.96368678851109,0.455992463764588,1.174017600706479,90.32551175619115,8.49947833396706,0.0009923091353163693,0.09861250157829445,91.41473535912905,8.486574678619336,7.746067330876479e-05,83.32698487717639,9.752700412704934,5.190862768512494,1.7294519416062053,80.52346630498981,12.687545272508627,6.0237921232393585,0.7651962992621976,39.41243412420823,49.43952871611865,11.140631634310393,0.00740552536274666,12.26582378465325,75.33007616691167,12.403540824252628,0.0005592241824636125,2.098735153406906,84.96035721867617,12.940854905267935,5.272264899489935e-05,138.7169428849367,182.55972963961003,230.57861052144722,286.3020646473853,1.5682651656669975,2.063930034018035,1.2416679240104753,36.50659599786002,43.84278675467331,48.01888088183719,55.723454125938076,103.74233500777527,950.0,850.0,2.8,550.0,0.95,1.6,0.3531059274580495,-0.01187738847816173,-0.021648521896856857,-0.046449110773467084,-0.0866866062675815,-0.04047302373701942,5.425316776056193e+18,5.233023273039391e+18,4.5052052530695035e+18,71.07107042152832,18.75069526260085,5.236330612706683,70.95324197917105,19.30973435552582,5.281762330485965,67.60463263481088,24.098913565377675,6.120572720725351,53.49656550181678,38.08375524590753,7.96368678851109,83.10638582415676,10.114061902623884,5.220566527525457,80.52346630498981,12.687545272508627,6.0237921232393585,71.19005704064087,20.607116741163892,8.040007071636616,90.32551175619115,1.174017600706479,8.49947833396706,1.7240847018124876,1.0022098055374216,1.7353676500273223,1.0013810400074001,2.020589894854137,1.0007656070248518,3.352383959683934,1.000382154462535,1.2718557854470158,1.0001632240472091,1.1641052010536432,1.0001206981066006,0.0782521239651181,138.7169428849367,182.55972963961003,230.57861052144722,286.3020646473853,103.74233500777527
FINAL_rank6_capture_only_capture_only_v6_trial_00252,2.461396325139212,0.8441152758644754,0.6085407721482817,0.49798140688850556,0.049215265757770466,0.0,0.031583975882473254,2.0237973105629333e-07,262330.59024693887,19329595233713.777,5.377172640234e+19,1.0,1.0,1.0,2.746912151191861,1.0,0.5227495142235908,4.196062508550932,2.4219206929844384,1.6676067489351183,106.25369959845571,4.819912199252598e+18,5.002999840501432e+18,4.310495626203063e+18,-0.06470328028085628,3.9300033299593777,5.702266332836643,9.994780363082279e-05,0.21225728076916486,0.21225728076916486,1.0,40,1,1.0,1.2447310427943976,0.190103623131042,0.27694106284731884,3.566602099205459,0.15896627520693848,0.06331323317472648,1.5962548951440865,1.73053257614822,0.8346261185592638,capture_only,2.0464869413691966,0.219589073660181,0.03673389686990774,0.0014531695111132037,0.0,0.019016408033684238,0.33874496804120097,0.04113064938611357,0.26169189063251497,0.016030200498676813,0.0,1.735707204644584,1.005545143825821,59.0853254045615,32.67064438372847,8.00911504585331,75.19848721116634,16.598418900007324,8.106100650052598,75.75255417184901,15.32881111624266,5.0992864227982775,3.819348289110046,70.89117987248144,21.527590919761035,6.1876741096377765,1.3935550981197666,55.64560919407758,36.048914075759185,8.028498394996738,0.2769783351665019,0.43633847680634996,90.22630544866863,9.336674656873663,0.0006814176513516176,0.0025301720428246347,90.61166279919377,9.385751900911732,5.5127851675134004e-05,87.14589210367477,6.556249280582926,4.9752638715509185,1.3225947441913974,84.04397939740045,9.46983312051353,6.002192316634314,0.48399516545169763,36.96126523720416,50.773557746349304,12.260090821858904,0.005086194587640476,2.4168840319903073,82.35286988309434,15.229766274071554,0.0004798108438069923,0.18033833588175396,83.92040137385611,15.899220336322637,3.995393950003895e-05,147.0334558827583,197.6068658130986,256.71610197466424,336.2569659063067,1.7016461676202421,2.286941865628403,1.3098397931404102,40.77975628430258,50.57340993034032,59.10923616156563,79.54086393164243,138.65010009320807,950.0,850.0,2.8,550.0,0.95,1.6,0.33874496804120097,-0.016191361945762095,-0.02971723278606682,-0.06470328028085628,-0.1225197568515645,-0.05659094919053391,4.910414550048122e+18,4.67211211944686e+18,3.7732078750850806e+18,75.75255417184901,15.32881111624266,5.0992864227982775,75.28618935761219,16.213919299279553,5.1778905720352295,70.89117987248144,21.527590919761035,6.1876741096377765,55.64560919407758,36.048914075759185,8.028498394996738,86.7827153227944,7.030104359945252,5.036786537783278,84.04397939740045,9.46983312051353,6.002192316634314,75.19848721116634,16.598418900007324,8.106100650052598,90.22630544866863,0.43633847680634996,9.336674656873663,1.55514129231315,1.0088281886235726,1.785514840171145,1.0079144520825531,2.5834118428656234,1.003578775314414,4.923034805621648,1.0005023456712456,1.3303070752325263,1.0002374062464416,1.229714818139929,1.0000974093633088,0.016030200498676813,147.0334558827583,197.6068658130986,256.71610197466424,336.2569659063067,138.65010009320807
FINAL_rank5_capture_only_capture_only_v6_trial_00291,2.483363814787287,0.7942722579162518,0.6346685576590787,0.49375259569276375,0.0329299455609296,0.045519815434544315,0.04296862511547741,7.16237826018531e-08,280704.62739587313,16440467009019.41,5.519994302272433e+19,1.0,1.0,1.0,1.9548054638320334,1.0,0.5479432278975669,0.050247338544045055,2.605402108586878,1.56454221149697,112.65464532996171,4.350496635437129e+18,4.538481813250371e+18,3.8620689575475584e+18,-0.07009057559113305,4.204164468941062,5.864339906030373,1.2333314250027515e-06,0.0030078106354856303,0.0030078106354856303,1.0,40,1,1.0,1.240896168428467,0.17472752989455662,0.2583189066782964,3.998429668771722,0.12172861092804485,0.04814666913926905,1.1291058167983699,1.6926261125115933,0.9013336938250702,capture_only,2.186774195669131,0.24264239945612368,0.05787184356019058,0.0,0.0,0.022118749086869758,0.33512195895507063,0.07964842687989289,0.2087011830556216,9.227243412329662e-05,0.0,2.0332293176513843,1.008267802565592,51.432681299744,38.338636968626425,9.915023341982598,70.00417719297198,19.988512585945294,9.878310393506874,69.3912714351912,18.899530074201056,6.284136384416907,5.425062106190835,64.40984438353237,25.909575462131187,7.77658290933415,1.9039972450022935,47.543834221353414,42.10975113266539,9.975400507490564,0.37101413849063947,0.5707659511933049,89.68435954760946,9.744101715669107,0.0007727855281323925,0.04640743654801223,90.17736442838286,9.776166933014778,6.120205434609379e-05,83.43051738269322,8.639639014837616,6.057129838410515,1.8727137640586362,79.98896392144896,11.943327515208978,7.409413973488302,0.658294589853745,38.12183023942026,48.96258866776706,12.909602958584188,0.005978134228481673,9.718976821904475,75.55200539993159,14.728565089069455,0.0004526890944963435,1.227614054856628,83.45046230602065,15.321883364883037,4.027423970012794e-05,153.88680155798616,204.78926989914902,265.2657613724826,349.9208928666757,1.7086876330922929,2.2738850201836303,1.3191332762139683,41.23215622802445,50.90246834116286,60.47649147333357,84.65513149419309,145.13162296752665,950.0,850.0,2.8,550.0,0.95,1.6,0.33512195895507063,-0.01837176234635642,-0.033118055570179855,-0.07009057559113305,-0.12875552425976683,-0.06068093856133595,4.4412064557653796e+18,4.205257014387905e+18,3.3740776664452347e+18,69.3912714351912,18.899530074201056,6.284136384416907,69.2813973343398,19.64960465819459,6.397091012495528,64.40984438353237,25.909575462131187,7.77658290933415,47.543834221353414,42.10975113266539,9.975400507490564,83.2460675440809,9.010198367003868,6.132792515185257,79.98896392144896,11.943327515208978,7.409413973488302,70.00417719297198,19.988512585945294,9.878310393506874,89.68435954760946,0.5707659511933049,9.744101715669107,1.8169073797151736,1.01307479449545,1.9318246132570989,1.0086198300451759,2.490236194815999,1.0043174660269112,4.533634221604379,1.0014563978693527,1.3878327523536484,1.0003931750437547,1.2752971565638955,1.0003605983837596,9.227243412329662e-05,153.88680155798616,204.78926989914902,265.2657613724826,349.9208928666757,145.13162296752665
