block,component,n,min,p10,median,p90,max
D2_Dv_coalescence_escape,score_total,250,2.066599783378614,2.0934014845683397,2.211006236742438,3.401865027347591,8.825813392660697
D2_Dv_coalescence_escape,score_swd,250,0.7181931737625405,0.8631789510918004,0.9060922778472994,1.3451848509735895,2.206051042250686
D2_Dv_coalescence_escape,score_Rd,250,0.03370234482890279,0.12961159422180332,0.18197971686195202,0.2639394468364962,0.6969830239061959
D2_Dv_coalescence_escape,score_Nd,250,0.31668143945999866,0.6046228677926268,0.6567742411325789,0.7228859290495331,0.8787041330017269
D2_Dv_coalescence_escape,score_Nd_drop,250,0.0,0.3946150347544919,0.49688631425604946,0.5366048463651838,0.5479414630857877
D2_Dv_coalescence_escape,score_pressure,250,0.0,0.0,0.07973814322959774,0.2709269784062014,0.44260763785693036
D2_Dv_coalescence_escape,score_partition,250,0.05153444694383969,0.06589332602755338,0.1029692517325831,0.2995332103279585,0.5555417054498202
D2_Dv_coalescence_escape,score_qgb,250,0.0,0.0,0.01749161521082085,0.4752763390032207,1.065976955251608
D2_Dv_coalescence_escape,score_radius_guard,250,0.0,0.0,0.0,0.0,3.2612059311234436
D2_Dv_coalescence_escape,score_radius_saturation,250,0.0,0.0,0.018181013942315444,0.21406582853921202,6.122140353116658
D2_Dv_coalescence_escape,score_rizk_prior,250,0.0747391663728372,0.11635230605360851,0.16783021770018758,0.1879289429535969,0.22260698070320953
