Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Steam pressure (atm)	System pressure (Pa)	O/M ratio (/)	BA2 (gas, at grain boundary) (g/m3)	BA2O (gas, at grain boundary) (g/m3)	BA2O2 (gas, at grain boundary) (g/m3)	BAMOO4 (gas, at grain boundary) (g/m3)	BAO (gas, at grain boundary) (g/m3)	CS (gas, at grain boundary) (g/m3)	CS2 (gas, at grain boundary) (g/m3)	CS2MOO4 (gas, at grain boundary) (g/m3)	CS2O (gas, at grain boundary) (g/m3)	CS2O2 (gas, at grain boundary) (g/m3)	CSO (gas, at grain boundary) (g/m3)	HE (gas, at grain boundary) (g/m3)	MO (gas, at grain boundary) (g/m3)	MO2 (gas, at grain boundary) (g/m3)	MO2O6 (gas, at grain boundary) (g/m3)	MO3O9 (gas, at grain boundary) (g/m3)	MO4O12 (gas, at grain boundary) (g/m3)	MO5O15 (gas, at grain boundary) (g/m3)	MOO (gas, at grain boundary) (g/m3)	MOO2 (gas, at grain boundary) (g/m3)	MOO3 (gas, at grain boundary) (g/m3)	O (gas, at grain boundary) (g/m3)	O2 (gas, at grain boundary) (g/m3)	O3 (gas, at grain boundary) (g/m3)	PD (gas, at grain boundary) (g/m3)	RH (gas, at grain boundary) (g/m3)	RU (gas, at grain boundary) (g/m3)	TC (gas, at grain boundary) (g/m3)	LIQUID (liquid, at grain boundary) (g/m3)	BA2MOO5 (condensed, at grain boundary) (g/m3)	BA3MOO6 (condensed, at grain boundary) (g/m3)	BAMO2O7 (condensed, at grain boundary) (g/m3)	BAMO3O10 (condensed, at grain boundary) (g/m3)	BAMOO4 (condensed, at grain boundary) (g/m3)	HCP_ORD (condensed, at grain boundary) (g/m3)	CS2MO2O7_S1 (condensed, at grain boundary) (g/m3)	CS2MO2O7_S2 (condensed, at grain boundary) (g/m3)	CS2MO3O10 (condensed, at grain boundary) (g/m3)	CS2MO4O13 (condensed, at grain boundary) (g/m3)	CS2MO5O16 (condensed, at grain boundary) (g/m3)	CS2MO7O22 (condensed, at grain boundary) (g/m3)	CS2MOO4_S1 (condensed, at grain boundary) (g/m3)	CS2MOO4_S2 (condensed, at grain boundary) (g/m3)	CS2O1 (condensed, at grain boundary) (g/m3)	CS2O2 (condensed, at grain boundary) (g/m3)	CS3O (condensed, at grain boundary) (g/m3)	CS4O (condensed, at grain boundary) (g/m3)	CS7O1 (condensed, at grain boundary) (g/m3)	CS7O2 (condensed, at grain boundary) (g/m3)	CSO2 (condensed, at grain boundary) (g/m3)	CSO3 (condensed, at grain boundary) (g/m3)	HALITE (condensed, at grain boundary) (g/m3)	MO2_C11A (condensed, at grain boundary) (g/m3)	MO4O11 (condensed, at grain boundary) (g/m3)	MO8O23 (condensed, at grain boundary) (g/m3)	MO9O26 (condensed, at grain boundary) (g/m3)	MOO2 (condensed, at grain boundary) (g/m3)	MOO3 (condensed, at grain boundary) (g/m3)	PEROVSKITE (condensed, at grain boundary) (g/m3)	ZRO2_TETR (condensed, at grain boundary) (g/m3)	A15_CR3SI (condensed, at grain boundary) (g/m3)	BCC_A2 (condensed, at grain boundary) (g/m3)	C14_LAVES (condensed, at grain boundary) (g/m3)	C15_LAVES (condensed, at grain boundary) (g/m3)	DIAMOND_A4 (condensed, at grain boundary) (g/m3)	DIS_SIG (condensed, at grain boundary) (g/m3)	FCC_A1 (condensed, at grain boundary) (g/m3)	HCP_A3 (condensed, at grain boundary) (g/m3)	HCP_DIS (condensed, at grain boundary) (g/m3)	MC_ETA (condensed, at grain boundary) (g/m3)	MO3TE4 (condensed, at grain boundary) (g/m3)	MOPD2 (condensed, at grain boundary) (g/m3)	MOTE2_A (condensed, at grain boundary) (g/m3)	MOTE2_B (condensed, at grain boundary) (g/m3)	ORTHORHOMBIC_A20 (condensed, at grain boundary) (g/m3)	SIGMA (condensed, at grain boundary) (g/m3)	TETRAGONAL_U (condensed, at grain boundary) (g/m3)	O (gas, matrix) (g/m3)	O2 (gas, matrix) (g/m3)	C1_MO2 (condensed, matrix) (g/m3)	PU2O3 (condensed, matrix) (g/m3)	PUO152 (condensed, matrix) (g/m3)	M2O3_C (condensed, matrix) (g/m3)	U3O8_S1 (condensed, matrix) (g/m3)	U3O8_S2 (condensed, matrix) (g/m3)	U3O8_S3 (condensed, matrix) (g/m3)	U3O8_S4 (condensed, matrix) (g/m3)	U4O9_S1 (condensed, matrix) (g/m3)	U4O9_S2 (condensed, matrix) (g/m3)	U4O9_S3 (condensed, matrix) (g/m3)	UO3 (condensed, matrix) (g/m3)	BA+2 (liquid, derived) (-)	CS+ (liquid, derived) (-)	MO+4 (liquid, derived) (-)	PD+2 (liquid, derived) (-)	RH+3 (liquid, derived) (-)	RU+4 (liquid, derived) (-)	TC+4 (liquid, derived) (-)	MOO4-2 (liquid, derived) (-)	O-2 (liquid, derived) (-)	VA (liquid, derived) (-)	CSO2 (liquid, derived) (-)	MOO3 (liquid, derived) (-)	O (liquid, derived) (-)	
0	2178	3.45e+19	0	0	100000	1.975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.252252	2178	3.45e+19	0	0	100000	1.97456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.504504	2178	3.45e+19	0	0	100000	1.97412	1.357e-10	1.187e-05	8.742e-06	9.795e-09	0.0004555	0.2743	0.001127	2.997e-06	1.665e-05	6.384e-12	2.408e-06	0	6.773e-07	9.285e-16	2.514e-18	7.435e-26	1.195e-30	1.494e-30	4.66e-10	8.254e-10	4.382e-11	5.057e-05	1.598e-11	4.621e-23	0.000483	3.879e-09	1.731e-09	6.444e-10	1.907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9983	0.001687	1.1e-12	1.1e-12	1.1e-12	1.1e-12	1.1e-12	0.2197	0.7798	0.0004906	3.564e-12	1.418e-09	9.492e-08	
0.756756	2178	3.45e+19	0	0	100000	1.97368	2.159e-10	1.852e-05	1.337e-05	1.4e-08	0.0006883	0.4094	0.001682	4.148e-06	2.436e-05	9.163e-12	3.525e-06	0	9.377e-07	1.394e-15	3.356e-18	9.386e-26	1.784e-30	2.23e-30	6.841e-10	1.188e-09	6.186e-11	7.635e-05	2.294e-11	6.504e-23	0.00072	5.777e-09	2.581e-09	9.617e-10	2.855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9983	0.001652	1.1e-12	1.1e-12	1.1e-12	1.1e-12	1.1e-12	0.2174	0.7821	0.0005133	3.462e-12	1.343e-09	9.401e-08	
1.009008	2178	3.45e+19	0	0	100000	1.97324	3.055e-10	2.57e-05	1.82e-05	1.782e-08	0.0009259	0.5442	0.002236	5.118e-06	3.176e-05	1.172e-11	4.595e-06	0	1.157e-06	1.864e-15	3.995e-18	1.057e-25	2.371e-30	2.964e-30	8.945e-10	1.524e-09	7.782e-11	0.0001026	2.933e-11	8.158e-23	0.0009559	7.661e-09	3.427e-09	1.278e-09	3.799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9984	0.001618	1.1e-12	1.1e-12	1.1e-12	1.1e-12	1.1e-12	0.2151	0.7844	0.0005366	3.363e-12	1.274e-09	9.312e-08	
1.26126	2178	3.45e+19	0	0	100000	1.9728	4.055e-10	3.347e-05	2.325e-05	2.13e-08	0.001169	0.679	0.00279	5.933e-06	3.888e-05	1.407e-11	5.625e-06	0	1.342e-06	2.34e-15	4.47e-18	1.12e-25	2.959e-30	3.699e-30	1.098e-09	1.836e-09	9.195e-11	0.0001295	3.523e-11	9.613e-23	0.001191	9.539e-09	4.273e-09	1.595e-09	4.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9984	0.001585	1.1e-12	1.1e-12	1.1e-12	1.1e-12	1.1e-12	0.2128	0.7867	0.0005607	3.269e-12	1.209e-09	9.226e-08	
1.513512	2178	3.45e+19	0	0	100000	1.97236	5.165e-10	4.183e-05	2.852e-05	2.448e-08	0.001418	0.814	0.003344	6.612e-06	4.574e-05	1.624e-11	6.617e-06	0	1.496e-06	2.821e-15	4.811e-18	1.142e-25	3.548e-30	4.434e-30	1.296e-09	2.125e-09	1.044e-10	0.0001569	4.066e-11	1.089e-22	0.001426	1.141e-08	5.117e-09	1.912e-09	5.678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9984	0.001553	1.1e-12	1.1e-12	1.1e-12	1.1e-12	1.1e-12	0.2105	0.7889	0.0005856	3.179e-12	1.148e-09	9.143e-08	
1.765764	2178	3.45e+19	0	0	100000	1.97192	6.393e-10	5.082e-05	3.401e-05	2.736e-08	0.001671	0.949	0.003899	7.173e-06	5.233e-05	1.824e-11	7.572e-06	0	1.623e-06	3.307e-15	5.042e-18	1.135e-25	4.136e-30	5.17e-30	1.487e-09	2.393e-09	1.155e-10	0.0001849	4.567e-11	1.2e-22	0.001661	1.327e-08	5.961e-09	2.229e-09	6.613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9985	0.001523	1.1e-12	1.1e-12	1.1e-12	1.1e-12	1.1e-12	0.2083	0.7911	0.0006112	3.092e-12	1.091e-09	9.062e-08	
2.018016	2178	3.45e+19	0	0	100000	1.97148	7.747e-10	6.045e-05	3.971e-05	2.998e-08	0.001931	1.084	0.004454	7.631e-06	5.869e-05	2.008e-11	8.492e-06	0	1.727e-06	3.799e-15	5.183e-18	1.107e-25	4.725e-30	5.907e-30	1.672e-09	2.642e-09	1.251e-10	0.0002135	5.028e-11	1.297e-22	0.001895	1.513e-08	6.803e-09	2.546e-09	7.544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9985	0.001494	1.1e-12	1.1e-12	1.1e-12	1.1e-12	1.1e-12	0.2061	0.7933	0.0006376	3.009e-12	1.037e-09	8.984e-08	
2.270268	2178	3.45e+19	0	0	100000	1.97104	9.234e-10	7.075e-05	4.563e-05	3.234e-08	0.002195	1.219	0.00501	7.998e-06	6.481e-05	2.177e-11	9.378e-06	0	1.811e-06	4.296e-15	5.251e-18	1.064e-25	5.315e-30	6.644e-30	1.852e-09	2.872e-09	1.336e-10	0.0002427	5.452e-11	1.381e-22	0.002129	1.698e-08	7.644e-09	2.864e-09	8.472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9985	0.001465	1.1e-12	1.1e-12	1.1e-12	1.1e-12	1.1e-12	0.2039	0.7955	0.0006649	2.929e-12	9.863e-10	8.907e-08	
