label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D2_xe_scale,Dg_D1_scale,Dg_D3_scale,Dv_D1_scale,Dv_D2_scale,b_bulk_scale,b_dislocation_scale,gd_bubble_scale,gd_line_scale,gd_line_alpha,family,score_swig_diag,score_Rd_exp,score_rizk_prior,score_partition,score_qgb,score_radius_guard,score_radius_saturation,score_Nd_coalescence_shape,score_Nd_highT_low_target,score_Nd_early_exp,score_Nd_highT_abs_anchor,score_highT_pressure,score_rizk_fig8_dislocation_radius,score_rizk_fig8_bulk_radius,score_rizk_fig6_dislocation_burnup,score_base_highT_guard,p_d_over_eq_1p3_1600K,p_b_over_eq_1p3_1600K,bulk_gas_1p3_1600K,disl_gas_1p3_1600K,qgb_gas_1p3_1600K,bulk_gas_3p2_1600K,disl_gas_3p2_1600K,qgb_gas_3p2_1600K,v13_bulk_gas_1p1_1200,v13_disl_gas_1p1_1200,v13_qgb_gas_1p1_1200,v13_matrix_gas_1p1_1200,v13_bulk_gas_1p1_1500,v13_disl_gas_1p1_1500,v13_qgb_gas_1p1_1500,v13_matrix_gas_1p1_1500,v13_bulk_gas_1p1_1600,v13_disl_gas_1p1_1600,v13_qgb_gas_1p1_1600,v13_matrix_gas_1p1_1600,v13_bulk_gas_1p1_1800,v13_disl_gas_1p1_1800,v13_qgb_gas_1p1_1800,v13_matrix_gas_1p1_1800,v13_bulk_gas_1p1_1900,v13_disl_gas_1p1_1900,v13_qgb_gas_1p1_1900,v13_matrix_gas_1p1_1900,v13_bulk_gas_1p1_2000,v13_disl_gas_1p1_2000,v13_qgb_gas_1p1_2000,v13_matrix_gas_1p1_2000,v13_bulk_gas_3p2_1200,v13_disl_gas_3p2_1200,v13_qgb_gas_3p2_1200,v13_matrix_gas_3p2_1200,v13_bulk_gas_3p2_1500,v13_disl_gas_3p2_1500,v13_qgb_gas_3p2_1500,v13_matrix_gas_3p2_1500,v13_bulk_gas_3p2_1600,v13_disl_gas_3p2_1600,v13_qgb_gas_3p2_1600,v13_matrix_gas_3p2_1600,v13_bulk_gas_3p2_1800,v13_disl_gas_3p2_1800,v13_qgb_gas_3p2_1800,v13_matrix_gas_3p2_1800,v13_bulk_gas_3p2_1900,v13_disl_gas_3p2_1900,v13_qgb_gas_3p2_1900,v13_matrix_gas_3p2_1900,v13_bulk_gas_3p2_2000,v13_disl_gas_3p2_2000,v13_qgb_gas_3p2_2000,v13_matrix_gas_3p2_2000,v13_qgb_delta_1600_1200_1p1,v13_qgb_delta_2000_1600_1p1,v13_qgb_delta_1600_1200_3p2,v13_qgb_delta_2000_1600_3p2,v13_disl_min_target_1p1_1800,v13_disl_min_err_1p1_1800,v13_disl_min_target_1p1_1900,v13_disl_min_err_1p1_1900,v13_disl_min_target_1p1_2000,v13_disl_min_err_1p1_2000,v13_disl_min_target_3p2_1800,v13_disl_min_err_3p2_1800,v13_disl_min_target_3p2_1900,v13_disl_min_err_3p2_1900,v13_disl_min_target_3p2_2000,v13_disl_min_err_3p2_2000,v13_disl_delta_1900_1800_1p1,v13_disl_delta_2000_1900_1p1,v13_disl_delta_1900_1800_3p2,v13_disl_delta_2000_1900_3p2,Rd_1p3_1700K,Rd_1p3_1800K,Rd_1p3_1900K,Rd_1p3_2000K,Rd_ratio_2000_over_1800,Rd_ratio_2000_over_1700,Rd_ratio_2000_over_1900,Rd_inc_1600_1700_nm,Rd_inc_1700_1800_nm,Rd_inc_1800_1900_nm,Rd_inc_1900_2000_nm,Rd_inc_1800_2000_nm,Rd2000_max_nm,Rd1900_soft_max_nm,Rd_ratio_max,Rd_post1800_delta_max_nm,Rd_last_increment_factor_max,Rd_1900_2000_ratio_max,score_Nd_coalescence_shape_terms_rmse,Nd_drop_1600_over_1400_log10_v7,Nd_drop_1650_over_1400_log10_v7,Nd_drop_1725_over_1400_log10_v7,Nd_drop_1800_over_1400_log10_v7,Nd_drop_1725_over_1550_log10_v7,Nd_1p3_1550K_v7,Nd_1p3_1650K_v7,Nd_1p3_1800K_v7,Nd_1400_1p3,Nd_1900_1p3,Nd_2000_1p3,Nd_logdrop_1900_over_1400,Nd_logdrop_2000_over_1400,Nd_logdrop_target_1900_over_1400,Nd_logdrop_target_2000_over_1400,pd_over_eq_highT_3p2_1700,pb_over_eq_highT_3p2_1700,pd_over_eq_highT_3p2_1800,pb_over_eq_highT_3p2_1800,pd_over_eq_highT_3p2_1900,pb_over_eq_highT_3p2_1900,pd_over_eq_highT_3p2_2000,pb_over_eq_highT_3p2_2000,pd_over_eq_highT_1p1_1900,pb_over_eq_highT_1p1_1900,pd_over_eq_highT_1p1_2000,pb_over_eq_highT_1p1_2000,rizk_fig8_Rd_pred_1033K,rizk_fig8_Rd_target_1033K,rizk_fig8_Rd_logerr_1033K,rizk_fig8_Rd_pred_1333K,rizk_fig8_Rd_target_1333K,rizk_fig8_Rd_logerr_1333K,rizk_fig8_Rd_pred_1589K,rizk_fig8_Rd_target_1589K,rizk_fig8_Rd_logerr_1589K,rizk_fig8_Rd_pred_1742K,rizk_fig8_Rd_target_1742K,rizk_fig8_Rd_logerr_1742K,rizk_fig8_Rd_pred_1836K,rizk_fig8_Rd_target_1836K,rizk_fig8_Rd_logerr_1836K,rizk_fig8_Rd_pred_1900K,rizk_fig8_Rd_target_1900K,rizk_fig8_Rd_logerr_1900K,rizk_fig8_Rd_pred_1961K,rizk_fig8_Rd_target_1961K,rizk_fig8_Rd_logerr_1961K,rizk_fig8_Rb_pred_1061K,rizk_fig8_Rb_target_1061K,rizk_fig8_Rb_logerr_1061K,rizk_fig8_Rb_pred_1539K,rizk_fig8_Rb_target_1539K,rizk_fig8_Rb_logerr_1539K,rizk_fig8_Rb_pred_1800K,rizk_fig8_Rb_target_1800K,rizk_fig8_Rb_logerr_1800K,rizk_fig8_Rb_pred_1989K,rizk_fig8_Rb_target_1989K,rizk_fig8_Rb_logerr_1989K,rizk_fig6_Sd_pred_1p1FIMA,rizk_fig6_Sd_target_1p1FIMA,rizk_fig6_Sd_err_scaled_1p1FIMA,rizk_fig6_Sd_pred_3p2FIMA,rizk_fig6_Sd_target_3p2FIMA,rizk_fig6_Sd_err_scaled_3p2FIMA,rizk_fig6_Sd_pred_6p0FIMA,rizk_fig6_Sd_target_6p0FIMA,rizk_fig6_Sd_err_scaled_6p0FIMA,rhoFT2_enabled,rho_scale,rho_shape,rhoFT2_base_1025_1p1FIMA,rhoFT2_factor_1025K,rhoFT2_eff_1p1FIMA_1025K,rhoFT2_factor_1300K,rhoFT2_eff_1p1FIMA_1300K,rhoFT2_factor_1600K,rhoFT2_eff_1p1FIMA_1600K,rhoFT2_factor_1800K,rhoFT2_eff_1p1FIMA_1800K,rhoFT2_factor_2000K,rhoFT2_eff_1p1FIMA_2000K,rhoFT2_base_1025_1p3FIMA,rhoFT2_eff_1p3FIMA_1025K,rhoFT2_eff_1p3FIMA_1300K,rhoFT2_eff_1p3FIMA_1600K,rhoFT2_eff_1p3FIMA_1800K,rhoFT2_eff_1p3FIMA_2000K,rhoFT2_base_1025_3p2FIMA,rhoFT2_eff_3p2FIMA_1025K,rhoFT2_eff_3p2FIMA_1300K,rhoFT2_eff_3p2FIMA_1600K,rhoFT2_eff_3p2FIMA_1800K,rhoFT2_eff_3p2FIMA_2000K,rhoFT2_base_1025_6p0FIMA,rhoFT2_eff_6p0FIMA_1025K,rhoFT2_eff_6p0FIMA_1300K,rhoFT2_eff_6p0FIMA_1600K,rhoFT2_eff_6p0FIMA_1800K,rhoFT2_eff_6p0FIMA_2000K
FINAL_rank1_capture_only_capture_only_v13_trial_00313,1.7509536732561817,0.9798890522087154,0.4886381731648899,0.42134910903636313,0.23949955700941525,0.019877961078004144,0.1888280177377224,1.3218754498879861e-06,310150.5887936536,30000000000000.0,7.723213170326295e+19,1.0,1.0,1.0,5.557479785740895,1.0,1.810406011139075,0.06520556458659213,1.8509946235162784,2.053593871996293,64.64721952797126,1.6355619407662395e+19,1.7604855353382322e+19,1.2129242784551088e+19,-0.16179877195075706,7.329060072845732,3.7873086566874443,3.060242284681158e-06,0.008857627250534324,0.008857627250534324,1.0,40,1,1.0,0.5995127837129107,1.2414173915978597,0.20259337191395227,0.5741584772985322,0.06249108119902641,0.2093531837412065,9.648025826928448,3.3970468410787054,0.10240225540297634,capture_only,2.327304678627404,0.23949955700941525,0.21198876463601202,0.0,0.00022150664919603713,0.013665202871456339,0.20243239872479848,0.2618772150287564,0.0,0.2649640688484374,0.009041434749151056,0.9821062321567013,0.18436208199604898,0.19855423348632745,1.7542982614972253,0.0,1.0384708360537336,1.0187948847461823,71.71758892997141,24.60372588506971,3.565331025368596,49.90852740641289,47.02384966167739,3.023019191639941,76.55075054407737,19.745873496075077,3.411471269331271,0.2919046905162894,73.5055519852591,22.89244273697748,3.3540937772122588,0.24791150055117092,65.65556856808446,30.598353497024608,3.6062797104385194,0.13979822445241696,17.182724021889904,78.10685699885748,4.69903854497334,0.01138043427927905,4.659185534733941,90.41990201718609,4.918149427102207,0.0027630209777695165,1.2336105603629357,93.74354058352066,5.022150664919604,0.0006981911968257159,63.34140433711903,33.6009120006124,2.96140060608202,0.09628305618652831,59.797327173131464,37.2441623487027,2.8778709617522216,0.08063951641363074,49.90852740641289,47.02384966167739,3.023019191639941,0.044603740269786724,7.5261208408411,88.93755959823004,3.533494178827467,0.0028253821013921954,1.7764721279152946,94.60679288587959,3.6161450216940216,0.0005899645111118903,0.4271302413404123,95.92631445317974,3.646421840285525,0.0001334651943079085,0.19480844110724815,1.4158709544810844,0.06161858555792099,0.6234026486455839,55.0,0.0,78.0,0.0,84.0,0.0,45.0,0.0,70.0,0.0,80.0,0.0,12.313045018328609,3.323638566334566,5.669233287649547,1.319521567300157,93.60895971729488,142.11585319283623,222.14295749657225,394.9028056711446,2.7787385910796534,4.218643245943301,1.7776967144107556,28.96174018932362,48.50689347554135,80.02710430373602,172.75984817457237,252.7869524783084,1400.0,1300.0,12.0,350.0,0.75,1.35,0.2618772150287564,-0.031965465085963395,-0.06545815279689313,-0.16179877195075706,-0.326882249780151,-0.14792597893146373,1.7051385304251468e+19,1.514168852958984e+19,8.293736080968365e+18,1.7604855353382322e+19,3.7949405851657354e+18,1.0417825841104797e+18,-0.6664274803030427,-1.2278553682453779,-0.2,-0.35,1.736858434079123,1.0083516803202175,2.5355520117157595,1.001304582685933,4.581308204530637,1.0003220793213217,10.041606885455893,1.000244421663576,1.30900783203186,1.0005813235708794,1.441621568767894,1.0004581209647907,31.40740118019617,54.90035634986601,-0.24254316140943422,40.746251194735045,62.35471248401371,-0.18478162282455213,62.44638199283804,79.02146884249838,-0.10223781667515079,111.17390865654755,128.1481728359008,-0.06170954342920318,165.93323622161716,288.0994861369096,-0.23960910027612967,222.14295749657225,387.4383570341449,-0.24157006483666787,308.2090258217843,408.3316765847392,-0.12216771912496614,11.889464048686888,7.390267027041024,0.20650214728544375,16.367129440828226,8.818447970098383,0.26858036022019777,33.9318910234102,21.99481236607679,0.18828780210191495,42.674898495911265,52.06772800089737,-0.08639613065115803,1.8271899592636587,2.6,-0.19320251018408535,7.329060072845732,3.85,0.869765018211433,18.313071686984667,5.2,3.278267921746167,1,1.6347699288442505,saturating_RayBlank,30000000000000.0,1.6347699288442505,49043097865327.516,1.9351899582225314,58055698746675.94,2.0162498155179183,60487494465537.55,2.03133737361729,60940121208518.7,2.0369911489319663,61109734467958.99,30000000000000.0,49043097865327.516,58055698746675.94,60487494465537.55,60940121208518.7,61109734467958.99,128000000000000.05,209250550892064.16,247704314652484.1,258079976386293.62,260011183823013.25,260734867063291.78,576000000000000.0,941627479014288.2,1114669415936178.1,1161359893738321.0,1170050327203559.2,1173306901784812.5
FINAL_rank3_capture_only_capture_only_v13_trial_00315,1.755014093649202,1.0078442920006296,0.4869508875557947,0.4194923433325634,0.23109363822649323,0.04179379022689185,0.18901116175958704,1.2237719049023795e-06,307903.41458048334,30000000000000.0,7.726470772402514e+19,1.0,1.0,1.0,5.582925082878994,1.0,1.7292322188360543,0.06682046174100958,1.9731901822046656,1.9874761094421636,66.23500767338577,1.6211289585046057e+19,1.7512174203310858e+19,1.2004488120598702e+19,-0.16399642256875793,7.625403712070714,3.440121884288376,3.12411018071919e-06,0.009403067339271128,0.009403067339271128,1.0,40,1,1.0,0.6487649879949,1.2390401449349902,0.20300217340149487,0.5345236427650204,0.07034408073421378,0.20802881547930493,9.663671309934841,3.3855930706953172,0.09609465304310447,capture_only,2.304030386485016,0.23109363822649323,0.20826230222135364,0.0,0.0,0.0,0.18392301577064532,0.2612602903801597,0.0,0.2670490619471997,0.010437829432198913,0.9159656540731764,0.1840107645169812,0.1967349568108231,1.7788220339689313,0.0,1.0896048108821972,1.0186398113525794,69.4396814219761,26.78189044686965,3.661258633914269,45.8367361838026,51.038917618473654,3.0783268918471967,75.0319536490733,21.16522002555638,3.4900341953203133,0.31279213005001616,71.76465179487354,24.543851985053863,3.428197746186671,0.2632984738859203,63.113479282082984,33.049379026859725,3.693190596004602,0.14395109505269688,14.619706506052623,80.63927337903526,4.730073618472086,0.010946496440009746,3.773210400257396,91.31319832847649,4.911023376599016,0.0025678946671292852,0.9784880870196431,94.02305994587721,4.997812612299438,0.0006393548037360491,60.60125384947909,36.27493384126385,3.020366356856909,0.10344595240016441,56.72430589677407,40.258451389226536,2.931272357160362,0.08597035683902592,45.8367361838026,51.038917618473654,3.0783268918471967,0.046019305876559856,5.867381880676813,90.59554298119006,3.534416768511347,0.002658369621788352,1.3554794427702639,95.03670980226529,3.6072646375573414,0.0005461174071110905,0.3248758524281936,96.03824769252215,3.636753369225519,0.00012308582414092677,0.20315640068428875,1.3046220162948363,0.05796053499028764,0.5584264773783225,55.0,0.0,78.0,0.0,84.0,0.0,45.0,0.0,70.0,0.0,80.0,0.0,10.67392494944123,2.709861617400719,4.441166821075228,1.0015378902568557,95.82063973602915,143.16523715888582,218.57663086295076,378.9034963831576,2.6466166221807583,3.954299380874281,1.7335041485781386,29.585632062643384,47.344597422856666,75.41139370406495,160.3268655202068,235.73825922427176,1400.0,1300.0,12.0,350.0,0.75,1.35,0.2612602903801597,-0.033522505017997896,-0.06807207315416965,-0.16399642256875793,-0.32218735707357976,-0.1494618871554293,1.6935792864093596e+19,1.4971592421123455e+19,8.339743848384057e+18,1.7512174203310858e+19,4.0070376423566766e+18,1.1793218210319598e+18,-0.6405166465086924,-1.171707734369742,-0.2,-0.35,1.8055705808336682,1.0068012171771619,2.498938119256102,1.0010195007601608,4.386060810718578,1.0003655810235799,9.586688220861989,1.0003189947158515,1.2999815332440472,1.000771243713696,1.3992194265147262,1.0007452266374348,31.959752343279707,54.90035634986601,-0.2349717580997848,41.15256596598135,62.35471248401371,-0.18047236130005398,63.923145596933665,79.02146884249838,-0.09208695999082986,113.204555264559,128.1481728359008,-0.05384851541962099,165.82940662286674,288.0994861369096,-0.23988093692947396,218.57663086295076,387.4383570341449,-0.24859888691083953,298.5023044658816,408.3316765847392,-0.13606538362282244,11.758856610698343,7.390267027041024,0.20170496382679207,16.27855216408761,8.818447970098383,0.2662236186837298,33.5176767634019,21.99481236607679,0.18295364697493652,41.461139881922676,52.06772800089737,-0.09892738956713946,1.9261137100877963,2.6,-0.16847157247805095,7.625403712070714,3.85,0.9438509280176784,18.43422358097191,5.2,3.3085558952429777,1,1.6366032675668596,saturating_RayBlank,30000000000000.0,1.6366032675668596,49098098027005.79,1.9373602077624907,58120806232874.72,2.0185109709233493,60555329127700.48,2.03361544920458,61008463476137.4,2.039275565035454,61178266951063.62,30000000000000.0,49098098027005.79,58120806232874.72,60555329127700.48,61008463476137.4,61178266951063.62,128000000000000.05,209485218248558.1,247982106593598.9,258369404278188.8,260302777498186.3,261027272324538.2,576000000000000.0,942683482118511.1,1115919479671194.6,1162662319251849.2,1171362498741838.0,1174622725460421.5
FINAL_rank2_capture_only_capture_only_v13_trial_00307,1.7571200374024432,0.9819640779233321,0.4854251880281396,0.42640603415054823,0.2345173008390347,0.018338743279582643,0.18464823594396462,1.12043377310014e-06,309907.5477619969,30000000000000.0,7.649239169814916e+19,1.0,1.0,1.0,5.702810784530221,1.0,1.761124773648617,0.0999793054153159,1.8404985158458427,2.1273722595014384,65.36202742148853,1.5735129365474804e+19,1.6875478659494398e+19,1.179993387298383e+19,-0.15537652657461176,7.330531191065656,3.9742855997615316,4.695176667875303e-06,0.013625827436625576,0.013625827436625576,1.0,40,1,1.0,0.5648504760807274,1.2437689690129692,0.20981293691430428,0.6093496473774126,0.06107622155529242,0.20541336597520002,9.120142295303982,3.4128355293158785,0.10807109983461173,capture_only,2.38492491877964,0.2345173008390347,0.21129673914761102,0.0,0.0011923920830689033,0.012675906666067105,0.20102419076636333,0.2664247556100576,0.0,0.2808177449460642,0.0040736814768893535,0.9744951473995088,0.1803879426860322,0.2127159135250978,1.772907785248672,0.0,1.0315514393354952,1.0212861517671739,72.1904787619604,24.086378891712958,3.6052979130710843,50.74468414003261,46.154101514469424,3.054808726924825,76.56952989421141,19.667194061427406,3.4651221397470957,0.29815390461405955,73.68898788820374,22.65591745095205,3.401504365324481,0.2535902955197315,66.21092968783866,29.993425027191826,3.6502342244601187,0.14541106050941957,18.127130023111658,77.08579064167745,4.774936179816024,0.012143155394885707,4.982972281131967,90.00325577972424,5.010791319239819,0.0029806199039713044,1.3110585579078164,93.56943669654075,5.1187498893756045,0.0007548561758377209,63.53034313461803,33.37166441554412,2.999735494227367,0.09825695561048567,60.202658499571676,36.80370301732547,2.911193654897931,0.08244482820492034,50.74468414003261,46.154101514469424,3.054808726924825,0.04640561857314588,7.897871872012633,88.51091891032513,3.588172987841422,0.0030362298208187776,1.843929056457596,94.48066881726956,3.674765011444599,0.0006371148282325437,0.4371815185664126,95.85687889472501,3.705795315868363,0.00014427084023930915,0.18511208471302298,1.4685156649154858,0.05507323269745834,0.650986588943538,55.0,0.0,78.0,0.0,84.0,0.0,45.0,0.0,70.0,0.0,80.0,0.0,12.917465138046794,3.5661809168165064,5.969749906944429,1.376210077455454,94.26705540904257,143.0169367292032,223.46112866667423,396.18694797297024,2.770209997737081,4.202814506657074,1.7729568911465692,28.905027987554035,48.749881320160625,80.44419193747103,172.72581930629602,253.17001124376705,1400.0,1300.0,12.0,350.0,0.75,1.35,0.2664247556100576,-0.03038578230300675,-0.062370717340140325,-0.15537652657461176,-0.31711028981063877,-0.14223036589434343,1.6372309255605578e+19,1.4617913334789825e+19,8.131034621747231e+18,1.6875478659494398e+19,3.7512999483203717e+18,1.0407531554883951e+18,-0.6530743090195781,-1.2099083637840953,-0.2,-0.35,1.7097164796472142,1.0099118408334384,2.5073851603548043,1.0015528646882952,4.542093760073182,1.000361209599592,9.993035794247277,1.0002695968675464,1.3042067791836975,1.0006583085539316,1.4343205134213932,1.000522681287117,31.891761016754423,54.90035634986601,-0.2358966623826687,41.42729497565005,62.35471248401371,-0.1775827043852014,63.17337342054839,79.02146884249838,-0.09721102945873025,111.88781702289583,128.1481728359008,-0.058929617632678774,166.9952600700821,288.0994861369096,-0.23683833918692873,223.46112866667423,387.4383570341449,-0.23900062639108488,309.5748587256421,408.3316765847392,-0.12024738848946598,12.34597765717955,7.390267027041024,0.22286535595940576,17.12867034849567,8.818447970098383,0.2883314943267043,35.700190295846895,21.99481236607679,0.21035026963831804,45.06001731913192,52.06772800089737,-0.062777273139023,1.8198628903239609,2.6,-0.1950342774190098,7.330531191065656,3.85,0.8701327977664141,18.46157643788424,5.2,3.31539410947106,1,1.5668761227330603,saturating_RayBlank,30000000000000.0,1.5668761227330603,47006283681991.81,1.8548193754918036,55644581264754.11,1.932512727117182,57975381813515.46,1.9469736822149837,58409210466449.51,1.9523926499776996,58571779499330.984,30000000000000.0,47006283681991.81,55644581264754.11,57975381813515.46,58409210466449.51,58571779499330.984,128000000000000.05,200560143709831.78,237416880062950.97,247361629070999.38,249212631323518.0,249906259197145.62,576000000000000.0,902520646694242.8,1068375960283278.9,1113127330819496.9,1121456840955830.6,1124578166387155.0
FINAL_rank4_capture_only_capture_only_v13_trial_00312,1.7585445595409848,1.012507443794204,0.48423952222747557,0.41452823869702643,0.22929625337152906,0.05475263796605554,0.18945626075936567,1.2197540944929398e-06,309055.13498441776,30000000000000.0,7.734393524035856e+19,1.0,1.0,1.0,5.548857189973049,1.0,1.754891662805481,0.08734399004163212,2.0050683604647443,1.9888239222395636,66.75601014320026,1.609049700120175e+19,1.7463299791416324e+19,1.1795417218557616e+19,-0.1704130025472236,7.697471409609393,3.4288331020981597,4.117887711790988e-06,0.012437464536815344,0.012437464536815344,1.0,40,1,1.0,0.6239833902522556,1.2057429666223696,0.2078393824825722,0.4630404664065239,0.0650375333892212,0.20692102112820315,9.45362544898641,3.5756344552693657,0.10549907602060951,capture_only,2.2971450646080873,0.22929625337152906,0.21003429246854832,0.0,0.0,0.001405780267626,0.19221046509906728,0.2565758574038222,0.0,0.26816734385500957,0.0035663883887756577,0.9568271998195903,0.1804242632537551,0.1980978427551818,1.7847831586530425,0.0,1.0889757420577928,1.0190799481071051,69.25470917412699,27.014465628878973,3.6134494934341364,45.404093549331876,51.52104114603461,3.02877930603402,74.74288983896172,21.492745124011915,3.4517852030317777,0.3125798339945758,71.4826791513464,24.865904942017096,3.3885608906017466,0.2628550160347694,62.70961663502033,33.49805798979662,3.6474544721486217,0.14487090303443567,14.048385959579822,81.28633684022081,4.654123275239733,0.011153924959633583,3.5682230447637346,91.60484562356001,4.8243303690888855,0.002600962587368873,0.9140527361952909,94.17948584436031,4.905817183053618,0.0006442363907750207,60.255968542312814,36.663865974947704,2.9771536092862916,0.10301187345319437,56.44592228532787,40.58067297413873,2.8879454652657515,0.08545927526766184,45.404093549331876,51.52104114603461,3.02877930603402,0.04608599859951584,5.462072400912055,91.07844326133045,3.4568254885218193,0.0026588492356895374,1.2231909824435805,95.25687478121638,3.5193920324353827,0.0005422039046379553,0.2874316640662775,96.16942322096914,3.5430232148983185,0.00012190006629869719,0.195669269116844,1.2583627109049966,0.05162569674772843,0.5142439088642985,55.0,0.0,78.0,0.0,84.0,0.0,45.0,0.0,70.0,0.0,80.0,0.0,10.318508783339198,2.5746402208003047,4.178431519885933,0.9125484397527543,96.84222892031579,145.10305158921074,222.65223734166293,389.54713799308877,2.684624022214939,4.022492484282016,1.749576571266712,30.086218777115533,48.260822668894946,77.54918575245219,166.89490065142584,244.44408640387803,1400.0,1300.0,12.0,350.0,0.75,1.35,0.2565758574038222,-0.03555685083746474,-0.07138783415565335,-0.1704130025472236,-0.3328591566949399,-0.15467155761328008,1.6841658801209459e+19,1.4816256072965143e+19,8.114600677215744e+18,1.7463299791416324e+19,3.828294847355145e+18,1.0934603826989197e+18,-0.6591209307196227,-1.2033232568952354,-0.2,-0.35,1.83777513570218,1.006681627968041,2.556535910145447,1.0009465176935992,4.510919703251444,1.0003511130333604,9.866957792743076,1.000312157563713,1.3109288631492304,1.000542895224959,1.4216143402301464,1.000472845508268,31.88546635147079,54.90035634986601,-0.2359823901108813,40.85120582488725,62.35471248401371,-0.18366440070692086,64.4027408828438,79.02146884249838,-0.08884074737250078,114.53978657218919,128.1481728359008,-0.04875604876558929,168.3034231533742,288.0994861369096,-0.23344953440146354,222.65223734166293,387.4383570341449,-0.24057555084152338,305.6998093088313,408.3316765847392,-0.12571790407593567,11.76649580196898,7.390267027041024,0.2019870134788826,16.387409283192596,8.818447970098383,0.2691181436909003,33.30335391634358,21.99481236607679,0.18016771122796968,40.76871073273406,52.06772800089737,-0.10624164988434383,1.9589627530146585,2.6,-0.1602593117463354,7.697471409609393,3.85,0.9618678524023482,18.463223228344898,5.2,3.3158058070862246,1,1.6255181215838477,saturating_RayBlank,30000000000000.0,1.6255181215838477,48765543647515.43,1.9242379556258113,57727138668774.34,2.0048390632445496,60145171897336.49,2.019841234906905,60595237047207.15,2.0254630132790257,60763890398370.77,30000000000000.0,48765543647515.43,57727138668774.34,60145171897336.49,60595237047207.15,60763890398370.77,128000000000000.05,208066319562732.6,246302458320103.94,256619400095302.44,258539678068083.94,259259265699715.38,576000000000000.0,936298438032296.2,1108361062440467.4,1154787300428860.5,1163428551306377.2,1166666695648718.8
