stage,f_n,K_d,g_d_scale,seed_nm,score_main,score_alt_total_ig,score_swd,score_swig,score_burnup_d,score_burnup_ig,score_Nd,score_Rd,score_pressure,score_highT_penalty,probe_swelling_d_1600_13,probe_swelling_ig_1600_13,probe_Nd_1600_13,probe_Rd_nm_1600_13,probe_p_b_over_eq_1600_13,probe_p_d_over_eq_1600_13
coarse,1e-08,200000.0,0.5,0.0,2.8072462209126927,1.75135240689183,1.6557657790481402,0.9422225636709511,2.3452735084025855,0.975871113827889,0.5711535466250893,0.2299635353577579,0.0,0.004380107375913474,0.7413975946058735,2.2721062889049364,5.822616579102148e+18,67.23800052778292,1.001063472593604,0.9662771714581925
seed,1e-08,200000.0,0.5,1.0,2.8085672852439956,1.7518139925021217,1.656541801684541,0.9425376338282204,2.3470978490423904,0.9761013495001768,0.5711524053175793,0.23009331002789715,0.0,0.004379020557023546,0.7394565049305607,2.2703589837422498,5.823181750729476e+18,67.17709608981167,1.0010592379156162,0.9683295592490218
seed,1e-08,200000.0,0.5,2.0,2.8088142678565764,1.7527971096209398,1.6566792647823076,0.9435028785141406,2.3474923295551915,0.9761292416853141,0.5711515480414179,0.2301092895468338,0.0,0.004379334373694676,0.7390384063710136,2.2700478324833187,5.823346304114816e+18,67.16380012150758,1.0010542893637973,0.968912069132807
seed,1e-08,200000.0,0.5,3.0,2.8089240315580044,1.755407752294617,1.6567143735412408,0.946113794541427,2.3478015604251037,0.976138759370807,0.5711516474505153,0.23010482419891756,0.0,0.004379737755885159,0.7387116272305668,2.269848089019719,5.823402153798779e+18,67.1536847523522,1.0010455195974122,0.9694566958828884
refine,3.16227766016838e-08,300000.0,0.75,0.0,2.8369521230489227,1.758063725540572,1.638360881389674,0.9066212479882768,2.329910053402984,0.9413149969751682,0.5081842788967892,0.2806318918482904,0.0,0.06394240878694743,0.7577431064309036,2.1211260444328754,8.728333719035629e+18,59.178962543915226,1.0008425631296132,0.974806032649112
seed,3.16227766016838e-08,300000.0,0.75,3.0,2.8372508857123506,1.7620563698922147,1.638420703397863,0.910570346357732,2.3309489749247705,0.9415723398047532,0.5081820724742572,0.28060857561033015,0.0,0.06393948492408337,0.7566435881814136,2.1203379583828075,8.728824673114903e+18,59.14921594346373,1.0008258624194664,0.9764881065131527
seed,3.16227766016838e-08,300000.0,0.75,2.0,2.837715163426034,1.7594756850902338,1.6387652487642106,0.907894247711178,2.331194439811943,0.9417205306808728,0.508183295485012,0.2806909215851863,0.0,0.06393935275969892,0.7563782924354416,2.1199745894075837,8.728971365456382e+18,59.14197083181305,1.0008346433324704,0.9764571357570532
seed,3.16227766016838e-08,300000.0,0.75,1.0,2.8378798879346308,1.7585949106168015,1.6388993291169638,0.9069759027390236,2.331211026045411,0.9417648222858558,0.5081850622192651,0.2807268808305825,0.0,0.06393944217142071,0.7563581910311663,2.1198814616247503,8.729009176923082e+18,59.14136151641037,1.0008392172848457,0.9762854721058559
coarse,3e-09,500000.0,0.5,0.0,2.859320202168984,1.941122624917343,1.6260907848252288,1.0123624111540444,2.316414786059702,1.0985379717378752,0.5107215515302725,0.34741793730446097,0.0,0.05342807864451616,0.7721204931261098,2.40971751253402,1.4537903438358385e+19,50.23790997902796,1.0017266187056801,0.9663757378532545
seed,3e-09,500000.0,0.5,1.0,2.859954977951605,1.941280139027208,1.6264288544097847,1.0124958439538925,2.3174316010569895,1.0984642871829706,0.5107230402750361,0.3474800554305211,0.0,0.05342605628368286,0.7710368461439246,2.4087777931180967,1.453857624168724e+19,50.21362192554051,1.0017244908438607,0.9674724062898874
seed,3e-09,500000.0,0.5,3.0,2.859958021218989,1.9440683121767304,1.6264053649105814,1.015285001562301,2.317527595435179,1.0984502126592657,0.51072154381082,0.3474852356509631,0.0,0.05342601182636466,0.7709374043838386,2.408818363818287,1.4538875384141537e+19,50.21111874924197,1.0017137655892987,0.967763371492421
seed,3e-09,500000.0,0.5,2.0,2.8599906551734353,1.9420175120117016,1.626438747228629,1.0132339709225393,2.317526515761547,1.0984530483389698,0.5107223564970965,0.34748380645320565,0.0,0.05342596493920847,0.7709368979311517,2.408742306029719,1.4538741301411588e+19,50.21126211006407,1.001721019195164,0.9676538016942466
