id,designation,material,T_Thomas,burnup,TD,fgr_meas,fgr_model,residual,log_ratio,excluded
61,ORNL-57-612-B,UN,1341.0,2.54,95.0,0.05,8.034943759929785,7.984943759929785,2.206012836957789,True
62,ORNL-57-642,UN,1493.0,1.18,95.0,0.34,0.0,-0.34,-11.531478917042255,False
63,ORNL-57-649,UN,1479.0,1.43,95.0,0.04,2.7155313414209368,2.6755313414209367,1.831794828257918,True
64,ORNL-57-652-M,UN,1516.0,0.7,95.0,0.09,0.0,-0.09,-10.954242509439325,True
65,ORNL-57-656-T,UN,1504.0,0.6,95.0,0.03,0.0,-0.03,-10.477121254719663,True
66,ORNL-57-656-M,UN,1504.0,0.6,95.0,0.11,0.0,-0.11,-11.041392685158225,False
67,ORNL-57-656-B,UN,1504.0,0.6,95.0,0.13,0.0,-0.13,-11.113943352306837,False
68,ORNL-57-658-M,UN,1495.0,1.08,95.0,0.14,0.0,-0.14,-11.146128035678238,False
69,ORNL-57-658-B,UN,1475.0,1.08,95.0,0.09,0.0,-0.09,-10.954242509439325,True
70,ORNL-57-660-M,UN,1546.0,0.7,95.0,0.05,0.0,-0.05,-10.698970004336019,True
71,ORNL-57-662-T,UN,1380.0,1.16,95.0,0.01,0.0,-0.01,-10.0,True
72,ORNL-57-662-M,UN,1516.0,1.16,95.0,0.08,0.0,-0.08,-10.903089986991944,True
73,ORNL-57-662-B,UN,1506.0,1.16,95.0,0.04,0.0,-0.04,-10.602059991327963,True
74,ORNL-57-664-T,UN,1414.0,0.58,95.0,0.01,0.0,-0.01,-10.0,True
75,ORNL-57-664-M,UN,1454.0,0.58,95.0,0.01,0.0,-0.01,-10.0,True
76,ORNL-57-664-B,UN,1469.0,0.58,95.0,0.01,0.0,-0.01,-10.0,True
77,ORNL-57-665-T,UN,1286.0,4.58,95.0,1.36,12.15387467817639,10.79387467817639,0.9511758455386399,False
78,ORNL-57-665-M,UN,1388.0,4.58,95.0,5.96,12.470013786409238,6.510013786409238,0.3206206738792964,False
79,ORNL-57-665-B,UN,1330.0,4.58,95.0,1.78,12.51161682658644,10.731616826586441,0.8468934331633299,False
80,ORNL-57-667-T,UN,1429.0,0.78,95.0,0.01,0.0,-0.01,-10.0,True
81,ORNL-57-667-M,UN,1490.0,0.78,95.0,0.02,0.0,-0.02,-10.301029995663981,True
82,ORNL-57-667-B,UN,1495.0,0.78,95.0,0.03,0.0,-0.03,-10.477121254719663,True
83,ORNL-57-669-T,UN,1196.0,2.72,95.0,0.05,0.0,-0.05,-10.698970004336019,True
84,ORNL-57-669-M,UN,1338.0,2.72,95.0,0.13,8.616286382185976,8.486286382185975,1.8213767730035306,False
85,ORNL-57-669-B,UN,1289.0,2.72,95.0,0.02,8.085710441417945,8.065710441417945,2.6066881890277083,True
86,ORNL-57-002-T,UN,1435.0,1.12,95.0,0.02,0.0,-0.02,-10.301029995663981,True
87,ORNL-57-002-2T,UN,1495.0,1.12,95.0,0.02,0.0,-0.02,-10.301029995663981,True
88,ORNL-57-002-3T,UN,1514.0,1.12,95.0,0.06,0.0,-0.06,-10.778151250383644,True
89,ORNL-57-003-T,UN,1485.0,4.17,95.0,6.0,12.9858177651538,6.985817765153801,0.335318053578672,False
90,ORNL-57-003-2T,UN,1547.0,4.17,95.0,10.3,15.312651335780698,5.012651335780697,0.17221316918104798,False
91,ORNL-57-003-3T,UN,1572.0,4.17,95.0,11.5,16.397595302326465,4.897595302326465,0.15408232333415026,False
92,ORNL-57-003-B,UN,1547.0,4.17,95.0,12.6,15.312651335780698,2.7126513357806985,0.08467984876865735,False
93,ORR-UN-3 T,UN,1805.0,1.45,95.0,0.1,14.420381979396483,14.320381979396483,2.158976764499009,True
94,ORR-UN-3 B,UN,1812.0,1.75,95.0,7.1,17.419427904668176,10.319427904668176,0.3897755389258377,False
95,ORR-UN-4 M11,UN,1588.0,2.76,84.6,4.3,14.34221649626522,10.042216496265219,0.5231478183261553,False
96,BMI B-1-3,U-Pu-N,1365.0,3.6,81.4,13.4,10.970567318832831,-2.429432681167169,-0.08687571162255968,False
97,BMI B-1-4,U-Pu-N,1187.0,5.85,94.0,2.1,12.658560053301281,10.558560053301282,0.7801650115420127,False
98,BMI B-2-2,U-Pu-N,1281.0,5.48,94.0,5.0,13.144308827199703,8.144308827199703,0.4197677500146835,False
99,BMI B-2-3,U-Pu-N,1294.0,8.22,94.0,3.7,14.896004254646721,11.19600425464672,0.6048680636149374,False
100,BMI B-2-6,U-Pu-N,1284.0,5.6,94.0,2.7,13.26059843398241,10.56059843398241,0.6911993595109627,False
101,BMI B-2-7,U-Pu-N,1287.0,5.6,94.0,2.4,13.266682058717972,10.866682058717972,0.742551079512701,False
102,BMI B-2-8,U-Pu-N,1293.0,2.9,94.0,0.3,8.72123846112825,8.42123846112825,1.4634569066627914,False
103,BMI B-3-2,U-Pu-N,1365.0,2.78,88.4,7.0,8.88834425200547,1.8883442520054707,0.1037228267838863,False
104,BMI B-3-3,U-Pu-N,1368.0,2.77,91.3,7.4,9.13317328620846,1.7331732862084603,0.09138997798374326,False
105,BMI B-3-4,U-Pu-N,1336.0,2.7,93.9,11.0,8.443813705829383,-2.556186294170617,-0.11485404216907893,False
106,BMI B-3-5,U-Pu-N,1356.0,2.74,90.4,7.0,8.94008898019561,1.9400889801956094,0.10624380131137474,False
107,BMI B-3-6,U-Pu-N,1873.0,8.39,94.8,7.5,54.30647517831217,46.80647517831217,0.8597903519531809,False
108,BMI B-3-7,U-Pu-N,1907.0,5.49,88.5,21.7,48.68631107245837,26.986311072458374,0.3509471357565514,True
109,BMI B-3-8,U-Pu-N,1798.0,8.06,89.8,12.9,41.382815801951224,28.482815801951226,0.5062303276410101,False
110,EBR-C-5,U-Pu-N,1139.0,8.1,94.1,1.56,2.990774995294696,1.430774995294696,0.2826591426682843,False
111,EBR-K-4,U-Pu-N,1119.0,9.12,97.0,0.8,0.1811368914770661,-0.6188631085229339,-0.6450830765273515,False
112,EBR-K-4,U-Pu-N,1122.0,7.27,96.6,0.81,0.0,-0.81,-11.90848501887865,False
113,BMI-50-4 A3,U-Pu-N,928.0,4.23,93.8,0.09,0.0,-0.09,-10.954242509439325,True
114,BMI-50-4 B3,U-Pu-N,1081.0,5.44,96.4,0.26,0.0,-0.26,-11.414973347970818,False
115,BMI-50-4 B4,U-Pu-N,1162.0,7.65,84.2,1.55,10.971353125431037,9.421353125431036,0.849928495372335,False
116,BMI-50-4 C1,U-Pu-N,1127.0,6.2,95.7,0.34,0.0,-0.34,-11.531478917042255,False
117,BMI-50-4 C2,U-Pu-N,1031.0,4.87,96.5,0.26,0.0,-0.26,-11.414973347970818,False
118,BMI-50-5 B5,U-Pu-N,914.0,13.09,80.2,13.5,0.0,-13.5,-13.130333768495007,False
119,BMI-50-5 B6,U-Pu-N,833.0,8.58,95.6,0.8,0.0,-0.8,-11.903089986991944,False
120,BMI-50-5 C7,U-Pu-N,903.0,9.98,97.2,4.8,0.0,-4.8,-12.681241237375588,False
121,BMI-50-6 B2,U-Pu-N,1275.0,18.71,83.9,27.0,16.972422339345258,-10.027577660654742,-0.20161993400778505,True
122,BMI-50-7 B22,U-Pu-N,1089.0,9.32,95.5,0.4,0.0,-0.4,-11.602059991327963,False
123,BMI-50-7 B24,U-Pu-N,1110.0,11.76,82.5,9.2,5.4221543086563315,-3.7778456913436678,-0.22961595437324767,False
124,BMI-50-7 C22,U-Pu-N,1117.0,9.48,96.0,0.4,1.0169331095172895,0.6169331095172895,0.40523239608551587,False
125,BMI-50-8 B25,U-Pu-N,1208.0,18.32,83.5,10.1,16.938555194609776,6.838555194609777,0.2245549898408361,False
126,BMI-50-8 B28,U-Pu-N,1109.0,12.67,95.5,5.92,6.8281204013779355,0.9081204013779356,0.06197946377382313,False
127,BMI-50-8 C25,U-Pu-N,1192.0,13.89,95.0,7.94,16.347761731232808,8.407761731232807,0.313637796812796,False
128,BMI-50-8 C26,U-Pu-N,1388.0,15.78,96.3,8.49,16.708829287856997,8.218829287856996,0.2940383316640995,False
129,BMI-50-11 A43,U-Pu-N,1433.0,6.74,82.7,6.0,14.580556085444565,8.580556085444565,0.3856228374004127,False
130,BMI-50-11 A44,U-Pu-N,1422.0,5.54,94.7,5.9,13.67360879871304,7.77360879871304,0.3650311389554729,False
131,BMI-50-11 B43,U-Pu-N,1485.0,7.07,82.7,7.4,15.45353998932911,8.05353998932911,0.31979626058197996,False
132,BMI-50-11 B54,U-Pu-N,1469.0,5.83,94.4,8.3,14.51809517291229,6.218095172912289,0.242831546704234,False
133,BMI-50-11 C43,U-Pu-N,1521.0,6.1,94.3,28.0,15.90561111480069,-12.09438888519931,-0.24560767140483514,True
134,BMI-50-11 C44,U-Pu-N,1460.0,5.78,94.3,47.0,14.40386685927308,-32.59613314072692,-0.5136187595762541,True
