block,component,n,min,p10,median,p90,max
C1_diffusion_escape,score_total,200,2.0861690825621326,2.1038677780794526,2.2224776799790216,3.6393574443060297,8.594056887566472
C1_diffusion_escape,score_swd,200,0.8304180027816096,0.8996423572713018,0.9347226013185947,1.6518074433719587,2.2635287407348823
C1_diffusion_escape,score_Rd,200,0.03943026194317962,0.1059292319712368,0.19389434310856485,0.2902151952084806,0.695401135799419
C1_diffusion_escape,score_Nd,200,0.339757660107682,0.5547430626438794,0.6682188564582611,0.7715543171165609,0.9861414567927552
C1_diffusion_escape,score_Nd_drop,200,0.0,0.33585762009892905,0.4545362897858938,0.5039501858310728,0.547634624987955
C1_diffusion_escape,score_pressure,200,0.0,0.0,0.05504260285759275,0.2822802940975995,0.8277899797400406
C1_diffusion_escape,score_partition,200,0.06136588921794893,0.07116787221461851,0.09611083980268476,0.32788643811551665,0.4811434063428291
C1_diffusion_escape,score_qgb,200,0.0,0.0,0.011541222055456567,0.1863979350659344,1.0406606502574782
C1_diffusion_escape,score_radius_guard,200,0.0,0.0,0.0,0.03512023341542114,2.408887537062716
C1_diffusion_escape,score_radius_saturation,200,0.0,0.005475712829303959,0.039387466629077106,0.362214574772195,4.4565939302406745
C1_diffusion_escape,score_rizk_prior,200,0.10725429183039704,0.1478343432156084,0.179475721639602,0.22877917394648423,0.2854943733368026
