# index | category | phase | compound | location | uom | output | density (g/cm3)
90 | matrix | condensed | PUO152 | matrix | (g/m3) | 1
91 | matrix | condensed | M2O3_C | matrix | (g/m3) | 1
92 | matrix | condensed | U3O8_S1 | matrix | (g/m3) | 1
93 | matrix | condensed | U3O8_S2 | matrix | (g/m3) | 1
94 | matrix | condensed | U3O8_S3 | matrix | (g/m3) | 1
95 | matrix | condensed | U3O8_S4 | matrix | (g/m3) | 1
96 | matrix | condensed | U4O9_S1 | matrix | (g/m3) | 1
97 | matrix | condensed | U4O9_S2 | matrix | (g/m3) | 1
98 | matrix | condensed | U4O9_S3 | matrix | (g/m3) | 1
99 | matrix | condensed | UO3 | matrix | (g/m3) | 1
100 | matrix | condensed | ALPHA_PU | matrix | (g/m3) | 0
101 | matrix | condensed | BCC_A2 | matrix | (g/m3) | 0
102 | matrix | condensed | BETA_PU | matrix | (g/m3) | 0
103 | matrix | condensed | ETA_PHASE | matrix | (g/m3) | 0
104 | matrix | condensed | FCC_A1 | matrix | (g/m3) | 0
105 | matrix | condensed | GAMMA_PU | matrix | (g/m3) | 0
106 | matrix | condensed | ORTHORHOMBIC_A20 | matrix | (g/m3) | 0
107 | matrix | condensed | TETRAGONAL_A6 | matrix | (g/m3) | 0
108 | matrix | condensed | TETRAGONAL_U | matrix | (g/m3) | 0
109 | matrix | condensed | ZETA_PHASE | matrix | (g/m3) | 0
110 | liquid_composition | liquid | BA+2 | derived | (-) | 1
111 | liquid_composition | liquid | CS+ | derived | (-) | 1
112 | liquid_composition | liquid | MO+4 | derived | (-) | 1
113 | liquid_composition | liquid | PD+2 | derived | (-) | 1
114 | liquid_composition | liquid | RH+3 | derived | (-) | 1
115 | liquid_composition | liquid | RU+4 | derived | (-) | 1
116 | liquid_composition | liquid | TC+4 | derived | (-) | 1
117 | liquid_composition | liquid | MOO4-2 | derived | (-) | 1
118 | liquid_composition | liquid | O-2 | derived | (-) | 1
119 | liquid_composition | liquid | VA | derived | (-) | 1
120 | liquid_composition | liquid | CSO2 | derived | (-) | 1
121 | liquid_composition | liquid | MOO3 | derived | (-) | 1
122 | liquid_composition | liquid | O | derived | (-) | 1
