block,component,n,min,p10,median,p90,max
D4_capture_gd_escape,score_total,250,2.0970945761478705,2.1377672213437,2.4042990157494226,4.124169257082182,9.234045248249393
D4_capture_gd_escape,score_swd,250,0.8441245170465983,0.8952168829938577,1.0729581267487207,2.1255444189473436,3.234267626982675
D4_capture_gd_escape,score_Rd,250,0.02426539616113905,0.08885984375236937,0.17988670397178136,0.3801293149887181,1.0704693218600831
D4_capture_gd_escape,score_Nd,250,0.23010947328632755,0.5911980538693696,0.6706010916897382,0.8042317496661403,1.080962195180551
D4_capture_gd_escape,score_Nd_drop,250,0.0,0.42893594558475967,0.4802034384061239,0.5270483276208672,0.5490756793626498
D4_capture_gd_escape,score_pressure,250,0.0,0.0,0.0,0.16940934258083248,0.9539106435404452
D4_capture_gd_escape,score_partition,250,0.06583300062289585,0.0780802780242377,0.1265824579839959,0.3351395581343354,0.6057021660608055
D4_capture_gd_escape,score_qgb,250,0.0,0.0,0.03132464929278878,0.3679879968439643,1.2064849571039298
D4_capture_gd_escape,score_radius_guard,250,0.0,0.0,0.0,0.0,2.625064655455259
D4_capture_gd_escape,score_radius_saturation,250,0.0,0.0,0.013232822051606922,0.20496673338516622,5.116001337891013
D4_capture_gd_escape,score_rizk_prior,250,0.08902874392476567,0.12830330345273516,0.16189693976372685,0.18543205055187542,0.25926290422740683
