block,component,n,min,p10,median,p90,max
B_standard_wide,score_total,698,1.990001368772348,2.0433854885672806,2.200293919608553,4.055777732599206,9.041689384675294
B_standard_wide,score_swd,698,0.7025129655155056,0.9009125039097957,0.9974471777853595,2.0917683929899513,3.6095995747943435
B_standard_wide,score_Rd,698,0.015614143397131155,0.04495676369345428,0.1170652099901798,0.2346115070496135,1.0800480061314557
B_standard_wide,score_Nd,698,0.27528627828397945,0.5997827123797925,0.6263847791602323,0.6845840066754227,1.131291022838692
B_standard_wide,score_Nd_drop,698,0.0,0.46247471283220354,0.504569631485834,0.5339150903788239,0.5491982910146517
B_standard_wide,score_pressure,698,0.0,0.0,0.014236276730305211,0.25640963332783695,0.8369689539898685
B_standard_wide,score_partition,698,0.0,0.006280299393865804,0.04841609639920344,0.3229720475563476,0.6249850767372915
B_standard_wide,score_qgb,698,0.0,0.0,0.0,0.048543207187174274,1.16955131552434
B_standard_wide,score_radius_guard,698,0.0,0.0,0.0,0.0,3.5468299216545294
B_standard_wide,score_radius_saturation,698,0.0,0.00048472654005022014,0.02898694080989391,0.16741422592216385,6.540308120036437
B_standard_wide,score_rizk_prior,698,0.10730373468188398,0.18119545459934236,0.2542983983741397,0.31125172958154085,0.3511977669258315
