block,parameter,top_n,min,median,max,direction_vs_1
E_all_wide_exploratory,f_n,25,2.9910015307339477e-07,5.463736495807149e-07,1.1991699223614997e-06,near/mixed
E_all_wide_exploratory,K_d,25,200816.1180329058,222039.13500231173,266976.0702829431,near/mixed
E_all_wide_exploratory,rho_d,25,39867542952210.48,48130563431252.23,59608867256458.984,near/mixed
E_all_wide_exploratory,fission_rate,25,4.415858791267625e+19,4.723909728246964e+19,4.950784526566572e+19,near/mixed
E_all_wide_exploratory,Dv_scale,25,0.5102149911449385,0.7306184386865572,0.9257994725101192,near/mixed
E_all_wide_exploratory,Dg_scale,25,1.045051099371817,1.2944058561773895,1.6875494469271048,near/mixed
E_all_wide_exploratory,D2_xe_scale,25,0.21300113907223708,0.25513069125584037,0.4075869066952334,low
E_all_wide_exploratory,b_scale,25,0.0500003621980584,0.05600629771644982,0.06099254283124709,low
E_all_wide_exploratory,gb_scale,25,0.5503502898850822,0.6799302268819313,1.078030202015684,low
E_all_wide_exploratory,gd_scale,25,0.3890572395992414,0.4674921447563753,0.6040839986240193,low
E_all_wide_exploratory,coalescence_d_scale,25,0.2803394069375342,0.3935893976435819,0.6333955110686579,low
E_all_wide_exploratory,capture_scale,25,0.5793667040724096,0.8396379555992317,1.3306310001675306,near/mixed
