block,component,n,min,p10,median,p90,max
E_all_wide_exploratory,score_total,500,2.0018329693234573,2.059748489830572,2.215777123545282,3.5582844852130417,15.760962425152213
E_all_wide_exploratory,score_swd,500,0.7694980324558075,0.8933154023986273,0.9720419446447136,1.7796973685489543,2.324038729366821
E_all_wide_exploratory,score_Rd,500,0.021221921073635276,0.0910273930125103,0.15825717325417096,0.23605596751710012,1.0174543290287361
E_all_wide_exploratory,score_Nd,500,0.27528627828397945,0.5902648850903706,0.6341127985824719,0.6935872299761625,1.14948018394807
E_all_wide_exploratory,score_Nd_drop,500,0.0,0.429947815807044,0.4923912500382011,0.5319809730354187,0.5492240491952204
E_all_wide_exploratory,score_pressure,500,0.0,0.0,0.09266037053110288,0.2768042769966119,1.017235568079336
E_all_wide_exploratory,score_partition,500,0.011486837361552447,0.02419073330681554,0.05886484901518945,0.3356154675825359,0.6643605534781646
E_all_wide_exploratory,score_qgb,500,0.0,0.0,0.0,0.09010273115515445,1.188968372109378
E_all_wide_exploratory,score_radius_guard,500,0.0,0.0,0.0,0.0,9.154880669651947
E_all_wide_exploratory,score_radius_saturation,500,0.0,8.510509940667403e-05,0.03179141744691584,0.18405553376767927,8.955058758533895
E_all_wide_exploratory,score_rizk_prior,500,0.11158936582223408,0.20605852693393556,0.25943439196438506,0.2838466815661576,0.3304382511154684
