source	case	temperature	pu_m_percent	om	exp_mu	sci_mu	residual
Chilton1979	Chilton1979/T_1722K_q_23p16	1722.0	23.16	1.9993	-286.54	-346.6863	-60.1463
Chilton1979	Chilton1979/T_1722K_q_23p16	1722.0	23.16	1.9993	-277.84	-346.6863	-68.84630000000004
Chilton1979	Chilton1979/T_1722K_q_23p16	1722.0	23.16	1.9997	-270.59	-328.0997518518536	-57.50975185185365
Chilton1979	Chilton1979/T_1722K_q_23p16	1722.0	23.16	2.0001	-259.58	-300.8674999999775	-41.28749999997751
Chilton1979	Chilton1979/T_1722K_q_23p16	1722.0	23.16	2.0001	-243.84	-300.8674999999775	-57.02749999997749
Chilton1979	Chilton1979/T_1722K_q_23p16	1722.0	23.16	2.0001	-228.64	-300.8674999999775	-72.22749999997751
Chilton1979	Chilton1979/T_1722K_q_23p16	1722.0	23.16	2.0001	-228.64	-300.8674999999775	-72.22749999997751
Chilton1979	Chilton1979/T_1722K_q_23p16	1722.0	23.16	2.0002	-255.02	-294.09789999999106	-39.07789999999105
Chilton1979	Chilton1979/T_1722K_q_23p16	1722.0	23.16	2.0002	-240.82	-294.09789999999106	-53.277899999991064
Chilton1979	Chilton1979/T_1722K_q_23p16	1722.0	23.16	2.0002	-228.14	-294.09789999999106	-65.95789999999107
Chilton1979	Chilton1979/T_1722K_q_23p16	1722.0	23.16	2.0002	-255.02	-294.09789999999106	-39.07789999999105
Chilton1979	Chilton1979/T_1722K_q_23p16	1722.0	23.16	2.0002	-240.82	-294.09789999999106	-53.277899999991064
Chilton1979	Chilton1979/T_1722K_q_23p16	1722.0	23.16	2.0002	-228.14	-294.09789999999106	-65.95789999999107
Chilton1979	Chilton1979/T_1722K_q_23p16	1722.0	23.16	2.0007	-263.18	-269.59998148146974	-6.419981481469733
Chilton1979	Chilton1979/T_1722K_q_23p16	1722.0	23.16	2.0007	-263.18	-269.59998148146974	-6.419981481469733
Chilton1979	Chilton1979/T_1722K_q_23p16	1722.0	23.16	2.0008	-221.15	-266.02794444444095	-44.87794444444094
Chilton1979	Chilton1979/T_1722K_q_23p16	1722.0	23.16	2.0008	-221.15	-266.02794444444095	-44.87794444444094
Chilton1979	Chilton1979/T_1722K_q_23p16	1722.0	23.16	2.0009	-207.54	-263.0698703703614	-55.52987037036141
Chilton1979	Chilton1979/T_1722K_q_23p16	1722.0	23.16	2.0009	-207.54	-263.0698703703614	-55.52987037036141
Chilton1979	Chilton1979/T_1722K_q_23p16	1722.0	23.16	2.0011	-217.92	-257.6702666666596	-39.7502666666596
Chilton1979	Chilton1979/T_1722K_q_23p16	1722.0	23.16	2.0011	-210.89	-257.6702666666596	-46.7802666666596
Chilton1979	Chilton1979/T_1722K_q_23p16	1722.0	23.16	2.0011	-217.92	-257.6702666666596	-39.7502666666596
Chilton1979	Chilton1979/T_1722K_q_23p16	1722.0	23.16	2.0011	-210.89	-257.6702666666596	-46.7802666666596
Chilton1979	Chilton1979/T_1722K_q_23p16	1722.0	23.16	2.002	-204.94	-241.0835000000031	-36.143500000003115
Chilton1979	Chilton1979/T_1722K_q_23p16	1722.0	23.16	2.002	-204.94	-241.0835000000031	-36.143500000003115
