Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Steam pressure (atm)	System pressure (Pa)	O/M ratio (/)	BA2 (gas, at grain boundary) (g/m3)	BA2O (gas, at grain boundary) (g/m3)	BA2O2 (gas, at grain boundary) (g/m3)	BAMOO4 (gas, at grain boundary) (g/m3)	BAO (gas, at grain boundary) (g/m3)	CS (gas, at grain boundary) (g/m3)	CS2 (gas, at grain boundary) (g/m3)	CS2MOO4 (gas, at grain boundary) (g/m3)	CS2O (gas, at grain boundary) (g/m3)	CS2O2 (gas, at grain boundary) (g/m3)	CSO (gas, at grain boundary) (g/m3)	HE (gas, at grain boundary) (g/m3)	MO (gas, at grain boundary) (g/m3)	MO2 (gas, at grain boundary) (g/m3)	MO2O6 (gas, at grain boundary) (g/m3)	MO3O9 (gas, at grain boundary) (g/m3)	MO4O12 (gas, at grain boundary) (g/m3)	MO5O15 (gas, at grain boundary) (g/m3)	MOO (gas, at grain boundary) (g/m3)	MOO2 (gas, at grain boundary) (g/m3)	MOO3 (gas, at grain boundary) (g/m3)	O (gas, at grain boundary) (g/m3)	O2 (gas, at grain boundary) (g/m3)	O3 (gas, at grain boundary) (g/m3)	PD (gas, at grain boundary) (g/m3)	RH (gas, at grain boundary) (g/m3)	RU (gas, at grain boundary) (g/m3)	TC (gas, at grain boundary) (g/m3)	LIQUID (liquid, at grain boundary) (g/m3)	BA2MOO5 (condensed, at grain boundary) (g/m3)	BA3MOO6 (condensed, at grain boundary) (g/m3)	BAMO2O7 (condensed, at grain boundary) (g/m3)	BAMO3O10 (condensed, at grain boundary) (g/m3)	BAMOO4 (condensed, at grain boundary) (g/m3)	HCP_ORD (condensed, at grain boundary) (g/m3)	CS2MO2O7_S1 (condensed, at grain boundary) (g/m3)	CS2MO2O7_S2 (condensed, at grain boundary) (g/m3)	CS2MO3O10 (condensed, at grain boundary) (g/m3)	CS2MO4O13 (condensed, at grain boundary) (g/m3)	CS2MO5O16 (condensed, at grain boundary) (g/m3)	CS2MO7O22 (condensed, at grain boundary) (g/m3)	CS2MOO4_S1 (condensed, at grain boundary) (g/m3)	CS2MOO4_S2 (condensed, at grain boundary) (g/m3)	CS2O1 (condensed, at grain boundary) (g/m3)	CS2O2 (condensed, at grain boundary) (g/m3)	CS3O (condensed, at grain boundary) (g/m3)	CS4O (condensed, at grain boundary) (g/m3)	CS7O1 (condensed, at grain boundary) (g/m3)	CS7O2 (condensed, at grain boundary) (g/m3)	CSO2 (condensed, at grain boundary) (g/m3)	CSO3 (condensed, at grain boundary) (g/m3)	HALITE (condensed, at grain boundary) (g/m3)	MO2_C11A (condensed, at grain boundary) (g/m3)	MO4O11 (condensed, at grain boundary) (g/m3)	MO8O23 (condensed, at grain boundary) (g/m3)	MO9O26 (condensed, at grain boundary) (g/m3)	MOO2 (condensed, at grain boundary) (g/m3)	MOO3 (condensed, at grain boundary) (g/m3)	PEROVSKITE (condensed, at grain boundary) (g/m3)	ZRO2_TETR (condensed, at grain boundary) (g/m3)	A15_CR3SI (condensed, at grain boundary) (g/m3)	BCC_A2 (condensed, at grain boundary) (g/m3)	C14_LAVES (condensed, at grain boundary) (g/m3)	C15_LAVES (condensed, at grain boundary) (g/m3)	DIAMOND_A4 (condensed, at grain boundary) (g/m3)	DIS_SIG (condensed, at grain boundary) (g/m3)	FCC_A1 (condensed, at grain boundary) (g/m3)	HCP_A3 (condensed, at grain boundary) (g/m3)	HCP_DIS (condensed, at grain boundary) (g/m3)	MC_ETA (condensed, at grain boundary) (g/m3)	MO3TE4 (condensed, at grain boundary) (g/m3)	MOPD2 (condensed, at grain boundary) (g/m3)	MOTE2_A (condensed, at grain boundary) (g/m3)	MOTE2_B (condensed, at grain boundary) (g/m3)	ORTHORHOMBIC_A20 (condensed, at grain boundary) (g/m3)	SIGMA (condensed, at grain boundary) (g/m3)	TETRAGONAL_U (condensed, at grain boundary) (g/m3)	O (gas, matrix) (g/m3)	O2 (gas, matrix) (g/m3)	C1_MO2 (condensed, matrix) (g/m3)	PU2O3 (condensed, matrix) (g/m3)	PUO152 (condensed, matrix) (g/m3)	M2O3_C (condensed, matrix) (g/m3)	U3O8_S1 (condensed, matrix) (g/m3)	U3O8_S2 (condensed, matrix) (g/m3)	U3O8_S3 (condensed, matrix) (g/m3)	U3O8_S4 (condensed, matrix) (g/m3)	U4O9_S1 (condensed, matrix) (g/m3)	U4O9_S2 (condensed, matrix) (g/m3)	U4O9_S3 (condensed, matrix) (g/m3)	UO3 (condensed, matrix) (g/m3)	
2.52252	980	3.45e+19	0	0	100000	1.9775	4.597e-27	2.675e-16	6.828e-20	3.455e-27	5.151e-14	21.14	2.254	3.003e-09	4.684e-06	1.004e-20	1.345e-14	0	6.423e-10	3.052e-29	4.579e-29	6.868e-29	9.157e-29	1.145e-28	2.255e-29	2.739e-29	2.289e-29	2.529e-07	5.089e-30	7.633e-30	4.474e-13	1.667e-24	1.044e-26	1.426e-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2.774772	980	3.45e+19	0	0	100000	1.97775	4.834e-27	2.876e-16	7.508e-20	4.063e-27	5.664e-14	23.24	2.479	3.611e-09	5.267e-06	1.155e-20	1.512e-14	0	7.724e-10	3.356e-29	5.035e-29	7.552e-29	1.007e-28	1.259e-28	2.535e-29	3.149e-29	2.517e-29	2.844e-07	5.596e-30	8.394e-30	4.92e-13	1.833e-24	1.148e-26	1.568e-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3.027024	980	3.45e+19	0	0	100000	1.978	5.039e-27	3.067e-16	8.189e-20	4.742e-27	6.177e-14	25.35	2.703	4.31e-09	5.875e-06	1.318e-20	1.687e-14	0	9.221e-10	3.66e-29	5.491e-29	8.237e-29	1.098e-28	1.373e-28	2.828e-29	3.593e-29	2.746e-29	3.173e-07	6.103e-30	9.155e-30	5.366e-13	2e-24	1.252e-26	1.71e-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3.279276	980	3.45e+19	0	0	100000	1.97825	5.214e-27	3.247e-16	8.869e-20	5.501e-27	6.691e-14	27.46	2.928	5.116e-09	6.511e-06	1.494e-20	1.869e-14	0	1.094e-09	3.964e-29	5.947e-29	8.921e-29	1.189e-28	1.487e-28	3.134e-29	4.074e-29	2.974e-29	3.517e-07	6.61e-30	9.915e-30	5.811e-13	2.166e-24	1.356e-26	1.852e-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3.531528	980	3.45e+19	0	0	100000	1.9785	5.36e-27	3.416e-16	9.55e-20	6.348e-27	7.204e-14	29.56	3.152	6.042e-09	7.174e-06	1.685e-20	2.06e-14	0	1.293e-09	4.268e-29	6.404e-29	9.605e-29	1.281e-28	1.601e-28	3.454e-29	4.594e-29	3.202e-29	3.875e-07	7.117e-30	1.068e-29	6.257e-13	2.332e-24	1.461e-26	1.994e-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3.78378	980	3.45e+19	0	0	100000	1.97875	5.48e-27	3.575e-16	1.023e-19	7.295e-27	7.717e-14	31.67	3.377	7.107e-09	7.867e-06	1.891e-20	2.259e-14	0	1.52e-09	4.573e-29	6.86e-29	1.029e-28	1.372e-28	1.715e-28	3.787e-29	5.157e-29	3.43e-29	4.251e-07	7.624e-30	1.144e-29	6.703e-13	2.498e-24	1.565e-26	2.136e-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4.036032	980	3.45e+19	0	0	100000	1.979	5.574e-27	3.723e-16	1.091e-19	8.353e-27	8.23e-14	33.78	3.601	8.333e-09	8.592e-06	2.115e-20	2.467e-14	0	1.783e-09	4.877e-29	7.316e-29	1.097e-28	1.463e-28	1.829e-28	4.136e-29	5.767e-29	3.658e-29	4.643e-07	8.132e-30	1.22e-29	7.149e-13	2.664e-24	1.669e-26	2.279e-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4.288284	980	3.45e+19	0	0	100000	1.97925	5.645e-27	3.862e-16	1.159e-19	9.535e-27	8.744e-14	35.88	3.826	9.743e-09	9.349e-06	2.357e-20	2.684e-14	0	2.084e-09	5.181e-29	7.772e-29	1.166e-28	1.554e-28	1.943e-28	4.5e-29	6.427e-29	3.886e-29	5.053e-07	8.639e-30	1.296e-29	7.595e-13	2.83e-24	1.773e-26	2.421e-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4.540536	980	3.45e+19	0	0	100000	1.9795	5.693e-27	3.99e-16	1.227e-19	1.086e-26	9.257e-14	37.99	4.051	1.137e-08	1.014e-05	2.62e-20	2.912e-14	0	2.431e-09	5.485e-29	8.229e-29	1.234e-28	1.646e-28	2.057e-28	4.882e-29	7.143e-29	4.114e-29	5.482e-07	9.146e-30	1.372e-29	8.041e-13	2.996e-24	1.877e-26	2.563e-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4.792788	980	3.45e+19	0	0	100000	1.97975	5.721e-27	4.11e-16	1.295e-19	1.233e-26	9.77e-14	40.09	4.275	1.323e-08	1.097e-05	2.904e-20	3.149e-14	0	2.831e-09	5.789e-29	8.685e-29	1.303e-28	1.737e-28	2.171e-28	5.28e-29	7.918e-29	4.342e-29	5.931e-07	9.653e-30	1.448e-29	8.486e-13	3.163e-24	1.981e-26	2.705e-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5.04504	980	3.45e+19	0	0	100000	1.98	5.729e-27	4.219e-16	1.363e-19	1.399e-26	1.028e-13	42.2	4.5	1.538e-08	1.184e-05	3.212e-20	3.398e-14	0	3.291e-09	6.093e-29	9.141e-29	1.371e-28	1.828e-28	2.285e-28	5.697e-29	8.759e-29	4.571e-29	6.401e-07	1.016e-29	1.524e-29	8.932e-13	3.329e-24	2.085e-26	2.847e-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5.297292	980	3.45e+19	0	0	100000	1.98025	5.72e-27	4.32e-16	1.431e-19	1.584e-26	1.08e-13	44.31	4.724	1.786e-08	1.274e-05	3.547e-20	3.659e-14	0	3.821e-09	6.397e-29	9.597e-29	1.44e-28	1.919e-28	2.399e-28	6.134e-29	9.67e-29	4.799e-29	6.894e-07	1.067e-29	1.6e-29	9.378e-13	3.495e-24	2.189e-26	2.989e-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5.549544	980	3.45e+19	0	0	100000	1.9805	5.694e-27	4.411e-16	1.499e-19	1.791e-26	1.131e-13	46.41	4.949	2.072e-08	1.369e-05	3.909e-20	3.932e-14	0	4.432e-09	6.701e-29	1.005e-28	1.508e-28	2.011e-28	2.513e-28	6.592e-29	1.066e-28	5.027e-29	7.41e-07	1.117e-29	1.676e-29	9.824e-13	3.661e-24	2.293e-26	3.131e-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5.801796	980	3.45e+19	0	0	100000	1.98075	5.653e-27	4.494e-16	1.567e-19	2.023e-26	1.182e-13	48.52	5.174	2.401e-08	1.469e-05	4.303e-20	4.217e-14	0	5.137e-09	7.006e-29	1.051e-28	1.576e-28	2.102e-28	2.627e-28	7.071e-29	1.173e-28	5.255e-29	7.951e-07	1.168e-29	1.752e-29	1.027e-12	3.827e-24	2.397e-26	3.273e-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6.054048	980	3.45e+19	0	0	100000	1.981	5.598e-27	4.568e-16	1.635e-19	2.283e-26	1.234e-13	50.63	5.398	2.782e-08	1.573e-05	4.731e-20	4.517e-14	0	5.951e-09	7.31e-29	1.097e-28	1.645e-28	2.193e-28	2.742e-28	7.573e-29	1.29e-28	5.483e-29	8.519e-07	1.219e-29	1.828e-29	1.072e-12	3.993e-24	2.501e-26	3.415e-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
