block,component,n,min,p10,median,p90,max
C2_resolution_escape,score_total,200,2.0623853655491264,2.093709247387775,2.228726411004904,3.677538935829259,5.211235878982536
C2_resolution_escape,score_swd,200,0.8496976114538332,0.8994364470268442,0.9962756733621372,1.9292328968462193,2.9717771172090863
C2_resolution_escape,score_Rd,200,0.016978700162184317,0.06111566656836343,0.11769776955931259,0.28669882001391545,0.7821510488906178
C2_resolution_escape,score_Nd,200,0.29033126299780077,0.588736335008808,0.6119879909966844,0.6986979918206656,1.0900033031474163
C2_resolution_escape,score_Nd_drop,200,0.0,0.4543295613835718,0.491853336772578,0.5252210486473434,0.5488792850775244
C2_resolution_escape,score_pressure,200,0.0,0.0,0.1258448013846202,0.2700668207630313,0.6467851454417782
C2_resolution_escape,score_partition,200,0.015475358911139173,0.026281272713328703,0.06647478709387472,0.3112898791093774,0.5399612267085584
C2_resolution_escape,score_qgb,200,0.0,0.0,0.0,0.09269854226354134,1.0511255593294473
C2_resolution_escape,score_radius_guard,200,0.0,0.0,0.0,0.0,1.4496074708336892
C2_resolution_escape,score_radius_saturation,200,0.0,0.006710550183764973,0.03820994204372458,0.15679814445988782,2.889023478608466
C2_resolution_escape,score_rizk_prior,200,0.087606948684519,0.19630815742408256,0.3170877694489905,0.36233592115876234,0.38558099311169647
