Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Steam pressure (atm)	System pressure (Pa)	O/M ratio (/)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	Cs produced (at/m3)	Cs in grain (at/m3)	Cs in intragranular solution (at/m3)	Cs in intragranular bubbles (at/m3)	Cs at grain boundary (at/m3)	Cs released (at/m3)	Cs reacted (at/m3)	I produced (at/m3)	I in grain (at/m3)	I in intragranular solution (at/m3)	I in intragranular bubbles (at/m3)	I at grain boundary (at/m3)	I released (at/m3)	I reacted (at/m3)	Te produced (at/m3)	Te in grain (at/m3)	Te in intragranular solution (at/m3)	Te in intragranular bubbles (at/m3)	Te at grain boundary (at/m3)	Te released (at/m3)	Te reacted (at/m3)	Mo produced (at/m3)	Mo in solution (at/m3)	Mo reacted (at/m3)	Ba produced (at/m3)	Ba in solution (at/m3)	Ba reacted (at/m3)	Tc produced (at/m3)	Tc in solution (at/m3)	Tc reacted (at/m3)	Ru produced (at/m3)	Ru in solution (at/m3)	Ru reacted (at/m3)	Rh produced (at/m3)	Rh in solution (at/m3)	Rh reacted (at/m3)	Pd produced (at/m3)	Pd in solution (at/m3)	Pd reacted (at/m3)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas bubble swelling (/)	Intergranular bubble concentration (bub/m2)	Intergranular atoms per bubble (at/bub)	Intergranular vacancies per bubble (vac/bub)	Intergranular bubble radius (m)	Intergranular bubble area (m2)	Intergranular bubble volume (m3)	Intergranular fractional coverage (/)	Intergranular saturation fractional coverage (/)	Intergranular gas swelling (/)	Intergranular fractional intactness (/)	Burnup (MWd/kgUO2)	FIMA (%)	Fuel density (kg/m3)	U235 (at/m3)	U238 (at/m3)	Pu (at/m3)	Pu238 (at/m3)	Pu239 (at/m3)	Pu240 (at/m3)	Pu241 (at/m3)	Pu242 (at/m3)	q (-)	Intergranular vented fraction (/)	Intergranular venting probability (/)	Porosity (/)	Fabrication porosity (/)	Open porosity (/)	Residual porosity (/)	Densification factor (/)	Gap oxygen partial pressure (MPa)	Stoichiometry deviation (/)	Equilibrium stoichiometry deviation (/)	Fuel oxygen partial pressure (MPa)	Fuel oxygen partial pressure - Blackburn (MPa)	Fuel oxygen partial pressure - Kato (MPa)	Fuel oxygen partial pressure - CALPHAD (MPa)	Fuel oxygen potential (KJ/mol)	Fuel oxygen potential - Blackburn (KJ/mol)	Fuel oxygen potential - Kato (KJ/mol)	Fuel oxygen potential - CALPHAD (KJ/mol)	U content (mol/m3)	O content (mol/m3)	O available content (mol/m3)	Pu content (mol/m3)	Phase std density (g/m3)	Mo/Ru in HCP_A3 (/)	Mo in oxide fraction (/)	Mo oxide valence (/)	Ba/Mo in oxide compounds (/)	Ba in oxide fraction (/)	Ba oxide valence (/)	JOG (Cs2MoO4) (/)	JOG (BaMoO4) (/)	JOG (liquid) (/)	
0	1412	3.45e+19	0	0	100000	1.975	1e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e+13	0	0	0	0	0	0	0.5	0	1	0	0	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02851874	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.025	0	9.840135e-22	0	9.840135e-22	0	-540.9587	0	-540.9587	0	30531.45	77194.93	0.001	8554.591	3657778	0	0	0	0	0	0	0	0	0	
28	1412	3.45e+19	0	0	100000	1.97525	1e-05	8.137584e+23	7.65706e+23	7.65706e+23	0	4.668755e+22	1.364807e+21	5.91192e+22	5.562822e+22	5.562822e+22	0	3.391831e+21	9.915263e+19	0.001677165	1.064146e+23	0	0	0	1.033921e+23	3.022439e+21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.615944e+23	7.615944e+23	0	3.442824e+23	3.442824e+23	0	1.843128e+23	1.843128e+23	0	6.885648e+23	6.885648e+23	0	2.051784e+23	2.051784e+23	0	6.572664e+23	6.572664e+23	0	1.316251e+24	0	0	1.888088e+13	27571.51	240247.1	2.683888e-08	1.539807e-15	1.365423e-23	0.02907291	0.5	7.734116e-05	1	0.1188102	0.01477465	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02840213	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02475	0	1.024263e-21	0	1.024263e-21	0	-540.4881	0	-540.4881	0	30527.58	77194.93	0.001	8553.509	3657778	0	0	0	0	0	0	0	0	0	
56	1412	3.45e+19	0	0	100000	1.9755	1e-05	1.627517e+24	1.531965e+24	7.500045e+23	7.819608e+23	9.284313e+22	2.708357e+21	1.182384e+23	1.112966e+23	5.448751e+22	5.680912e+22	6.745013e+21	1.96761e+20	0.001664104	2.128291e+23	0	0	0	2.924514e+21	9.792484e+19	2.098067e+23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.523189e+24	0	1.523189e+24	6.885648e+23	0	6.885648e+23	3.686256e+23	0	3.686256e+23	1.37713e+24	0	1.37713e+24	4.103568e+23	0	4.103568e+23	1.314533e+24	0	1.314533e+24	1.326215e+24	0	0	1.877444e+13	19262.05	327804.9	2.768241e-08	1.638119e-15	1.498255e-23	0.03075475	0.5	8.438669e-05	1	0.2376204	0.0295493	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02828542	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0245	0	1.066589e-21	0	1.066589e-21	0	-540.0127	0	-540.0127	0	30523.72	77194.93	0	8552.427	3657778	0	0	0	0	0	0	0	0	0	
84	1412	3.45e+19	0	0	100000	1.97575	1e-05	2.441275e+24	2.285277e+24	1.114497e+24	1.17078e+24	1.51587e+23	4.41111e+21	1.773576e+23	1.660244e+23	8.096775e+22	8.505666e+22	1.101273e+22	3.204653e+20	0.001806888	3.192437e+23	0	0	0	8.238079e+19	1.554405e+19	3.191458e+23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.284783e+24	0	2.284783e+24	1.032847e+24	0	1.032847e+24	5.529384e+23	0	5.529384e+23	2.065694e+24	0	2.065694e+24	6.155352e+23	0	6.155352e+23	1.971799e+24	0	1.971799e+24	1.326291e+24	1.837301e-10	3.445629e-05	1.842461e+13	31261.25	495840.2	3.182143e-08	2.164596e-15	2.275794e-23	0.03988182	0.5	0.0001257918	1	0.3564306	0.04432395	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02816862	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02425	0	1.111121e-21	0	1.111121e-21	0	-539.5325	0	-539.5325	0	30519.86	77194.93	0	8551.345	3657778	0	0	0	0	0	0	0	0	0	
112	1412	3.45e+19	0	0	100000	1.976	1e-05	3.255034e+24	3.034913e+24	1.261547e+24	1.773366e+24	2.139105e+23	6.209995e+21	2.364768e+23	2.204851e+23	9.165086e+22	1.288343e+23	1.554051e+22	4.511535e+20	0.001907813	4.256582e+23	0	0	0	2.310996e+18	1.323306e+19	4.256427e+23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.046378e+24	0	3.046378e+24	1.37713e+24	0	1.37713e+24	7.372512e+23	0	7.372512e+23	2.754259e+24	0	2.754259e+24	8.207136e+23	0	8.207136e+23	2.629066e+24	0	2.629066e+24	9.485841e+23	2.350329e-10	5.158818e-05	1.802004e+13	44937.77	726001.2	3.611322e-08	2.787853e-15	3.326385e-23	0.05023721	0.5	0.0001798247	1	0.4752408	0.0590986	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02805177	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.024	0	1.158e-21	0	1.158e-21	0	-539.0474	0	-539.0474	0	30516	77194.93	0	8550.263	3657778	0	0	0	0	0	0	0	0	0	
140	1412	3.45e+19	0	0	100000	1.97625	1e-05	4.068792e+24	3.767233e+24	1.843127e+24	1.924106e+24	2.93074e+23	8.485375e+21	2.95596e+23	2.736878e+23	1.339024e+23	1.397855e+23	2.12917e+22	6.164589e+20	0.002085478	5.320728e+23	0	0	0	6.456145e+16	1.316849e+19	5.320596e+23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.807972e+24	0	3.807972e+24	1.721412e+24	0	1.721412e+24	9.21564e+23	0	9.21564e+23	3.442824e+24	0	3.442824e+24	1.025892e+24	0	1.025892e+24	3.286332e+24	0	3.286332e+24	8.69918e+23	2.781308e-10	7.839969e-05	1.757101e+13	63007.37	1028590	4.054791e-08	3.514587e-15	4.708464e-23	0.06175486	0.5	0.0002481975	1	0.594051	0.07387325	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02793489	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02375	0	1.207374e-21	0	1.207374e-21	0	-538.5572	0	-538.5572	0	30512.14	77194.93	0	8549.181	3657778	0	0	0	0	0	0	0	0	0	
168	1412	3.45e+19	0	0	100000	1.9765	1e-05	4.88255e+24	4.489983e+24	2.267149e+24	2.222834e+24	3.81544e+23	1.102302e+22	3.547152e+23	3.261954e+23	1.647074e+23	1.614879e+23	2.771901e+22	8.008177e+20	0.002257636	6.384874e+23	0	0	0	5.222058e+23	1.497077e+22	1.013107e+23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.569566e+24	1.741462e+15	4.569566e+24	2.065694e+24	4.508001e+16	2.065694e+24	1.105877e+24	1.167375e+07	1.105877e+24	4.131389e+24	1.566581e+07	4.131389e+24	1.23107e+24	1.856247e+08	1.23107e+24	3.943598e+24	1.786438e+16	3.943598e+24	8.121431e+23	2.924524e-10	8.509158e-05	1.622984e+13	195936.8	2031326	5.352015e-08	6.123111e-15	1.082744e-22	0.09937712	0.5	0.0005271831	1	0.7128612	0.0886479	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02781802	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0235	0	1.259404e-21	0	1.259404e-21	0	-538.0619	0	-538.0619	0	30508.28	77194.93	3.430166	8548.1	3657778	1.106061	0	0	0	1	2	0	0	0	
196	1412	3.45e+19	0	0	100000	1.97675	1e-05	5.696309e+24	5.203627e+24	2.708208e+24	2.495418e+24	4.788651e+23	1.381688e+22	4.138344e+23	3.780413e+23	1.967502e+23	1.812911e+23	3.478934e+22	1.003791e+21	0.002425585	7.449019e+23	0	0	0	6.09231e+23	1.74751e+22	1.181959e+23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.331161e+24	2.353323e+15	5.331161e+24	2.409977e+24	5.041873e+16	2.409977e+24	1.29019e+24	1.329436e+07	1.29019e+24	4.819954e+24	1.784062e+07	4.819954e+24	1.436249e+24	2.113941e+08	1.436249e+24	4.600865e+24	2.034441e+16	4.600865e+24	7.94063e+23	3.091984e-10	9.832306e-05	1.534534e+13	249957.7	3082650	6.068318e-08	7.8718e-15	1.578261e-22	0.1207955	0.5	0.0007265686	1	0.8316714	0.1034226	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02770118	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02325	0	1.314265e-21	0	1.314265e-21	0	-537.5614	0	-537.5614	0	30504.42	77194.93	4.00186	8547.019	3657778	1.106061	0	0	0	1	2	0	0	0	
224	1412	3.45e+19	0	0	100000	1.977	1e-05	6.510067e+24	5.91024e+24	3.098783e+24	2.811457e+24	5.829968e+23	1.68302e+22	4.729536e+23	4.293764e+23	2.251253e+23	2.042512e+23	4.235447e+22	1.222707e+21	0.002585257	8.513165e+23	0	0	0	6.962268e+23	2.00087e+22	1.35081e+23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.092755e+24	2.930061e+15	6.092755e+24	2.754259e+24	5.655216e+16	2.754259e+24	1.474502e+24	1.518561e+07	1.474502e+24	5.508518e+24	2.037861e+07	5.508518e+24	1.641427e+24	2.414669e+08	1.641427e+24	5.258131e+24	2.323859e+16	5.258131e+24	7.738884e+23	3.241303e-10	0.000110389	1.4592e+13	309542.4	4231125	6.69494e-08	9.58144e-15	2.119405e-22	0.1398124	0.5	0.000927791	1	0.9504816	0.1181972	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02758441	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.023	0	1.372143e-21	0	1.372143e-21	0	-537.0555	0	-537.0555	0	30500.56	77194.93	4.573555	8545.938	3657778	1.106061	0	0	0	1	2	0	0	0	
252	1412	3.45e+19	0	0	100000	1.97725	1e-05	7.323826e+24	6.609939e+24	3.498698e+24	3.11124e+24	6.937819e+23	2.010481e+22	5.320728e+23	4.802092e+23	2.541789e+23	2.260303e+23	5.040296e+22	1.460606e+21	0.002745125	9.57731e+23	0	0	0	7.831489e+23	2.261607e+22	1.519661e+23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.85435e+24	3.594778e+15	6.85435e+24	3.098542e+24	6.24371e+16	3.098542e+24	1.658815e+24	1.707622e+07	1.658815e+24	6.197083e+24	2.291575e+07	6.197083e+24	1.846606e+24	2.715296e+08	1.846606e+24	5.915398e+24	2.61318e+16	5.915398e+24	7.565207e+23	3.398423e-10	0.0001243775	1.3907e+13	375548.4	5503112	7.273706e-08	1.130964e-14	2.717948e-22	0.1572832	0.5	0.001133955	1	1.069292	0.1329719	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02746772	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02275	0	1.433239e-21	0	1.433239e-21	0	-536.5441	0	-536.5441	0	30496.71	77194.93	5.145249	8544.858	3657778	1.106061	0	0	0	1	2	0	0	0	
