Temperature (K);Normalized release (/)
500; 0
847.5522009029346; 0.004514672686230181
1049.96551291698; 0.009029345372460584
1130.1566027088036; 0.013544018058690765
1179.7748934035615; 0.02257336343115135
1225.573739653875; 0.03160270880361171
1252.2322548281916; 0.05191873589164797
1275.002351392024; 0.09029345372460518
1301.3677263606721; 0.1873589164785554
1316.4127163280662; 0.24830699774266363
1335.1047153248055; 0.35440180586907455
1361.4614685226986; 0.45372460496614
1380.3603900175567; 0.5056433408577878
1406.7688738399797; 0.5914221218961626
1448.6534361675442; 0.6252821670428895
1517.27410960622; 0.6591422121896162
1589.722849260095; 0.690744920993228
1631.7108728367193; 0.6975169300225734
1654.4895911713065; 0.7336343115124153
1738.4225294707799; 0.7584650112866818
1810.9057562076746; 0.7810383747178331
1894.8818033609227; 0.7945823927765238
2051.40142964635; 0.8148984198645599
2127.7213443692; 0.8329571106094809
2272.6102019061946; 0.8984198645598195
2360.3625846501127; 0.9232505643340858
2455.805586907449; 0.9345372460496615
2547.4032794080763; 0.9525959367945824
2623.6800852771503; 0.981941309255079
2696.1546902432906; 1
