Temperature (K);Normalized release (/)
503.8461538461538; 0.002293577981651307
650; 0.004587155963302836
753.8461538461538; 0.006880733944953921
1092.3076923076922; 0.006880733944953921
1207.6923076923076; 0.013761467889908285
1246.153846153846; 0.025229357798165264
1269.2307692307693; 0.05504587155963314
1296.153846153846; 0.11926605504587151
1323.076923076923; 0.231651376146789
1349.9999999999998; 0.3509174311926606
1392.3076923076922; 0.4977064220183487
1415.3846153846155; 0.5848623853211009
1446.153846153846; 0.6284403669724772
1538.4615384615386; 0.6949541284403671
1611.5384615384614; 0.7339449541284404
1707.6923076923076; 0.7568807339449541
1780.7692307692307; 0.786697247706422
1915.3846153846152; 0.8096330275229359
2061.5384615384614; 0.8256880733944955
2161.5384615384614; 0.8532110091743119
2261.5384615384614; 0.8990825688073396
2376.9230769230767; 0.9266055045871561
2480.769230769231; 0.9403669724770642
2557.692307692307; 0.9587155963302754
2607.6923076923076; 0.974770642201835
2646.153846153846; 0.993119266055046
2680.7692307692305; 1
2700; 1
