Temperature (K);Normalized release (/)
503.7821031560118; 0
567.9160100515354; 0.0022573363431150906
616.9555773244176; 0.006772009029345494
658.4564930363304; 0.009029345372460584
745.2404276161676; 0.011286681715575675
948.9969760211253; 0.015801354401805856
1039.554495506623; 0.018058690744920947
1088.5599897780994; 0.03160270880361171
1145.1126538608971; 0.04514672686230248
1171.4510839473571; 0.06546275395033851
1227.8844925252354; 0.11060948081264099
1257.843179011031; 0.17155756207674955
1280.2376591848033; 0.23702031602708806
1298.7989267004557; 0.31828442437923254
1335.9981259849226; 0.46049661399548536
1395.8814259551089; 0.5914221218961626
1414.5449124749775; 0.6455981941309255
1512.4281272626604; 0.7065462753950339
1587.6698326163805; 0.7674943566591422
1712.0959154989564; 0.7945823927765238
1930.8360662719874; 0.8284424379232507
2138.323608330849; 0.8442437923250565
2221.3084032539714; 0.8532731376975169
2243.8732484347715; 0.8735891647855532
2281.5579879892666; 0.8871331828442439
2330.6060735125006; 0.889390519187359
2375.812428127262; 0.909706546275395
2500.3151752630006; 0.9164785553047404
2632.1862089526808; 0.9706546275395035
2696.149750841177; 1
