Temperature (K);Normalized release (/)
500; 0.01750547045951878
562.1415074074209; 0.024070021881837933
803.6907852339465; 0.03719912472647713
1074.5005588788927; 0.05689277899343548
1162.3140862967266; 0.06783369803063466
1231.8007551236637; 0.08533916849015322
1282.9685753503463; 0.10722100656455136
1326.7191442417275; 0.15536105032822767
1421.5334034814337; 0.25382932166301964
1494.6405880789493; 0.2822757111597375
1574.9807942269817; 0.33479212253829327
1669.8110734479737; 0.42888402625820576
1764.3850329683937; 0.5929978118161926
1822.3693552321624; 0.7527352297592999
1851.4296012845116; 0.814004376367615
1873.3128957208446; 0.8358862144420132
1975.7206260899966; 0.8599562363238513
2063.4860935639726; 0.8840262582056894
2209.772552674791; 0.9212253829321664
2282.9037672442364; 0.9431072210065646
2348.745890328665; 0.9562363238512036
2469.4964992699993; 0.9693654266958426
2582.9019467918174; 0.989059080962801
2681.6811513997463; 1
2696.2993843229924; 1
