Temperature (K);Normalized release (/)
503.78006872852234; 0.002234447475074619
590.7216494845361; 0.00878369007443025
677.6632302405499; 0.010848627741050665
817.5257731958764; 0.015047847995931951
900.6872852233676; 0.021604795586581016
1112.3711340206185; 0.039110535805094715
1138.8316151202748; 0.04578305826514417
1191.7525773195875; 0.07706532291618529
1240.893470790378; 0.1218082073567257
1286.254295532646; 0.22037045598138494
1316.4948453608245; 0.32120567703758507
1346.7353951890034; 0.408587983295579
1384.5360824742268; 0.4735333549073091
1410.9965635738831; 0.5429861464256547
1448.7972508591063; 0.6236265853019586
1479.0378006872852; 0.6863452144299078
1524.398625429553; 0.7736967007227282
1611.3402061855668; 0.8856271092413666
1656.7010309278348; 0.9079561740095234
1724.742268041237; 0.9347233137626555
1789.0034364261167; 0.9480452437088747
1872.164948453608; 0.9590864962322593
1985.5670103092782; 0.9655818038925617
2163.230240549828; 0.9809147365663478
2295.53264604811; 0.9918558242029187
2431.6151202749143; 0.9960627494490931
2594.1580756013745; 1
2700; 1
