block,parameter,top_n,min,median,max,direction_vs_1
C3_trapping_escape,f_n,25,1.715696203168301e-07,4.602022975987509e-07,9.703720625154097e-07,near/mixed
C3_trapping_escape,K_d,25,236860.53474284755,262038.51260592593,331252.35404224496,near/mixed
C3_trapping_escape,rho_d,25,29788555672094.934,47582720383162.625,59104672769505.54,near/mixed
C3_trapping_escape,fission_rate,25,4.265348377866159e+19,4.9652343748818256e+19,6.8176599099943666e+19,near/mixed
C3_trapping_escape,Dv_scale,25,0.5695335569613829,0.6797474918664956,1.5998977449173102,low
C3_trapping_escape,Dg_scale,25,1.2778382624549407,2.020571573248213,2.4923859983067955,high
C3_trapping_escape,D2_xe_scale,25,1.8409084426879365,2.168003488608275,3.011910572484976,high
C3_trapping_escape,b_scale,25,0.7877781437674218,1.061548149514305,1.7199483662509059,near/mixed
C3_trapping_escape,gb_scale,25,1.4020909631615062,2.732235422315274,5.591563873424171,high
C3_trapping_escape,gd_scale,25,2.423373306124668,3.368653729921475,5.8378289941008426,high
C3_trapping_escape,coalescence_d_scale,25,0.4910118848430668,0.962929639750098,1.0774146236815092,near/mixed
C3_trapping_escape,capture_scale,25,0.18897686201262082,0.3192750507787165,0.5620066890968951,low
