scenario,candidate_label,family,T_K,burnup_FIMA_percent,dt_h,n_modes,time_s,burnup_from_time_percent,generated,retained,q_gb,gas_balance_abs_error,gas_balance_rel_error,balance_sum_percent,matrix_percent,bulk_percent,dislocation_percent,qgb_percent,intragranular_bulk_fraction_no_qgb,intragranular_dislocation_fraction_no_qgb,swelling_b_percent,swelling_d_percent,swelling_ig_percent,Nb,Nd,Rb_nm,Rd_nm,Vb,Vd,nvb,nvd,p_b,p_b_eq,p_b_over_eq,p_b_alt_total_volume,p_b_alt_total_over_eq,p_b_current_over_alt_total,p_d,p_d_eq,p_d_over_eq,p_d_alt_total_volume,p_d_alt_total_over_eq,p_d_current_over_alt_total,bulk_gas_volume_fraction_omega_fg,dislocation_gas_volume_fraction_omega_fg,lambda_d,nu_b,phi_b,phi_d,f_cap_step,max_f_cap_step,capture_fraction_sum,capture_raw_sum,Dg_final,Dv_final,g_b_final,g_d_final,b_b_final,b_d_final,dnvb_dt_final,dnvd_dt_final,term_dislocation_final,term_bubbles_final,free_dislocation_final
default_Rd0_0,diagnostic_M7_no_phi_Dv05_trial_00097,M7_no_phi,1600.0,1.1,1.0,40,5432786.961605881,1.0999999999999999,9.036573938600274e+25,5.462758003643436e+25,3.5738159349568394e+25,0.0,0.0,100.0,2.236131017067126,21.586715607806944,36.628802869288016,39.548350505837924,0.35709059700499335,0.6059189976747503,0.33554903085070686,2.4083638106123875,2.743912841463094,1.1971394947764833e+21,7.45091624032102e+18,8.746632379955237,91.72222909080243,2.8029234046225908e-24,3.2323055754933893e-21,5.8100916362670645e+25,7.280653836848812e+26,253869506.72290412,253811970.54624143,1.0002266881918094,128421474.75677472,0.5059709141392836,1.9768462183114084,34376312.880521834,24203511.209940862,1.4203027231190655,30360415.025651384,1.2543806046282144,1.1322741422170097,0.4941437574976447,0.11682165765793694,1.062918303036176,369189648909659.25,6.137520826035303e-05,2.25110920673302e-07,4.2629174412114376e-06,9.595304741441455e-05,0.10563637484256481,0.10563637484256481,7.33571673864993e-19,1.0287062034110958e-20,0.00019871830644402444,0.00019827964098407055,2.0206635862408607e-05,1.2091138423834783e-05,2.7507749461887087e+19,6.710287440367211e+19,3.454908918903899e-05,6.314395854290551e-06,26422089585809.99
default_Rd0_0,diagnostic_M7_no_phi_Dv05_trial_00097,M7_no_phi,1800.0,1.1,1.0,40,5432786.961605881,1.0999999999999999,9.036573938600274e+25,5.224160511739618e+25,3.812413426860657e+25,0.0,0.0,100.0,0.08349981817300245,2.044375797744277,55.683420426538575,42.18870395754415,0.03536291240111472,0.963192736340756,0.043809770494043915,9.123767882980408,9.167577653474451,4.16497350322781e+19,8.483671604388201e+17,13.592208941860648,295.00808823863827,1.0518619256543125e-23,1.0754503838009376e-19,9.620781733949033e+24,2.976612760071459e+27,163346503.52089164,163328860.6359595,1.0001080206208715,104797119.85587613,0.6416325899037304,1.5586926792027915,14380137.513213823,7525217.404223153,1.9109265208927635,13706017.14729231,1.8213450072021162,1.0491842640117146,0.35843671216095035,0.046878575764805225,1.271644572032875,21381561554001.89,2.2547411876722154e-05,1.6862896305781362e-08,5.250947479064172e-05,0.0005945966674029715,0.6550436517721699,0.6550436517721699,3.042955372416583e-17,9.60074878752893e-19,0.00044188857518625,0.007646688840088666,1.7301275504451578e-05,1.1398382086586798e-05,1.5191106544953385e+19,3.6783395287378716e+20,0.001480128631649146,9.577877617726534e-05,27288331850671.56
default_Rd0_0,diagnostic_M7_no_phi_Dv05_trial_00097,M7_no_phi,2200.0,1.1,1.0,40,5432786.961605881,1.0999999999999999,9.036573938600274e+25,5.18867797677621e+25,3.847895961824065e+25,0.0,0.0,100.0,0.0002699258360171719,0.005423558534693783,57.41294782848854,42.58135868714076,9.445640667709676e-05,0.9999008425793343,0.0001485168365242986,27.036073032266028,27.036221549102553,8.758160578852531e+16,222851202990145.28,15.937666163608188,6616.271824955285,1.6957537508835772e-23,1.2131894586838552e-15,3.6576904580685636e+22,9.103348447687403e+27,139311520.33928415,139292665.38843137,1.000135362122623,100234773.10735966,0.7195983566532027,1.3898522041853687,5925408.947596618,335536.3955311802,17.659511833928583,5828757.737440503,17.371461978701674,1.0165817854352197,0.2804990365244425,0.01631131471445816,2.2263621918895127,72595561956.61641,1.7872425610691795e-05,4.296427401869988e-12,0.00014865645025757005,0.02932985736284358,4.964457456869886,4.964457456869886,9.901183863882954e-15,7.300127043959911e-16,0.00035370336915471344,2.38037209353731,1.646926865917495e-05,1.1094838173303527e-05,7.930866326367509e+16,2.80738863167588e+20,0.4903878073199432,0.000183483605661304,27785975566126.645
default_Rd0_0,diagnostic_M7_no_phi_Dv05_trial_00097,M7_no_phi,1600.0,3.2,1.0,40,15804471.161035294,3.2000000000000006,2.628821509410849e+26,1.2771801150123924e+26,1.3516413943984567e+26,34359738368.0,1.3070396086229696e-16,100.0,0.7939716142979301,34.653942430655086,13.135837664329985,51.41624829071701,0.713282552529464,0.27037511929775676,1.6006913897727022,3.4935751447331147,5.094266534505817,5.042341097604471e+21,5.459260292498798e+18,9.117216326658472,115.17261459021762,3.1745004131774488e-24,6.399356245265318e-21,2.828549102860623e+26,1.095361148368295e+27,243530394.13941795,243495374.07693022,1.000143822290754,125721457.05064902,0.5163196940691301,1.9370630905216728,23837718.362188738,19275415.496111866,1.2366902475849175,21834942.293970272,1.1327871141545405,1.091723442235592,0.4837545535335721,0.08401710422903799,1.0931449679283436,393822819638300.44,5.535324459408887e-05,1.580949631155369e-07,1.538001067253893e-06,9.595304741441455e-05,0.16384336736125077,0.16384336736125077,7.33571673864993e-19,1.0287062034110958e-20,0.0008717133610552148,0.00019650965504487477,1.9892386570263954e-05,1.1888062058382088e-05,2.2206304483283755e+19,1.9661754545316065e+19,3.46920309849686e-05,5.806677354135213e-06,26531407111286.375
default_Rd0_0,diagnostic_M7_no_phi_Dv05_trial_00097,M7_no_phi,1800.0,3.2,1.0,40,15804471.161035294,3.2000000000000006,2.628821509410849e+26,8.211015576040612e+25,1.807719951806788e+26,34359738368.0,1.3070396086229696e-16,100.00000000000001,0.035566708907389145,7.644236430151898,23.554784476137154,68.76541238480357,0.2447362687904603,0.7541250349236925,0.5591621264528662,14.325792987404865,14.884955113857732,2.594480676491293e+20,1.2482321671383347e+17,17.263661000247602,649.4986168410813,2.1551986550505446e-23,1.1476865734239018e-18,1.3293067071015773e+26,4.7234794038114543e+27,128595473.48397535,128593813.32662639,1.000012910087243,89312706.5509502,0.6945334634730618,1.4398340219441845,11151515.072622446,3418021.135745063,3.262564691599436,10741807.14755644,3.142697695816013,1.0381414336934178,0.30547550289878833,0.03674011310551525,1.4762836666809918,32807421090331.676,1.2911036715413227e-05,2.015917010548033e-09,1.897056623596574e-05,0.0005945966674029715,1.397060439859954,1.397060439859954,3.042955372416583e-17,9.60074878752893e-19,0.003485570687845812,0.007421499074366904,1.608957457228151e-05,1.1225336280216672e-05,1.8266349092555186e+19,7.970047909152742e+19,0.0014984859388422252,3.10120717419279e-05,27626775604719.69
default_Rd0_0,diagnostic_M7_no_phi_Dv05_trial_00097,M7_no_phi,2200.0,3.2,1.0,40,15804471.161035294,3.2000000000000006,2.628821509410849e+26,7.339562527115724e+25,1.8948652566992768e+26,34359738368.0,1.3070396086229696e-16,100.00000000000001,0.0001299581293184547,0.036921018049413404,27.88254151361572,72.08040751020556,0.0013224053346376486,0.9986729399366314,0.00396314398989058,30.844091181300907,30.848054325290796,7.169331653706668e+17,17767705980268.656,23.631476481442036,16062.655192018214,5.527912755774893e-23,1.7359636193639068e-14,1.0741694917788497e+24,1.0344500359308932e+28,93943729.35680152,93942500.87350157,1.0000130769703652,74387656.88098294,0.7918424162578954,1.2628940511879205,7366984.923237021,138208.7813914572,53.30330568772659,7218175.584949344,52.226606097516076,1.0206159210920223,0.20816793850650703,0.020199490000081456,2.5572193053674304,142418719190.7424,7.386739203962521e-06,2.4241765263840025e-13,4.648525737790168e-05,0.02932985736284358,6.887208956184361,6.887208956184361,9.901183863882954e-15,7.300127043959911e-16,0.004275973341335578,2.3798577788295905,1.4824123498558398e-05,1.1086464697085653e-05,3.18380337472127e+17,5.771561344912925e+19,0.49042978432536516,3.5511394366725575e-05,27788354034819.348
