number,value,params_Dg_dislocation_scale,params_Dv_dislocation_scale,params_K_d,params_f_n,params_first_gas_pressure_factor,params_rho_T_amp_scale,params_rho_T_shift,params_rho_T_tau_scale,params_rho_blank_def_scale,params_rho_blank_scale,params_rho_const_scale,params_rho_mode,user_attrs_error,user_attrs_failed,user_attrs_first_gas_pressure_factor,user_attrs_max_Rd_nm,user_attrs_max_f_cap_step,user_attrs_max_psi_d,user_attrs_min_Nd,user_attrs_rho_cfg,user_attrs_score_Nd_drop,user_attrs_score_guards,user_attrs_score_partition,user_attrs_score_pressure,user_attrs_score_radius_T,user_attrs_score_swelling_T,user_attrs_score_swelling_burnup,state
0,11395.737222675643,26.58917715447055,9.22192897110859,689602.3095124103,4.6581198742180226e-07,0.7740159737805207,,,,,,0.32115938224715884,constant,,,0.7740159737805207,76366.55678634992,0.0,0.9053797233883004,397826815855.761,"{""rho_mode"": ""constant"", ""rho_const_scale"": 0.32115938224715884, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.7740159737805207}",2.6521096681461844,2275.546892437477,0.68706427472477,0.5491979172766672,0.10570649897353863,0.510629658569307,0.6825267721436179,COMPLETE
1,47510.384692022264,26.6012147598406,11.721171155398334,1571054.7991195903,1.6652256129068162e-06,0.6782277951062572,1.3599797374646023,-196.77781165114033,0.5967947149499895,0.20667191435144563,,,blank_sat_deformed,,,0.6782277951062572,159633.877262007,0.0,0.9337890019173247,47783996284.58782,"{""rho_mode"": ""blank_sat_deformed"", ""rho_blank_def_scale"": 0.20667191435144563, ""rho_T_shift"": -196.77781165114033, ""rho_T_tau_scale"": 0.5967947149499895, ""rho_T_amp_scale"": 1.3599797374646023, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.6782277951062572}",3.860141295713139,9498.623201406743,1.7204905132862067,0.5887742561723707,0.10576765954339089,0.30348298173682753,0.3456791236247749,COMPLETE
2,79160.01734716084,9.99596084802561,14.727897392334283,1196297.6606104635,2.918437697817308e-06,0.253822832013191,,,,,,1.2275890269812304,constant,,,0.253822832013191,207285.6137103933,0.0,0.9386050226632985,22164223825.07999,"{""rho_mode"": ""constant"", ""rho_const_scale"": 1.2275890269812304, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.253822832013191}",4.1823542236081535,15828.238916185755,0.7460402038683404,0.44762532713319786,0.24217412576784536,0.3283768659365852,0.2130820897572779,COMPLETE
3,25845.996598105634,11.905220789116147,16.173432324380165,119329.43771440996,1.85054781424385e-06,0.5502004775510034,1.1843696370974834,-4.126340777057038,1.0078047990145114,0.22026938386999728,,,blank_sat_deformed,,,0.5502004775510034,113680.32652588953,0.0,0.9087125954883893,121936885167.65984,"{""rho_mode"": ""blank_sat_deformed"", ""rho_blank_def_scale"": 0.22026938386999728, ""rho_T_shift"": -4.126340777057038, ""rho_T_tau_scale"": 1.0078047990145114, ""rho_T_amp_scale"": 1.1843696370974834, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.5502004775510034}",4.10959096550804,5164.311753904062,0.870571187570719,0.699730446722508,0.37127180920413394,0.37525940910877836,0.4282466348343572,COMPLETE
4,1190.525031620896,11.169454846151165,1.8323392283214979,491415.62214263395,2.4880990185696883e-07,0.5783048959236706,,,,,,0.4373997057072118,constant,,,0.5783048959236706,25890.39634956715,0.0,0.88611156609361,9571070375296.64,"{""rho_mode"": ""constant"", ""rho_const_scale"": 0.4373997057072118, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.5783048959236706}",0.34448384637379376,236.6438475970522,0.4685917788467445,0.31368454212508307,0.01375263671485935,0.23692443740615024,0.2630239842138935,COMPLETE
5,1241.7803437493465,3.689700411107131,2.924325455417738,1792615.6450895674,1.9921209924726883e-06,0.6115547375158816,0.7152637388963435,-174.90825266555913,0.9262920963361979,2.1704082842946923,,,blank_sat_deformed,,,0.6115547375158816,26835.879041396467,0.0,0.951513608047069,10641648866475.414,"{""rho_mode"": ""blank_sat_deformed"", ""rho_blank_def_scale"": 2.1704082842946923, ""rho_T_shift"": -174.90825266555913, ""rho_T_tau_scale"": 0.9262920963361979, ""rho_T_amp_scale"": 0.7152637388963435, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.6115547375158816}",0.0703298412867826,239.8008059267674,5.102304142949589,0.13883394596042034,0.7019619959394212,0.298176430594557,0.2730143299829717,COMPLETE
6,59.807798748560394,3.306589252498162,11.350235123017653,2052610.815212538,2.9373166849583073e-07,0.5535362048031239,1.29174155770929,36.768282599321594,2.8206632246942522,4.566020160593916,,,blank_sat_deformed,,,0.5535362048031239,34.92452325123898,0.0,0.5121194473924323,2.369182616815496e+20,"{""rho_mode"": ""blank_sat_deformed"", ""rho_blank_def_scale"": 4.566020160593916, ""rho_T_shift"": 36.768282599321594, ""rho_T_tau_scale"": 2.8206632246942522, ""rho_T_amp_scale"": 1.29174155770929, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.5535362048031239}",0.27948282950887965,0.0,8.362787590414486,0.0003817538053800652,0.8473539504168242,0.4464031710023443,0.230630876205503,COMPLETE
7,11481.692554209161,3.4894068380988474,5.452105031418427,236027.26723572257,8.295553548368715e-07,0.30391754271621024,1.024126217994942,207.54683669988822,2.645410595063324,1.387755876022996,,,blank_sat_deformed,,,0.30391754271621024,79042.05682001942,0.0,0.9258157983723181,383628138425.0725,"{""rho_mode"": ""blank_sat_deformed"", ""rho_blank_def_scale"": 1.387755876022996, ""rho_T_shift"": 207.54683669988822, ""rho_T_tau_scale"": 2.645410595063324, ""rho_T_amp_scale"": 1.024126217994942, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.30391754271621024}",2.050274097936817,2290.4764087206995,5.083847767476901,0.46725001602686533,0.006858349609384479,0.5829810834411575,0.7012080811319494,COMPLETE
8,55.87362261448078,25.300316770565157,1.4405520497030173,1428460.3928008617,1.5203382450984604e-06,0.9196528203688624,,,,,4.046583083699505,,blank_sat,,,0.9196528203688624,58.04695734787582,0.0,0.6060737728128234,1.3180057142729993e+20,"{""rho_mode"": ""blank_sat"", ""rho_blank_scale"": 4.046583083699505, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.9196528203688624}",0.12227564958225322,0.0,8.77228527561453,0.009133135707868008,0.6677812013737152,0.4540622661228484,0.37181446346976477,COMPLETE
9,12384.805062745889,5.7801394379155715,10.42895346972528,134079.37634664637,5.794437653546188e-08,0.8709632297108999,1.2709285486517448,-152.1025004556018,0.5910477612636359,0.236375258314763,,,blank_sat_deformed,,,0.8709632297108999,79000.48927903542,0.0,0.9028243262458129,356313112531.7581,"{""rho_mode"": ""blank_sat_deformed"", ""rho_blank_def_scale"": 0.236375258314763, ""rho_T_shift"": -152.1025004556018, ""rho_T_tau_scale"": 0.5910477612636359, ""rho_T_amp_scale"": 1.2709285486517448, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.8709632297108999}",2.687788799689757,2472.386914325326,1.2274934233069337,0.5886060631943735,0.3392847843760227,0.33517917944707926,0.3733832660771895,COMPLETE
