T_K,burnup_percent_fima,fgr_percent,swelling_total_percent,swelling_gas_total_percent,swelling_solid_percent,F_c
1200.0,0.1,0.0,0.18746176797570224,0.13746176797570225,0.05,0.013140957852199896
1200.0,0.35652173913043483,0.0,0.8529660645645065,0.6747051949992892,0.1782608695652174,0.04619128506437984
1200.0,0.6130434782608696,0.0,1.432252475343104,1.1257307362126692,0.3065217391304348,0.07955498238168894
1200.0,0.8695652173913043,0.0,1.9100466091447905,1.4752640004491384,0.43478260869565216,0.11173593304531367
1200.0,1.1260869565217393,0.0,2.35502250769888,1.7919790294380105,0.5630434782608696,0.14307090486230467
1200.0,1.3826086956521741,0.0,2.794024028598731,2.1027196807726436,0.6913043478260871,0.17403953639734537
1200.0,1.6391304347826088,0.0,3.2359831396932304,2.416417922301926,0.8195652173913044,0.20504585493248806
1200.0,1.8956521739130436,0.0,3.6846365772477756,2.7368104902912536,0.947826086956522,0.2364375970969091
1200.0,2.1521739130434785,0.0,4.141933059015597,3.0658461024938575,1.0760869565217392,0.26854869322488706
1200.0,2.4086956521739133,0.0,4.609978038020525,3.405630211933569,1.2043478260869567,0.3017393694405655
1200.0,2.665217391304348,0.0,5.091140568267883,3.7585318726157086,1.332608695652174,0.3364283194036535
1200.0,2.921739130434783,0.0,5.58832875703459,4.127459191817199,1.4608695652173913,0.37315084018138595
1200.0,3.1782608695652175,0.0,6.1062368700372165,4.5171064352546075,1.5891304347826085,0.41265080712376767
1200.0,3.4347826086956523,0.0,6.651669649443752,4.934278345095926,1.7173913043478262,0.45603935470911233
1200.0,3.691304347826087,0.9838730845797707,7.209872648174137,5.364220474261094,1.8456521739130438,0.5
1200.0,3.947826086956522,7.064066377263474,7.548902787523751,5.5749897440454905,1.973913043478261,0.5
1200.0,4.2043478260869565,9.691920403045387,7.8878642484309385,5.785690335387461,2.1021739130434782,0.5
1200.0,4.460869565217391,11.01172691893521,8.226699393760804,5.9962646111521085,2.2304347826086954,0.5
1200.0,4.717391304347826,11.770648177020965,8.565594425136645,6.206898772962733,2.358695652173913,0.5
1200.0,4.973913043478261,12.270266364779605,8.904454374590909,6.417497852851779,2.4869565217391303,0.5
1200.0,5.230434782608696,12.640704147136331,9.243228275182995,6.628010883878647,2.615217391304348,0.5
1200.0,5.48695652173913,12.940776022865194,9.582068183346657,6.838589922477093,2.7434782608695647,0.5
1200.0,5.743478260869566,13.198321994349127,9.920887936897627,7.049148806462843,2.8717391304347832,0.5
1200.0,6.0,13.426943932135334,10.259647418834373,7.259647418834374,3.0,0.5
1400.0,0.1,0.0,0.20962716043497753,0.15962716043497754,0.05,0.018204791547783365
1400.0,0.35652173913043483,0.0,1.0241106974537062,0.8458498278884887,0.1782608695652174,0.09089213131688814
1400.0,0.6130434782608696,0.0,1.8513548920094487,1.544833152879014,0.3065217391304348,0.18463690624657983
1400.0,0.8695652173913043,0.0,2.646075415042488,2.211292806346836,0.43478260869565216,0.2845022853919254
1400.0,1.1260869565217393,0.0,3.4644696401042903,2.9014261618434207,0.5630434782608696,0.3868728162484076
1400.0,1.3826086956521741,0.0,4.327127787147058,3.6358234393209705,0.6913043478260871,0.490161720993413
1400.0,1.6391304347826088,3.5289389424923985,4.737989609844687,3.918424392453383,0.8195652173913044,0.5
1400.0,1.8956521739130436,5.4527400178487495,5.095201529951692,4.14737544299517,0.947826086956522,0.5
1400.0,2.1521739130434785,6.928263791157641,5.450396488788097,4.374309532266357,1.0760869565217392,0.5
1400.0,2.4086956521739133,8.09683509413641,5.804567831633,4.600220005546044,1.2043478260869567,0.5
1400.0,2.665217391304348,9.045766652147497,6.158184268259596,4.825575572607422,1.332608695652174,0.5
1400.0,2.921739130434783,9.832028657439443,6.511283363873876,5.050413798656485,1.4608695652173913,0.5
1400.0,3.1782608695652175,10.494596086939957,6.864240807248889,5.27511037246628,1.5891304347826085,0.5
1400.0,3.4347826086956523,11.060709140173351,7.217016383259304,5.499625078911478,1.7173913043478262,0.5
1400.0,3.691304347826087,11.550186212730155,7.569557385106716,5.723905211193672,1.8456521739130438,0.5
1400.0,3.947826086956522,11.977836830001634,7.9221253140238765,5.948212270545616,1.973913043478261,0.5
1400.0,4.2043478260869565,12.354764394034358,8.27461252747402,6.172438614430542,2.1021739130434782,0.5
1400.0,4.460869565217391,12.689599641767915,8.626965764497974,6.3965309818892795,2.2304347826086954,0.5
1400.0,4.717391304347826,12.989154796308892,8.979381636249244,6.6206859840753305,2.358695652173913,0.5
1400.0,4.973913043478261,13.258779096000191,9.33175942082477,6.844802899085639,2.4869565217391303,0.5
1400.0,5.230434782608696,13.502820542429301,9.684051599512092,7.068834208207744,2.615217391304348,0.5
1400.0,5.48695652173913,13.724838099667556,10.036415370380436,7.292937109510871,2.7434782608695647,0.5
1400.0,5.743478260869566,13.927720813776428,10.388759385627594,7.5170202551928105,2.8717391304347832,0.5
1400.0,6.0,14.113896066262896,10.741047971155844,7.741047971155843,3.0,0.5
1600.0,0.1,0.0,0.2821178385277496,0.2321178385277496,0.05,0.021011032114241487
1600.0,0.35652173913043483,0.0,1.4562466941917944,1.277985824626577,0.1782608695652174,0.10748426058794579
1600.0,0.6130434782608696,0.0,2.778979606536331,2.4724578674058963,0.3065217391304348,0.23106163229482055
1600.0,0.8695652173913043,0.0,4.035393165430941,3.600610556735289,0.43478260869565216,0.3723008856606612
1600.0,1.1260869565217393,1.950156705106408,5.170947989463284,4.607904511202414,0.5630434782608696,0.5
1600.0,1.3826086956521741,5.893027435818041,5.620532686521446,4.929228338695359,0.6913043478260871,0.5
1600.0,1.6391304347826088,8.676438096056955,6.035480768519333,5.215915551128028,0.8195652173913044,0.5
1600.0,1.8956521739130436,10.74995707163372,6.4343011136298225,5.4864750266733004,0.947826086956522,0.5
1600.0,2.1521739130434785,12.356404197895175,6.824640411059705,5.748553454537966,1.0760869565217392,0.5
1600.0,2.4086956521739133,13.639243482500925,7.210216395484778,6.005868569397822,1.2043478260869567,0.5
1600.0,2.665217391304348,14.688178744588162,7.593025532150879,6.260416836498704,1.332608695652174,0.5
1600.0,2.921739130434783,15.56240799125444,7.973920091172312,6.51305052595492,1.4608695652173913,0.5
1600.0,3.1782608695652175,16.30291099129183,8.353641367163952,6.764510932381344,1.5891304347826085,0.5
1600.0,3.4347826086956523,16.93840993060284,8.732509725178446,7.0151184208306185,1.7173913043478262,0.5
1600.0,3.691304347826087,17.490021520251773,9.110669675212929,7.2650175012998846,1.8456521739130438,0.5
1600.0,3.947826086956522,17.973664010454286,9.488439745431316,7.514526701953056,1.973913043478261,0.5
1600.0,4.2043478260869565,18.401240201401087,9.865838850546051,7.763664937502574,2.1021739130434782,0.5
1600.0,4.460869565217391,18.782113601357196,10.24289545280721,8.012460670198514,2.2304347826086954,0.5
1600.0,4.717391304347826,19.12371446328244,10.61979088069523,8.261095228521318,2.358695652173913,0.5
1600.0,4.973913043478261,19.431850014033177,10.99649459671799,8.50953807497886,2.4869565217391303,0.5
1600.0,5.230434782608696,19.711305242092333,11.373002442737628,8.75778505143328,2.615217391304348,0.5
1600.0,5.48695652173913,19.9660010434017,11.74943883505371,9.005960574184144,2.7434782608695647,0.5
