label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D2_xe_scale,Dg_D1_scale,Dg_D3_scale,Dv_D1_scale,Dv_D2_scale,b_bulk_scale,b_dislocation_scale,gd_bubble_scale,gd_line_scale,gd_line_alpha,family,score_swig_diag,score_Rd_exp,score_rizk_prior,score_partition,score_qgb,score_radius_guard,score_radius_saturation,score_Nd_coalescence_shape,score_highT_pressure,score_rizk_fig8_dislocation_radius,score_rizk_fig8_bulk_radius,score_rizk_fig6_dislocation_burnup,score_base_highT_guard,p_d_over_eq_1p3_1600K,p_b_over_eq_1p3_1600K,bulk_gas_1p3_1600K,disl_gas_1p3_1600K,qgb_gas_1p3_1600K,bulk_gas_3p2_1600K,disl_gas_3p2_1600K,qgb_gas_3p2_1600K,v11_bulk_gas_1p1_1200,v11_disl_gas_1p1_1200,v11_qgb_gas_1p1_1200,v11_matrix_gas_1p1_1200,v11_bulk_gas_1p1_1500,v11_disl_gas_1p1_1500,v11_qgb_gas_1p1_1500,v11_matrix_gas_1p1_1500,v11_bulk_gas_1p1_1600,v11_disl_gas_1p1_1600,v11_qgb_gas_1p1_1600,v11_matrix_gas_1p1_1600,v11_bulk_gas_1p1_1800,v11_disl_gas_1p1_1800,v11_qgb_gas_1p1_1800,v11_matrix_gas_1p1_1800,v11_bulk_gas_1p1_2000,v11_disl_gas_1p1_2000,v11_qgb_gas_1p1_2000,v11_matrix_gas_1p1_2000,v11_bulk_gas_3p2_1200,v11_disl_gas_3p2_1200,v11_qgb_gas_3p2_1200,v11_matrix_gas_3p2_1200,v11_bulk_gas_3p2_1500,v11_disl_gas_3p2_1500,v11_qgb_gas_3p2_1500,v11_matrix_gas_3p2_1500,v11_bulk_gas_3p2_1600,v11_disl_gas_3p2_1600,v11_qgb_gas_3p2_1600,v11_matrix_gas_3p2_1600,v11_bulk_gas_3p2_1800,v11_disl_gas_3p2_1800,v11_qgb_gas_3p2_1800,v11_matrix_gas_3p2_1800,v11_bulk_gas_3p2_2000,v11_disl_gas_3p2_2000,v11_qgb_gas_3p2_2000,v11_matrix_gas_3p2_2000,v11_qgb_delta_1600_1200_1p1,v11_qgb_delta_2000_1600_1p1,v11_qgb_delta_1600_1200_3p2,v11_qgb_delta_2000_1600_3p2,v11_disl_min_target_1p1_1800,v11_disl_min_err_1p1_1800,v11_disl_min_target_1p1_1900,v11_disl_min_err_1p1_1900,v11_disl_min_target_1p1_2000,v11_disl_min_err_1p1_2000,v11_disl_min_target_3p2_1800,v11_disl_min_err_3p2_1800,v11_disl_min_target_3p2_1900,v11_disl_min_err_3p2_1900,v11_disl_min_target_3p2_2000,v11_disl_min_err_3p2_2000,v11_disl_delta_1900_1800_1p1,v11_disl_delta_2000_1900_1p1,v11_disl_delta_1900_1800_3p2,v11_disl_delta_2000_1900_3p2,Rd_1p3_1700K,Rd_1p3_1800K,Rd_1p3_1900K,Rd_1p3_2000K,Rd_ratio_2000_over_1800,Rd_ratio_2000_over_1700,Rd_ratio_2000_over_1900,Rd_inc_1600_1700_nm,Rd_inc_1700_1800_nm,Rd_inc_1800_1900_nm,Rd_inc_1900_2000_nm,Rd_inc_1800_2000_nm,Rd2000_max_nm,Rd1900_soft_max_nm,Rd_ratio_max,Rd_post1800_delta_max_nm,Rd_last_increment_factor_max,Rd_1900_2000_ratio_max,score_Nd_coalescence_shape_terms_rmse,Nd_drop_1600_over_1400_log10_v7,Nd_drop_1650_over_1400_log10_v7,Nd_drop_1725_over_1400_log10_v7,Nd_drop_1800_over_1400_log10_v7,Nd_drop_1725_over_1550_log10_v7,Nd_1p3_1550K_v7,Nd_1p3_1650K_v7,Nd_1p3_1800K_v7,pd_over_eq_highT_3p2_1700,pb_over_eq_highT_3p2_1700,pd_over_eq_highT_3p2_1800,pb_over_eq_highT_3p2_1800,pd_over_eq_highT_3p2_1900,pb_over_eq_highT_3p2_1900,pd_over_eq_highT_3p2_2000,pb_over_eq_highT_3p2_2000,pd_over_eq_highT_1p1_1900,pb_over_eq_highT_1p1_1900,pd_over_eq_highT_1p1_2000,pb_over_eq_highT_1p1_2000,rizk_fig8_Rd_pred_1033K,rizk_fig8_Rd_target_1033K,rizk_fig8_Rd_logerr_1033K,rizk_fig8_Rd_pred_1333K,rizk_fig8_Rd_target_1333K,rizk_fig8_Rd_logerr_1333K,rizk_fig8_Rd_pred_1589K,rizk_fig8_Rd_target_1589K,rizk_fig8_Rd_logerr_1589K,rizk_fig8_Rd_pred_1742K,rizk_fig8_Rd_target_1742K,rizk_fig8_Rd_logerr_1742K,rizk_fig8_Rd_pred_1836K,rizk_fig8_Rd_target_1836K,rizk_fig8_Rd_logerr_1836K,rizk_fig8_Rd_pred_1900K,rizk_fig8_Rd_target_1900K,rizk_fig8_Rd_logerr_1900K,rizk_fig8_Rd_pred_1961K,rizk_fig8_Rd_target_1961K,rizk_fig8_Rd_logerr_1961K,rizk_fig8_Rb_pred_1061K,rizk_fig8_Rb_target_1061K,rizk_fig8_Rb_logerr_1061K,rizk_fig8_Rb_pred_1539K,rizk_fig8_Rb_target_1539K,rizk_fig8_Rb_logerr_1539K,rizk_fig8_Rb_pred_1800K,rizk_fig8_Rb_target_1800K,rizk_fig8_Rb_logerr_1800K,rizk_fig8_Rb_pred_1989K,rizk_fig8_Rb_target_1989K,rizk_fig8_Rb_logerr_1989K,rizk_fig6_Sd_pred_1p1FIMA,rizk_fig6_Sd_target_1p1FIMA,rizk_fig6_Sd_err_scaled_1p1FIMA,rizk_fig6_Sd_pred_3p2FIMA,rizk_fig6_Sd_target_3p2FIMA,rizk_fig6_Sd_err_scaled_3p2FIMA,rizk_fig6_Sd_pred_6p0FIMA,rizk_fig6_Sd_target_6p0FIMA,rizk_fig6_Sd_err_scaled_6p0FIMA,rhoFT2_enabled,rho_global_scale,rho_slope_scale,rho_transition_end_K,rhoFT2_base_1025_1p1FIMA,rhoFT2_factor_1025K,rhoFT2_eff_1p1FIMA_1025K,rhoFT2_factor_1300K,rhoFT2_eff_1p1FIMA_1300K,rhoFT2_factor_1600K,rhoFT2_eff_1p1FIMA_1600K,rhoFT2_factor_1800K,rhoFT2_eff_1p1FIMA_1800K,rhoFT2_factor_2000K,rhoFT2_eff_1p1FIMA_2000K,rhoFT2_base_1025_1p3FIMA,rhoFT2_eff_1p3FIMA_1025K,rhoFT2_eff_1p3FIMA_1300K,rhoFT2_eff_1p3FIMA_1600K,rhoFT2_eff_1p3FIMA_1800K,rhoFT2_eff_1p3FIMA_2000K,rhoFT2_base_1025_3p2FIMA,rhoFT2_eff_3p2FIMA_1025K,rhoFT2_eff_3p2FIMA_1300K,rhoFT2_eff_3p2FIMA_1600K,rhoFT2_eff_3p2FIMA_1800K,rhoFT2_eff_3p2FIMA_2000K,rhoFT2_base_1025_6p0FIMA,rhoFT2_eff_6p0FIMA_1025K,rhoFT2_eff_6p0FIMA_1300K,rhoFT2_eff_6p0FIMA_1600K,rhoFT2_eff_6p0FIMA_1800K,rhoFT2_eff_6p0FIMA_2000K
FINAL_rank2_capture_only_capture_only_v10c_trial_00209,2.387401846212204,0.8845909259848099,0.5109565470833676,0.4955105113547229,0.14893581267090142,0.0,0.12052135035786152,1.8153413587707485e-07,305420.151563051,30000000000000.0,6.599200973984182e+19,1.0,1.0,1.0,0.3495807593185941,1.0,0.859590610885015,0.219126784155117,1.9071671552830955,1.497958543779223,80.38483788803354,8.765520882926322e+18,8.568068386768782e+18,7.384596834180819e+18,-0.06455613442897687,6.5484558105128485,3.4143768938707506,7.011889475395846e-06,0.019939067906069006,0.019939067906069006,1.0,40,1,1.0,3.29393208617033,3.9809678920530476,0.24053617888756687,2.4681200072415717,0.0415472249840374,0.5814193987766478,8.272959021289381,1.2952580730434997,0.7729648876849764,capture_only,2.0961791027567136,0.14893581267090142,0.2073486104984293,0.016181772026983964,0.0,0.0,0.03232631903564608,0.3373917099408139,0.1547611966802446,0.17645907930938542,0.20229019795665065,1.7786422370390966,0.0,0.9714263977903452,1.0031439894612912,64.68986649608212,19.658656550777234,15.465807247316167,53.941061847913936,32.23139744392806,13.757838149881316,74.41258804563701,10.557895946918116,14.411603487114617,0.6179125203302551,70.26542607952041,14.850337833690412,14.368591434502088,0.5156446522870745,58.33059294943646,25.290392996409313,16.144569163666546,0.23444489048769507,6.259816665367441,74.18158511742159,19.543694439152695,0.014903778058277833,0.2759727753731522,80.13295426665277,19.590371746941404,0.0007012110326660337,71.48751396269412,16.36955266174223,11.943750175825949,0.19918319973770154,66.59671205977187,21.337113775601022,11.905191033366465,0.1609831312606432,53.941061847913936,32.23139744392806,13.757838149881316,0.06970255827669058,7.395651262210087,74.12007454774898,18.480038997354523,0.004235192686411454,0.6866869050629069,77.66864468866021,21.64441272361417,0.00025568266270890286,1.7329656765519292,3.445802583274858,1.8140879740553668,7.8865745737328545,55.0,0.0,78.0,0.0,84.0,0.05524351047638894,45.0,0.0,70.0,0.0,80.0,0.03330507587628274,5.014375252153329,0.9369938970778549,3.869008374880778,-0.3204382339695542,116.8711887489683,159.27209341699177,203.9530618305263,262.76313452979474,1.6497751043043811,2.248314039948655,1.2883510165105359,36.48635086093475,42.40090466802347,44.68096841353454,58.81007269926843,103.49104111280298,1400.0,1300.0,12.0,350.0,0.75,1.35,0.3373917099408139,0.009894804546231168,-0.010412253315165418,-0.06455613442897687,-0.14077957367211075,-0.07809674265813246,8.839415171766927e+18,8.365091020527359e+18,6.195885031018458e+18,1.377659188974787,1.0020366070814235,1.6043646827323832,1.0004382356000563,2.0932351725933254,1.0002523713688076,4.1372578915473275,1.0002420763089155,1.1832489451333605,1.0006544882531379,1.1121105695818128,1.0006849144933774,36.88340904317706,54.90035634986601,-0.17274410838647594,51.5592055237101,62.35471248401371,-0.08256306436064358,77.34650871942756,79.02146884249838,-0.00930438282357159,134.49228216952963,128.1481728359008,0.020984944793494918,174.78272856742404,288.0994861369096,-0.21704396873964105,203.9530618305263,387.4383570341449,-0.27867238486266654,236.77727060284994,408.3316765847392,-0.23667306187468723,9.193527522177913,7.390267027041024,0.0948220498152421,11.35737753930696,8.818447970098383,0.10988590587771897,20.21707590140076,21.99481236607679,-0.036601919862413894,21.91275703323892,52.06772800089737,-0.37587160411238557,1.915723489582978,2.6,-0.17106912760425552,6.5484558105128485,3.85,0.6746139526282121,18.693116553960667,5.2,3.373279138490167,1,0.8244286218724389,0.5022342962594751,1600.0,30000000000000.0,0.8244286218724389,24732858656173.168,0.9196057897875263,27588173693625.79,1.0234354275130764,30703062825392.293,1.0234354275130764,30703062825392.293,1.0234354275130764,30703062825392.293,30000000000000.0,24732858656173.168,27588173693625.79,30703062825392.293,30703062825392.293,30703062825392.293,128000000000000.05,105526863599672.22,117709541092803.4,130999734721673.83,130999734721673.83,130999734721673.83,576000000000000.0,474870886198524.8,529692934917615.1,589498806247532.0,589498806247532.0,589498806247532.0
FINAL_rank1_capture_only_capture_only_v10c_trial_00214,2.402103280483883,0.8556610570483415,0.5171446789410238,0.5111216434022763,0.16019102998806137,0.0,0.1177043150366773,1.0792681544635681e-07,300033.90387858055,30000000000000.0,6.556534025892708e+19,1.0,1.0,1.0,0.4293652196744477,1.0,0.7121128721253279,0.20810745548691123,1.753014844742647,1.811946649888683,78.36029010589954,8.697789221414411e+18,8.413716272019665e+18,7.586401075170244e+18,-0.04495206351547949,5.87813528304428,4.414843627315426,6.81605960596958e-06,0.017110578127187956,0.017110578127187956,1.0,40,1,1.0,3.4705854875951574,3.981633503586191,0.2603606238204062,2.66036280393202,0.03580455973968514,0.650061093390578,8.465755343308974,1.232931961884006,0.8351937508144952,capture_only,2.2462533085939174,0.16019102998806137,0.21198316070831924,0.024902705402741414,0.019320413363081167,0.0,0.018242669549834944,0.3518283250225739,0.04631192753043382,0.19268045092425112,0.1910125182621471,1.7240093884383518,0.0,0.8597882325598034,1.006831091439921,68.05333558612821,16.548834426833363,15.224780677275339,59.16921328664283,26.754932355420287,14.011798584138214,77.07712228367194,8.730626834510652,13.594815506722687,0.5974353750947272,73.29929723445953,12.40434095397076,13.801134427402417,0.4952273841673098,61.96695072392676,21.532969973711307,16.278458358403984,0.2216209439579475,7.38867462170059,71.49522100666583,21.10114048532964,0.014963886303962457,0.31899551010265403,78.58697890897058,21.093333737890635,0.0006918430361303831,74.4626324008838,13.340366116094762,12.006255285432179,0.19074619758924036,70.54369381159225,17.293714943684996,12.011586368413212,0.15100487630953927,59.16921328664283,26.754932355420287,14.011798584138214,0.06405577379867451,9.196728054667334,70.85568920704104,19.943413957682434,0.004168780609180623,0.8523985703873028,75.66890103632885,23.478429277771202,0.000271115512643325,2.683642851681297,4.814875379486651,2.0055432987060353,9.466630693632988,55.0,0.0,78.0,0.00845586650865552,84.0,0.07732887272899173,45.0,0.0,70.0,0.0,80.0,0.061872842338159324,5.912868337728284,1.1788895645764654,5.205792187197318,-0.39258035790950885,113.9362206287982,155.10364149613991,194.16374527272492,237.73597032673743,1.5327555693310657,2.0865706183223,1.224409685715582,35.57593052289866,41.16742086734172,39.06010377658501,43.572225054012506,82.63232883059752,1400.0,1300.0,12.0,350.0,0.75,1.35,0.3518283250225739,0.01442101632969285,-0.001121594065357435,-0.04495206351547949,-0.10827489104042888,-0.06051552568474597,8.720699561512591e+18,8.39201533044857e+18,6.557117583303299e+18,1.2086117049235736,1.0057416555474648,1.4302114332805973,1.0010052820911552,1.7593838297284141,1.0003250292776866,3.3403217743629465,1.0002737173285483,1.14392317584573,1.0003088314426098,1.074875296722428,1.0003082771484662,35.87359978194531,54.90035634986601,-0.1848002047045119,50.011230599340514,62.35471248401371,-0.0958017399168482,75.41328461118026,79.02146884249838,-0.02029724122599699,131.38582734501068,128.1481728359008,0.010836101886418804,169.24547366274146,288.0994861369096,-0.23102542101243528,194.16374527272492,387.4383570341449,-0.3000344737602418,219.54146180809516,408.3316765847392,-0.2694965202830028,10.932330834999666,7.390267027041024,0.17005263515208296,14.06210873002134,8.818447970098383,0.20265829476999442,26.15761150222257,21.99481236607679,0.07527782382736815,28.27805974739467,52.06772800089737,-0.26511901970615886,1.768186963903361,2.6,-0.2079532590241598,5.87813528304428,3.85,0.50703382076107,18.372974479291507,5.2,3.293243619822877,1,0.8203861587837046,0.5005897953359026,1600.0,30000000000000.0,0.8203861587837046,24611584763511.137,0.9147865224572088,27443595673716.266,1.0177687373737592,30533062121212.773,1.0177687373737592,30533062121212.773,1.0177687373737592,30533062121212.773,30000000000000.0,24611584763511.137,27443595673716.266,30533062121212.773,30533062121212.773,30533062121212.773,128000000000000.05,105009428324314.22,117092674874522.77,130274398383841.22,130274398383841.22,130274398383841.22,576000000000000.0,472542427459413.8,526917036935352.25,586234792727285.2,586234792727285.2,586234792727285.2
FINAL_rank5_capture_only_capture_only_v10c_trial_00239,2.4060179000588002,0.8898501823346778,0.4942525336030042,0.49214594020000907,0.1779334960593588,0.0,0.11946726477236304,1.9205057644028908e-07,411036.85056256806,30000000000000.0,6.583203331694835e+19,1.0,1.0,1.0,0.3398482721611452,1.0,0.8800852021641807,0.8603407131847575,2.0267034912066615,1.5026800106053437,75.22773077916153,1.136495502282914e+19,1.1121926290027952e+19,9.49773311040821e+18,-0.06856005089493404,6.743749571881887,3.504726947461751,2.8311305569824388e-05,0.08226112298562616,0.08226112298562616,1.0,40,1,1.0,3.73164629961444,3.990546223829547,0.22473125931106017,2.5671683569230597,0.030051747609741546,0.5615692363947323,7.471072584909705,1.4676893767655368,0.7542408230109359,capture_only,2.207679842694204,0.1779334960593588,0.21906775517764984,0.009830469571056068,0.0,0.0,0.023699298242417784,0.33527175776102425,0.14165285080197337,0.21133882528370151,0.22012833699087692,1.8282975904494034,0.0,0.9276428508581168,1.0040105354564717,63.643303021390594,21.27622067400336,14.920183428406267,53.27915399632196,33.50505076659028,13.157070467347049,76.274651687388,10.751735915454551,12.417554253131405,0.5560581440260464,70.61927765751159,15.574129608383297,13.344838154458248,0.4617545796468657,55.84141323482766,28.259038610024334,15.689901633333358,0.2096465218146487,4.437728541840022,77.01674605016883,18.533130927465773,0.012394480525401161,0.17436733241595298,81.38009371662555,18.444978971487277,0.0005599794712233553,73.09398420689355,15.647026910455162,11.087132083707337,0.17185679894395461,67.94300252299108,20.777771954733474,11.142289666387112,0.13693585588833487,53.27915399632196,33.50505076659028,13.157070467347049,0.05872476974072546,4.788213799273977,77.89964196786808,17.308602900914543,0.0035413319434159985,0.20290043564795768,79.8655507174748,19.931342845492903,0.0002060013843546113,3.2723473802019534,2.755077338153919,2.0699383836397125,6.774272378145854,55.0,0.0,78.0,0.0,84.0,0.037427232619634966,45.0,0.0,70.0,0.0,80.0,0.001920704036074231,3.6813959952007878,0.6819516712559306,2.680194237676588,-0.7142854880698621,109.10372751611413,145.90164013813958,183.09281197565477,229.53382551497177,1.573209357329015,2.10381286451529,1.2536473881098735,33.8759967369526,36.79791262202545,37.191171837515185,46.441013539317,83.63218537683218,1400.0,1300.0,12.0,350.0,0.75,1.35,0.33527175776102425,0.009387708843217312,-0.012557828403249758,-0.06856005089493404,-0.14177534561050353,-0.08225049916192878,1.1478112068876476e+19,1.0804935633728723e+19,8.024253990294161e+18,1.3774414536693003,1.002366856908249,1.564003116810463,1.0004100043416475,2.0138990815355315,1.0002659213892695,4.040931615226289,1.0002893935671708,1.139697619823385,1.0005638335992253,1.0753254262177514,1.0005726209942023,34.36990033721643,54.90035634986601,-0.20339689058819713,48.01826733370122,62.35471248401371,-0.11346279589926542,72.36010002748469,79.02146884249838,-0.038245939501043415,124.65389198033886,128.1481728359008,-0.012006575579613158,158.97431467545064,288.0994861369096,-0.25821552220647026,183.09281197565477,387.4383570341449,-0.32553131967097393,209.37450535954443,408.3316765847392,-0.29008927351987124,9.428897455080829,7.390267027041024,0.10580078183081182,11.733827874501038,8.818447970098383,0.1240475563253339,19.51038159132519,21.99481236607679,-0.052054497866751,20.46161446499767,52.06772800089737,-0.4056287299625346,2.0467845076741202,2.6,-0.13830387308146996,6.743749571881887,3.85,0.7234373929704717,19.052093372081696,5.2,3.4630233430204242,1,0.7904632585494948,0.5312997131833229,1600.0,30000000000000.0,0.7904632585494948,23713897756484.844,0.8870004412779164,26610013238337.492,0.9923137315271038,29769411945813.113,0.9923137315271038,29769411945813.113,0.9923137315271038,29769411945813.113,30000000000000.0,23713897756484.844,26610013238337.492,29769411945813.113,29769411945813.113,29769411945813.113,128000000000000.05,101179297094335.38,113536056483573.34,127016157635469.33,127016157635469.33,127016157635469.33,576000000000000.0,455306836924509.0,510912254176079.9,571572709359611.8,571572709359611.8,571572709359611.8
FINAL_rank3_capture_only_capture_only_v10c_trial_00255,2.414939829297323,0.8582813095923776,0.4986276253464854,0.4998525879129952,0.19473262685738563,0.0,0.10724512100279905,1.044226894565322e-07,410770.3183661,30000000000000.0,6.400518030473664e+19,1.0,1.0,1.0,0.6623695711638253,1.0,0.9328471731330473,0.8694864162241303,1.6439596882584129,2.129431496806676,71.59847617332856,1.069279440721378e+19,1.0381573053488996e+19,9.058915454621234e+18,-0.05918695789150089,5.568461516774418,5.29660000546722,3.004510265710078e-05,0.073775273760594,0.073775273760594,1.0,40,1,1.0,3.0361088922389388,3.9968960104397944,0.23231499656211163,2.4768763204571087,0.03510068885338958,0.4807459098313114,6.554370781353497,1.2960147141452039,0.7298075306084317,capture_only,2.463874001880512,0.19473262685738563,0.2073029276342582,0.01110211324256416,0.011333536092718297,0.0,0.031209637856329263,0.33987106684296187,0.19683283564496482,0.2030993506155676,0.21712585097166,1.6987027937274464,0.0,0.8084934757743348,1.0147674968191214,71.22141153522469,15.931874054629342,12.699129397889154,62.80519117505177,25.764411252366617,11.37534509614843,79.12440674254876,8.915431495194799,11.468517609739278,0.4916441525171684,75.59500546517847,12.318200078752719,11.680778447411036,0.40601600865775755,65.43385144016258,20.83842635425388,13.538632458645122,0.18908974693841515,9.925493606806643,71.88058704087271,18.179722624271655,0.014196728049007405,0.4351484536745128,81.05126450275452,18.51287513646873,0.0007119071022620279,76.28463653029777,13.36441864787304,10.19545509441797,0.1554897274112324,73.3144143654361,17.077280495469378,9.48370879491082,0.12459634418369744,62.80519117505177,25.764411252366617,11.37534509614843,0.05505247643318048,10.60658042224591,72.10959925398232,17.279732006747125,0.0040883170246416405,0.5482647427554656,79.01597694446686,20.435500322138143,0.0002579906395448084,2.0701148489058436,4.974242677823607,1.1798900017304614,9.060155225989712,55.0,0.0,78.0,0.0,84.0,0.042124792817792564,45.0,0.0,70.0,0.0,80.0,0.014057472221902043,7.6637256990677685,1.5069517628140403,6.660495580412572,0.24588211007196037,104.28286399796276,147.0690768255714,191.53691740739518,249.3132029737291,1.695211585977537,2.390739891633582,1.3016456897624853,32.6843878246342,42.78621282760862,44.46784058182379,57.77628556633391,102.2441261481577,1400.0,1300.0,12.0,350.0,0.75,1.35,0.33987106684296187,0.012828052256365616,-0.005658438968957335,-0.05918695789150089,-0.1430002614847321,-0.07443234015051302,1.0752477603484778e+19,1.024718850347084e+19,7.469007626380928e+18,1.1575604596868572,1.0153035966439596,1.5116034333769721,1.0027483627496794,2.138046099634014,1.0004730145477763,4.446420035865805,1.0003016625836916,1.149607556917075,1.000323396174063,1.0932004916816713,1.0002550839639754,33.719154956760406,54.90035634986601,-0.21169848126018082,46.416338629295545,62.35471248401371,-0.128198401190532,68.96164085059912,79.02146884249838,-0.0591375116395695,121.89848891024698,128.1481728359008,-0.021714096291861128,162.68247340532784,288.0994861369096,-0.24820171691479714,191.53691740739518,387.4383570341449,-0.305950120768481,223.6864706143102,408.3316765847392,-0.2613733547421914,12.623847576102994,7.390267027041024,0.23253161138395265,16.804889244517028,8.818447970098383,0.2800434976604781,33.18299397816301,21.99481236607679,0.1785953067945626,36.39652814386997,52.06772800089737,-0.1555086690731238,1.6593975067391873,2.6,-0.2351506233152032,5.568461516774418,3.85,0.4296153791936045,18.21144218947626,5.2,3.252860547369065,1,0.7361643491473747,0.5338512978080712,1600.0,30000000000000.0,0.7361643491473747,22084930474421.242,0.8265019255964786,24795057767894.36,0.9250520089955011,27751560269865.035,0.9250520089955011,27751560269865.035,0.9250520089955011,27751560269865.035,30000000000000.0,22084930474421.242,24795057767894.36,27751560269865.035,27751560269865.035,27751560269865.035,128000000000000.05,94229036690864.0,105792246476349.3,118406657151424.19,118406657151424.19,118406657151424.19,576000000000000.0,424030665108887.8,476065109143571.7,532829957181408.6,532829957181408.6,532829957181408.6
FINAL_rank4_capture_only_capture_only_v10c_trial_00473,2.4235864588948615,0.8479885449697648,0.5073537417261456,0.5284040245292179,0.20373890278956702,0.0,0.08657146102381592,3.305029298425117e-08,432990.778952636,30000000000000.0,6.102973235375966e+19,1.0,1.0,1.0,0.5386774287337267,1.0,0.5269138876515304,0.9442774967556997,1.6985521214681598,2.065706042290355,70.3545017612927,1.1644332375538565e+19,1.1118194010238992e+19,1.0543171225122605e+19,-0.0230629884362975,5.601757294814138,5.320560849959712,3.1123595125111104e-05,0.08058933346661469,0.08058933346661469,1.0,40,1,1.0,1.904037973097069,3.343717607907554,0.2682661122413258,2.2073633953182976,0.03247744161101639,0.3736795446430111,4.724464601964091,0.6112918976434157,0.7148019923100364,capture_only,2.453067110605506,0.20373890278956702,0.2053781402375923,0.01592984772030446,0.0,0.0,0.0024076912766301615,0.3684893863585864,0.0,0.24849266279739912,0.24247239005791854,1.707289488883279,0.0,0.8550118902184185,1.0173933060267222,65.64446061244135,17.59783085374136,16.473671667163593,59.42430985747343,26.526738556822657,13.945684028126498,72.7725843915957,9.402875046582684,17.006468907633675,0.8180716541879391,69.81181135865532,13.594110578993387,15.884099904278838,0.7099781580724543,59.005477288236726,22.953149975752925,17.676261422221298,0.3651113137890504,7.341411443603676,72.8162491614369,19.816898864812448,0.025440530146980972,0.2946311720842711,80.20344606994236,19.500781642652523,0.0011411153208594855,72.91411308555418,13.33092047981188,13.499775035149911,0.2551913994840462,70.23176785525682,17.400918453266165,12.156121041932467,0.21119264954453854,59.42430985747343,26.526738556822657,13.945684028126498,0.10326755757740588,7.2737988068960036,73.48423299781611,19.234725801387434,0.007242393900447365,0.2358108910329496,77.81837202414107,21.945266904021157,0.0005501808048038473,0.6697925145876233,1.824520220431225,0.44590899297658737,7.999582875894658,55.0,0.0,78.0,0.0,84.0,0.054236484715109154,45.0,0.0,70.0,0.0,80.0,0.03116611394084186,6.132459134775317,1.2547377737301417,5.062188633598694,-0.7280496072737321,101.62659991204292,136.10369439321218,163.0386505721405,185.12418418351916,1.3601701629691527,1.821611510605912,1.1354619504876629,31.272098150750224,34.47709448116926,26.93495617892833,22.08553361137865,49.02048979030698,1400.0,1300.0,12.0,350.0,0.75,1.35,0.3684893863585864,0.020080345315149704,0.009059951691635324,-0.0230629884362975,-0.06846571988453208,-0.04147917934576013,1.1599798336066333e+19,1.1352570297167112e+19,9.496608363509217e+18,1.1013942594793265,1.014101033246934,1.241258666254358,1.001676168341464,1.3426204079184474,1.0002649512663209,2.22398705269364,1.0001927962054895,1.0764784810002117,1.0005326413204325,1.029185262157083,1.000518353255025,33.07054321046567,54.90035634986601,-0.2201338347876745,45.63674748095311,62.35471248401371,-0.135554596250697,67.80329879306973,79.02146884249838,-0.06649427419020933,116.79658659034638,128.1481728359008,-0.04028226770440086,146.6268940845124,288.0994861369096,-0.29332884840771883,163.0386505721405,387.4383570341449,-0.3759120422426056,176.88078481166497,408.3316765847392,-0.3633324153764428,13.71015882815151,7.390267027041024,0.26838235527334625,18.426181664646784,8.818447970098383,0.3200431917160969,33.56093500884224,21.99481236607679,0.18351379034700596,35.6564505840248,52.06772800089737,-0.16443051823848798,1.71511034633039,2.6,-0.2212224134174025,5.601757294814138,3.85,0.4379393237035344,18.278171149360816,5.2,3.269542787340204,1,0.7442928230129505,0.5201313343664726,1600.0,30000000000000.0,0.7442928230129505,22328784690388.516,0.8332805676403932,24998417029211.793,0.9303581072339671,27910743217019.01,0.9303581072339671,27910743217019.01,0.9303581072339671,27910743217019.01,30000000000000.0,22328784690388.516,24998417029211.793,27910743217019.01,27910743217019.01,27910743217019.01,128000000000000.05,95269481345657.7,106659912657970.36,119085837725947.83,119085837725947.83,119085837725947.83,576000000000000.0,428712666055459.5,479969606960866.44,535886269766765.0,535886269766765.0,535886269766765.0
