block,category,label,is_physical,reject_reason,score_total,score_swd,score_Rd,score_Nd,score_Nd_drop,score_pressure,score_partition,score_qgb,score_radius_guard,score_radius_saturation,score_rizk_prior,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,D2_xe_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,Rd_1p3_1800K,Rd_1p3_1900K,Rd_1p3_2000K,Rd_inc_1800_1900_nm,Rd_inc_1900_2000_nm,p_d_over_eq_1p3_1600K,p_b_over_eq_1p3_1600K,bulk_gas_1p3_1600K,disl_gas_1p3_1600K,qgb_gas_1p3_1600K,swD_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K
D4_capture_gd_escape,best_score_total,capture_only_v5_codex_trial_00228,True,,2.0970945761478705,0.9209760352092256,0.13412466297372264,0.6208595641371766,0.4690415486279047,0.0036697977390609637,0.09602515382176026,0.026101232627946707,0.0,0.06478453236279497,0.15607332432249185,2.7037487229335186e-07,421975.7505977693,26390885856514.586,7.548718832153682e+19,1.4733855550818529,1.6408532220412009,4.449781093431279,0.3124563689725349,2.7426696186580117,3.4391385310010754,0.7276359341847883,0.15820320836092322,164.81730927376162,220.6106725645457,310.80731084353744,55.79336329078407,90.19663827899174,1.0617701482475639,1.0014360166389082,62.30176238451701,29.950826326908036,7.475558397399664,2.908914922898116,87.96953755591744,1.0201064262805815e+19
D4_capture_gd_escape,best_physical,capture_only_v5_codex_trial_00228,True,,2.0970945761478705,0.9209760352092256,0.13412466297372264,0.6208595641371766,0.4690415486279047,0.0036697977390609637,0.09602515382176026,0.026101232627946707,0.0,0.06478453236279497,0.15607332432249185,2.7037487229335186e-07,421975.7505977693,26390885856514.586,7.548718832153682e+19,1.4733855550818529,1.6408532220412009,4.449781093431279,0.3124563689725349,2.7426696186580117,3.4391385310010754,0.7276359341847883,0.15820320836092322,164.81730927376162,220.6106725645457,310.80731084353744,55.79336329078407,90.19663827899174,1.0617701482475639,1.0014360166389082,62.30176238451701,29.950826326908036,7.475558397399664,2.908914922898116,87.96953755591744,1.0201064262805815e+19
D4_capture_gd_escape,best_radius_saturated,capture_only_v5_codex_trial_00158,False,,2.144152542337799,0.8920139434252896,0.2200035144312575,0.765872884676809,0.4876395302946342,0.0,0.06583300062289585,0.0,0.0,0.00056260698648952,0.17954638158451183,2.979435050827079e-07,412951.21995274036,51151678617939.89,7.468920884576187e+19,1.3618247554141718,1.4902529846225292,0.28044191058760576,0.2437899625466864,3.9777252510436645,2.3227280201215823,0.5977442348298451,0.05137944630195926,122.45318700746364,145.01803716296533,162.381984392834,22.564850155501688,17.36394722986867,1.0280913902738726,1.0032641060209668,57.45830263418487,36.27300879255295,6.060833621997946,3.0138548758444483,71.60113801527982,1.960080698236272e+19
D4_capture_gd_escape,best_partition,capture_only_v5_codex_trial_00158,False,,2.144152542337799,0.8920139434252896,0.2200035144312575,0.765872884676809,0.4876395302946342,0.0,0.06583300062289585,0.0,0.0,0.00056260698648952,0.17954638158451183,2.979435050827079e-07,412951.21995274036,51151678617939.89,7.468920884576187e+19,1.3618247554141718,1.4902529846225292,0.28044191058760576,0.2437899625466864,3.9777252510436645,2.3227280201215823,0.5977442348298451,0.05137944630195926,122.45318700746364,145.01803716296533,162.381984392834,22.564850155501688,17.36394722986867,1.0280913902738726,1.0032641060209668,57.45830263418487,36.27300879255295,6.060833621997946,3.0138548758444483,71.60113801527982,1.960080698236272e+19
D4_capture_gd_escape,best_pressure,capture_only_v5_codex_trial_00227,True,,2.0994344090198953,0.9030159639953623,0.1400386760565268,0.6204614265463448,0.4767594333199789,0.0,0.10883074367010999,0.020124472959747692,0.0,0.07083507657951704,0.16189693976372685,2.772257465588206e-07,408551.97191031766,26064651395776.793,7.558575572484538e+19,1.4684275134682332,1.6045801061648324,4.511666651551034,0.31189533921780427,3.3030838455617455,3.578000754637574,0.7171668432424002,0.1403071289818674,162.71561699166148,220.92585756133843,315.96185139320164,58.210240569676955,95.03599383186321,1.0434735502619246,1.0016223522797587,65.18207017349752,27.47666309273277,7.091580818410834,2.671072191394255,86.54138282323233,9.83842377971867e+18
D4_capture_gd_escape,best_rizk_near,capture_only_v5_codex_trial_00052,False,rejected_by_partition,3.4317335110276357,1.5629366607140267,0.27032061141607683,0.6305110595700949,0.49442690488284496,0.0,0.30851808756222515,0.6882351865389741,0.0,0.021451246911545957,0.08902874392476567,2.845956497294862e-08,486218.6155924415,21762480647894.64,7.218690557800523e+19,0.5993247392627906,1.9519001624911139,0.2753829523016018,1.0607217644722093,0.647034831939756,1.0414209720976428,1.682657993211672,6.064753677970653,113.00518898055178,155.07599605732088,203.21299253263507,42.0708070767691,48.13699647531419,0.9998554059719478,1.0002723765493655,53.89793252829211,13.685489881105658,30.9329042647225,1.0438933818170142,63.22662504212983,9.85978701979338e+18
D4_capture_gd_escape,best_low_parameter_drift,capture_only_v5_codex_trial_00052,False,rejected_by_partition,3.4317335110276357,1.5629366607140267,0.27032061141607683,0.6305110595700949,0.49442690488284496,0.0,0.30851808756222515,0.6882351865389741,0.0,0.021451246911545957,0.08902874392476567,2.845956497294862e-08,486218.6155924415,21762480647894.64,7.218690557800523e+19,0.5993247392627906,1.9519001624911139,0.2753829523016018,1.0607217644722093,0.647034831939756,1.0414209720976428,1.682657993211672,6.064753677970653,113.00518898055178,155.07599605732088,203.21299253263507,42.0708070767691,48.13699647531419,0.9998554059719478,1.0002723765493655,53.89793252829211,13.685489881105658,30.9329042647225,1.0438933818170142,63.22662504212983,9.85978701979338e+18
D4_capture_gd_escape,rejected_by_radius,capture_only_v5_codex_trial_00197,False,rejected_by_radius,2.81243061128088,1.0069952322315479,0.13218589709342668,0.5579255147538186,0.32479003636994663,0.0,0.09671275255901293,0.016344890329332,0.27120630819841524,0.942293904679979,0.17727647505217206,1.9802389920227917e-07,589290.1155201267,24749647653522.76,7.554483886591328e+19,1.5957883822994494,1.5483073691737745,0.2956841044256994,0.3211107382029529,3.3729825037100296,4.271175134943986,1.7751249539211704,0.02793921546118805,213.6420070416829,413.2816319270488,1011.6810842800047,199.63962488536592,598.3994523529559,1.0693832143782438,1.0019172981603504,59.03197410183963,33.4469799863719,7.242814772375934,3.2038774283454723,87.25860042836914,1.1512312098183264e+19
D4_capture_gd_escape,rejected_by_partition,capture_only_v5_codex_trial_00056,False,rejected_by_partition,2.4693293916933254,1.175868710787919,0.12219907221470487,0.600921436649451,0.39885974861846146,0.10829137880909409,0.15322019877453333,0.11032768276760209,0.0,0.13332494120403496,0.13137559702274493,1.138603158969269e-08,506057.6606404593,26866183798081.07,6.5190890749695e+19,0.6198192597518462,0.6282960606776847,0.2489683364983907,0.4875062308542834,2.487738683768792,3.552792167372672,1.1390103205841033,1.9906496518212276,173.025228020869,235.45937888788845,369.6327031431326,62.43415086701944,134.17332425524413,1.3900934140448353,1.0054124749628097,40.52194993791482,46.41162609246712,11.639269875569978,3.6675917733048715,91.4953147332729,1.1431305053137877e+19
