time,burnup_percent_fima,c,mb,md,Nb,Nd,Vb,Vd,Rb,Rd,nvb,nvd,generated,retained,q_gb,swelling_b,swelling_d,swelling_ig,p_b,p_d,p_b_eq,p_d_eq,lambda_d,nu_b,phi_b,phi_d,f_cap_step,cap_raw_step,capture_fraction_sum,capture_raw_sum,capture_bubbles_cumulative,max_f_cap_step,matrix_gas_percent,bulk_gas_percent,dislocation_gas_percent,qgb_gas_percent
0.0,0.0,0.0,0.0,0.0,0.0,3.2954375063456805e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2220000000000000.0,2220000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600.0,0.0005212111788895456,3.3664136668082594e+19,0.0,4.146701489374445e+22,0.0,3.294706766753647e+19,0.0,1.5307901931047704e-25,0.0,3.31850406520766e-09,0.0,5.198797608317488e+22,4.281784868782185e+22,4.150067903041254e+22,1.3171696574093119e+21,0.0,5.043504807702409e-06,5.043504807702409e-06,0.0,753898744.6128718,2220000000000000.0,668976127.9111408,1.0,0.0,0.0,0.0,1.6373796545639185e-05,1.6373796545639185e-05,1.6373796545639185e-05,1.6373796545639185e-05,0.0,1.6373796545639185e-05,0.07862173766253994,0.0,96.84516192318274,3.0762163391546995
7200.0,0.0010424223577790912,3.3803779813381825e+19,0.0,8.296534756919002e+22,672269365421.4924,3.2939197627225715e+19,0.0,3.1805788311461457e-25,0.0,4.234536216632737e-09,0.0,1.1721931969931835e+23,8.56356973756437e+22,8.299915134900338e+22,2.6365460266403223e+21,0.0,1.0476571468809346e-05,1.0476571468809346e-05,0.0,668976247.7475972,2220000000000000.0,524260482.47742295,1.0000126088764862,186744785.02568436,0.0,0.0007951685508126945,1.7642424793119434e-05,1.7642424793119434e-05,3.401622133875862e-05,3.401622133875862e-05,11860670.971162412,1.7642424793119434e-05,0.03947393534392611,0.0,96.88173286574627,3.0787931989098305
10800.0,0.0015636335366686367,3.4484934057073316e+19,209865360194.97525,1.2444359826586448e+23,1350103521512.9385,3.292955935615696e+19,1.349628542238113e-29,5.202678128525407e-25,1.476982042120863e-10,4.989374652668382e-09,13103951597.739723,2.2435636000298184e+23,1.2845354606346555e+23,1.2447808320013142e+23,3.975462863334128e+21,1.8221382476100498e-17,1.71321898244257e-05,1.7132189824443922e-05,15137412251.866533,524260735.82805806,15030649911.03213,444945540.1816169,1.0000261919225935,188297280.8510001,0.0,0.00039718125005664784,2.67046257899255e-05,2.67046257899255e-05,6.0720847128684124e-05,6.0720847128684124e-05,47915643.12536532,2.67046257899255e-05,0.026846229717967622,1.63378409258773e-10,96.87828952918134,3.0948642409373077
14400.0,0.0020848447155581823,3.513048734380846e+19,930162319052.5704,1.6590819285711463e+23,2055510342151.629,3.2919040159134106e+19,3.9295647104477415e-29,7.411614538532519e-25,2.109042243165377e-10,5.614030120844443e-09,58491686097.101715,3.52430740019365e+23,1.712713947512874e+23,1.659433233453886e+23,5.328071405898798e+21,8.077260902479404e-17,2.439832366379742e-05,2.4398323663878193e-05,15030649911.032131,444945899.6227238,10526104952.113672,395437849.8535871,1.0000428317954,195962206.03706914,0.0,0.0002646843691021356,2.7788479716501527e-05,2.7788479716501527e-05,8.850932684518564e-05,8.850932684518564e-05,105036737.88368805,2.7788479716501527e-05,0.02051159062190354,5.430926281667235e-10,96.86859448890401,3.1108939199309864
18000.0,0.0026060558944477276,3.5762516249920725e+19,2215070555609.693,2.0735952178152804e+23,2787552203853.42,3.2907886440228e+19,6.962802696422609e-29,9.756088340513042e-25,2.552104734360034e-10,6.152652282706378e-09,198899195328.90695,4.956309345405464e+23,2.1408924343910927e+23,2.07395284299993e+23,6.693959139116255e+21,1.9409176001409378e-16,3.2105224721043564e-05,3.2105224721237656e-05,10526104952.11367,395438304.7952759,8698702565.420725,360820000.5451121,1.0000609984880129,203367649.54246777,0.0,0.0001984565836826319,2.9299633522113623e-05,2.9299633522113623e-05,0.00011780896036729927,0.00011780896036729927,186713388.97629774,2.9299633522113623e-05,0.016704489994655996,1.0346482242764792e-09,96.85658113902612,3.126714369944576
21600.0,0.0031272670733372733,3.6383066214352613e+19,4132754332046.0366,2.4879789582553058e+23,3546147030820.5664,3.289619281937173e+19,1.0276027593160358e-28,1.221658058348757e-24,2.905665057951839e-10,6.631630978055486e-09,449053686836.0018,6.517313324038157e+23,2.5690709212693114e+23,2.488342788958777e+23,8.072813231053444e+21,3.6440304738115816e-16,4.018789904677999e-05,4.018789904714439e-05,8698702565.420727,360820546.89973605,7640247432.940002,334759278.275002,1.000080267700389,210751006.0413324,0.0,0.0001587248536113177,3.0678774177846965e-05,3.0678774177846965e-05,0.00014848773454514624,0.00014848773454514624,295508170.6268224,3.0678774177846965e-05,0.014161954780281693,1.6086571599993627e-09,96.84352960665095,3.142308436960112
25200.0,0.0036484782522268186,3.699284007825036e+19,6746967031751.977,2.9022358301779517e+23,3244794414951.9175,3.288401476282167e+19,1.8425719914663658e-28,1.4781760868408317e-24,3.5300318076534976e-10,7.066632736558496e-09,834669073764.8864,8.194310379503422e+23,2.99724940814753e+23,2.9026057586462036e+23,9.464364950132646e+21,5.978767307056896e-16,4.860836426172387e-05,4.860836426232175e-05,7640247432.940004,334759913.8858417,6288895174.221365,314152451.7773591,1.000100477015874,218128349.7776097,6.045180520959041,0.0001322380273267593,3.433005190549546e-05,3.433005190549546e-05,0.0001828177864506417,0.0001828177864506417,406905955.606524,3.433005190549546e-05,0.012342262868645967,2.251052919857605e-09,96.82997425201589,3.1576834828644307
28800.0,0.004169689431116365,3.759273016096339e+19,9355304123861.219,3.316368169032622e+23,3859073754930.4336,3.2871392905079816e+19,2.167042470086483e-28,1.7443392611111705e-24,3.72614374200862e-10,7.467595446158588e-09,1406036879991.2607,9.97779191192554e+23,3.425427895025749e+23,3.316744096427784e+23,1.0868379859796498e+22,8.362776722130366e-16,5.73388612117419e-05,5.733886121257818e-05,6288895174.221364,314153175.16843796,5957902200.528861,297284449.3259195,1.0001215315439371,225501206.66971543,0.9265089902726413,0.00011331863797081259,3.2842596716223554e-05,3.2842596716223554e-05,0.00021566038316686524,0.00021566038316686524,533652121.31107235,3.433005190549546e-05,0.010974608519873925,2.73113444817991e-09,96.81617218825426,3.1728532004947665
32400.0,0.00469090061000591,3.818367083120021e+19,12568553082890.355,3.7303780243827366e+23,4522190280792.463,3.2858359539047498e+19,2.4912225811645207e-28,2.0194975352623214e-24,3.903384268641317e-10,7.841242877392906e-09,1993907796966.445,1.1860216757871453e+24,3.8536063819039674e+23,3.730759861216735e+23,1.2284652068723235e+22,1.1265782543832908e-15,6.635737610186961e-05,6.635737610299619e-05,5957902200.528862,297285259.3669005,5687372411.255667,283118382.4697592,1.0001433619492015,232874135.07831466,0.7021310054151102,9.912847343987085e-05,3.388568541686109e-05,3.388568541686109e-05,0.00024954606858372633,0.00024954606858372633,686894831.2954555,3.433005190549546e-05,0.009908555012391962,3.261504117781889e-09,96.80225883733493,3.1878326043911382
