0.0	800.00	1.00e-05	0.00e+00	1.0
600.0	900.00	1.00e-05	0.00e+00	1.0
1200.0	1000.00	1.00e-05	0.00e+00	1.0
1800.0	1100.00	1.00e-05	0.00e+00	1.0
2400.0	1200.00	1.00e-05	0.00e+00	1.0
3000.0	1300.00	1.00e-05	0.00e+00	1.0
3600.0	1400.00	1.00e-05	0.00e+00	1.0
4200.0	1500.00	1.00e-05	0.00e+00	1.0
4800.0	1600.00	1.00e-05	0.00e+00	1.0
5400.0	1700.00	1.00e-05	0.00e+00	1.0
6000.0	1800.00	1.00e-05	0.00e+00	1.0
6600.0	1900.00	1.00e-05	0.00e+00	1.0
7200.0	2000.00	1.00e-05	0.00e+00	1.0
7800.0	2100.00	1.00e-05	0.00e+00	1.0
8400.0	2200.00	1.00e-05	0.00e+00	1.0
9000.0	2300.00	1.00e-05	0.00e+00	1.0
9600.0	2400.00	1.00e-05	0.00e+00	1.0
10200.0	2500.00	1.00e-05	0.00e+00	1.0
10800.0	2600.00	1.00e-05	0.00e+00	1.0
11140.0	2650.00	1.00e-05	0.00e+00	1.0
