label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D1_Xe,D2_Xe,D2_Xe_over_Dg_unscaled,D2_Xe_scaled,D2_xe_scale,D3_Xe,Dg,Dv,Rd1900_soft_max_nm,Rd2000_max_nm,Rd_1900_2000_ratio_max,Rd_1p3_1700K,Rd_1p3_1800K,Rd_1p3_1900K,Rd_1p3_2000K,Rd_inc_1600_1700_nm,Rd_inc_1700_1800_nm,Rd_inc_1800_1900_nm,Rd_inc_1800_2000_nm,Rd_inc_1900_2000_nm,Rd_last_increment_factor_max,Rd_post1800_delta_max_nm,Rd_ratio_2000_over_1700,Rd_ratio_2000_over_1800,Rd_ratio_2000_over_1900,Rd_ratio_max,bulk_gas_1p1_1200,bulk_gas_1p1_1500,bulk_gas_1p1_1600,bulk_gas_1p1_2000,bulk_gas_1p1_2200,bulk_gas_1p3_1600K,bulk_gas_3p2_1200,bulk_gas_3p2_1500,bulk_gas_3p2_1600K,bulk_gas_3p2_1800,bulk_gas_3p2_2000,bulk_gas_3p2_2200,disl_gas_1p1_1200,disl_gas_1p1_1500,disl_gas_1p1_1600,disl_gas_1p1_2000,disl_gas_1p1_2200,disl_gas_1p3_1600K,disl_gas_3p2_1200,disl_gas_3p2_1500,disl_gas_3p2_1600K,disl_gas_3p2_1800,disl_gas_3p2_2000,disl_gas_3p2_2200,family,matrix_gas_1p1_1200,matrix_gas_1p1_1500,matrix_gas_1p1_1600,matrix_gas_1p1_2000,matrix_gas_1p1_2200,matrix_gas_3p2_1200,matrix_gas_3p2_1500,matrix_gas_3p2_1800,matrix_gas_3p2_2000,matrix_gas_3p2_2200,p_b_over_eq_1p3_1600K,p_d_over_eq_1p3_1600K,qgb_gas_1p1_1200,qgb_gas_1p1_1500,qgb_gas_1p1_1600,qgb_gas_1p1_2000,qgb_gas_1p1_2200,qgb_gas_1p3_1600K,qgb_gas_3p2_1200,qgb_gas_3p2_1500,qgb_gas_3p2_1600K,qgb_gas_3p2_1800,qgb_gas_3p2_2000,qgb_gas_3p2_2200,score_base_highT_guard,score_partition,score_qgb,score_radius_guard,score_radius_saturation,score_rizk_prior,score_swig_diag,trial_number,state,selection_category,block,physical_metric
baseline_v5_C1_diffusion_escape_trial_00173,2.148685879235877,0.8852003612993459,0.7775214663883772,0.4150843229289402,0.2606547876994603,0.04001758264274462,0.007194162286605957,2.2833419594763865e-07,584314.9701318316,46195627010485.305,5.083515670109839e+19,0.2742953404454857,5.454840505738515,0.3865004594823455,1.271262172098441,1.2561376651067866,1.3621123494924654,0.0,2.756923249827539,1.193545757332875,65.79619049860614,2.3106481475505885e+19,2.5984608121554063e+19,1.7547502890186856e+19,-0.17050084892143166,3.30384337173732,4.432013762965778,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.0802386613487457e-105,2.4089378791258178e-88,1.2608213353666298e-106,0.040932585880035455,9.404503989703203e-20,2.855025590428687e-18,5.6227549299515584e-21,700.0,800.0,1.35,91.67211223440549,124.47484699662421,164.99050538869338,237.35518641245605,25.875921735799352,32.80273476221872,40.51565839206917,112.88033941583184,72.36468102376267,0.75,350.0,2.589175493257307,1.9068526062851332,1.4385990627356533,2.8,62.88255311867307,59.24575123534431,44.88676879068426,0.2919314750149122,0.02402419474551192,51.34215333110598,81.38469578946332,79.97825515342628,73.83519561298692,46.46943574519217,16.11157466080963,2.209184896406282,28.271695181414724,32.00132419207091,45.73979907072604,88.82548608399219,89.08192425674464,39.17816730443197,10.013575999821722,11.358153136972492,16.362459367476237,39.729528655859,67.09138211715387,80.1926594553474,baseline,0.6912594615059776,0.5034610377566724,0.1732098568239157,0.0003231865220244703,2.5137785223157038e-05,0.23903790508743705,0.17447081283242025,0.0032031924252912086,0.0002451652744563088,2.201840648937993e-05,1.0027398429736774,1.1407940906293856,8.15449223840624,8.249463534828115,9.20022228176578,10.88225925447087,10.894026410724615,9.33233474904673,8.362690305627497,8.489120896768814,9.741781556715031,13.797832406523527,16.796798056762047,17.598133629839822,0.0,0.0825345314179022,0.011634251787386767,0.0,0.06114250955478067,0.183900186311594,1.7554777103019767,173,TrialState.COMPLETE,best_score_total,C1_diffusion_escape,2.148685879235877
baseline_v5_C1_diffusion_escape_trial_00173,2.148685879235877,0.8852003612993459,0.7775214663883772,0.4150843229289402,0.2606547876994603,0.04001758264274462,0.007194162286605957,2.2833419594763865e-07,584314.9701318316,46195627010485.305,5.083515670109839e+19,0.2742953404454857,5.454840505738515,0.3865004594823455,1.271262172098441,1.2561376651067866,1.3621123494924654,0.0,2.756923249827539,1.193545757332875,65.79619049860614,2.3106481475505885e+19,2.5984608121554063e+19,1.7547502890186856e+19,-0.17050084892143166,3.30384337173732,4.432013762965778,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.0802386613487457e-105,2.4089378791258178e-88,1.2608213353666298e-106,0.040932585880035455,9.404503989703203e-20,2.855025590428687e-18,5.6227549299515584e-21,700.0,800.0,1.35,91.67211223440549,124.47484699662421,164.99050538869338,237.35518641245605,25.875921735799352,32.80273476221872,40.51565839206917,112.88033941583184,72.36468102376267,0.75,350.0,2.589175493257307,1.9068526062851332,1.4385990627356533,2.8,62.88255311867307,59.24575123534431,44.88676879068426,0.2919314750149122,0.02402419474551192,51.34215333110598,81.38469578946332,79.97825515342628,73.83519561298692,46.46943574519217,16.11157466080963,2.209184896406282,28.271695181414724,32.00132419207091,45.73979907072604,88.82548608399219,89.08192425674464,39.17816730443197,10.013575999821722,11.358153136972492,16.362459367476237,39.729528655859,67.09138211715387,80.1926594553474,baseline,0.6912594615059776,0.5034610377566724,0.1732098568239157,0.0003231865220244703,2.5137785223157038e-05,0.23903790508743705,0.17447081283242025,0.0032031924252912086,0.0002451652744563088,2.201840648937993e-05,1.0027398429736774,1.1407940906293856,8.15449223840624,8.249463534828115,9.20022228176578,10.88225925447087,10.894026410724615,9.33233474904673,8.362690305627497,8.489120896768814,9.741781556715031,13.797832406523527,16.796798056762047,17.598133629839822,0.0,0.0825345314179022,0.011634251787386767,0.0,0.06114250955478067,0.183900186311594,1.7554777103019767,173,TrialState.COMPLETE,best_physical_metric,C1_diffusion_escape,2.148685879235877
baseline_v5_C1_diffusion_escape_trial_00106,2.4251435955133966,1.0516174978109045,0.6608647299272041,0.48935768422499865,0.14524290230352974,0.058863229754785,0.016479668738989928,1.0788822077334202e-08,343807.57194725407,38215731289703.99,5.193374881389154e+19,0.7432034797771806,2.2181290672982743,1.769484745435229,0.7064235196950113,1.5181500258713234,0.5084272221326425,0.0,3.480392750943826,0.7129786978776236,87.97664769750189,1.220217973980323e+19,1.2917693827321539e+19,1.085085600688988e+19,-0.07572098642372259,4.449385009182996,2.8189665019595425,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.1133440812971566e-105,4.915151176274716e-87,2.5825454788047486e-105,0.8295085321018376,9.607743530569936e-20,1.1654614453788231e-18,1.5238443957074984e-20,700.0,800.0,1.35,115.9015967322117,141.72650073131572,160.80437923605257,174.94582483391264,27.92494903470981,25.824903999104023,19.077878504736844,33.219324102596914,14.14144559786007,0.75,350.0,1.5094341214135423,1.234390349942908,1.0879419184044805,2.8,46.571362957837934,44.12220716982259,33.03900515952496,0.15521436329934987,0.012186416137546199,38.97240683663524,68.90842827053508,67.59764976664668,61.0658167170155,30.60455519104404,7.352204703170153,0.8384644364443207,29.00665158231432,33.11598986453039,46.13357689093063,78.57476348955157,78.78396890000768,39.942765793888526,10.473738116520687,12.009104980656868,17.079734444026666,40.18747660478106,58.93473818768642,64.32262970862529,baseline,7.960963818857585,5.946351205482545,2.0273042432586506,0.003067206945383884,0.0002260355180123279,2.804198709531385,2.1016505692234326,0.03672551488792671,0.002504559423087513,0.00020402868774491785,1.000536716283095,1.1977361922975853,16.46102164099016,16.815451760164468,18.80011370628576,21.266954940203696,21.203618648336768,19.343724384412145,17.813634903412844,18.291594683473004,21.121924146713184,29.171242689286974,33.71055254972035,34.83870182624265,0.023561710871877337,0.1812656322241391,0.22030228874611965,0.0,0.0,0.10984921646563058,1.664694837610613,106,TrialState.COMPLETE,best_radius_saturated,C1_diffusion_escape,2.4251435955133966
baseline_v5_C1_diffusion_escape_trial_00193,2.1825007808194496,0.8897732822595281,0.8396210667265,0.4480981361532725,0.2905570988412083,0.015727300813054335,0.026648209514177575,2.996174338727338e-07,653414.0848257466,46362138451345.89,5.316406910534405e+19,0.30134924642506383,5.108984503393157,0.33132890155128353,1.6939157378690477,1.3878933447454598,1.1087585889534952,0.0,2.580556369161869,1.3516457160524376,61.169288751286786,2.6916863281280614e+19,2.937386907710097e+19,2.18581956676462e+19,-0.12834684552659836,2.9054591902951206,4.902752719091545,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.150006073738645e-105,1.898276813001672e-88,1.0017235870133597e-106,0.03180068747691159,9.83535278448865e-20,2.696018961872108e-18,6.180393226774086e-21,700.0,800.0,1.35,83.77065419015169,110.8085610112828,138.1913077048378,170.25751672639404,22.601365438864903,27.037906821131116,27.382746693555006,59.44895571511124,32.06620902155623,0.75,350.0,2.032424342060468,1.5365014685919258,1.2320421562986168,2.8,65.14607387877592,61.85309238005308,48.14283729443977,0.36176099178533616,0.028768731801630934,54.46203988435581,82.91579245335008,81.72097779548574,76.10723659414693,49.258025600186365,19.262816465141523,2.931490290994045,27.13369203870793,30.510722990907876,43.65344149706398,89.94529779808384,90.29362494640486,37.26849668099875,9.598261955909967,10.767759439391146,15.427534782143272,38.81226006284206,66.01643372795137,81.4752297928993,baseline,0.5495713721216592,0.4017173610388647,0.14134117324802933,0.0002794555728385172,2.0870469780321772e-05,0.18921132489680967,0.13844555333898256,0.002618522279974958,0.00020774508962662035,1.938217252335331e-05,1.0038319505503135,1.0804304281108572,7.1706627103945,7.23446726800018,8.06238003524822,9.692661754557985,9.677585451323727,8.149802206969019,7.296734265843144,7.372817211784133,8.416284827713978,11.927095814691606,14.720542061817484,15.593260533934139,0.0,0.07270208592852828,0.0,0.0,0.014731406222761034,0.1883001168606166,1.7989278153771278,193,TrialState.COMPLETE,best_partition_qgb,C1_diffusion_escape,2.1825007808194496
baseline_v5_C1_diffusion_escape_trial_00032,2.264286058946643,0.9223963679033659,0.5947365386063067,0.46450147587950713,0.09133783924413162,0.0,0.13712683451979138,4.672827199394771e-09,305362.7329931451,28524886416789.688,6.856410934582196e+19,2.315306662066124,4.28519095301319,2.9892071827661884,2.0287983016841324,2.4383601742338827,0.7814498005288409,0.0,3.0935099851144243,1.2236587657002531,97.87143199566711,7.877621038261719e+18,8.477421595886894e+18,6.615080922547532e+18,-0.10772862056371925,3.431284275869041,4.076985030415107,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.5772616250732375e-105,7.493734089496e-86,4.1679520197942744e-104,11.651236215380091,1.2684360228977063e-19,2.383387250536495e-18,4.7628897649737124e-20,700.0,800.0,1.35,131.88020101269618,175.64719673734186,225.1366770412093,291.2624969155271,34.00876901702907,43.76699572464568,49.48948030386745,115.61530017818524,66.12581987431778,0.75,350.0,2.2085384665700283,1.6582245679165224,1.293714115102685,2.8,55.02593998917459,53.449232299344715,44.76320923323407,0.5874702996213123,0.0493745517196468,49.49072493155646,71.54281700668723,70.82696958137895,65.804386041127,40.50462802311859,15.423338210326666,2.4421689554111086,22.5041396974938,24.90161894022392,33.69523220520957,74.39035578952914,74.91756353570653,28.78947082318737,7.998564257649793,8.81657793825572,11.952840276877133,28.341838192550938,46.002321635648855,56.64969028456809,baseline,4.5582357742829505,3.565674318718082,1.3765780581583764,0.0028851686303888336,0.00021818728926565847,1.5903046578005018,1.2468512040460429,0.0261357919220799,0.0019721243998736004,0.00017996326157720548,1.0008004465157496,1.0572438893982983,17.911684539048657,18.083474441713285,20.16498050339797,25.019288742219157,25.03284372528455,20.545537322982373,18.86831407786246,19.109601276319285,21.756658383150988,31.12739799240838,38.5723680296246,40.90796079675923,0.010328923449733789,0.17648664948373344,0.27725275461503324,0.0,0.03706596954796727,0.19123085488384228,1.8937216475849834,32,TrialState.COMPLETE,best_pressure,C1_diffusion_escape,2.2915629250957616
baseline_v5_C1_diffusion_escape_trial_00000,3.778054653229447,2.1035859472052385,0.7259841345380514,0.5411949171573808,0.5113427352862826,0.0,0.0,1e-06,500000.0,30000000000000.0,5e+19,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25870886626603495,1.1831253032983298,34.65077044037695,1.4845130421148453e+19,1.4928678941624857e+19,1.4585792233727007e+19,-0.010091355142768606,0.26061305236042703,3.055788626779738,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.0548316844992837e-105,5.853872479899845e-87,3.0548316844992837e-105,1.0,9.25e-20,5.218480065953793e-19,2.0495206715334507e-20,700.0,800.0,1.35,45.3061323496483,58.87018369914631,75.54610206705541,96.60363863645594,10.655361909271349,13.564051349498008,16.675918367909105,37.73345493730963,21.057536569400526,0.75,350.0,2.1322420084530975,1.6409603735932765,1.2787375654498978,2.8,85.11255062867461,85.12754373484526,83.20402198649633,41.73188833437624,14.31043498082652,84.34056296031662,89.73858629686015,89.58533828783567,88.0581789399025,79.40184037771695,65.86813994259143,48.731120144015605,4.075069939862977,4.549900004663527,6.655411295573943,39.616214381731524,64.30344315602116,5.6363830956920005,1.4284043953669603,1.5842125963026008,2.30201480444103,6.255204791622078,14.005386394083821,25.39606731646813,baseline,3.1318632851513692,2.3635805711873275,0.8289964075693602,0.003708300320161184,0.0004325369112209834,1.0938310231327864,0.8230017441177128,0.015511238860942063,0.0013061511112106281,0.00016967098125178934,1.0000372209775745,1.0000195459805932,7.680516146311043,7.958975689303883,9.31157031036037,18.64818898357208,21.385689326241103,9.319650530738405,7.7391782846400945,8.007447371744021,9.35275291719056,14.327443591800035,20.12516751221355,25.872642868535014,0.0,0.3741486010822648,0.06723630651290241,0.0,0.010925553093974694,0.0,1.1273220344272452,0,TrialState.COMPLETE,best_rizk_near,C1_diffusion_escape,3.778054653229447
baseline_v5_C1_diffusion_escape_trial_00173,2.148685879235877,0.8852003612993459,0.7775214663883772,0.4150843229289402,0.2606547876994603,0.04001758264274462,0.007194162286605957,2.2833419594763865e-07,584314.9701318316,46195627010485.305,5.083515670109839e+19,0.2742953404454857,5.454840505738515,0.3865004594823455,1.271262172098441,1.2561376651067866,1.3621123494924654,0.0,2.756923249827539,1.193545757332875,65.79619049860614,2.3106481475505885e+19,2.5984608121554063e+19,1.7547502890186856e+19,-0.17050084892143166,3.30384337173732,4.432013762965778,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.0802386613487457e-105,2.4089378791258178e-88,1.2608213353666298e-106,0.040932585880035455,9.404503989703203e-20,2.855025590428687e-18,5.6227549299515584e-21,700.0,800.0,1.35,91.67211223440549,124.47484699662421,164.99050538869338,237.35518641245605,25.875921735799352,32.80273476221872,40.51565839206917,112.88033941583184,72.36468102376267,0.75,350.0,2.589175493257307,1.9068526062851332,1.4385990627356533,2.8,62.88255311867307,59.24575123534431,44.88676879068426,0.2919314750149122,0.02402419474551192,51.34215333110598,81.38469578946332,79.97825515342628,73.83519561298692,46.46943574519217,16.11157466080963,2.209184896406282,28.271695181414724,32.00132419207091,45.73979907072604,88.82548608399219,89.08192425674464,39.17816730443197,10.013575999821722,11.358153136972492,16.362459367476237,39.729528655859,67.09138211715387,80.1926594553474,baseline,0.6912594615059776,0.5034610377566724,0.1732098568239157,0.0003231865220244703,2.5137785223157038e-05,0.23903790508743705,0.17447081283242025,0.0032031924252912086,0.0002451652744563088,2.201840648937993e-05,1.0027398429736774,1.1407940906293856,8.15449223840624,8.249463534828115,9.20022228176578,10.88225925447087,10.894026410724615,9.33233474904673,8.362690305627497,8.489120896768814,9.741781556715031,13.797832406523527,16.796798056762047,17.598133629839822,0.0,0.0825345314179022,0.011634251787386767,0.0,0.06114250955478067,0.183900186311594,1.7554777103019767,173,TrialState.COMPLETE,best_hard_physical_filter,C1_diffusion_escape,2.148685879235877
