Time (h)	Location	Phase	Phase instance	Moles (mol/m3)	Form units (mol/m3)	Sublattice	Sites	Constituent	Site fraction
0.756756	at grain boundary	HCP_A3	HCP_A3	0.1125698675	0.1125698675	2	0.5	VA	1
0.756756	at grain boundary	gas	GAS	0.003632474104	0.003632474104	1	1	BA	9.439754162e-07
0.756756	at grain boundary	gas	GAS	0.003632474104	0.003632474104	1	1	BA2	1.800881065e-15
0.756756	at grain boundary	gas	GAS	0.003632474104	0.003632474104	1	1	BA2O	6.598739293e-09
0.756756	at grain boundary	gas	GAS	0.003632474104	0.003632474104	1	1	BA2O2	2.410628468e-10
0.756756	at grain boundary	gas	GAS	0.003632474104	0.003632474104	1	1	BAMOO4	2.672849647e-15
0.756756	at grain boundary	gas	GAS	0.003632474104	0.003632474104	1	1	BAO	3.521425557e-07
0.756756	at grain boundary	gas	GAS	0.003632474104	0.003632474104	1	1	CS	0.9933598477
0.756756	at grain boundary	gas	GAS	0.003632474104	0.003632474104	1	1	CS2	0.006634762476
0.756756	at grain boundary	gas	GAS	0.003632474104	0.003632474104	1	1	CS2MOO4	2.443682786e-08
0.756756	at grain boundary	gas	GAS	0.003632474104	0.003632474104	1	1	CS2O	3.395951422e-06
0.756756	at grain boundary	gas	GAS	0.003632474104	0.003632474104	1	1	CS2O2	1.723523713e-15
0.756756	at grain boundary	gas	GAS	0.003632474104	0.003632474104	1	1	CSO	2.827299642e-09
0.756756	at grain boundary	gas	GAS	0.003632474104	0.003632474104	1	1	MO	1.017200557e-15
0.756756	at grain boundary	gas	GAS	0.003632474104	0.003632474104	1	1	MO2	1.989480565e-23
0.756756	at grain boundary	gas	GAS	0.003632474104	0.003632474104	1	1	MO2O6	1.334172542e-29
0.756756	at grain boundary	gas	GAS	0.003632474104	0.003632474104	1	1	MO3O9	1e-30
0.756756	at grain boundary	gas	GAS	0.003632474104	0.003632474104	1	1	MO4O12	1e-30
0.756756	at grain boundary	gas	GAS	0.003632474104	0.003632474104	1	1	MO5O15	1e-30
0.756756	at grain boundary	gas	GAS	0.003632474104	0.003632474104	1	1	MOO	2.569624843e-16
0.756756	at grain boundary	gas	GAS	0.003632474104	0.003632474104	1	1	MOO2	2.432356945e-16
0.756756	at grain boundary	gas	GAS	0.003632474104	0.003632474104	1	1	MOO3	3.406977383e-18
0.756756	at grain boundary	gas	GAS	0.003632474104	0.003632474104	1	1	O	2.427879181e-14
0.756756	at grain boundary	gas	GAS	0.003632474104	0.003632474104	1	1	O2	7.470975068e-18
0.756756	at grain boundary	gas	GAS	0.003632474104	0.003632474104	1	1	O3	1e-30
0.756756	at grain boundary	gas	GAS	0.003632474104	0.003632474104	1	1	PD	6.636883416e-07
0.756756	at grain boundary	gas	GAS	0.003632474104	0.003632474104	1	1	RH	4.068270626e-14
0.756756	at grain boundary	gas	GAS	0.003632474104	0.003632474104	1	1	RU	5.564782729e-15
0.756756	at grain boundary	gas	GAS	0.003632474104	0.003632474104	1	1	TC	3.515030012e-15
1.009008	at grain boundary	HALITE	HALITE#2	0.0412030467	0.02060152335	1	1	BA+2	1
1.009008	at grain boundary	HALITE	HALITE#2	0.0412030467	0.02060152335	1	1	VA	4.820125365e-12
1.009008	at grain boundary	HALITE	HALITE#2	0.0412030467	0.02060152335	2	1	O-2	1
1.009008	at grain boundary	HALITE	HALITE#2	0.0412030467	0.02060152335	2	1	VA	4.816338797e-12
1.009008	at grain boundary	HCP_A3	HCP_A3	0.150093156	0.150093156	1	1	BA	3.228231955e-07
1.009008	at grain boundary	HCP_A3	HCP_A3	0.150093156	0.150093156	1	1	CS	0.004528137429
1.009008	at grain boundary	HCP_A3	HCP_A3	0.150093156	0.150093156	1	1	MO	0.3036326874
1.009008	at grain boundary	HCP_A3	HCP_A3	0.150093156	0.150093156	1	1	PD	0.2620391559
1.009008	at grain boundary	HCP_A3	HCP_A3	0.150093156	0.150093156	1	1	RH	0.08180058793
1.009008	at grain boundary	HCP_A3	HCP_A3	0.150093156	0.150093156	1	1	RU	0.2745172241
1.009008	at grain boundary	HCP_A3	HCP_A3	0.150093156	0.150093156	1	1	TC	0.07348188444
1.009008	at grain boundary	HCP_A3	HCP_A3	0.150093156	0.150093156	2	0.5	O	1.100220044e-12
1.009008	at grain boundary	HCP_A3	HCP_A3	0.150093156	0.150093156	2	0.5	VA	1
1.009008	at grain boundary	gas	GAS	0.004833131942	0.004833131942	1	1	BA	9.287821778e-07
1.009008	at grain boundary	gas	GAS	0.004833131942	0.004833131942	1	1	BA2	1.743377393e-15
1.009008	at grain boundary	gas	GAS	0.004833131942	0.004833131942	1	1	BA2O	6.492532906e-09
1.009008	at grain boundary	gas	GAS	0.004833131942	0.004833131942	1	1	BA2O2	2.410628468e-10
1.009008	at grain boundary	gas	GAS	0.004833131942	0.004833131942	1	1	BAMOO4	2.806176331e-15
1.009008	at grain boundary	gas	GAS	0.004833131942	0.004833131942	1	1	BAO	3.521425557e-07
1.009008	at grain boundary	gas	GAS	0.004833131942	0.004833131942	1	1	CS	0.9933598063
1.009008	at grain boundary	gas	GAS	0.004833131942	0.004833131942	1	1	CS2	0.006634761924
1.009008	at grain boundary	gas	GAS	0.004833131942	0.004833131942	1	1	CS2MOO4	2.60754632e-08
1.009008	at grain boundary	gas	GAS	0.004833131942	0.004833131942	1	1	CS2O	3.45150291e-06
1.009008	at grain boundary	gas	GAS	0.004833131942	0.004833131942	1	1	CS2O2	1.780372382e-15
1.009008	at grain boundary	gas	GAS	0.004833131942	0.004833131942	1	1	CSO	2.873549157e-09
1.009008	at grain boundary	gas	GAS	0.004833131942	0.004833131942	1	1	MO	1.017200545e-15
1.009008	at grain boundary	gas	GAS	0.004833131942	0.004833131942	1	1	MO2	1.989480518e-23
1.009008	at grain boundary	gas	GAS	0.004833131942	0.004833131942	1	1	MO2O6	1.470594216e-29
1.009008	at grain boundary	gas	GAS	0.004833131942	0.004833131942	1	1	MO3O9	1e-30
1.009008	at grain boundary	gas	GAS	0.004833131942	0.004833131942	1	1	MO4O12	1e-30
1.009008	at grain boundary	gas	GAS	0.004833131942	0.004833131942	1	1	MO5O15	1e-30
1.009008	at grain boundary	gas	GAS	0.004833131942	0.004833131942	1	1	MOO	2.611659342e-16
1.009008	at grain boundary	gas	GAS	0.004833131942	0.004833131942	1	1	MOO2	2.512585934e-16
1.009008	at grain boundary	gas	GAS	0.004833131942	0.004833131942	1	1	MOO3	3.576923716e-18
1.009008	at grain boundary	gas	GAS	0.004833131942	0.004833131942	1	1	O	2.467595003e-14
1.009008	at grain boundary	gas	GAS	0.004833131942	0.004833131942	1	1	O2	7.717398192e-18
1.009008	at grain boundary	gas	GAS	0.004833131942	0.004833131942	1	1	O3	1e-30
1.009008	at grain boundary	gas	GAS	0.004833131942	0.004833131942	1	1	PD	6.636883537e-07
1.009008	at grain boundary	gas	GAS	0.004833131942	0.004833131942	1	1	RH	4.068270561e-14
1.009008	at grain boundary	gas	GAS	0.004833131942	0.004833131942	1	1	RU	5.564782767e-15
1.009008	at grain boundary	gas	GAS	0.004833131942	0.004833131942	1	1	TC	3.515030189e-15
1.26126	at grain boundary	HALITE	HALITE#2	0.05150380773	0.02575190386	1	1	BA+2	1
1.26126	at grain boundary	HALITE	HALITE#2	0.05150380773	0.02575190386	1	1	VA	4.820397962e-12
1.26126	at grain boundary	HALITE	HALITE#2	0.05150380773	0.02575190386	2	1	O-2	1
1.26126	at grain boundary	HALITE	HALITE#2	0.05150380773	0.02575190386	2	1	VA	4.816066399e-12
1.26126	at grain boundary	HCP_A3	HCP_A3	0.1876164436	0.1876164436	1	1	BA	3.175854677e-07
1.26126	at grain boundary	HCP_A3	HCP_A3	0.1876164436	0.1876164436	1	1	CS	0.00452813707
1.26126	at grain boundary	HCP_A3	HCP_A3	0.1876164436	0.1876164436	1	1	MO	0.3036326927
1.26126	at grain boundary	HCP_A3	HCP_A3	0.1876164436	0.1876164436	1	1	PD	0.2620391552
1.26126	at grain boundary	HCP_A3	HCP_A3	0.1876164436	0.1876164436	1	1	RH	0.08180058855
1.26126	at grain boundary	HCP_A3	HCP_A3	0.1876164436	0.1876164436	1	1	RU	0.2745172239
1.26126	at grain boundary	HCP_A3	HCP_A3	0.1876164436	0.1876164436	1	1	TC	0.0734818851
1.26126	at grain boundary	HCP_A3	HCP_A3	0.1876164436	0.1876164436	2	0.5	O	1.100220044e-12
1.26126	at grain boundary	HCP_A3	HCP_A3	0.1876164436	0.1876164436	2	0.5	VA	1
1.26126	at grain boundary	gas	GAS	0.006033791009	0.006033791009	1	1	BA	9.137130055e-07
1.26126	at grain boundary	gas	GAS	0.006033791009	0.006033791009	1	1	BA2	1.687264918e-15
1.26126	at grain boundary	gas	GAS	0.006033791009	0.006033791009	1	1	BA2O	6.387193786e-09
1.26126	at grain boundary	gas	GAS	0.006033791009	0.006033791009	1	1	BA2O2	2.410628468e-10
1.26126	at grain boundary	gas	GAS	0.006033791009	0.006033791009	1	1	BAMOO4	2.947319154e-15
1.26126	at grain boundary	gas	GAS	0.006033791009	0.006033791009	1	1	BAO	3.521425557e-07
1.26126	at grain boundary	gas	GAS	0.006033791009	0.006033791009	1	1	CS	0.9933597633
1.26126	at grain boundary	gas	GAS	0.006033791009	0.006033791009	1	1	CS2	0.006634761349
1.26126	at grain boundary	gas	GAS	0.006033791009	0.006033791009	1	1	CS2MOO4	2.783865638e-08
1.26126	at grain boundary	gas	GAS	0.006033791009	0.006033791009	1	1	CS2O	3.508425614e-06
1.26126	at grain boundary	gas	GAS	0.006033791009	0.006033791009	1	1	CS2O2	1.839581123e-15
1.26126	at grain boundary	gas	GAS	0.006033791009	0.006033791009	1	1	CSO	2.920940288e-09
1.26126	at grain boundary	gas	GAS	0.006033791009	0.006033791009	1	1	MO	1.017200567e-15
1.26126	at grain boundary	gas	GAS	0.006033791009	0.006033791009	1	1	MO2	1.989480603e-23
1.26126	at grain boundary	gas	GAS	0.006033791009	0.006033791009	1	1	MO2O6	1.622248093e-29
1.26126	at grain boundary	gas	GAS	0.006033791009	0.006033791009	1	1	MO3O9	1e-30
1.26126	at grain boundary	gas	GAS	0.006033791009	0.006033791009	1	1	MO4O12	1e-30
1.26126	at grain boundary	gas	GAS	0.006033791009	0.006033791009	1	1	MO5O15	1e-30
1.26126	at grain boundary	gas	GAS	0.006033791009	0.006033791009	1	1	MOO	2.654731507e-16
1.26126	at grain boundary	gas	GAS	0.006033791009	0.006033791009	1	1	MOO2	2.596145728e-16
1.26126	at grain boundary	gas	GAS	0.006033791009	0.006033791009	1	1	MOO3	3.756832978e-18
1.26126	at grain boundary	gas	GAS	0.006033791009	0.006033791009	1	1	O	2.508291167e-14
1.26126	at grain boundary	gas	GAS	0.006033791009	0.006033791009	1	1	O2	7.974051612e-18
1.26126	at grain boundary	gas	GAS	0.006033791009	0.006033791009	1	1	O3	1e-30
1.26126	at grain boundary	gas	GAS	0.006033791009	0.006033791009	1	1	PD	6.636883483e-07
1.26126	at grain boundary	gas	GAS	0.006033791009	0.006033791009	1	1	RH	4.068270427e-14
1.26126	at grain boundary	gas	GAS	0.006033791009	0.006033791009	1	1	RU	5.564782775e-15
1.26126	at grain boundary	gas	GAS	0.006033791009	0.006033791009	1	1	TC	3.515030351e-15
1.513512	at grain boundary	HALITE	HALITE#2	0.06180457528	0.03090228764	1	1	BA+2	1
1.513512	at grain boundary	HALITE	HALITE#2	0.06180457528	0.03090228764	1	1	VA	4.816456539e-12
1.513512	at grain boundary	HALITE	HALITE#2	0.06180457528	0.03090228764	2	1	O-2	1
1.513512	at grain boundary	HALITE	HALITE#2	0.06180457528	0.03090228764	2	1	VA	4.815699761e-12
1.513512	at grain boundary	HCP_A3	HCP_A3	0.2251397298	0.2251397298	1	1	BA	3.123913193e-07
