Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Steam pressure (atm)	System pressure (Pa)	O/M ratio (/)	BA2 (gas, at grain boundary) (g/m3)	BA2O (gas, at grain boundary) (g/m3)	BA2O2 (gas, at grain boundary) (g/m3)	BAMOO4 (gas, at grain boundary) (g/m3)	BAO (gas, at grain boundary) (g/m3)	CS (gas, at grain boundary) (g/m3)	CS2 (gas, at grain boundary) (g/m3)	CS2MOO4 (gas, at grain boundary) (g/m3)	CS2O (gas, at grain boundary) (g/m3)	CS2O2 (gas, at grain boundary) (g/m3)	CSO (gas, at grain boundary) (g/m3)	HE (gas, at grain boundary) (g/m3)	MO (gas, at grain boundary) (g/m3)	MO2 (gas, at grain boundary) (g/m3)	MO2O6 (gas, at grain boundary) (g/m3)	MO3O9 (gas, at grain boundary) (g/m3)	MO4O12 (gas, at grain boundary) (g/m3)	MO5O15 (gas, at grain boundary) (g/m3)	MOO (gas, at grain boundary) (g/m3)	MOO2 (gas, at grain boundary) (g/m3)	MOO3 (gas, at grain boundary) (g/m3)	O (gas, at grain boundary) (g/m3)	O2 (gas, at grain boundary) (g/m3)	O3 (gas, at grain boundary) (g/m3)	PD (gas, at grain boundary) (g/m3)	RH (gas, at grain boundary) (g/m3)	RU (gas, at grain boundary) (g/m3)	TC (gas, at grain boundary) (g/m3)	LIQUID (liquid, at grain boundary) (g/m3)	BA2MOO5 (condensed, at grain boundary) (g/m3)	BA3MOO6 (condensed, at grain boundary) (g/m3)	BAMO2O7 (condensed, at grain boundary) (g/m3)	BAMO3O10 (condensed, at grain boundary) (g/m3)	BAMOO4 (condensed, at grain boundary) (g/m3)	HCP_ORD (condensed, at grain boundary) (g/m3)	CS2MO2O7_S1 (condensed, at grain boundary) (g/m3)	CS2MO2O7_S2 (condensed, at grain boundary) (g/m3)	CS2MO3O10 (condensed, at grain boundary) (g/m3)	CS2MO4O13 (condensed, at grain boundary) (g/m3)	CS2MO5O16 (condensed, at grain boundary) (g/m3)	CS2MO7O22 (condensed, at grain boundary) (g/m3)	CS2MOO4_S1 (condensed, at grain boundary) (g/m3)	CS2MOO4_S2 (condensed, at grain boundary) (g/m3)	CS2O1 (condensed, at grain boundary) (g/m3)	CS2O2 (condensed, at grain boundary) (g/m3)	CS3O (condensed, at grain boundary) (g/m3)	CS4O (condensed, at grain boundary) (g/m3)	CS7O1 (condensed, at grain boundary) (g/m3)	CS7O2 (condensed, at grain boundary) (g/m3)	CSO2 (condensed, at grain boundary) (g/m3)	CSO3 (condensed, at grain boundary) (g/m3)	HALITE (condensed, at grain boundary) (g/m3)	MO2_C11A (condensed, at grain boundary) (g/m3)	MO4O11 (condensed, at grain boundary) (g/m3)	MO8O23 (condensed, at grain boundary) (g/m3)	MO9O26 (condensed, at grain boundary) (g/m3)	MOO2 (condensed, at grain boundary) (g/m3)	MOO3 (condensed, at grain boundary) (g/m3)	PEROVSKITE (condensed, at grain boundary) (g/m3)	ZRO2_TETR (condensed, at grain boundary) (g/m3)	A15_CR3SI (condensed, at grain boundary) (g/m3)	BCC_A2 (condensed, at grain boundary) (g/m3)	C14_LAVES (condensed, at grain boundary) (g/m3)	C15_LAVES (condensed, at grain boundary) (g/m3)	DIAMOND_A4 (condensed, at grain boundary) (g/m3)	DIS_SIG (condensed, at grain boundary) (g/m3)	FCC_A1 (condensed, at grain boundary) (g/m3)	HCP_A3 (condensed, at grain boundary) (g/m3)	HCP_DIS (condensed, at grain boundary) (g/m3)	MC_ETA (condensed, at grain boundary) (g/m3)	MO3TE4 (condensed, at grain boundary) (g/m3)	MOPD2 (condensed, at grain boundary) (g/m3)	MOTE2_A (condensed, at grain boundary) (g/m3)	MOTE2_B (condensed, at grain boundary) (g/m3)	ORTHORHOMBIC_A20 (condensed, at grain boundary) (g/m3)	SIGMA (condensed, at grain boundary) (g/m3)	TETRAGONAL_U (condensed, at grain boundary) (g/m3)	O (gas, matrix) (g/m3)	O2 (gas, matrix) (g/m3)	C1_MO2 (condensed, matrix) (g/m3)	PU2O3 (condensed, matrix) (g/m3)	PUO152 (condensed, matrix) (g/m3)	M2O3_C (condensed, matrix) (g/m3)	U3O8_S1 (condensed, matrix) (g/m3)	U3O8_S2 (condensed, matrix) (g/m3)	U3O8_S3 (condensed, matrix) (g/m3)	U3O8_S4 (condensed, matrix) (g/m3)	U4O9_S1 (condensed, matrix) (g/m3)	U4O9_S2 (condensed, matrix) (g/m3)	U4O9_S3 (condensed, matrix) (g/m3)	UO3 (condensed, matrix) (g/m3)	
0	1560	3.45e+19	0	0	100000	1.975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.252252	1560	3.45e+19	0	0	100000	1.9752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.504504	1560	3.45e+19	0	0	100000	1.9754	1.254e-15	4.785e-09	1.815e-10	1.859e-15	1.326e-07	0.3263	0.00433	2.395e-08	2.312e-06	1.22e-15	1.017e-09	0	5.362e-09	9.374e-24	8.562e-30	1.06e-30	1.414e-30	1.767e-30	6.95e-17	7.399e-17	1.147e-18	1.481e-07	5.683e-19	1.178e-31	1.723e-07	9.144e-15	1.205e-15	8.394e-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.756756	1560	3.45e+19	0	0	100000	1.9756	1.817e-15	7.046e-09	2.716e-10	2.919e-15	1.984e-07	0.4883	0.006479	3.822e-08	3.516e-06	1.886e-15	1.547e-09	0	8.556e-09	1.403e-23	1.411e-29	1.586e-30	2.115e-30	2.644e-30	1.057e-16	1.143e-16	1.802e-18	2.251e-07	8.782e-19	1.763e-31	2.578e-07	1.528e-14	2.053e-15	1.256e-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1.009008	1560	3.45e+19	0	0	100000	1.9758	2.341e-15	9.224e-09	3.613e-10	4.078e-15	2.639e-07	0.6497	0.008621	5.427e-08	4.754e-06	2.592e-15	2.092e-09	0	1.215e-08	1.866e-23	2.069e-29	2.111e-30	2.814e-30	3.518e-30	1.429e-16	1.571e-16	2.517e-18	3.044e-07	1.207e-18	2.346e-31	3.43e-07	2.033e-14	2.731e-15	1.671e-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1.26126	1560	3.45e+19	0	0	100000	1.976	2.828e-15	1.133e-08	4.511e-10	5.347e-15	3.295e-07	0.8111	0.01076	7.233e-08	6.033e-06	3.343e-15	2.654e-09	0	1.619e-08	2.33e-23	2.85e-29	2.635e-30	3.514e-30	4.392e-30	1.814e-16	2.027e-16	3.3e-18	3.862e-07	1.557e-18	2.929e-31	4.282e-07	2.538e-14	3.41e-15	2.086e-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1.513512	1560	3.45e+19	0	0	100000	1.9762	3.281e-15	1.336e-08	5.409e-10	6.736e-15	3.95e-07	0.9725	0.0129	9.263e-08	7.354e-06	4.143e-15	3.235e-09	0	2.074e-08	2.793e-23	3.773e-29	3.16e-30	4.213e-30	5.266e-30	2.211e-16	2.512e-16	4.157e-18	4.707e-07	1.929e-18	3.512e-31	5.134e-07	3.043e-14	4.088e-15	2.501e-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1.765764	1560	3.45e+19	0	0	100000	1.9764	3.7e-15	1.532e-08	6.306e-10	8.255e-15	4.606e-07	1.134	0.01505	1.154e-07	8.719e-06	4.994e-15	3.835e-09	0	2.584e-08	3.257e-23	4.86e-29	3.684e-30	4.912e-30	6.14e-30	2.621e-16	3.028e-16	5.095e-18	5.58e-07	2.326e-18	4.095e-31	5.986e-07	3.548e-14	4.766e-15	2.917e-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2.018016	1560	3.45e+19	0	0	100000	1.9766	4.087e-15	1.721e-08	7.204e-10	9.917e-15	5.262e-07	1.295	0.01719	1.41e-07	1.013e-05	5.899e-15	4.455e-09	0	3.157e-08	3.721e-23	6.139e-29	4.208e-30	5.611e-30	7.014e-30	3.044e-16	3.577e-16	6.121e-18	6.483e-07	2.747e-18	4.677e-31	6.838e-07	4.053e-14	5.445e-15	3.332e-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2.270268	1560	3.45e+19	0	0	100000	1.9768	4.444e-15	1.903e-08	8.102e-10	1.173e-14	5.917e-07	1.457	0.01933	1.697e-07	1.158e-05	6.862e-15	5.096e-09	0	3.798e-08	4.184e-23	7.641e-29	4.733e-30	6.31e-30	7.888e-30	3.482e-16	4.161e-16	7.242e-18	7.417e-07	3.196e-18	5.26e-31	7.69e-07	4.558e-14	6.123e-15	3.747e-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
