label,f_n,K_d,rho_d,Fdot,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,dt_h,n_modes,score_total,score_swelling,score_Rd,score_Nd,score_pressure,score_proximity,sw_d_1800_bu1.1,sw_d_2000_bu1.1,Rd_2000_bu1.1,sw_d_1800_bu1.3,sw_d_2000_bu1.3,Rd_2000_bu1.3,sw_d_1800_bu3.2,sw_d_2000_bu3.2,Rd_2000_bu3.2,error
OAT_0027_Dg_scale,3e-07,300000.0,30000000000000.0,7.5e+19,0.3,1.3,1.0,1.0,1.0,1.0,1.0,12.0,25,1.3632914790851431,0.8510560907362097,0.09297209320687502,0.5236279365253431,0.4752711592451312,0.1416037137763227,10.583415405146681,23.61848111628139,285.9964844182696,12.455845470230752,29.318810724133566,361.97393981732563,25.67385729838848,51.130018154026715,1352.7042511901764,
OAT_0028_Dg_scale,3e-07,300000.0,30000000000000.0,7.5e+19,0.3,2.0,1.0,1.0,1.0,1.0,1.0,12.0,25,1.3994378737772755,0.8851408695790555,0.08375861754158587,0.5226635202733368,0.5048268028423689,0.158611590445154,10.694678481813211,23.635328722272618,286.1918088527248,12.599191136294694,29.336189470918296,362.2531009004468,25.984061736838232,51.12773343567048,1354.0046025673873,
OAT_0029_b_scale,3e-07,300000.0,30000000000000.0,7.5e+19,0.3,1.0,0.5,1.0,1.0,1.0,1.0,12.0,25,1.3497079118918691,0.835385843892034,0.09931948939587361,0.5244262362468807,0.4571260985203192,0.158611590445154,10.48893736330159,23.603382208408025,285.82151932663203,12.336225510028623,29.303326400900865,361.7253721146866,25.434516706265136,51.13196578620314,1351.5894777643398,
OAT_0030_b_scale,3e-07,300000.0,30000000000000.0,7.5e+19,0.3,1.0,0.7,1.0,1.0,1.0,1.0,12.0,25,1.3487871848783581,0.8358494166976594,0.09920224343137367,0.524407100718188,0.45727685996517087,0.1453272235653142,10.491083902921117,23.603698886561155,285.82521198896546,12.33862007849791,29.303612707609705,361.7300226590512,25.436676463621538,51.13193467183162,1351.5970888816269,
OAT_0032_b_scale,3e-07,300000.0,30000000000000.0,7.5e+19,0.3,1.0,1.3,1.0,1.0,1.0,1.0,12.0,25,1.3492086754310084,0.8367631182890611,0.09892323595815361,0.5243670701194267,0.4576747140878053,0.1416037137763227,10.49569026366238,23.604376728404965,285.8331158026115,12.343764343430271,29.304226123482213,361.7399859550844,25.44134498321099,51.13186744993236,1351.613506344794,
OAT_0033_b_scale,3e-07,300000.0,30000000000000.0,7.5e+19,0.3,1.0,2.0,1.0,1.0,1.0,1.0,12.0,25,1.3514026779086,0.8373496154398146,0.09866690187029921,0.5243375585091398,0.45809014803830644,0.158611590445154,10.499260553852075,23.604899844911778,285.83921508630664,12.347760427247357,29.30470041134149,361.74768868077507,25.445016648352293,51.13181461359577,1351.6263616090798,
OAT_0034_gb_scale,3e-07,300000.0,30000000000000.0,7.5e+19,0.3,1.0,1.0,0.5,1.0,1.0,1.0,12.0,25,1.4397147358667501,0.9265961902975709,0.07618654147401392,0.521949422299247,0.5230286164532241,0.158611590445154,10.771705623971314,23.646390700333978,286.32151846304066,12.700365520866574,29.34749543312706,362.4393986384033,26.137943762699145,51.11970178542736,1354.8705539962664,
OAT_0035_gb_scale,3e-07,300000.0,30000000000000.0,7.5e+19,0.3,1.0,1.0,0.7,1.0,1.0,1.0,12.0,25,1.3864786212238274,0.8751657027150874,0.08643789758796405,0.5228398867873365,0.49027894307292647,0.1453272235653142,10.67012880741196,23.63172936761314,286.15148804523744,12.56764932773261,29.3323333307887,362.19578894265067,25.839597713194205,51.121545477871734,1353.7114926884312,
OAT_0037_gb_scale,3e-07,300000.0,30000000000000.0,7.5e+19,0.3,1.0,1.0,1.3,1.0,1.0,1.0,12.0,25,1.3395906937231754,0.8244576653418413,0.10940868890696823,0.5259566733190282,0.4352502831096281,0.1416037137763227,10.300097788048848,23.570395806184106,285.4358634602858,12.099144842874209,29.269761546144167,361.1747941902772,25.107942113268727,51.1539289891194,1349.1900191384068,
OAT_0038_gb_scale,3e-07,300000.0,30000000000000.0,7.5e+19,0.3,1.0,1.0,2.0,1.0,1.0,1.0,12.0,25,1.3699682727999551,0.8458174954254888,0.12829555758322564,0.5293317624740821,0.40353468214897475,0.158611590445154,9.829118670620092,23.472287295027215,284.27989692663147,11.529188937779486,29.17231060429711,359.5434895512279,24.56901745508285,51.2598043647318,1342.9750845060244,
OAT_0039_gd_scale,3e-07,300000.0,30000000000000.0,7.5e+19,0.3,1.0,1.0,1.0,0.5,1.0,1.0,12.0,25,1.588430818360225,1.049732872135249,0.1738563858695472,0.5380623591024507,0.3131996064412283,0.158611590445154,8.151938867986315,22.191683232662417,270.0425991695123,9.56227074246449,27.90712356668304,340.4210329784998,21.506301347504092,51.20431385420681,1284.7509255080608,
OAT_0040_gd_scale,3e-07,300000.0,30000000000000.0,7.5e+19,0.3,1.0,1.0,1.0,0.7,1.0,1.0,12.0,25,1.3837696968104702,0.8623731340241576,0.133839821455248,0.5302698653597361,0.38005618478106434,0.1453272235653142,9.620640498830527,23.087291262101832,279.96274653940714,11.282858829290419,28.799992320089352,353.919523516721,23.821410872939033,51.077727464319636,1326.2727583273836,
OAT_0042_gd_scale,3e-07,300000.0,30000000000000.0,7.5e+19,0.3,1.0,1.0,1.0,1.3,1.0,1.0,12.0,25,1.4257834975288848,0.9141283809300746,0.0786813724238222,0.5220070303838147,0.5168542651768536,0.1416037137763227,10.80702869748244,23.86106447387688,288.7884891154305,12.730886631959015,29.54994836704619,365.602768179104,26.162126493284042,51.1973850872225,1363.5608325744113,
OAT_0043_gd_scale,3e-07,300000.0,30000000000000.0,7.5e+19,0.3,1.0,1.0,1.0,2.0,1.0,1.0,12.0,25,1.621504442352527,1.100046781263447,0.0567265618917418,0.5209081543857111,0.6133720643556758,0.158611590445154,11.037304410573626,24.17071657331929,292.3958796107219,13.013347921085117,29.84256272408431,370.260891596425,26.759968390801163,51.29443613713454,1377.2389977477942,
OAT_0044_coalescence_d_scale,3e-07,300000.0,30000000000000.0,7.5e+19,0.3,1.0,1.0,1.0,1.0,0.5,1.0,12.0,25,1.3700831747515707,0.8395430055780425,0.10740504329121925,0.5449565798499761,0.45008612766069384,0.158611590445154,10.382495585895857,20.615664066290208,211.60945827683497,12.274015215020597,26.42264521731735,247.94808551058372,26.652436613530405,58.62511851685641,882.2653945416861,
OAT_0045_coalescence_d_scale,3e-07,300000.0,30000000000000.0,7.5e+19,0.3,1.0,1.0,1.0,1.0,0.75,1.0,12.0,25,1.358449481336424,0.8380179635075312,0.10310217879483811,0.5342701832725217,0.4537502131690271,0.1426032941673648,10.445919022991959,22.228544835159187,244.74402544787205,12.319484897533407,28.21572771001037,299.8916824579261,26.065437868610324,54.511294407599124,1132.0149919855648,
OAT_0047_coalescence_d_scale,3e-07,300000.0,30000000000000.0,7.5e+19,0.3,1.0,1.0,1.0,1.0,1.25,1.0,12.0,25,1.339850049932881,0.8346257218910804,0.09527630127326164,0.5153454671762364,0.46127245602489225,0.14005522838552448,10.52641836289177,24.593984156095495,333.65239054689533,12.342222137296714,29.75017381198693,429.53533779393393,24.805306154316867,48.30635331933767,1552.3929913830805,
OAT_0048_coalescence_d_scale,3e-07,300000.0,30000000000000.0,7.5e+19,0.3,1.0,1.0,1.0,1.0,1.5,1.0,12.0,25,1.3323516362145638,0.8327793167413818,0.09179402323333269,0.5071910569012569,0.4651060668840741,0.1472535234807631,10.545179714325213,25.183515654642726,386.19281429596793,12.324088959431666,29.746326406440676,500.0008681384764,24.18151367874637,45.89656566257507,1740.4617379525346,
OAT_0049_capture_scale,3e-07,300000.0,30000000000000.0,7.5e+19,0.3,1.0,1.0,1.0,1.0,1.0,0.5,12.0,25,1.3461172500035714,0.8322819971364427,0.09984551446737554,0.5245665308038254,0.45336926085262036,0.158611590445154,10.465866043202812,23.59226360625456,285.7000089698031,12.296148222286897,29.28662431582553,361.48141733226123,24.991463844495744,51.101634604732084,1347.1507382528373,
OAT_0050_capture_scale,3e-07,300000.0,30000000000000.0,7.5e+19,0.3,1.0,1.0,1.0,1.0,1.0,0.75,12.0,25,1.3466618103769608,0.83424313751022,0.09944682863273563,0.5244747082520741,0.45544295382337974,0.1426032941673648,10.479993875882105,23.598455596251895,285.767811222712,12.319292179288444,29.29588146914598,361.616548522539,25.229881427274858,51.1229641253543,1349.832970564937,
OAT_0052_capture_scale,3e-07,300000.0,30000000000000.0,7.5e+19,0.3,1.0,1.0,1.0,1.0,1.0,1.25,12.0,25,1.3511931028536128,0.8386739675574284,0.09866231887212151,0.524296145766465,0.4594892071490713,0.14005522838552448,10.506848725123556,23.60918301557241,285.8859940241341,12.362760321397536,29.31100675433988,361.8405686982412,25.622176870344195,51.13500321443648,1352.8099158012842,
OAT_0053_capture_scale,3e-07,300000.0,30000000000000.0,7.5e+19,0.3,1.0,1.0,1.0,1.0,1.0,1.5,12.0,25,1.3545434466768609,0.841134041641591,0.0982763855230658,0.524209357023417,0.461459874427989,0.1472535234807631,10.519604234959354,23.613824306385713,285.9374444878067,12.383153554027116,29.31717772418733,361.9333203868062,25.781223037096407,51.13547392550877,1353.6489477712378,
RAND_0000,3e-07,800000.0,50000000000000.0,1e+20,0.3,1.0,2.0,1.0,1.0,1.0,1.25,12.0,25,1.8497375101514297,1.0580542577585965,0.2642229650732564,0.8091980670665165,0.4058989381458845,0.197336020651725,8.359489790847363,11.968925100602364,107.69308815501374,10.479235619329899,16.865683749463695,132.82432248023878,27.78568285411404,53.45273184602753,1013.6795266488904,
RAND_0001,5e-07,800000.0,20000000000000.0,3e+19,0.2,1.3,2.0,0.5,0.7,1.0,0.5,12.0,25,1.4585080620420356,0.8770703950324796,0.20651997704064823,0.5743362951726239,0.26821506788783944,0.2521813900556805,9.870770626761516,19.811976587140506,203.31978539572816,11.983187514097244,27.937543547786593,282.7577409200243,27.705829605335992,55.07363315603179,1663.3867898719514,
RAND_0002,5e-07,300000.0,50000000000000.0,3e+19,0.3,1.3,0.5,1.0,0.7,1.0,1.25,12.0,25,2.0664572722263617,1.5478585247826917,0.11679390814854759,0.5349882982752564,0.38499139252511205,0.19602184643254594,12.180794431784491,23.261131865690956,238.3881795933026,14.922879529563668,32.79596374591765,357.90048425666396,33.547242263454194,57.207139142698416,2211.4537741960617,
RAND_0003,2e-07,300000.0,20000000000000.0,3e+19,0.3,0.5,0.7,0.5,0.7,0.5,0.75,12.0,25,1.4518565003019128,0.9454835322097265,0.07578329108338679,0.5668512456119998,0.3372385714491361,0.2890427410433164,11.649565022452165,25.22806110425957,275.06687737223837,13.732580804159378,32.46846308491174,335.4667858366034,29.432577506281444,63.344981475274494,1494.3544998287452,
RAND_0004,2e-06,200000.0,30000000000000.0,5e+19,0.7,0.7,1.3,0.7,1.0,1.0,1.25,12.0,25,1.4313558179598833,0.9646075800017724,0.056981107345894094,0.556116491516884,0.32278338981948645,0.12495720450983105,12.849212683698031,32.38382538756119,474.8046764283942,15.125389470303253,38.67734073955512,649.4727116679409,30.982224854842638,56.59317975763313,2732.1165586207912,
RAND_0005,2e-06,200000.0,20000000000000.0,5e+19,1.0,1.0,1.3,0.7,0.5,0.5,1.25,12.0,25,1.9385622882211133,1.4061225957722452,0.13053172248094091,0.6406868247491586,0.15960787363193796,0.1675342345472999,5.913317852209131,23.894257691177632,302.8745007787704,7.057903170811613,31.88144062379532,375.1549139721124,22.04490470099529,67.06002101680787,2148.593381671611,
