label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,score_rizk_gas_shape,score_highT_guard,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D2_xe_scale,family,score_swig_diag,score_bulk_shape,score_rizk_prior
FINAL_rank1_M7_no_phi_M7_no_phi_v2_trial_00032,1.3017071202083468,0.7824444929973385,0.30930124073226456,0.0,0.14328163590234458,0.1897432797857898,0.10269403934352693,0.06487411509831081,0.583801920112903,3.399313071968385e-08,719899.3786767556,30736632342839.484,6.333795595296755e+19,0.15,1.5813501779210546,0.583450503519331,0.916739154391782,2.7046101847544293,7.3101843593370335,0.23639811751140757,2.7300829567792797,0.4775881354629721,87.62154469637926,9.688454833824528e+18,1.7928116697813832e+19,2.8404324986877425e+18,-0.8001501974816768,3.920133603020072,2.4125335072762355,7.823883887007949e-06,0.019844329778186717,0.019844329778186717,1.0,40,1,6.43776217049874,M7_no_phi,0.9687380141690356,0.16339871693059582,0.16332171411423668
FINAL_rank3_M7_no_phi_M7_no_phi_v2_trial_00109,1.3119120811721905,0.7773579377193229,0.3191915591191547,0.0,0.12665758460297255,0.22733780095383768,0.06729141710732507,0.08639086790877673,0.6274207732243923,8.305758033790132e-08,667918.9476248991,29953682811266.047,5.837964119294923e+19,0.15,1.0798358817054754,0.6546801277247095,0.5122964920952315,3.2437724713506575,7.220843854408323,0.6500935760455404,2.839639567354347,0.2988980489566445,92.53706976397989,8.555145104291693e+18,1.6124154714721767e+19,2.5136253346197837e+18,-0.8071764117139162,4.162517899657122,1.6699319320759822,1.751075222337004e-05,0.051885147612452436,0.051885147612452436,1.0,40,1,0.12456630688964279,M7_no_phi,0.8438059553848782,0.1642196087501674,0.16271816343168913
FINAL_rank2_M7_no_phi_M7_no_phi_v2_trial_00102,1.353923425924658,0.8578175706780764,0.334887725241812,0.0,0.14074488526186157,0.1506566034374081,0.00870770651050396,0.006556145002561856,0.8035423425591345,4.835114356361203e-08,638875.2909943659,27421730978485.26,5.101262956688857e+19,0.15,0.9193239807334374,0.6442437206061807,0.9305932900285316,2.946579275195802,7.941307181193808,0.5311215312361374,2.507291285319965,0.6183605432106314,91.91286218033552,7.708809454305712e+18,1.4504687760341019e+19,1.9852020105750966e+18,-0.8637036778937126,3.49120041530346,2.4707987834638803,1.3702949104216418e-05,0.03718412708042471,0.03718412708042471,1.0,40,1,0.14923879395746728,M7_no_phi,0.917499743160726,0.13584316183785222,0.14905488447693915
