T_K,matrix_percent,bulk_percent,dislocation_percent,intergranular_percent,released_FGR_percent
900.0,4.60711666691342,54.956130343757984,25.48120435124873,14.955548638079941,0.0
950.0,4.5927754778118866,54.97988393783499,25.507282390221413,14.920058194131837,0.0
1000.0,4.5785086230469005,55.00642804741895,25.530004229337003,14.885059100197306,0.0
1050.0,4.564315164915522,55.035639170951406,25.549505594976253,14.85054006915701,0.0
1100.0,4.5501934332090705,55.067401787277106,25.56591370245745,14.816491077056526,0.0
1150.0,4.536133672551987,55.10159791852688,25.579360379322626,14.78290802959869,0.0
1200.0,4.5220665302770024,55.1380278207467,25.590079799742742,14.749825849233716,0.0
1250.0,4.507562140577297,55.17593996502252,25.59898608874578,14.717511805654661,0.0
1300.0,4.490331283993102,55.211677888456435,25.61056339125187,14.687427436298856,0.0
1350.0,4.459794304871019,55.228467503068366,25.645373542445462,14.666364649615204,0.0
1400.0,4.373829509129676,55.157565106812456,25.786897155190125,14.681708228867862,0.0
1450.0,4.098157940859512,54.75065656764275,26.325258584910404,14.82592690658744,0.0
1500.0,3.3769024059189414,53.264032356251654,28.03554767318327,14.695805538498348,0.6277120261478012
1550.0,2.204056431375664,49.23434946656442,32.13763835015051,13.254418661224568,3.169537090684988
1600.0,1.146308154345295,41.63813439356627,39.20710748132802,13.22792080921446,4.7805291615462995
1650.0,0.5298894893927399,31.378412282871434,48.46225699388154,13.292953845786254,6.336487388068011
1700.0,0.2354612766227257,20.6171941700231,58.22813265421387,12.963549097634193,7.955662801506199
1750.0,0.10320346771092098,11.689214417299526,66.463086642549,11.572038327852287,10.172457144588437
1800.0,0.04503660536909185,5.880514828331661,71.89911039454363,11.129299931744939,11.04603824001084
1850.0,0.019834407588691753,2.781664447094862,74.83553564685293,9.765076943205589,12.597888555257937
1900.0,0.008939041020510756,1.3006718406990383,76.26145163972437,11.699249777265258,10.729687701290999
1950.0,0.004155966326701689,0.6178121280844051,76.93788472060403,11.39505357497834,11.045093610006537
2000.0,0.0019986892162100187,0.3014951483058492,77.26882890738642,11.317994913630063,11.109682341461548
2050.0,0.000994147517866783,0.15168816467181498,77.44214875311775,8.554067282273278,13.851101652419258
