label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D2_xe_scale,Dg_D1_scale,Dg_D3_scale,Dv_D1_scale,Dv_D2_scale,b_bulk_scale,b_dislocation_scale,gd_bubble_scale,gd_line_scale,gd_line_alpha,family,score_swig_diag,score_rizk_prior,score_partition,score_qgb,score_radius_guard,score_radius_saturation,score_Nd_coalescence_shape,score_bulk_plateau,score_highT_pressure,score_radius_band,score_base_highT_guard,p_d_over_eq_1p3_1600K,p_b_over_eq_1p3_1600K,bulk_gas_1p3_1600K,disl_gas_1p3_1600K,qgb_gas_1p3_1600K,bulk_gas_3p2_1600K,disl_gas_3p2_1600K,qgb_gas_3p2_1600K,bulk_gas_1p1_1200,disl_gas_1p1_1200,qgb_gas_1p1_1200,matrix_gas_1p1_1200,bulk_gas_1p1_1500,disl_gas_1p1_1500,qgb_gas_1p1_1500,matrix_gas_1p1_1500,bulk_gas_1p1_1600,disl_gas_1p1_1600,qgb_gas_1p1_1600,matrix_gas_1p1_1600,bulk_gas_1p1_2000,disl_gas_1p1_2000,qgb_gas_1p1_2000,matrix_gas_1p1_2000,bulk_gas_1p1_2200,disl_gas_1p1_2200,qgb_gas_1p1_2200,matrix_gas_1p1_2200,bulk_gas_3p2_1200,disl_gas_3p2_1200,qgb_gas_3p2_1200,matrix_gas_3p2_1200,bulk_gas_3p2_1500,disl_gas_3p2_1500,qgb_gas_3p2_1500,matrix_gas_3p2_1500,bulk_gas_3p2_1800,disl_gas_3p2_1800,qgb_gas_3p2_1800,matrix_gas_3p2_1800,bulk_gas_3p2_2000,disl_gas_3p2_2000,qgb_gas_3p2_2000,matrix_gas_3p2_2000,bulk_gas_3p2_2200,disl_gas_3p2_2200,qgb_gas_3p2_2200,matrix_gas_3p2_2200,Rd_1p3_1700K,Rd_1p3_1800K,Rd_1p3_1900K,Rd_1p3_2000K,Rd_ratio_2000_over_1800,Rd_ratio_2000_over_1700,Rd_ratio_2000_over_1900,Rd_inc_1600_1700_nm,Rd_inc_1700_1800_nm,Rd_inc_1800_1900_nm,Rd_inc_1900_2000_nm,Rd_inc_1800_2000_nm,Rd2000_max_nm,Rd1900_soft_max_nm,Rd_ratio_max,Rd_post1800_delta_max_nm,Rd_last_increment_factor_max,Rd_1900_2000_ratio_max,score_Nd_coalescence_shape_terms_rmse,Nd_drop_1600_over_1400_log10_v7,Nd_drop_1650_over_1400_log10_v7,Nd_drop_1725_over_1400_log10_v7,Nd_drop_1800_over_1400_log10_v7,Nd_drop_1725_over_1550_log10_v7,Nd_1p3_1550K_v7,Nd_1p3_1650K_v7,Nd_1p3_1800K_v7,bulk_plateau_bulk_1p1_1200,bulk_plateau_disl_1p1_1200,bulk_plateau_qgb_1p1_1200,bulk_plateau_bulk_1p1_1400,bulk_plateau_disl_1p1_1400,bulk_plateau_qgb_1p1_1400,bulk_plateau_bulk_1p1_1500,bulk_plateau_disl_1p1_1500,bulk_plateau_qgb_1p1_1500,bulk_plateau_bulk_1p1_1600,bulk_plateau_disl_1p1_1600,bulk_plateau_qgb_1p1_1600,bulk_plateau_bulk_3p2_1400,bulk_plateau_disl_3p2_1400,bulk_plateau_qgb_3p2_1400,bulk_plateau_bulk_3p2_1500,bulk_plateau_disl_3p2_1500,bulk_plateau_qgb_3p2_1500,bulk_plateau_bulk_3p2_1600,bulk_plateau_disl_3p2_1600,bulk_plateau_qgb_3p2_1600,bulk_plateau_disl_1p1_2000,bulk_plateau_bulk_1p1_2000,bulk_plateau_qgb_1p1_2000,pd_over_eq_highT_3p2_1700,pb_over_eq_highT_3p2_1700,pd_over_eq_highT_3p2_1800,pb_over_eq_highT_3p2_1800,pd_over_eq_highT_3p2_1900,pb_over_eq_highT_3p2_1900,pd_over_eq_highT_3p2_2000,pb_over_eq_highT_3p2_2000,pd_over_eq_highT_1p1_1900,pb_over_eq_highT_1p1_1900,pd_over_eq_highT_1p1_2000,pb_over_eq_highT_1p1_2000,score_radius_band_terms_rmse,Rd_band_1700_nm_v8,Rd_band_1800_nm_v8,Rd_band_1900_nm_v8,Rd_band_2000_nm_v8,Rd_band_inc_1800_2000_nm_v8,score_rizk_fig6_dislocation_burnup,rizk_fig6_Sd_pred_1p1FIMA,rizk_fig6_Sd_target_1p1FIMA,rizk_fig6_Sd_err_scaled_1p1FIMA,rizk_fig6_Sd_pred_3p2FIMA,rizk_fig6_Sd_target_3p2FIMA,rizk_fig6_Sd_err_scaled_3p2FIMA,rizk_fig6_Sd_pred_6p0FIMA,rizk_fig6_Sd_target_6p0FIMA,rizk_fig6_Sd_err_scaled_6p0FIMA,rhoFT2_enabled,rho_low_scale,rho_high_scale,rho_transition_end_K,rho_D_reference,rhoFT2_sample_rhoD_reference,rhoFT2_base_1025_1p1FIMA,rhoFT2_factor_1025K,rhoFT2_eff_1p1FIMA_1025K,rhoFT2_factor_1300K,rhoFT2_eff_1p1FIMA_1300K,rhoFT2_factor_1600K,rhoFT2_eff_1p1FIMA_1600K,rhoFT2_factor_1800K,rhoFT2_eff_1p1FIMA_1800K,rhoFT2_factor_2000K,rhoFT2_eff_1p1FIMA_2000K,rhoFT2_base_1025_1p3FIMA,rhoFT2_eff_1p3FIMA_1025K,rhoFT2_eff_1p3FIMA_1300K,rhoFT2_eff_1p3FIMA_1600K,rhoFT2_eff_1p3FIMA_1800K,rhoFT2_eff_1p3FIMA_2000K,rhoFT2_base_1025_3p2FIMA,rhoFT2_eff_3p2FIMA_1025K,rhoFT2_eff_3p2FIMA_1300K,rhoFT2_eff_3p2FIMA_1600K,rhoFT2_eff_3p2FIMA_1800K,rhoFT2_eff_3p2FIMA_2000K,rhoFT2_base_1025_6p0FIMA,rhoFT2_eff_6p0FIMA_1025K,rhoFT2_eff_6p0FIMA_1300K,rhoFT2_eff_6p0FIMA_1600K,rhoFT2_eff_6p0FIMA_1800K,rhoFT2_eff_6p0FIMA_2000K
FINAL_rank1_capture_only_capture_only_v10c_trial_00356,2.4834001629741382,0.9293193713364164,0.4335119948073244,0.3571322397740168,0.18152285557881553,0.0,0.19157437709869418,2.170737492725169e-06,356150.73537923506,30000000000000.0,7.77220740500689e+19,1.0,1.0,1.0,3.8178582258113973,1.0,1.744392847210711,0.01181835449982356,1.6241790014392161,0.9817032087876265,76.5970394495116,8.627983976182962e+18,1.1568582381963815e+19,6.434207908925156e+18,-0.2547850534431388,6.158141340614902,2.0146271203384654,4.307274549133562e-07,0.00104193784225945,0.00104193784225945,1.0,40,1,1.0,1.7833514032056528,0.9910929325638874,0.3322265287969228,1.6859746613760027,1.7548096844531278,0.25106651270401226,8.621730754413234,0.4636106437119453,0.12026981884438684,capture_only,1.3978996354106854,0.15742237890368913,0.1271488489045212,0.07676868438044922,0.00041330708391934534,0.0004909236756907361,0.20292601873631178,0.11983564517391641,0.43931879254104667,0.0,0.0,1.2178722972657188,1.0000749224985286,66.25226882607718,21.39488810733262,12.007947218340128,55.089254880667205,33.626371497467,11.14391433610593,76.29817555043165,12.975264994861643,8.991902276232274,1.7346571784744473,73.41525380948174,15.839734449467514,9.493260828459427,1.2517509125913424,63.461915316662036,24.33624691608394,11.797571078584934,0.4042666886691067,8.238534743737178,75.77392223594852,15.986008546951238,0.0015344733630726368,11.634879762841214,67.07157058766006,21.293320887418698,0.00022876208002807927,69.15686535769471,21.562136396109718,8.677789931573113,0.6032083146224562,65.8119132374418,24.65818121609731,9.095066301944662,0.43483924451622413,30.107656441267608,53.38438066377305,16.50068580805169,0.007277086907664088,18.638081697563617,57.59051854666316,23.77083416236761,0.0005655934055989605,4.186264317124959,70.40458293312895,25.409098332474564,5.4417271524921536e-05,114.4882760749284,170.94714226125856,263.473303728921,458.71020534815324,2.6833452684871815,4.0066129133427095,1.7410120830310196,37.891236625416795,56.45886618633017,92.52616146766243,195.23690161923224,287.7630630868947,1200.0,1100.0,10.0,9999.0,9999.0,9999.0,0.20292601873631178,-0.12737081375474557,-0.1626897716930973,-0.2547850534431388,-0.40473981805289305,-0.17116690271416302,9.542496138742534e+18,7.954087641654692e+18,4.5555448382305746e+18,76.29817555043165,12.975264994861643,8.991902276232274,74.91836689450483,14.48205066774716,8.928744963995172,73.41525380948174,15.839734449467514,9.493260828459427,63.461915316662036,24.33624691608394,11.797571078584934,67.49319123346196,23.34367041746971,8.582083227952634,65.8119132374418,24.65818121609731,9.095066301944662,55.089254880667205,33.626371497467,11.14391433610593,75.77392223594852,8.238534743737178,15.986008546951238,1.4302391118938718,1.0000564114848962,1.7002651501108605,1.0000626075892725,2.68088034031093,1.0000468831501754,6.228320628423554,1.0000459300476248,1.2848290661753554,1.0003715255863233,1.4268408167266609,1.0006460148155845,0.0,114.4882760749284,170.94714226125856,263.473303728921,458.71020534815324,287.7630630868947,1.4957397619126531,1.4987862233399167,2.6,-0.27530344416502084,6.158141340614902,3.85,0.5770353351537255,16.500179551309337,5.2,2.8250448878273344,1,1.0,0.7371033808153067,1600.0,30000000000000.0,0,30000000000000.0,1.0,30000000000000.0,1.2298652654550466,36895957963651.4,0.9065378451142294,27196135353426.883,0.9065378451142294,27196135353426.883,0.9065378451142294,27196135353426.883,30000000000000.0,30000000000000.0,36895957963651.4,27196135353426.883,27196135353426.883,27196135353426.883,128000000000000.05,128000000000000.05,157422753978246.03,116036844174621.4,116036844174621.4,116036844174621.4,576000000000000.0,576000000000000.0,708402392902106.9,522165798785796.1,522165798785796.1,522165798785796.1
FINAL_rank3_capture_only_capture_only_v10c_trial_00343,2.53139161024729,0.9730195398450435,0.4428378128223531,0.40118007582590615,0.18095777311400937,0.0,0.19892211221624537,2.160146710204869e-06,370610.27790064615,30000000000000.0,7.904822392681964e+19,1.0,1.0,1.0,3.810193959221439,1.0,0.8757731933030987,0.013119695952874441,1.763613028691528,0.9579404414866665,77.6652759068109,8.987398960981394e+18,1.207963407493026e+19,7.605022591443236e+18,-0.20095327001573293,6.977532099385335,1.8420675319561375,4.817181351007765e-07,0.0012087432447977539,0.0012087432447977539,1.0,40,1,1.0,1.8925888353208975,1.0041558093417005,0.43828614071012306,1.7777649485976577,1.7249342749294978,0.18803144427337037,7.3004080070706765,0.3210767326124411,0.11021101545896458,capture_only,1.5087264069323094,0.16540753682719808,0.1283558955900365,0.057905338368748324,0.0,0.0,0.24790242736431484,0.1337222996572186,0.09865393494776797,0.06936607936967472,0.0,1.2294424091208793,1.0000721053990136,64.52527459194432,23.141884848115982,12.003684544409058,50.40276479816894,38.51981910247696,10.9444660643351,75.65598644332348,13.673391155790181,8.972556538626034,1.6980658622603058,72.6274637301644,16.665045920520047,9.493584809847194,1.213905539468358,61.933061885715595,25.86607912097263,11.815709053144076,0.38514994016770737,1.9970336596339506,84.99493595487759,13.007051043306669,0.000979342181791598,1.2988943419173535,84.60404051852929,14.09688732249148,0.00017781706190047445,67.56678160671585,23.216759137435968,8.626468330167665,0.5899909256805143,63.39534398447017,27.150324142215794,9.033581652506946,0.42075022080708896,17.27421289741653,68.78437258569541,13.935043474894542,0.006371041993518051,18.914183197824556,60.20808304438678,20.877150552508528,0.0005832052801430378,6.392630071005284,68.68297205355879,24.924339526886467,5.834854946671325e-05,113.45728776070939,158.92880004769975,215.44024020878294,302.88719425015347,1.9058043234407298,2.669614268313615,1.405898888511384,35.79201185389849,45.47151228699036,56.511440161083186,87.44695404137053,143.95839420245372,1200.0,1100.0,10.0,9999.0,9999.0,9999.0,0.24790242736431484,-0.12841975756940993,-0.14841053491377512,-0.20095327001573293,-0.285281833341156,-0.11286656113982017,9.862047038764747e+18,8.58308164330599e+18,6.26284906314816e+18,75.65598644332348,13.673391155790181,8.972556538626034,74.23865901105353,15.213850909063714,8.914448037812644,72.6274637301644,16.665045920520047,9.493584809847194,61.933061885715595,25.86607912097263,11.815709053144076,65.5362130540186,25.371567002646785,8.525188438576796,63.39534398447017,27.150324142215794,9.033581652506946,50.40276479816894,38.51981910247696,10.9444660643351,84.99493595487759,1.9970336596339506,13.007051043306669,1.3745745705191301,1.0000435653084208,1.4835224408658554,1.000057228964512,1.9225344090962164,1.0000677642807736,3.7249554052192697,1.0000290299606425,1.1587947029025487,1.0001476120027908,1.1310677333330632,1.0002823148979698,0.06936607936967472,113.45728776070939,158.92880004769975,215.44024020878294,302.88719425015347,143.95839420245372,1.7947109604071134,1.6010663747880127,2.6,-0.24973340630299684,6.977532099385335,3.85,0.7818830248463337,18.7085128886958,5.2,3.3771282221739503,1,1.0,0.7001170521971161,1600.0,30000000000000.0,0,30000000000000.0,1.0,30000000000000.0,1.2298652654550466,36895957963651.4,0.8610496442500108,25831489327500.324,0.8610496442500108,25831489327500.324,0.8610496442500108,25831489327500.324,30000000000000.0,30000000000000.0,36895957963651.4,25831489327500.324,25831489327500.324,25831489327500.324,128000000000000.05,128000000000000.05,157422753978246.03,110214354464001.42,110214354464001.42,110214354464001.42,576000000000000.0,576000000000000.0,708402392902106.9,495964595088006.25,495964595088006.25,495964595088006.25
FINAL_rank5_capture_only_capture_only_v10c_trial_00489,2.537018483113718,0.9633667114629885,0.4583967988785011,0.41613046159227235,0.1673797572437994,0.0,0.13446769961407956,1.3323423070403787e-06,324617.44596712437,30000000000000.0,6.814558183602748e+19,1.0,1.0,1.0,7.559696604595576,1.0,1.2978717073383808,0.012728272330276007,1.7389775718823128,0.9533495261095589,77.2289864200794,9.012896137240577e+18,1.090684033621844e+19,7.291105336422858e+18,-0.17490558296135214,6.672728800180799,1.7966162321989756,3.88168321350695e-07,0.0011784180645748833,0.0011784180645748833,1.0,40,1,1.0,0.7104965228438913,1.1562522957755503,0.2146461627552086,1.66808744504313,2.9579945388474203,0.18315745181230111,7.8717881279317155,0.43220511931305977,0.7399591218575886,capture_only,1.522727550142695,0.1807072157981585,0.11498579963066699,0.025303524578399274,0.0,0.0001936408311197013,0.25985848814251,0.16769568329346796,0.29955262660715426,0.030352195480053728,0.0,1.359731730429867,1.0001158819844056,63.254948407545015,25.044597982244923,11.155714777521801,48.42772105435297,41.387485746065266,9.9643058183317,71.63046407821389,17.30237252498757,9.477523792272565,1.5896396045259704,68.41722807139794,20.676468674881896,9.552844427332184,1.3534588263879785,60.315061296065736,28.0585271997139,10.989709058573162,0.6367024456472153,3.8234587003657508,83.38572590611541,12.788536176688492,0.0022792168303389193,4.665000801487289,80.07589403765942,15.258726683831556,0.00037847702173563174,61.215038325580764,29.313896323467567,8.919864144427029,0.5512012065246489,57.42248474023394,33.2139780396337,8.894317927412597,0.46921929271976415,19.79561137309399,67.13556636772836,13.056121133083836,0.012701126093770762,12.450655521376722,69.31169101494618,18.236639691975785,0.0010137717013237867,2.5617830289124877,77.85646520868637,19.58165919389555,9.256850558124942e-05,110.81998753900265,158.46317442879334,226.67617328497266,349.84587539267295,2.2077424401836585,3.156884269361121,1.543372955007732,33.59100111892326,47.643186889790684,68.21299885617933,123.16970210770029,191.3827009638796,1200.0,1100.0,10.0,9999.0,9999.0,9999.0,0.25985848814251,-0.08283458922792886,-0.10799751539042132,-0.17490558296135214,-0.2841373190720654,-0.12047618091128473,9.62209307529498e+18,8.505531165069814e+18,5.669720323878226e+18,71.63046407821389,17.30237252498757,9.477523792272565,69.5187280379566,19.59999785254489,9.334265371982708,68.41722807139794,20.676468674881896,9.552844427332184,60.315061296065736,28.0585271997139,10.989709058573162,58.47159560500983,32.27760925750061,8.714616124688307,57.42248474023394,33.2139780396337,8.894317927412597,48.42772105435297,41.387485746065266,9.9643058183317,83.38572590611541,3.8234587003657508,12.788536176688492,1.5653439618766936,1.0000769621732337,1.762170777687999,1.0001046465062537,2.50446107796824,1.0001053668329618,5.201253258893951,1.0000818304731722,1.2645263273139375,1.0003500162133832,1.2906673685178687,1.0006628573357377,0.030352195480053728,110.81998753900265,158.46317442879334,226.67617328497266,349.84587539267295,191.3827009638796,1.6157088932207615,1.5804841756482315,2.6,-0.25487895608794214,6.672728800180799,3.85,0.7056822000451998,17.350049516873817,5.2,3.0375123792184544,1,1.0,0.825254637677707,1600.0,30000000000000.0,0,30000000000000.0,1.0,30000000000000.0,1.2298652654550466,36895957963651.4,1.0149520140355015,30448560421065.047,1.0149520140355015,30448560421065.047,1.0149520140355015,30448560421065.047,30000000000000.0,30000000000000.0,36895957963651.4,30448560421065.047,30448560421065.047,30448560421065.047,128000000000000.05,128000000000000.05,157422753978246.03,129913857796544.23,129913857796544.23,129913857796544.23,576000000000000.0,576000000000000.0,708402392902106.9,584612360084448.9,584612360084448.9,584612360084448.9
FINAL_rank2_capture_only_capture_only_v10c_trial_00498,2.548321626905235,0.9579008143348325,0.45970153489166476,0.41458891499222517,0.17507692710058673,0.0,0.14164492317127508,1.0328444104762403e-06,314342.3403968911,30000000000000.0,6.928112440734276e+19,1.0,1.0,1.0,7.557878643917556,1.0,1.2820321310151597,1.079327579266216,1.524636139595171,1.0171794509348948,75.80563200128466,8.355514208620597e+18,1.0430492232096336e+19,6.906217340511342e+18,-0.17906456238928273,6.024324045913162,2.0099037131333137,3.309514353030549e-05,0.08905593390219671,0.08905593390219671,1.0,40,1,1.0,1.0042941139502244,1.3171229631816685,0.21540353054491065,1.837396147504639,3.243657648561374,0.22915088670035536,7.176011519214229,0.4286472242785498,0.7131492694964506,capture_only,1.4452970381294998,0.1563977509683793,0.11198291933876545,0.06311852484900612,0.0,0.00018832962957821147,0.25840740285979785,0.14329777549604167,0.2650558052492086,0.034428404124036464,0.0,1.2672008311938652,1.0001361608233257,65.48279390292704,20.986360986618386,13.031695912617755,52.47231121021558,35.404869138209996,11.91966183251379,72.77116442234542,14.913256605543491,10.701035226030301,1.6145437460808008,70.41170993801865,17.354134458366822,10.892274223906968,1.3418813797075628,62.800067133390826,23.78933615155266,12.825744316062975,0.5848523989935629,4.107090105618322,80.35388046780263,15.536926683273535,0.002102743305536545,3.0477373211466334,78.81589322817713,18.136022029647947,0.00034742102828837397,64.08069076527484,25.15674082591105,10.201832181643283,0.560736227170835,61.320770782838856,27.891423480316963,10.321463234977053,0.46634250186714554,20.692531020764765,63.05352539156132,16.24247144900656,0.011472138667377159,9.57479517621903,68.24025584900922,22.184003798796294,0.0009451759754559859,1.594015016964349,74.71263525032575,23.69326483780711,8.48949027975185e-05,109.14894868473337,156.61508327191103,224.36926634846,344.07412205626895,2.1969411557818885,3.152335649609372,1.5335171686210336,33.343316683448705,47.46613458717766,67.75418307654897,119.70485570780895,187.45903878435792,1200.0,1100.0,10.0,9999.0,9999.0,9999.0,0.25840740285979785,-0.09633162191317243,-0.11858496593671626,-0.17906456238928273,-0.28092603248494535,-0.11411136303139942,8.981556466523921e+18,7.938159814125716e+18,5.462340534017496e+18,72.77116442234542,14.913256605543491,10.701035226030301,71.21879422537405,16.64962757792497,10.561070694139316,70.41170993801865,17.354134458366822,10.892274223906968,62.800067133390826,23.78933615155266,12.825744316062975,62.068863699391045,27.369254915351913,10.016244671467271,61.320770782838856,27.891423480316963,10.321463234977053,52.47231121021558,35.404869138209996,11.91966183251379,80.35388046780263,4.107090105618322,15.536926683273535,1.4677922123347553,1.0000836318635817,1.669601618608115,1.0001013148112936,2.385958935055996,1.000111358904939,4.947754428669216,1.0000888541022344,1.243147839450928,1.0002841786884533,1.2727433026270658,1.0005499053068758,0.034428404124036464,109.14894868473337,156.61508327191103,224.36926634846,344.07412205626895,187.45903878435792,1.5153292466280022,1.4014080145230745,2.6,-0.2996479963692314,6.024324045913162,3.85,0.5435810114782905,16.67209901181495,5.2,2.8680247529537377,1,1.0,0.7799229571251896,1600.0,30000000000000.0,0,30000000000000.0,1.0,30000000000000.0,1.2298652654550466,36895957963651.4,0.9592001546992561,28776004640977.684,0.9592001546992561,28776004640977.684,0.9592001546992561,28776004640977.684,30000000000000.0,30000000000000.0,36895957963651.4,28776004640977.684,28776004640977.684,28776004640977.684,128000000000000.05,128000000000000.05,157422753978246.03,122777619801504.83,122777619801504.83,122777619801504.83,576000000000000.0,576000000000000.0,708402392902106.9,552499289106771.5,552499289106771.5,552499289106771.5
FINAL_rank4_capture_only_capture_only_v10c_trial_00491,2.5578937714866283,0.9710860353827768,0.46165732318130137,0.4266537073726624,0.1844378069003299,0.0,0.14627705355367235,1.1490451665045643e-06,318939.7318240147,30000000000000.0,7.002402296491983e+19,1.0,1.0,1.0,7.897493796614159,1.0,1.1431992288782704,0.016273511734662897,1.460778929473003,1.0206098122781049,74.07542812048176,8.579725160884357e+18,1.0626104700181602e+19,7.287872919080228e+18,-0.16377329964399368,5.854926392893986,2.0274702440147103,4.934259993637323e-07,0.0012878392183353282,0.0012878392183353282,1.0,40,1,1.0,0.8452545856685297,1.2887063723754548,0.21296022803972475,1.6964431071903596,3.335565046749276,0.22378727467361936,7.324244847955784,0.4236351831962963,0.7640438398193368,capture_only,1.4143750893767082,0.1741137025296131,0.1153179961055058,0.057822199217368406,0.0,0.00011127337565007037,0.2702966621088074,0.1364330643025759,0.1315565389418262,0.06797315694635875,0.0,1.2492509643276732,1.0001201259914398,66.7904028431379,20.263121987510782,12.411066437910995,53.87264995734291,34.55278323088028,11.357418014780432,73.29945648949533,14.73786831989345,10.375102613547364,1.587572577063855,71.07950892739127,17.06376112585602,10.50816755965133,1.3485623871013914,64.18889733858032,22.952763537165573,12.230859517140143,0.6274796071139863,4.604587125730558,80.47924290417981,14.913938626819368,0.002231343270253008,4.098742025808399,79.11544493263985,16.78545264894536,0.00036039260640694643,64.61980165026827,24.929061876366045,9.89966586804238,0.5514706053233184,61.985636350941384,27.58687477323235,9.95938511399978,0.4681037618264859,22.551250324246947,62.138013121004015,15.298380535264892,0.01235601948412905,15.200052633581809,63.39479798966778,21.404128991938336,0.0010203848120708874,3.8042205272746346,72.45792164754452,23.73776051684758,9.730833326676012e-05,105.94654533147347,150.5586443253091,211.2995670787281,311.00939242332555,2.065702662354834,2.935531228982265,1.4718884507105807,31.871117210991713,44.61209899383563,60.740922753419,99.70982534459745,160.45074809801645,1200.0,1100.0,10.0,9999.0,9999.0,9999.0,0.2702966621088074,-0.09290071467177817,-0.11180564885322908,-0.16377329964399368,-0.2521063103012708,-0.10040299613734696,9.183406047840998e+18,8.214259938535208e+18,5.946587045819177e+18,73.29945648949533,14.73786831989345,10.375102613547364,71.75677091781341,16.46010895392528,10.236426658934517,71.07950892739127,17.06376112585602,10.50816755965133,64.18889733858032,22.952763537165573,12.230859517140143,62.58008857476667,27.171489120054336,9.711403694411114,61.985636350941384,27.58687477323235,9.95938511399978,53.87264995734291,34.55278323088028,11.357418014780432,80.47924290417981,4.604587125730558,14.913938626819368,1.4060742003482658,1.0000613339298825,1.5426306293018988,1.0000588691696497,2.0400369796355458,1.0000589904258188,3.966739178202177,1.000036620600488,1.2060320225619807,1.0002530418419093,1.2112014851342685,1.0004940155663484,0.06797315694635875,105.94654533147347,150.5586443253091,211.2995670787281,311.00939242332555,160.45074809801645,1.4878367519509725,1.342713391253616,2.6,-0.314321652186596,5.854926392893986,3.85,0.5012315982234964,16.47913970876792,5.2,2.8197849271919804,1,1.0,0.7804270516568438,1600.0,30000000000000.0,0,30000000000000.0,1.0,30000000000000.0,1.2298652654550466,36895957963651.4,0.9598201230542436,28794603691627.31,0.9598201230542436,28794603691627.31,0.9598201230542436,28794603691627.31,30000000000000.0,30000000000000.0,36895957963651.4,28794603691627.31,28794603691627.31,28794603691627.31,128000000000000.05,128000000000000.05,157422753978246.03,122856975750943.22,122856975750943.22,122856975750943.22,576000000000000.0,576000000000000.0,708402392902106.9,552856390879244.3,552856390879244.3,552856390879244.3
