label,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,D2_xe_scale,family,dt_h,n_modes,use_full_exp,score_total,score_swd,score_swig_diag,score_Nd,score_Rd,score_Nd_drop,score_pressure,score_fdot_prior,score_rizk_gas_shape,score_highT_guard,score_bulk_shape,score_rizk_prior,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,selection_category,profile_Dv_fixed,p_d_over_eq_1p3_1200K,p_d_over_eq_1p3_1400K,p_d_over_eq_1p3_1600K,p_d_over_eq_1p3_1700K,p_b_over_eq_1p3_1600K,p_d_over_eq_3p2_1600K,p_b_over_eq_3p2_1600K,p_d_over_eq_max_1p3_1200_1700K,p_b_over_eq_max_1p3_1200_1700K,p_d_over_eq_max_3p2_1200_1700K,p_b_over_eq_max_3p2_1200_1700K,probe_T,probe_burnup,probe_swelling_b_percent,probe_swelling_d_percent,probe_swelling_ig_percent,probe_Nb,probe_Nd,probe_Rb_nm,probe_Rd_nm,probe_p_b,probe_p_b_eq,probe_p_d,probe_p_d_eq,probe_p_b_over_eq,probe_p_d_over_eq,probe_matrix_gas_percent,probe_bulk_gas_percent,probe_dislocation_gas_percent,probe_qgb_gas_percent,probe_f_cap_step_final,probe_cap_raw_step_final,probe_capture_fraction_sum,probe_capture_raw_sum,probe_capture_bubbles_cumulative,probe_max_f_cap_step,candidate_folder
codex_final_1_best_overall_score_capture_only_v2_trial_00098,1.333342233975698e-08,714303.1741013683,46134997376870.37,4.955769524053456e+19,0.05,2.0120939811076415,1.1809008153680642,0.8994212274956753,3.6412978915928127,10.99394196415406,3.246511537102766,3.0612860582482524,capture_only,1.0,40,1,1.2856865192150313,0.6282831188310659,0.5821564138700018,0.2888260996475545,0.15061944048028567,0.0,0.45836880072696673,0.00385890371820866,0.2122393548789447,0.5189430866122429,0.08144120914935475,0.20371054591194301,2.538122820537261,0.05393733756110633,83.47353957988783,1.0417836469626147e+19,2.2720344184838525e+19,2.8061617002347566e+18,-0.9083022132229137,4.0218221356695105,0.8251844325307746,7.100910096769313e-05,0.3133853998512483,0.3133853998512483,best_overall_score,0.05,15.35875912631674,7.588330040583537,3.2732630908610125,3.0589246740140625,1.0003927852638428,4.041220035161376,1.0012431631905652,15.35875912631674,1.1098099762152362,11.861288005053327,1.1638918175718551,1600.0,1.3,0.05393733756110633,2.538122820537261,2.592060158098367,3.8106184747458206e+20,1.0417836469626147e+19,6.965224875441728,83.47353957988783,318851440.26234835,318726249.288428,87053263.80411786,26595254.150872122,1.0003927852638428,3.2732630908610125,0.7753917102083822,3.2735747071200607,70.15679658853377,25.794236994137787,1.1961009530369538e-05,1.1961009530369538e-05,0.16453236278526878,0.16453236278526878,1.8376940731746531e+19,7.100910096769313e-05,UN_M7_codex_results/final_exact_full_plots/1_best_overall_score_dv0p05
codex_final_4_best_balanced_capture_only_v2_trial_00086,2.546599181054665e-07,648457.8815174045,35349769915897.875,7.479933166845849e+19,1.0,0.5332926825020815,3.065510358735287,0.4625270229443919,4.50670527974943,6.997011879783073,0.1400949374295444,4.2144180936030695,capture_only,1.0,40,1,1.3366917109781724,0.8242230245138902,0.64411120748819,0.30340983431236845,0.16836179879549695,0.0,0.005634344375600506,0.17492771312740968,0.08322572540878895,1.3723034420936626,0.09128784185776248,0.23057977241823763,2.4562665259448266,0.31196658391530185,80.40137882452879,1.1282267446162983e+19,1.873646241309162e+19,2.68896524563769e+18,-0.8431024070971173,3.2610061130687678,1.0271112091072163,4.705771852101079e-06,0.007326276105787826,0.007326276105787826,best_balanced,1.0,2.3370419887429037,1.6011738517070269,1.1104044762943748,1.243487477964256,1.0000335825029405,1.0731726154598695,1.0000132301957512,2.3370419887429037,1.000168897487465,1.97287478358511,1.0001460410666476,1600.0,1.3,0.31196658391529375,2.4562665259448098,2.7682331098601036,6.036528204899381e+22,1.1282267446163042e+19,2.3107027327645184,80.40137882452846,960778953.3794497,960746689.1009377,30659896.30294082,27611466.774034146,1.0000335825029407,1.1104044762943712,4.484112436935867,27.049632780190645,28.55332739191671,39.91292739095678,7.494724105406868e-07,7.494724105406868e-07,0.00509678006837179,0.00509678006837179,8.55435476524296e+19,4.705771852101079e-06,UN_M7_codex_results/final_exact_full_plots/2_best_balanced_dv1p0
codex_final_2_best_pressure_friendly_capture_only_v2_trial_00098,1.9043270221356258e-07,633679.6020719425,48099413720427.445,6.83465055962113e+19,1.0,0.39207999318132475,3.70397157889179,0.38808491499461373,3.374519316281039,7.004801621607279,0.060804470943718776,7.698535582337345,capture_only,1.0,40,1,1.398156385122621,0.8055719247105302,0.582009395723206,0.3488638832400942,0.21559880136917073,0.03587421470349573,0.0,0.13574631063105463,0.14531254781467612,1.2560401801910692,0.06582416273421117,0.2562671837304876,2.2350406674208254,0.2173697860395211,69.33684461659102,1.6006802953896866e+19,2.4983358237491438e+19,4.568638317822445e+18,-0.737864037451911,3.042517036015534,0.7228213144829188,1.5730553593218155e-06,0.002904401781719001,0.002904401781719001,best_pressure_friendly,1.0,2.083779092164221,1.4652635540715413,1.0634208161779997,1.1222589777564604,1.000040654903427,1.045371645684682,1.0000147326853956,2.083779092164221,1.000117839757053,1.8072293348669881,1.0000857094116506,1600.0,1.3,0.2173697860395211,2.2350406674208254,2.4524104534603466,6.301563348765692e+22,1.6006802953896866e+19,2.0193925700307025,69.33684461659102,1099385174.9448867,1099340481.3637834,34048192.19809528,32017609.285162006,1.000040654903427,1.0634208161779997,6.6502458062390035,19.36730845775898,28.52033964559858,45.46210609040343,2.92842988494732e-07,2.92842988494732e-07,0.0019657041558188743,0.0019657041558188743,3.5647340313480176e+19,1.5730553593218155e-06,UN_M7_codex_results/final_exact_full_plots/3_best_pressure_friendly_dv1p0
codex_final_3_best_rizk_near_capture_only_v2_trial_00071,1.3236865838114812e-08,558922.3427431518,24815192472893.043,7.662112883997857e+19,0.5,1.3070591418315427,1.2963311880642607,0.4151381601977453,1.9627684349003272,9.771745274059734,0.1556556747796561,2.814309855387419,capture_only,1.0,40,1,1.4641132899762976,0.8526738787764307,0.60705916258541,0.42616183144011094,0.129699243609853,0.0,0.08803849741194524,0.18537854171044324,0.14648075727172943,1.393090476412976,0.07010441401737681,0.15388010663729823,2.388065516862128,0.22788164390313723,102.44817316037135,5.302064084655461e+18,1.0909040034618204e+19,1.0526762555766532e+18,-1.015491708562371,3.2825282119751233,0.8290332787166782,5.5228264815050405e-06,0.009802666165834981,0.009802666165834981,best_rizk_near,0.5,3.9755283529480354,2.479299600645919,1.5264653622514328,1.8793166591392898,1.0000424024695063,1.3899804412290735,1.0000142929903884,3.9755283529480354,1.0040086880211867,2.9490473814297054,1.0033104622199773,1600.0,1.3,0.22788164390313723,2.388065516862128,2.615947160765265,3.601766480275907e+21,5.302064084655461e+18,5.325598162996922,102.44817316037135,416872258.38927555,416854582.725543,33077730.911740717,21669493.28149399,1.0000424024695063,1.5264653622514328,2.7924525860179332,15.46339382563627,29.70252703319046,52.04162655515534,4.906601183251214e-07,4.906601183251214e-07,0.006442744289941385,0.006442744289941385,6.629553400460941e+18,5.5228264815050405e-06,UN_M7_codex_results/final_exact_full_plots/4_best_rizk_near_dv0p5
