label,f_n,K_d,rho_d,fission_rate,Dg_scale,Dv_scale,b_scale,gb_scale,gd_scale,nu_scale,coalescence_d_scale,capture_scale,bulk_seed_radius_nm,score_total,score_swd_rmse_percent,score_Rd_log10,score_Nd_log10,score_pressure,highT_diag,probe_sw_d_13_1600,probe_sw_b_13_1600,probe_Rd_13_1600_nm,probe_Nd_13_1600,probe_sw_d_32_1600,probe_sw_b_32_1600,probe_Rd_32_1600_nm,probe_Nd_32_1600,dt_h,n_modes,source_fast_rank
RND_0035_FINAL,1e-08,800000.0,10000000000000.0,7.5e+19,0.5,3.0,0.3,1.0,1.0,3.0,0.0,0.3,0.0,1.6784265806005016,0.7541130232266513,0.11720539429526385,0.5167641232217443,0.17359738415117063,5.11249126053216,2.33176687975966,2.345615976663682,88.61396670046628,8e+18,4.864404345255845,8.621721573016709,113.22709294767516,8e+18,1.0,40,1
OAT_fission_rate_1e+20_FINAL,1e-06,500000.0,30000000000000.0,1e+20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.8053288114053478,0.7570155975082271,0.18004248961667874,0.4588417061119973,0.24633523769317447,7.203239412596193,2.468652894592286,1.4279628260852877,75.7489631696677,1.3559427168578494e+19,5.095961352277541,5.105464579727777,100.00997700737229,1.2162070989947306e+19,1.0,40,2
OAT_Dv_scale_0.3_FINAL,1e-06,500000.0,30000000000000.0,5e+19,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.8344828929350059,0.8437807627607699,0.18366661832153908,0.45629176888890854,0.30647027060282783,5.78899377686446,2.5614776155608974,1.3846724869227192,76.78785096401016,1.3505927552120996e+19,5.0919703419314,5.169535611308156,99.97329942217685,1.2165926265996182e+19,1.0,40,3
OAT_fission_rate_7.5e+19_FINAL,1e-06,500000.0,30000000000000.0,7.5e+19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.9104945207005055,0.8274707056586261,0.16723610544473536,0.4538610679909066,0.23792403946046486,8.286836674282888,2.731197261557245,1.4102916259519997,78.63534212577588,1.3409454687349463e+19,5.7034269477806205,5.118472894386976,104.76468983617964,1.1841384391024828e+19,1.0,40,5
RND_0018_FINAL,1e-07,500000.0,10000000000000.0,7.5e+19,0.5,0.3,0.3,0.3,2.0,0.3,1.0,1.0,0.0,1.921788974005838,0.893905383732812,0.04085558527906811,0.617758820677266,0.6650121164002649,4.725335220732776,3.133793215144989,0.5135589351159485,119.44819580359172,4.3897819006422415e+18,6.0225556868265935,2.8340322443027857,154.90495103536182,3.8680877578057185e+18,1.0,40,4
OAT_coalescence_d_scale_0_FINAL,1e-06,500000.0,30000000000000.0,5e+19,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.9222306525255637,0.9719252029814788,0.1750143061904373,0.5014189649838074,0.21219716662542829,4.62865490089509,3.109067791158045,1.3744051415470617,79.09519621525443,1.5e+19,6.5656565337149715,5.131191315782108,101.47664428953594,1.5e+19,1.0,40,6
