label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D2_xe_scale,Dg_D1_scale,Dg_D3_scale,Dv_D1_scale,Dv_D2_scale,b_bulk_scale,b_dislocation_scale,gd_bubble_scale,gd_line_scale,gd_line_alpha,family,score_swig_diag,score_rizk_prior,score_partition,score_qgb,score_radius_guard,score_radius_saturation,score_base_highT_guard,p_d_over_eq_1p3_1600K,p_b_over_eq_1p3_1600K,bulk_gas_1p3_1600K,disl_gas_1p3_1600K,qgb_gas_1p3_1600K,bulk_gas_3p2_1600K,disl_gas_3p2_1600K,qgb_gas_3p2_1600K,bulk_gas_1p1_1200,disl_gas_1p1_1200,qgb_gas_1p1_1200,matrix_gas_1p1_1200,bulk_gas_1p1_1500,disl_gas_1p1_1500,qgb_gas_1p1_1500,matrix_gas_1p1_1500,bulk_gas_1p1_1600,disl_gas_1p1_1600,qgb_gas_1p1_1600,matrix_gas_1p1_1600,bulk_gas_1p1_2000,disl_gas_1p1_2000,qgb_gas_1p1_2000,matrix_gas_1p1_2000,bulk_gas_1p1_2200,disl_gas_1p1_2200,qgb_gas_1p1_2200,matrix_gas_1p1_2200,bulk_gas_3p2_1200,disl_gas_3p2_1200,qgb_gas_3p2_1200,matrix_gas_3p2_1200,bulk_gas_3p2_1500,disl_gas_3p2_1500,qgb_gas_3p2_1500,matrix_gas_3p2_1500,bulk_gas_3p2_1800,disl_gas_3p2_1800,qgb_gas_3p2_1800,matrix_gas_3p2_1800,bulk_gas_3p2_2000,disl_gas_3p2_2000,qgb_gas_3p2_2000,matrix_gas_3p2_2000,bulk_gas_3p2_2200,disl_gas_3p2_2200,qgb_gas_3p2_2200,matrix_gas_3p2_2200,Rd_1p3_1700K,Rd_1p3_1800K,Rd_1p3_1900K,Rd_1p3_2000K,Rd_ratio_2000_over_1800,Rd_ratio_2000_over_1700,Rd_ratio_2000_over_1900,Rd_inc_1600_1700_nm,Rd_inc_1700_1800_nm,Rd_inc_1800_1900_nm,Rd_inc_1900_2000_nm,Rd_inc_1800_2000_nm,Rd2000_max_nm,Rd1900_soft_max_nm,Rd_ratio_max,Rd_post1800_delta_max_nm,Rd_last_increment_factor_max,Rd_1900_2000_ratio_max
FINAL_rank7_capture_only_capture_only_v6_trial_00779,1.6158079772433913,0.5911511348221292,0.4892502179327729,0.5047634725149334,0.13922183223613904,0.007412656508585579,0.07525272945109805,1.3855048604023133e-06,922170.4716704335,12473976274726.434,5.945970275422171e+19,1.0,1.0,1.0,3.9844815657870623,1.0,0.5753590132351523,5.696110254301761,2.533537798550032,1.2578389197417457,82.30318375187365,1.0848979096112134e+19,1.1210053777713373e+19,9.84399194358292e+18,-0.0564364464299773,3.8174087380904047,4.2394305983341045,0.00014498986790892744,0.2701613411204997,0.2701613411204997,1.0,40,1,1.0,0.19495290183194355,1.9662923777519212,0.30130378126699126,3.5859840582040885,0.22198771968837241,0.10801884849043286,7.805762175602618,6.241373234525165,0.2800337974267017,capture_only,1.9488493020734716,0.20939931921633484,0.04483146756679921,0.0,0.0,0.021387596015968964,0.013996302021887766,1.347044319495347,1.000906501711448,60.533353845897715,34.23386579738653,4.9814383554416795,78.4210919727912,16.351263376881793,5.123383874239247,64.20354216098077,30.46273066919487,4.93821688567044,0.3955102841539182,61.37611310011679,33.40310016825676,4.848095882187754,0.37269084943872915,56.561484544859276,38.18188133598914,4.961411266775451,0.29522285237615054,0.8383347285678463,93.11616658671551,6.043478229473616,0.0020204552430386543,0.019302790822415088,93.92805779720155,6.052472610794982,0.00016680118104952206,82.41083432721419,12.413340989997527,5.037133536415929,0.13869114637236546,80.8827372927012,14.035088577348066,4.95113934602727,0.1310347839234743,48.84556725573584,43.80310065722931,7.337534686974704,0.013797400060163527,8.657733795537862,80.02694352067996,11.313505254373739,0.0018174294084374928,1.9332136848344805,84.5640585741207,13.502534780613205,0.00019296043163550923,107.40969217993492,144.40511756930562,187.1461203505155,235.9403139348765,1.6338777870641572,2.196638954514686,1.2607277858230344,25.106508428061275,36.995425389370695,42.741002781209886,48.79419358436101,91.5351963655709,800.0,700.0,2.8,350.0,0.75,1.35
FINAL_rank4_capture_only_capture_only_v6_trial_00678,1.6234455569154356,0.6260025362894331,0.4827596589415508,0.48734611836228425,0.13387587190161895,0.0,0.05130333299117073,1.991041562073914e-06,875893.4171341596,13433603613263.734,5.626953643554472e+19,1.0,1.0,1.0,3.410272461050558,1.0,0.7302393550804286,7.991362675103746,2.588155044256672,1.2145898716041572,82.73200009321138,1.091141587573905e+19,1.1385676168768987e+19,9.50220354713596e+18,-0.07853449822928725,3.725479931778181,4.127054041517635,0.0001966764354143166,0.35838665160004135,0.35838665160004135,1.0,40,1,1.0,0.18986716637526022,1.3992788719095728,0.3093430447116805,3.9986378642467386,0.16955144577621578,0.11704344032719662,9.147085697778667,7.254939174003766,0.2804122535379173,capture_only,1.9099801512749695,0.21210726132129412,0.037329926010551025,0.0,0.0,0.04115516598699535,0.0,1.304050892994253,1.0006351464004988,61.403325818855805,33.83347507647716,4.499449254122841,79.96806665564542,15.36077334938327,4.56335549913447,66.16774778613846,29.00716877692295,4.3759959624464635,0.4490874744921372,63.00956636351889,32.24455918957059,4.324543525657067,0.42133092125345106,57.130713283555124,38.06683021725482,4.491643076528367,0.3108134226617124,0.3646600250637775,93.9882342801646,5.645278550237732,0.001827144533895607,0.0005731710644329099,94.26482512595534,5.734423009099877,0.00017869388035784357,84.08391878133345,11.373251163649613,4.387157163166271,0.15567289185067357,82.59083873969344,12.920185225169208,4.342859310222148,0.14611672491519936,44.712166048328044,48.297479106553084,6.977333768384703,0.013021076734177997,6.4367009650914655,82.47886323907395,11.082727564845682,0.001708230988922919,0.9330713408400586,86.36794027570856,12.698820283741027,0.00016809971037258793,110.71557109836098,152.75486199287147,203.4914913772333,273.75297548577777,1.792106463351411,2.4725788140727962,1.3452797148077973,27.9835710051496,42.039290894510486,50.736629384361834,70.26148410854447,120.9981134929063,800.0,700.0,2.8,350.0,0.75,1.35
FINAL_rank2_capture_only_capture_only_v6_trial_00925,1.6274615500658014,0.5576807981883961,0.5090748611001833,0.5257528281708859,0.11112215173693274,0.03492745554843266,0.10211610711102212,6.992684750567316e-07,727894.9797781971,12273425075386.29,6.325372577564552e+19,1.0,1.0,1.0,5.884158032024938,1.0,0.3315358866821132,7.029709871393187,2.5777658941891866,1.4293579800776093,89.32431372735937,8.634671093506218e+18,8.794744415431296e+18,8.211684509332056e+18,-0.02979096737605493,3.8435642423067353,4.885976644614325,0.00020571815994609215,0.33260214061369,0.33260214061369,1.0,40,1,1.0,0.1503891213917843,2.5919837250654867,0.27861638525122095,3.987191884186101,0.2953849907877611,0.12513478595289462,6.818742183502663,7.51763456737921,0.4745206570083229,capture_only,2.215998759437585,0.21293921083835043,0.05764441171910964,0.0,0.0,0.008489400474759214,0.035182634713877906,1.46043400124341,1.0024886025704816,59.57050770724018,34.79962521462323,5.378182565526362,78.22627724096047,16.044667878349276,5.624611739800392,60.51625720286468,33.721385943901915,5.403485936758969,0.3588709164744524,58.596594453834726,35.78188138792775,5.281168514729808,0.3403556435077341,55.21245819559559,39.15949077010302,5.332742925706933,0.2953081085944754,1.3053436516423382,92.23862510065074,6.452977241931991,0.003054005774960515,0.05430457507204303,93.51391197837154,6.431549575643212,0.0002338709132245212,80.87711873239502,13.338504833190196,5.65793653969635,0.12643989471848463,79.87644159649722,14.479851692475934,5.523646986839239,0.12005972418761504,55.93594312017379,36.35580813363085,7.689799196166188,0.018449550029171532,5.386185674741246,83.0959549462268,11.515280187883322,0.0025791911486551995,0.9303399660504672,85.47268521469663,13.596709012027219,0.000265807225697569,113.20301017782032,147.54277727518038,185.30773107719682,220.27545322113235,1.4929599217879643,1.9458444866008568,1.188700827216801,23.87869645046095,34.33976709736007,37.764953802016436,34.96772214393553,72.73267594595197,800.0,700.0,2.8,350.0,0.75,1.35
FINAL_rank5_capture_only_capture_only_v6_trial_01230,1.6405504318793127,0.5682401148408588,0.5100068297552109,0.5165756762757475,0.10445069899721972,0.04097601038444404,0.10475539833988148,5.269699877994629e-07,698913.5205768599,12401117483176.836,6.3639301273968574e+19,1.0,1.0,1.0,7.9356936489141034,1.0,0.4506838122573198,4.666371432340831,2.587498340441004,1.6350952615781142,90.73057922653065,8.270474373763062e+18,8.485059750548072e+18,7.712916115364311e+18,-0.04143629684261737,3.7855906397559105,5.602098111766297,0.00014554308876251393,0.23414633179956784,0.23414633179956784,1.0,40,1,1.0,0.1740735323240573,2.9478942047332843,0.28447222997451815,3.8041444006732865,0.3100922579889235,0.14281872787281424,9.092611468276976,8.338521256679353,0.5202536343277753,capture_only,2.446352865145144,0.2122742873634911,0.06010805459356741,0.0,0.0,0.019497044130414726,0.03809102310108301,1.4659694342736131,1.0053221351444377,60.00455712563976,34.56980376416288,5.21242578568994,78.74795605508187,15.697582542778497,5.466139095487178,60.35235765081499,34.06143199754492,5.276661792188929,0.30954855945115567,58.72018103014817,35.861826536039835,5.127829772641238,0.29016266117076517,55.40040334079278,39.186207599341685,5.163030186474863,0.25035887339067286,1.3883109992157454,92.35821108168633,6.250939022166289,0.002538896931630332,0.043362092435130555,93.69649348001548,6.259940391102031,0.0002040364473800063,81.06930117064582,13.2652690182307,5.556539477856615,0.10889033326688144,80.29152678091249,14.22276104247892,5.383600473436692,0.10211170317189219,58.51415964507802,34.045639030156316,7.424974985516082,0.01522633924959119,11.044168332601128,77.44461263277759,11.509168427046264,0.0020506075750211057,2.532494461000223,83.58912054335734,13.878162838136555,0.00022215750591766964,115.71969835512543,152.6254046490499,196.49697330884976,244.65950041627187,1.6030063997461441,2.114242466009984,1.2451056944868115,24.98911912859478,36.90570629392447,43.87156865979986,48.16252710742211,92.03409576722197,800.0,700.0,2.8,350.0,0.75,1.35
FINAL_rank1_capture_only_capture_only_v6_trial_01126,1.6518845686110193,0.5728432941371182,0.5237845838763804,0.5106313223741293,0.08655222255800847,0.04898768934404961,0.09200565844950881,7.378380711184697e-07,725094.0451764656,10660303771543.688,6.179817683922614e+19,1.0,1.0,1.0,6.669622046271633,1.0,0.5159352231703486,7.207326386689152,2.6512663894621977,1.3537668033967591,95.27565437501596,7.318447067984286e+18,7.543427751687404e+18,6.738949701938482e+18,-0.048976520272063964,3.950930791206809,4.603427383763186,0.00021047327870311276,0.3474718268683764,0.3474718268683764,1.0,40,1,1.0,0.15862388362572086,3.1960262152578602,0.29723008836634546,3.994801087347672,0.4383745353551218,0.15676082884792428,9.26701950698424,8.862456749067105,0.6244729916467878,capture_only,2.1413654377579,0.20888034621565088,0.06628522935251538,0.0,0.0,0.030381664496400056,0.028383519866630458,1.5298293512652208,1.0018060472221268,58.61174564032308,35.22798554681413,5.914259846526834,77.41845729729862,16.154195501041666,6.324644863168284,59.69447895916898,34.015458728901834,5.946023462766563,0.34403884916263144,57.5326673880075,36.343834670217326,5.79631503724652,0.32718290452865445,54.08909212893405,39.793180699779455,5.82978993779127,0.2879372334952282,1.124815582628414,91.92702943942152,6.944886241054392,0.003268736895664843,0.010860800652148218,92.99249756691411,6.9963590100438795,0.0002826223898842206,80.20320597102882,13.294385466796022,6.380687671132656,0.12172089104251327,79.10471303547432,14.553775760596745,6.225352216667792,0.11615898726114238,55.845980513854485,35.477583065639024,8.656718496746006,0.019717923760487845,10.202716010464423,76.43657298982951,13.35810555455187,0.0026054451541964044,2.175543942929738,81.92870338299092,15.895471907993993,0.0002807660853584572,122.09485498666766,162.34563290851955,212.82116354288962,274.4550869312348,1.690560331154014,2.247884130426334,1.2896042966888683,26.819200611651695,40.25077792185189,50.475530634370074,61.63392338834518,112.10945402271525,800.0,700.0,2.8,350.0,0.75,1.35
FINAL_rank8_capture_only_capture_only_v6_trial_01223,1.6552205139500555,0.5888581824196953,0.5258404230401209,0.5206362480364604,0.09579346470715185,0.033616067582222846,0.0819209954225985,4.50645512364752e-07,705179.0801060614,10923256961147.883,6.037970679620247e+19,1.0,1.0,1.0,7.998298934742338,1.0,0.4112749482866253,6.461559468633244,2.4951796308234195,1.6108216407169689,93.04667294322527,7.394531458940022e+18,7.563332351059038e+18,6.957099978129195e+18,-0.03628494026054668,3.5609324435967107,5.315140820967075,0.00019070753576408807,0.29178161322060997,0.29178161322060997,1.0,40,1,1.0,0.1725363895088887,2.9429734823396303,0.2977482663357808,3.8145069003701235,0.4301324112671235,0.16827012046562673,7.41374458265187,8.95983510064621,0.5522223705640971,capture_only,2.289624285525725,0.20421841654204567,0.056259259704336886,0.0,0.0,0.019312980006870085,0.052660186332336184,1.4229258783388932,1.003694715700804,61.977627820326205,31.75829303860447,6.003615020232043,79.47983657594413,14.049236633065238,6.363125859721115,62.06817252982751,31.523339234480108,6.031342566804791,0.37714566888760376,60.64759796596579,33.127359939152946,5.8696990975556345,0.3553429973256474,57.53963570756292,36.226676476172905,5.928096224208561,0.3055915920556129,1.6237461154493296,90.99938320560275,7.373691719331067,0.003178959616838255,0.04256886485408233,92.57293362055411,7.38424410177907,0.0002534128127351584,81.43812847956131,12.003692565956124,6.425574810658733,0.1326041438238517,80.82920072589862,12.802658848862972,6.243031988685888,0.12510843655255358,61.4739189594956,29.631290788081476,8.87681016803682,0.017980084386115643,9.208866775877384,76.8727862295085,13.915860555319702,0.0024864392944216824,1.91128413493395,81.69080233711227,16.397652456130192,0.0002610718235888505,118.51686787006568,156.3263067244746,201.95145436704297,251.2851127491788,1.6074397074579987,2.1202476682447577,1.2442847393040946,25.470194926840406,37.80943885440891,45.62514764256838,49.33365838213584,94.95880602470422,800.0,700.0,2.8,350.0,0.75,1.35
FINAL_rank3_capture_only_capture_only_v6_trial_01157,1.6689810630116044,0.558697352690576,0.5480313582895382,0.5216264154775672,0.07924007836083452,0.06837001148318755,0.08772732636743241,9.485088703969191e-07,620659.5630433239,10878385632977.76,6.119237800559655e+19,1.0,1.0,1.0,6.493248643766252,1.0,0.39332672618087017,7.921879800683162,2.5607450455483383,1.2170297242554546,98.05236780642836,6.484902858641831e+18,6.62589399417246e+18,6.112697377813846e+18,-0.03501158780264307,3.8049887865941447,4.132090680286016,0.0002174219681434425,0.35178376134140704,0.35178376134140704,1.0,40,1,1.0,0.15033636992148364,3.3498577243817977,0.23287328095011478,3.9932668185695954,0.5723289628186442,0.17053858309438943,7.251903364671257,9.817599283747917,0.5359000562735218,capture_only,1.9215614069353226,0.20571985045553962,0.07259425955770334,0.0,0.0,0.020491731042829173,0.012846232231966504,1.6575158118915896,1.0011541792896834,57.8704323717384,35.594524138343154,6.272598998066529,76.97768358951427,16.10727829786984,6.805161374686954,57.63455188487634,35.749154186608116,6.256143550184193,0.3601503783313561,56.005234816725576,37.52981166667687,6.120108096571167,0.3448454200264038,53.18100992473684,40.35514415812013,6.157185044178926,0.3066608729641092,1.4945544220201277,91.19201746172085,7.309768421734127,0.0036596945249100328,0.032791688557426264,92.65775045179794,7.309166672152965,0.00029118749170043974,79.2308554923486,13.799121098554371,6.842021078872234,0.1280023302248145,78.39018180142946,14.7869243818914,6.699900239441258,0.1229935772379028,57.6223923716119,33.08961773638994,9.266138393648376,0.02185149834977988,8.6899555418168,77.62764688163557,13.6796395132822,0.0027580632654674634,1.3210897124059082,82.82145814637242,15.857163051293442,0.0002890899282390015,124.48718361548055,162.8009118746443,208.64292983587703,259.0617595627446,1.5912795363346648,2.081031573201477,1.2416512736210525,26.434815809052182,38.31372825916375,45.84201796123273,50.418829726867585,96.26084768810031,800.0,700.0,2.8,350.0,0.75,1.35
FINAL_rank6_capture_only_capture_only_v6_trial_01286,1.6697118630911356,0.5977889451269587,0.5301711767731306,0.5136909214203198,0.08586428090031588,0.042925146824628405,0.10467627629466432,3.742898316386507e-07,689412.4178578745,10772055890260.084,6.3627708188551774e+19,1.0,1.0,1.0,4.66641572646777,1.0,0.4600430047012715,6.279190125825655,2.525136962232822,1.4723452769628014,94.73744524571865,7.089756549868331e+18,7.275562984429373e+18,6.558362800733559e+18,-0.045071167101044626,3.802552513978435,5.007701140905764,0.0001835497539870104,0.29688780150507904,0.29688780150507904,1.0,40,1,1.0,0.19209309666190283,2.4327676226328196,0.28216083163828637,3.9921490565457387,0.27878513047877806,0.13535337451188947,8.530185997130367,6.10142062301423,0.44873111869329263,capture_only,2.217157892322079,0.20359341918791277,0.05894894563106381,0.0,0.0,0.02296009101092936,0.019689566239908213,1.5370639670430677,1.0029794945440607,59.421716124794756,33.85963158506787,6.3986920454282545,77.43890131122522,15.743643274736048,6.6848710757857255,61.76163564065589,31.320376388058424,6.437447787556114,0.4805401837295791,59.33966974161246,33.94197733818425,6.26643264072458,0.451920279478713,55.12456638364485,38.15128908639061,6.348374780735059,0.37576974922947054,0.7856131475652383,91.87736757316054,7.333984123617275,0.003035155656939685,0.013371040059191876,92.6401705646691,7.346204954784273,0.00025344048744606817,80.77459039801421,12.356961222250929,6.699891885965052,0.16855649376981782,79.5600636160874,13.759867312872796,6.521250429597387,0.15881864144241767,51.54557951897017,39.09353749357221,9.340822378781768,0.020060608675857274,8.674810083993938,77.21316793995123,14.109341146233309,0.002680829821553914,1.8913333808288426,80.7949811449826,17.313390382292052,0.000295091896502183,123.30963068615883,164.68280861545486,212.0627458037731,265.56681218951877,1.6125958405873115,2.153658321022998,1.2523029973178519,28.57218544044018,41.373177929296034,47.37993718831825,53.50406638574566,100.88400357406391,800.0,700.0,2.8,350.0,0.75,1.35
