number,value,params_Dg_dislocation_scale,params_Dv_dislocation_scale,params_K_d,params_f_n,params_first_gas_pressure_factor,params_rho_rizk2023_fit_cap,params_rho_rizk2023_fit_scale,params_rho_rizk2023_fit_variant,user_attrs_first_gas_pressure_factor,user_attrs_max_Rd_nm,user_attrs_max_f_cap_step,user_attrs_max_psi_d,user_attrs_min_Nd,user_attrs_rho_cfg,user_attrs_score_Nd_drop,user_attrs_score_guards,user_attrs_score_partition,user_attrs_score_pressure,user_attrs_score_radius_T,user_attrs_score_swelling_T,user_attrs_score_swelling_burnup,state
282,30.70648692932267,3.5302575075647664,2.8846999581342376,500119.95901304117,2.1468389827123344e-07,0.6061033969294196,2022916330993038.2,0.06710703435878126,normal,0.6061033969294196,308.0162865964846,0.0,0.49852111478301636,1.0121410075822587e+18,"{""rho_mode"": ""rizk2023_fit"", ""rho_rizk2023_fit_variant"": ""normal"", ""rho_rizk2023_fit_scale"": 0.06710703435878126, ""rho_rizk2023_fit_cap"": 2022916330993038.2, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.6061033969294196}",0.0,0.0,4.259685708675199,0.012788514866327913,0.16939928814273933,0.5815782650256303,1.2010973436359615,COMPLETE
283,31.953820667475476,7.84978085079752,24.19715619991094,228823.78449095946,2.427427250848874e-06,0.7576888221559493,2664430662374267.0,0.034985918321272264,fig410,0.7576888221559493,433.39257334296786,0.0,0.450266150403942,2.6771634907533517e+17,"{""rho_mode"": ""rizk2023_fit"", ""rho_rizk2023_fit_variant"": ""fig410"", ""rho_rizk2023_fit_scale"": 0.034985918321272264, ""rho_rizk2023_fit_cap"": 2664430662374267.0, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.7576888221559493}",0.0,0.0,5.6938409695761605,0.004884801906742714,0.055821229085628796,0.5943223774831374,1.306328534608641,COMPLETE
284,36.07791247369211,4.844641822393058,1.413584241091087,1001198.3025399776,5.262327430736568e-08,0.13863322600537695,1020824262803841.2,0.030420481858674,normal,0.13863322600537695,246.99259811134488,0.0,0.42130741560995105,1.1676134238800558e+18,"{""rho_mode"": ""rizk2023_fit"", ""rho_rizk2023_fit_variant"": ""normal"", ""rho_rizk2023_fit_scale"": 0.030420481858674, ""rho_rizk2023_fit_cap"": 1020824262803841.2, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.13863322600537695}",0.0,0.0,4.790705207833645,0.013499226485862654,0.22089748677025187,0.6803475681259191,1.458421658079377,COMPLETE
285,32.04316139031299,4.780054202790095,2.7441128672074786,620092.0236294855,3.466083094221802e-08,0.11545126758229018,3066146130592087.5,0.022320876895233373,fig410,0.11545126758229018,319.3016624401606,0.0,0.41219014188343817,5.1357119122609e+17,"{""rho_mode"": ""rizk2023_fit"", ""rho_rizk2023_fit_variant"": ""fig410"", ""rho_rizk2023_fit_scale"": 0.022320876895233373, ""rho_rizk2023_fit_cap"": 3066146130592087.5, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.11545126758229018}",0.0,0.0,5.278658836861043,0.013672688621732208,0.06817003717236861,0.6339925064201289,1.46856094753449,COMPLETE
286,28.899046616682128,10.071911235823316,2.1593613902119153,447970.6472221786,2.492584586809748e-06,0.14655461211582535,3185689968601633.0,0.03822942171525172,fig410,0.14655461211582535,345.424887264817,0.0,0.45841452268248584,5.579889779354314e+17,"{""rho_mode"": ""rizk2023_fit"", ""rho_rizk2023_fit_variant"": ""fig410"", ""rho_rizk2023_fit_scale"": 0.03822942171525172, ""rho_rizk2023_fit_cap"": 3185689968601633.0, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.14655461211582535}",0.0,0.0,5.1850910488798325,0.022737555759300494,0.05925125897933081,0.5158114602278735,1.2272689403459374,COMPLETE
287,40.05363821195806,2.5848307581041494,1.855160371011077,269191.0192460157,3.138390481395455e-08,0.31138911793493973,2536994356395563.5,0.020778623921199633,fig410,0.31138911793493973,365.5836223874849,0.0,0.3613800396716859,2.3059170429152454e+17,"{""rho_mode"": ""rizk2023_fit"", ""rho_rizk2023_fit_variant"": ""fig410"", ""rho_rizk2023_fit_scale"": 0.020778623921199633, ""rho_rizk2023_fit_cap"": 2536994356395563.5, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.31138911793493973}",0.0,0.0,5.958961924713298,0.0165964662276537,0.027616267975186615,0.9728054021771686,1.875559888791541,COMPLETE
288,4933.934262311141,4.6017745005123585,4.100088441167317,2065109.3617994373,1.8258544037949854e-06,0.2656559823538666,3047902811432918.0,0.9576703322059663,normal,0.2656559823538666,52533.638122531,0.0,0.9270869616138615,1312080182932.873,"{""rho_mode"": ""rizk2023_fit"", ""rho_rizk2023_fit_variant"": ""normal"", ""rho_rizk2023_fit_scale"": 0.9576703322059663, ""rho_rizk2023_fit_cap"": 3047902811432918.0, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.2656559823538666}",0.6981507294880125,975.940967601955,6.704290744953285,0.23402986201176318,0.8706300778360547,0.3659515227415562,0.0955140498371897,COMPLETE
289,2067.743113566951,1.4703071818442732,4.3123750439221675,1505937.1528573213,3.169561094447764e-07,0.5041109003245834,1048987609200291.2,1.0732578549443714,shifted,0.5041109003245834,34358.24461700134,0.0,0.9164611282630545,4530651275725.271,"{""rho_mode"": ""rizk2023_fit"", ""rho_rizk2023_fit_variant"": ""shifted"", ""rho_rizk2023_fit_scale"": 1.0732578549443714, ""rho_rizk2023_fit_cap"": 1048987609200291.2, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.5041109003245834}",0.0,402.8472616524465,6.447969783864404,0.12949108286168506,0.878337310357638,0.37307173430428736,0.22185087344866378,COMPLETE
290,24.071756896851657,4.947560010273165,1.8640426647929569,236100.78975059668,7.323210903446422e-08,0.40739196076539785,1234032027427487.5,0.03843728053570895,shifted,0.40739196076539785,835.7018421964323,0.0,0.6261521014462015,1.0041459467372922e+17,"{""rho_mode"": ""rizk2023_fit"", ""rho_rizk2023_fit_variant"": ""shifted"", ""rho_rizk2023_fit_scale"": 0.03843728053570895, ""rho_rizk2023_fit_cap"": 1234032027427487.5, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.40739196076539785}",0.0,4.3532241267417234e-05,4.758047290349613,0.0556930916915465,0.02542462717855322,0.4065684551480259,0.8475963545878196,COMPLETE
291,76.01046633792944,7.489928058132189,1.2246311064797522,561727.0280486129,3.595545697789917e-08,0.3486381194381194,1003837780361463.6,0.03206910080786878,fig410,0.3486381194381194,6837.227470808658,0.0,0.8379573047280823,439477836265414.25,"{""rho_mode"": ""rizk2023_fit"", ""rho_rizk2023_fit_variant"": ""fig410"", ""rho_rizk2023_fit_scale"": 0.03206910080786878, ""rho_rizk2023_fit_cap"": 1003837780361463.6, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.3486381194381194}",0.0,11.225541896713317,4.4078146182334645,0.08990675553332948,0.007199321398080975,0.28596955754998776,0.6340354511869501,COMPLETE
292,878.6204119316081,9.674991745592594,2.394116080905488,247783.4652913786,1.0663142042304845e-07,0.45954232138698814,1638927540279271.8,0.12283637375265445,shifted,0.45954232138698814,21165.4233636293,0.0,0.8710905761611943,16642572481982.367,"{""rho_mode"": ""rizk2023_fit"", ""rho_rizk2023_fit_variant"": ""shifted"", ""rho_rizk2023_fit_scale"": 0.12283637375265445, ""rho_rizk2023_fit_cap"": 1638927540279271.8, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.45954232138698814}",0.06495823362141635,169.36210690095797,6.444248714510688,0.29483626480445985,0.09946071792932937,0.4464630501926284,0.23673335993854713,COMPLETE
293,76.54944160831758,10.976980272708825,1.0502478259879076,163797.14621394934,9.667388649309308e-08,0.32710047093480993,1015189758548129.2,0.031151191020457228,shifted,0.32710047093480993,6113.658527361127,0.0,0.8120234890095471,559388627694196.5,"{""rho_mode"": ""rizk2023_fit"", ""rho_rizk2023_fit_variant"": ""shifted"", ""rho_rizk2023_fit_scale"": 0.031151191020457228, ""rho_rizk2023_fit_cap"": 1015189758548129.2, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.32710047093480993}",0.0,10.522129644576422,4.222025905973735,0.19854587330013465,0.22751743860753834,0.19147881009312726,0.4190704341254262,COMPLETE
294,447.8380948452306,13.272826625426191,2.5300487152097455,450555.0915021037,2.1274685165688811e-07,0.6435671012620442,2557663399117547.0,0.04134914932122479,fig410,0.6435671012620442,15247.360247290431,0.0,0.8622918125593064,43180751257118.55,"{""rho_mode"": ""rizk2023_fit"", ""rho_rizk2023_fit_variant"": ""fig410"", ""rho_rizk2023_fit_scale"": 0.04134914932122479, ""rho_rizk2023_fit_cap"": 2557663399117547.0, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.6435671012620442}",0.0,85.88434884436094,4.139464367448021,0.17387337516513035,0.022310052274823237,0.2462222535419321,0.2303375068333437,COMPLETE
295,26.694368590060346,6.244566354697621,2.1308603955354384,159733.1958432208,1.9268268138848318e-07,0.5467773998849417,1045312569489839.5,0.03435724847403662,shifted,0.5467773998849417,1531.1025909029922,0.0,0.701043692299326,2.291573411909948e+16,"{""rho_mode"": ""rizk2023_fit"", ""rho_rizk2023_fit_variant"": ""shifted"", ""rho_rizk2023_fit_scale"": 0.03435724847403662, ""rho_rizk2023_fit_cap"": 1045312569489839.5, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.5467773998849417}",0.0,0.03156945179745298,4.887886797557591,0.06719657051692628,0.09499358959937881,0.4070362358808508,0.815131962285003,COMPLETE
296,9024.898374185013,1.2250778268310345,21.201278187082874,1765521.5865522763,7.743185988533876e-08,0.6424665547501199,1110018583935597.2,0.44138597159364007,fig410,0.6424665547501199,70917.19854332191,0.0,0.9365365919635142,549833160705.5635,"{""rho_mode"": ""rizk2023_fit"", ""rho_rizk2023_fit_variant"": ""fig410"", ""rho_rizk2023_fit_scale"": 0.44138597159364007, ""rho_rizk2023_fit_cap"": 1110018583935597.2, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.6424665547501199}",0.0,1794.334760409501,5.708063582929411,0.13981158595426452,0.8044582829617304,0.5561231714286721,0.7043578853402286,COMPLETE
297,30.29851176368585,5.211495767844997,1.794265255602055,130811.55563380629,1.5733492016309802e-07,0.607654005083541,1312328139175361.5,0.0316460789610236,shifted,0.607654005083541,818.5709583145921,0.0,0.5595684471540487,7.626092102987086e+16,"{""rho_mode"": ""rizk2023_fit"", ""rho_rizk2023_fit_variant"": ""shifted"", ""rho_rizk2023_fit_scale"": 0.0316460789610236, ""rho_rizk2023_fit_cap"": 1312328139175361.5, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.607654005083541}",0.0,1.1583353002722326e-05,5.203952945710108,0.06875064852421847,0.11090117406962927,0.5159772668576889,0.9712638020236386,COMPLETE
298,1723.9592451447215,9.303684289343957,3.5258751640891064,484457.5018837818,7.198269097788819e-08,0.10932973059704579,1213058946096812.2,0.10716713211637119,normal,0.10932973059704579,29854.25583624313,0.0,0.8839387029958214,6196680284360.52,"{""rho_mode"": ""rizk2023_fit"", ""rho_rizk2023_fit_variant"": ""normal"", ""rho_rizk2023_fit_scale"": 0.10716713211637119, ""rho_rizk2023_fit_cap"": 1213058946096812.2, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.10932973059704579}",0.38218510974431297,338.6492466265247,6.450650763099281,0.2954632547703309,0.020023520223025403,0.5010757119680357,0.25228406710631435,COMPLETE
299,341.76489442362936,7.952988725467834,2.351602000254182,336290.1107153545,1.096015067940937e-06,0.6353829623521069,1419451918051087.8,0.1039142750122371,shifted,0.6353829623521069,13293.366006474744,0.0,0.8619178435464534,65073492881944.46,"{""rho_mode"": ""rizk2023_fit"", ""rho_rizk2023_fit_variant"": ""shifted"", ""rho_rizk2023_fit_scale"": 0.1039142750122371, ""rho_rizk2023_fit_cap"": 1419451918051087.8, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.6353829623521069}",0.0,64.56540449513525,4.12174194130323,0.13883064419542748,0.010846373154201751,0.28970726024117144,0.3142790803985359,COMPLETE
