label,T,burnup,rho_d_eff,c,mb,md,Nb,Nd,Rb_nm,Rd_nm,swelling_b_percent,swelling_d_percent,swelling_ig_percent,p_b,p_b_eq,p_d,p_d_eq,p_b_over_eq,p_d_over_eq,matrix_gas_percent,bulk_gas_percent,dislocation_gas_percent,qgb_gas_percent,q_gb,generated,retained,lambda_d,nu_b,phi_b,phi_d,f_cap_step,cap_raw_step,capture_fraction_sum,capture_raw_sum,capture_bubbles_cumulative,max_f_cap_step,Dg,Dv,beta,g_b,g_d,b_b,b_d,b_b_gas,b_d_gas,dVd_growth_dt,dnvb_dt,dnvd_dt,D1_Xe,D2_Xe,D2_Xe_scaled,D3_Xe,Dg_D1_scaled,Dg_D3_scaled,D2_Xe_over_Dg_unscaled,Dv1,Dv2,Dv1_scaled,Dv2_scaled,A20_vU_active,Gamma_d,den,free_dislocation,term_bubbles,term_dislocation,term_bubbles_scaled,term_dislocation_scaled,g_b_unscaled,g_d_unscaled,psi_b,psi_d,porosity_b,porosity_d
UN_clean_standalone_zullo,900.0,1.1,30000000000000.0,3.19480412058226e+23,6.24764333994039e+25,2.375092276909035e+25,3.306980469622624e+21,2.9719586726677905e+19,7.788923913901096,26.622996057435493,0.6545647650817388,0.23491035370313867,0.8894751187848774,628524241.9052978,285020116.32671213,893573837.2339268,83386557.81680815,2.2051925667760046,10.716041777345197,0.3535415238440583,69.13730117620321,26.283105666448133,4.226051633504589,3.8189028054506873e+24,9.036573938600317e+25,8.654683658055248e+25,1.0058912824963102,104646468144969.05,5.302547169105843e-05,1.2526357916877628e-06,4.232201606076818e-06,4.232201606076818e-06,0.0034999029017993883,0.0034999029017993883,8.020353496605812e+18,4.631469725916231e-05,9.250000000033911e-20,1.4293965327754956e-25,1.2e+19,3.071784710854294e-05,5.663668028938207e-06,5.9132225893617806e-06,4.036465098376585e-06,3.135514170151303e-10,5.056220654124978e-12,6.175878567499736e-30,6.341355715493906e+18,1.0184966976776724e+18,3.39111184581436e-31,4.453364303719348e-95,0.0,9.25e-20,3.39111184581436e-31,9.25e-20,4.814447895895159e-76,2.727273770837793e-34,1.4293965300482217e-25,2.727273770837793e-34,1.4293965300482217e-25,4.6304523933553033e-29,1.0300645387285054e-07,3.4866702367166718,28418110638829.125,9.266402956227802e-07,4.737027733315427e-06,9.266402956227802e-07,4.737027733315427e-06,3.071784710854294e-05,5.663668028938207e-06,0.18706141186785016,0.1329333816979624,0.006545647650817388,0.0023491035370313868
UN_clean_standalone_zullo,950.0,1.1,30000000000000.0,3.1457473014132126e+23,6.264031993375332e+25,2.3603545573505685e+25,3.268759968746368e+21,2.9695514727809294e+19,8.027976048669379,27.375310906710297,0.7084184188543755,0.2551858843029088,0.9636043031572844,466883101.44172245,276532962.547635,567470940.3884525,81094969.3892181,1.688345205361542,6.997609650296015,0.3481128271386069,69.31866032344526,26.12001598601611,4.213210863400038,3.8072991486028526e+24,9.036573938600317e+25,8.655844023740032e+25,1.0064020451445586,101459857813548.95,5.227586347592344e-05,1.2594309112176828e-06,4.645213385154117e-06,4.645213385154117e-06,0.003799279105716563,0.003799279105716563,8.672090333258085e+18,4.913051162798323e-05,9.250000000968898e-20,4.304202122346631e-25,1.2e+19,3.127015218428895e-05,5.681643022859277e-06,5.843887759935641e-06,4.01211892033718e-06,3.0549427870701567e-10,5.05298658775396e-12,6.77134253266385e-30,9.581418170587064e+18,1.6830705806403686e+18,9.688979436289361e-30,1.765145399318674e-98,0.0,9.25e-20,9.688979436289361e-30,9.25e-20,1.9082652963608458e-79,1.2701816746368393e-32,4.304201995328463e-25,1.2701816746368393e-32,4.304201995328463e-25,4.6304523933553033e-29,1.0300645387285054e-07,3.4866702367166718,28374731433243.89,9.518461884917675e-07,4.72979683436751e-06,9.518461884917675e-07,4.72979683436751e-06,3.127015218428895e-05,5.681643022859277e-06,0.19205691480871323,0.13665290942344385,0.007084184188543756,0.002551858843029088
UN_clean_standalone_zullo,1000.0,1.1,30000000000000.0,3.0991237645012225e+23,6.275735991443591e+25,2.350107937916726e+25,3.236507004732957e+21,2.9662683316858286e+19,8.252851610964099,28.340684288406287,0.762039125304642,0.282832974442153,1.044872099746795,379025777.08676404,268997930.00648165,390577316.23483956,78332618.13329491,1.4090286013637028,4.9861389232543285,0.34295340087498344,69.44817841456897,26.006625452131654,4.202242732424385,3.797387715949878e+24,9.036573938600317e+25,8.65683516700533e+25,1.0070991011843187,98478336839997.3,5.166394946259377e-05,1.2635186996812623e-06,5.191606648733647e-06,5.191606648733647e-06,0.004196129242693446,0.004196129242693446,9.557650605886683e+18,5.291635765865533e-05,9.250000019797957e-20,1.124807529748927e-24,1.2e+19,3.180654026084672e-05,5.704618613336793e-06,5.7816997211879915e-06,3.982671135948306e-06,2.987054422033489e-10,5.032179454951499e-12,7.59197294759044e-30,1.3187315600815321e+19,2.565049428591401e+18,1.9797956349137057e-28,4.950655044321922e-101,0.0,9.25e-20,1.9797956349137057e-28,9.25e-20,5.352059495919933e-82,4.0289255205478195e-31,1.124807126856375e-24,4.0289255205478195e-31,1.124807126856375e-24,4.6304523933553033e-29,1.0300645387285054e-07,3.4866702367166718,28319283058672.875,9.840644840317074e-07,4.720554129305085e-06,9.840644840317074e-07,4.720554129305085e-06,3.180654026084672e-05,5.704618613336793e-06,0.1967851958199019,0.14141973321327195,0.00762039125304642,0.0028283297444215297
UN_clean_standalone_zullo,1050.0,1.1,30000000000000.0,3.0587183739218194e+23,6.282781007080908e+25,2.344273253673778e+25,3.2098371460763594e+21,2.962139468476013e+19,8.449960378557012,29.471227589597724,0.8112143521250935,0.3176060677893619,1.1288204199144554,328598668.7406708,262723125.38098627,287169837.5958931,75327707.10859631,1.2507413204077698,3.812273712007379,0.3384820834427419,69.52613954989731,25.942058014487785,4.193320352172171,3.7893249410641344e+24,9.036573938600317e+25,8.657641444493904e+25,1.007976796812974,95931517066727.1,5.118117556188049e-05,1.264897146607939e-06,5.867534057266064e-06,5.867534057266064e-06,0.004685764238510124,0.004685764238510124,1.0663656338273483e+19,5.764763262449664e-05,9.250000303506631e-20,2.6143594026175533e-24,1.2e+19,3.2278792845826235e-05,5.731388488030456e-06,5.729455300421051e-06,3.950512877785841e-06,2.932402576047965e-10,4.996992466749228e-12,8.640374235854598e-30,1.6853619774848258e+19,3.6605835409005363e+18,3.035066304242563e-27,6.332905246468618e-103,0.0,9.25e-20,3.035066304242563e-27,9.25e-20,6.846383825596032e-84,9.194528317869608e-30,2.6143502080892353e-24,9.194528317869608e-30,2.6143502080892353e-24,4.6304523933553033e-29,1.0300645387285054e-07,3.4866702367166718,28254676316357.465,1.0216035414313762e-06,4.709784946599081e-06,1.0216035414313762e-06,4.709784946599081e-06,3.2278792845826235e-05,5.731388488030456e-06,0.2009301963106554,0.14699286802508968,0.008112143521250935,0.003176060677893619
UN_clean_standalone_zullo,1100.0,1.1,30000000000000.0,3.025448589877408e+23,6.2861599847365035e+25,2.3418800270060336e+25,3.187417227736048e+21,2.9572579120412963e+19,8.616900667583458,30.708963019211104,0.8542417332759492,0.35873459961464527,1.2129763328905945,298416298.2562759,257633235.61934265,222743088.3809412,72291597.6879844,1.1582989187667965,3.0811753440879253,0.3348004022801171,69.56353179256088,25.915574231098137,4.18609357406087,3.782794409590071e+24,9.036573938600317e+25,8.65829449764131e+25,1.0090163116654236,93860241585447.72,5.0796720028664756e-05,1.264102180620508e-06,6.6609574345937225e-06,6.6609574345937225e-06,0.005257033838405429,0.005257033838405429,1.19614681877423e+19,6.321942393375013e-05,9.250003630270021e-20,5.510065071651839e-24,1.2e+19,3.267083814569342e-05,5.760516834421983e-06,5.686768427136676e-06,3.917888225753856e-06,2.8886918366111196e-10,4.9526110496028625e-12,9.902809567154415e-30,2.0349371672878346e+19,4.953923720123314e+18,3.63027002135315e-26,2.65204703492286e-104,0.0,9.25e-20,3.63027002135315e-26,9.25e-20,2.867076750374684e-85,1.5790075123891412e-28,5.5099071709006e-24,1.5790075123891412e-28,5.5099071709006e-24,4.6304523933553033e-29,1.0300645387285054e-07,3.4866702367166718,28184379861395.28,1.0624479464628904e-06,4.698068887959093e-06,1.0624479464628904e-06,4.698068887959093e-06,3.267083814569342e-05,5.760516834421983e-06,0.20442166828184272,0.15308210377006926,0.008542417332759492,0.0035873459961464527
UN_clean_standalone_zullo,1150.0,1.1,30000000000000.0,2.9984485431371957e+23,6.287056261216638e+25,2.3417965576550727e+25,3.1679073141415624e+21,2.9517476031222706e+19,8.757942161342939,32.00097830819548,0.8913890485128954,0.40518895161109425,1.2965780001239897,279623270.86712873,253484204.2916148,180374826.90642622,69372879.12324406,1.1031191140629926,2.6000769924220988,0.3318125390784583,69.57345011433002,25.914650547503797,4.180086799087741,3.7773663429723504e+24,9.036573938600317e+25,8.658837304303082e+25,1.0101922698741437,92196511164800.8,5.0478886626134504e-05,1.261792998677283e-06,7.556160036090809e-06,7.556160036090809e-06,0.005895908483983877,0.005895908483983877,1.3416452114546815e+19,6.947637630478288e-05,9.25003499374962e-20,1.069543377672623e-23,1.2e+19,3.2989402973663924e-05,5.7907221889388885e-06,5.651765704907017e-06,3.886398883531588e-06,2.852948402554765e-10,4.903830901307367e-12,1.1356228535945859e-29,2.3571003629126164e+19,6.422680706739469e+18,3.4993749619257376e-25,2.822486305141313e-105,0.0,9.25e-20,3.4993749619257376e-25,9.25e-20,3.0513250026064847e-86,2.1176796565805712e-27,1.0693316097069649e-23,2.1176796565805712e-27,1.0693316097069649e-23,4.6304523933553033e-29,1.0300645387285054e-07,3.4866702367166718,28111523800344.88,1.1047818272529948e-06,4.685940361685894e-06,1.1047818272529948e-06,4.685940361685894e-06,3.2989402973663924e-05,5.7907221889388885e-06,0.20734286635794477,0.15942357054166514,0.008913890485128953,0.0040518895161109425
UN_clean_standalone_zullo,1200.0,1.1,30000000000000.0,2.9761911642687206e+23,6.28643894713222e+25,2.3431050442814345e+25,3.15027208979169e+21,2.9457339464714215e+19,8.879580863293022,33.307151558924296,0.923876827844562,0.45592626166490524,1.3798030895094673,267379962.53200224,250011800.57689187,151190664.13201585,66652352.30555687,1.0694693687059333,2.268347011053816,0.3293495061835023,69.56661882972355,25.929130444810593,4.174901219282349,3.772680355439756e+24,9.036573938600317e+25,8.659305903056342e+25,1.0114788772936363,90838369916453.62,5.0203038294543555e-05,1.2585221900669354e-06,8.53783455379168e-06,8.53783455379168e-06,0.006588667930871309,0.006588667930871309,1.4995348210728083e+19,7.624847359965237e-05,9.250279278649073e-20,1.937203057673726e-23,1.2e+19,3.325120960451766e-05,5.8211491544609065e-06,5.622327173797278e-06,3.856935997815265e-06,2.822579064105976e-10,4.8540395389184685e-12,1.2975580686145903e-29,2.6529382842315436e+19,8.043324043810953e+18,2.792786490723941e-24,6.279873592875496e-106,0.0,9.25e-20,2.792786490723941e-24,9.25e-20,6.788847562008549e-87,2.2875995051503872e-26,1.9349154581685756e-23,2.2875995051503872e-26,1.9349154581685756e-23,4.6304523933553033e-29,1.0300645387285054e-07,3.4866702367166718,28038453887953.9,1.1472654659430494e-06,4.673883688517857e-06,1.1472654659430494e-06,4.673883688517857e-06,3.325120960451766e-05,5.8211491544609065e-06,0.20983182513262955,0.16581794790591584,0.00923876827844562,0.004559262616649053
UN_clean_standalone_zullo,1250.0,1.1,30000000000000.0,2.9569899660125842e+23,6.284880350559384e+25,2.345272604192636e+25,3.133628502373826e+21,2.939299371343946e+19,8.988095496656817,34.60622194886006,0.9531014982156012,0.5102640803076944,1.4633655785232957,258936796.7918803,246993370.37815678,130179824.45105945,64150313.87363358,1.048355250974703,2.0292936478454964,0.32722467453971776,69.54937118052126,25.95311696808733,4.1702871768517085,3.7685108418817244e+24,9.036573938600317e+25,8.659722854412145e+25,1.0128593748162897,89688175150370.61,4.995037691203963e-05,1.254616944475913e-06,9.597767543183438e-06,9.597767543183438e-06,0.007326733618377671,0.007326733618377671,1.6676435752181168e+19,8.340621904793805e-05,9.251887648857636e-20,3.317913902644121e-23,1.2e+19,3.347584312066118e-05,5.852015479807292e-06,5.5966300522799385e-06,3.829743742244659e-06,2.79553780548631e-10,4.8048613920207426e-12,1.4746168840532327e-29,2.9305532783664595e+19,9.8021857993016e+18,1.887648857635469e-23,2.509294157468985e-106,0.0,9.25e-20,1.887648857635469e-23,9.25e-20,2.712196962074887e-87,2.04276376157652e-25,3.2974862650283555e-23,2.04276376157652e-25,3.2974862650283555e-23,4.6304523933553033e-29,1.0300645387285054e-07,3.4866702367166718,27966406889688.88,1.1893311284917992e-06,4.662684351315493e-06,1.1893311284917992e-06,4.662684351315493e-06,3.347584312066118e-05,5.852015479807292e-06,0.2120214095364898,0.17215976685446827,0.009531014982156012,0.005102640803076945
UN_clean_standalone_zullo,1300.0,1.1,30000000000000.0,2.938328974883673e+23,6.28217773507272e+25,2.3485260694491525e+25,3.1163758108419005e+21,2.932347730287187e+19,9.089494450384416,35.915030889707225,0.9802968801638525,0.5690269185034917,1.5493237986673443,252637905.1643897,244238005.987903,114109693.72582169,61812559.95066464,1.0343922688957048,1.8460599887287912,0.3251596229775101,69.51946365688424,25.989120272864362,4.166256447273909,3.764868443296095e+24,9.036573938600317e+25,8.660087094270708e+25,1.0143553122919515,88649243273080.4,4.9696899323496505e-05,1.2499214439499568e-06,1.075782025651995e-05,1.075782025651995e-05,0.008121877070407079,0.008121877070407079,1.8480129142745174e+19,9.112459358147246e-05,9.261014568641824e-20,5.490935205998555e-23,1.2e+19,3.369135068742931e-05,5.887614873645111e-06,5.573085728523971e-06,3.8042539367238857e-06,2.7696508037167094e-10,4.755018573742227e-12,1.6704370443212718e-29,3.202813766817222e+19,1.1734031174379465e+19,1.1014568641823352e-22,1.598361411134806e-106,0.0,9.25e-20,1.1014568641823352e-22,9.25e-20,1.725903138676537e-87,1.5413983851648154e-24,5.336795367482074e-23,1.5413983851648154e-24,5.336795367482074e-23,4.6304523933553033e-29,1.0300645387285054e-07,3.4866702367166718,27894494718759.855,1.2323321642937352e-06,4.6552827093513755e-06,1.2323321642937352e-06,4.6552827093513755e-06,3.369135068742931e-05,5.887614873645111e-06,0.21401910332301244,0.178529889933366,0.009802968801638525,0.0056902691850349175
UN_clean_standalone_zullo,1350.0,1.1,30000000000000.0,2.9130491866650966e+23,6.275756069814013e+25,2.355437641296913e+25,3.092872298935291e+21,2.9241542023283122e+19,9.192781107277128,37.35304199043951,1.0064480330682204,0.6383616791621539,1.6448097122303746,247294191.45056996,241493838.92569995,100199686.32425073,59432910.459292926,1.024018635633411,1.6859293201345067,0.3223621260068284,69.44840060464409,26.06560470042199,4.163632568927104,3.7624973562274157e+24,9.036573938600317e+25,8.660324202977576e+25,1.0161244190771626,87559556311812.08,4.937271109474961e-05,1.242779262982377e-06,1.2151762416486062e-05,1.2151762416486062e-05,0.009057419682616275,0.009057419682616275,2.0565464281649017e+19,0.00010007666749105322,9.306398766906381e-20,9.260611246358532e-23,1.2e+19,3.397383113173592e-05,5.949049295505362e-06,5.549556679377971e-06,3.778224822693408e-06,2.7399665863486656e-10,4.695499460528636e-12,1.908107484306258e-29,3.4936088739003507e+19,1.405744635242702e+19,5.639876690638052e-22,1.4771633184943077e-106,0.0,9.25e-20,5.639876690638052e-22,9.25e-20,1.5872555598488976e-87,1.001375772996815e-23,8.259235473361717e-23,1.001375772996815e-23,8.259235473361717e-23,4.6304523933553033e-29,1.0300645387285054e-07,3.4866702367166718,27816318651803.855,1.2840637308515293e-06,4.664985564653832e-06,1.2840637308515293e-06,4.664985564653832e-06,3.397383113173592e-05,5.949049295505362e-06,0.21590553947728708,0.18550499272502982,0.010064480330682204,0.006383616791621539
