number,value,params_Dg_dislocation_scale,params_Dv_dislocation_scale,params_K_d,params_f_n,params_first_gas_pressure_factor,params_rho_T_amp_scale,params_rho_T_shift,params_rho_T_tau_scale,params_rho_blank_def_scale,params_rho_blank_scale,params_rho_const_scale,params_rho_mode,user_attrs_first_gas_pressure_factor,user_attrs_max_Rd_nm,user_attrs_max_f_cap_step,user_attrs_max_psi_d,user_attrs_min_Nd,user_attrs_rho_cfg,user_attrs_score_Nd_drop,user_attrs_score_guards,user_attrs_score_partition,user_attrs_score_pressure,user_attrs_score_radius_T,user_attrs_score_swelling_T,user_attrs_score_swelling_burnup,state
289,3078.880428391495,1.2784630244724788,8.054872232939832,1914214.7889286198,6.623185357618442e-07,0.4623787256872239,,,,,,5.950950600299927,constant,0.4623787256872239,41897.146398764926,0.40324924833967596,0.9676606336944295,2941218426725.894,"{""rho_mode"": ""constant"", ""rho_const_scale"": 5.950950600299927, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.4623787256872239}",0.11868032105353332,608.507413709856,1.4768933389611558,0.14996453341606367,0.9690095973438582,0.1259471759150798,0.114143692771562,COMPLETE
290,41.47571940123505,1.1181453178835656,5.160330224855165,2926715.7534296755,3.095019878051172e-07,0.34920819842342654,,,,,,5.3804057457784475,constant,0.34920819842342654,61.12680721383033,0.0031095834268392263,0.5643165939302764,1.8783854568520535e+20,"{""rho_mode"": ""constant"", ""rho_const_scale"": 5.3804057457784475, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.34920819842342654}",0.1283968707220295,0.0,1.7476871326851537,7.981876477041399e-06,1.1043567542147397,0.14176234041792987,0.20250215114130676,COMPLETE
291,196.66177044302523,1.1576410201793566,4.175864580267346,1912273.4185792208,3.498711991324488e-07,0.3246450500467999,,,,,,6.137194663974169,constant,0.3246450500467999,10697.893126266226,0.3788912089636781,0.9479692585267356,166111380592597.9,"{""rho_mode"": ""constant"", ""rho_const_scale"": 6.137194663974169, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.3246450500467999}",0.12306921242232538,31.90443195254415,1.8549198358668944,0.08027473639789044,0.959844850573482,0.12790129600714395,0.07967039274741711,COMPLETE
292,39.62218475849849,1.1383791308082274,6.450106516172739,2251948.6074046395,1.708278063625714e-07,0.3546874058319677,,,,,,5.9047942808807345,constant,0.3546874058319677,83.42278086142578,0.010908777196747318,0.6243061722639022,1.0005764763082908e+20,"{""rho_mode"": ""constant"", ""rho_const_scale"": 5.9047942808807345, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.3546874058319677}",0.1304485565222093,0.0,2.3426507965118586,5.5624804137801514e-05,0.9817757910402578,0.15048056838627621,0.06606736696441615,COMPLETE
293,16374.931681984124,3.209078904798328,7.590254752224641,2801921.277985803,1.9476019790122186e-07,0.6849989355445352,,,,,,5.305775137178258,constant,0.6849989355445352,95160.22210073858,0.39720563251214025,0.9740657105245556,256041177563.33496,"{""rho_mode"": ""constant"", ""rho_const_scale"": 5.305775137178258, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.6849989355445352}",0.14123453678785447,3264.991569135906,4.635458455078712,0.2108545265692038,0.9405712348704651,0.36811436052101076,0.2065648878610308,COMPLETE
294,39.652555828383356,1.1898029187097314,8.347861729959849,2603197.1762597635,2.3304632244959478e-07,0.4031770322798998,,,,,,5.353756173914535,constant,0.4031770322798998,71.84569804852703,0.005350460638555078,0.5942832971940163,1.3511067300224667e+20,"{""rho_mode"": ""constant"", ""rho_const_scale"": 5.353756173914535, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.4031770322798998}",0.12771178846133832,0.0,2.0017244702086674,1.2033351265143171e-05,1.028685079958777,0.13051923214092925,0.11257744859352145,COMPLETE
295,820.3408254081176,1.3792753202921046,7.2337370345779535,2216591.8207059633,2.1662303945637323e-07,0.3435007106917723,,,,,,4.948128963055553,constant,0.3435007106917723,21961.20704344089,0.39550266242028076,0.9626536719913621,20107264316789.926,"{""rho_mode"": ""constant"", ""rho_const_scale"": 4.948128963055553, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.3435007106917723}",0.12369428991545334,156.61149848492354,2.1173711584657147,0.11226972643970264,0.9270753717785303,0.14375583629150088,0.06972475751927097,COMPLETE
296,41.30467018286036,1.237399469193913,3.3619826913784734,2729887.7576392726,7.698841552247877e-07,0.26194485067014056,,,,,,5.152209250006329,constant,0.26194485067014056,70.004950812237,0.0047569555631174045,0.5888253000775493,1.4206415502260306e+20,"{""rho_mode"": ""constant"", ""rho_const_scale"": 5.152209250006329, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.26194485067014056}",0.11937209918129404,0.0,1.2172283505007557,5.489367321485818e-06,1.117893891962134,0.18710094699424065,0.3144578936512945,COMPLETE
297,39.494244970515105,1.437944994469566,3.965899148709869,2711983.6540950374,7.929050341367077e-07,0.2715760757500997,,,,,,4.78450508525088,constant,0.2715760757500997,82.71388349998203,0.009938841990678458,0.6207509468281341,1.0090863397451142e+20,"{""rho_mode"": ""constant"", ""rho_const_scale"": 4.78450508525088, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.2715760757500997}",0.11767984013262099,0.0,1.2284710640698102,8.092831333820394e-06,1.075053837853381,0.161676800728454,0.26483261523752405,COMPLETE
298,42.61583594617176,1.0661857922559708,3.006912028600377,2977117.496445851,3.5742223941567867e-07,0.2457142358562081,,,,,,5.085562609345113,constant,0.2457142358562081,60.6435947381292,0.002855458675425065,0.5588336910583742,1.8681180787500165e+20,"{""rho_mode"": ""constant"", ""rho_const_scale"": 5.085562609345113, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.2457142358562081}",0.12562288829573431,0.0,1.6109745214482893,8.694072695267873e-06,1.1305286113779298,0.17565266198157187,0.29118066263699677,COMPLETE
