number,value,params_Dg_dislocation_scale,params_Dv_dislocation_scale,params_K_d,params_f_n,params_first_gas_pressure_factor,params_rho_T_amp_scale,params_rho_T_shift,params_rho_T_tau_scale,params_rho_blank_def_scale,params_rho_blank_scale,params_rho_const_scale,params_rho_mode,user_attrs_first_gas_pressure_factor,user_attrs_max_Rd_nm,user_attrs_max_f_cap_step,user_attrs_max_psi_d,user_attrs_min_Nd,user_attrs_rho_cfg,user_attrs_score_Nd_drop,user_attrs_score_guards,user_attrs_score_partition,user_attrs_score_pressure,user_attrs_score_radius_T,user_attrs_score_swelling_T,user_attrs_score_swelling_burnup,state
0,9017.709252064706,26.58917715447055,9.22192897110859,689602.3095124103,4.6581198742180226e-07,0.7740159737805207,,,,,,0.32115938224715884,constant,0.7740159737805207,67746.81770897475,0.2358164418795361,0.9042537685946974,567695790076.8478,"{""rho_mode"": ""constant"", ""rho_const_scale"": 0.32115938224715884, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.7740159737805207}",2.7592020792436074,1799.4987889662002,1.547310222234366,0.5064259375106046,0.0998728652963145,0.5010460034486324,0.6702435620059926,COMPLETE
1,40229.92795079446,26.6012147598406,11.721171155398334,1571054.7991195903,1.6652256129068162e-06,0.6782277951062572,1.3599797374646023,-196.77781165114033,0.5967947149499895,0.20667191435144563,,,blank_sat_deformed,0.6782277951062572,147260.27496242427,0.3377307647804463,0.9333375101294538,60781404319.57319,"{""rho_mode"": ""blank_sat_deformed"", ""rho_blank_def_scale"": 0.20667191435144563, ""rho_T_shift"": -196.77781165114033, ""rho_T_tau_scale"": 0.5967947149499895, ""rho_T_amp_scale"": 1.3599797374646023, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.6782277951062572}",3.7197043532171183,8042.344032799127,2.03121128279184,0.5392077457087195,0.11030656403339352,0.3028132810608045,0.34963048591353496,COMPLETE
2,53220.64810822872,9.99596084802561,14.727897392334283,1196297.6606104635,2.918437697817308e-06,0.253822832013191,,,,,,1.2275890269812304,constant,0.253822832013191,170075.20553201102,0.34839156063957244,0.9377323387415902,40015206043.62893,"{""rho_mode"": ""constant"", ""rho_const_scale"": 1.2275890269812304, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.253822832013191}",3.9394057655800054,10640.200178675886,1.0827791194955567,0.4255738729422602,0.24664561772049995,0.31997843700780804,0.20466346330197202,COMPLETE
3,22921.23189399384,11.905220789116147,16.173432324380165,119329.43771440996,1.85054781424385e-06,0.5502004775510034,1.1843696370974834,-4.126340777057038,1.0078047990145114,0.22026938386999728,,,blank_sat_deformed,0.5502004775510034,107140.04577961352,0.2482322643185401,0.9082256885659413,145424390510.2528,"{""rho_mode"": ""blank_sat_deformed"", ""rho_blank_def_scale"": 0.22026938386999728, ""rho_T_shift"": -4.126340777057038, ""rho_T_tau_scale"": 1.0078047990145114, ""rho_T_amp_scale"": 1.1843696370974834, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.5502004775510034}",3.9167011682969877,4579.137272881086,1.3520141261736793,0.6682263686614005,0.3669106417823609,0.3715534854261229,0.42452129508771397,COMPLETE
4,876.9706324471506,11.169454846151165,1.8323392283214979,491415.62214263395,2.4880990185696883e-07,0.5783048959236706,,,,,,0.4373997057072118,constant,0.5783048959236706,22335.662711020497,0.11495055580041702,0.8839661143988002,14798636893075.123,"{""rho_mode"": ""constant"", ""rho_const_scale"": 0.4373997057072118, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.5783048959236706}",0.2335871639843778,172.87918054319564,2.319306898586926,0.26966129685074414,0.011959581909185068,0.2311348306485157,0.24887008632276875,COMPLETE
5,940.9027876972089,3.689700411107131,2.924325455417738,1792615.6450895674,1.9921209924726883e-06,0.6115547375158816,0.7152637388963435,-174.90825266555913,0.9262920963361979,2.1704082842946923,,,blank_sat_deformed,0.6115547375158816,23416.36935566986,0.3764597556404549,0.9513454624020253,16009120170287.639,"{""rho_mode"": ""blank_sat_deformed"", ""rho_blank_def_scale"": 2.1704082842946923, ""rho_T_shift"": -174.90825266555913, ""rho_T_tau_scale"": 0.9262920963361979, ""rho_T_amp_scale"": 0.7152637388963435, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.6115547375158816}",0.07677885671557483,179.58483491960033,5.124444354416072,0.13008093710356763,0.7076783892805616,0.29658944768302464,0.2746690384203137,COMPLETE
6,59.6427455183361,3.306589252498162,11.350235123017653,2052610.815212538,2.9373166849583073e-07,0.5535362048031239,1.29174155770929,36.768282599321594,2.8206632246942522,4.566020160593916,,,blank_sat_deformed,0.5535362048031239,34.70451900273578,0.0011538923359549246,0.5113349795267691,2.3705155187592777e+20,"{""rho_mode"": ""blank_sat_deformed"", ""rho_blank_def_scale"": 4.566020160593916, ""rho_T_shift"": 36.768282599321594, ""rho_T_tau_scale"": 2.8206632246942522, ""rho_T_amp_scale"": 1.29174155770929, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.5535362048031239}",0.2804479379035676,0.0,8.304337420873939,0.00036052044866746415,0.8521463138816934,0.439945171090375,0.22585592805552696,COMPLETE
7,10961.469706441585,3.4894068380988474,5.452105031418427,236027.26723572257,8.295553548368715e-07,0.30391754271621024,1.024126217994942,207.54683669988822,2.645410595063324,1.387755876022996,,,blank_sat_deformed,0.30391754271621024,77355.38095215401,0.32267209315983314,0.9256815294270335,409095401115.9171,"{""rho_mode"": ""blank_sat_deformed"", ""rho_blank_def_scale"": 1.387755876022996, ""rho_T_shift"": 207.54683669988822, ""rho_T_tau_scale"": 2.645410595063324, ""rho_T_amp_scale"": 1.024126217994942, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.30391754271621024}",2.0119748456726767,2186.4372488886515,5.141951129549854,0.44534101929450404,0.007579608333023576,0.5744040689984782,0.6908105375872997,COMPLETE
8,55.864657580935024,25.300316770565157,1.4405520497030173,1428460.3928008617,1.5203382450984604e-06,0.9196528203688624,,,,,4.046583083699505,,blank_sat,0.9196528203688624,58.02862486980719,0.005570583788811143,0.6060018603716378,1.318049886657976e+20,"{""rho_mode"": ""blank_sat"", ""rho_blank_scale"": 4.046583083699505, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.9196528203688624}",0.12235225775472247,0.0,8.769275343687452,0.009122627745212419,0.6679725068633959,0.45379284319750696,0.3715007233980764,COMPLETE
9,9405.000163127856,5.7801394379155715,10.42895346972528,134079.37634664637,5.794437653546188e-08,0.8709632297108999,1.2709285486517448,-152.1025004556018,0.5910477612636359,0.236375258314763,,,blank_sat_deformed,0.8709632297108999,69093.7782979711,0.2152823568979832,0.9014824528549956,530232565456.837,"{""rho_mode"": ""blank_sat_deformed"", ""rho_blank_def_scale"": 0.236375258314763, ""rho_T_shift"": -152.1025004556018, ""rho_T_tau_scale"": 0.5910477612636359, ""rho_T_amp_scale"": 1.2709285486517448, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.8709632297108999}",2.6302597018401213,1874.7032257325332,4.350088967821013,0.5043182669289609,0.32599122066446484,0.32373465751763786,0.35988967359100993,COMPLETE
10,57.36354394470341,25.122612947082537,1.2158667412150401,1471393.297650675,5.344971202602969e-07,0.9260522464337679,,,,,4.787458198855821,,blank_sat,0.9260522464337679,46.375527221169335,0.002549303499119625,0.5676707395183744,1.606308669886942e+20,"{""rho_mode"": ""blank_sat"", ""rho_blank_scale"": 4.787458198855821, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.9260522464337679}",0.14043556826315134,0.0,8.784629877408195,0.00804607948396919,0.7397317990898499,0.42091740256329246,0.3210884249019344,COMPLETE
11,61.914852182979196,23.32379563126222,1.001501913354507,2501835.9131445913,1.0243668405461218e-06,0.8654398213253014,,,,,4.9772964976580125,,blank_sat,0.8654398213253014,32.95790444630276,0.0009756259651930906,0.5032610655751925,2.838613909903302e+20,"{""rho_mode"": ""blank_sat"", ""rho_blank_scale"": 4.9772964976580125, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.8654398213253014}",0.18970299296915716,0.0,8.776006250308052,0.004178105046824037,0.9407516806995275,0.35289600775372887,0.20733325446322953,COMPLETE
12,196.3083148037519,15.956173381872057,1.5819855760291106,999632.2874657111,6.439335245993477e-08,0.9290314072913607,,,,,4.166259215317759,,blank_sat,0.9290314072913607,10204.781665867644,0.36329146616805974,0.9393992754988255,186230539545580.72,"{""rho_mode"": ""blank_sat"", ""rho_blank_scale"": 4.166259215317759, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.9290314072913607}",0.09857253338092688,28.5947784779174,8.728085424888068,0.10276752082919191,0.5529986510717435,0.4974699072956098,0.4587546739165412,COMPLETE
13,5930.729951909182,19.777711214134328,3.4334313786542507,728614.9230214864,2.3631890176929458e-06,0.7824353656898831,,,,,1.1267677047152687,,blank_sat,0.7824353656898831,57507.319730652336,0.33293107142537726,0.9282786458791727,1004100285901.2688,"{""rho_mode"": ""blank_sat"", ""rho_blank_scale"": 1.1267677047152687, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.7824353656898831}",1.028630717581393,1177.8053345102435,8.264634198250132,0.36145276712244734,0.04779914732532827,0.6894572842781326,0.8104885319784763,COMPLETE
14,696.1366996632764,29.721670921294198,1.2381515250550006,343957.9014259232,3.62188671619267e-07,0.7955930035650096,,,,,9.319163629910461,,blank_sat,0.7955930035650096,20047.41162054704,0.3282182401467375,0.9230403749084499,23302287813750.805,"{""rho_mode"": ""blank_sat"", ""rho_blank_scale"": 9.319163629910461, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.7955930035650096}",0.07694682049331568,128.92120739259263,8.829162767181872,0.1929621493578192,0.46533404865666106,0.5156400178298486,0.5389170228663861,COMPLETE
15,71.3127694457595,26.12015664675102,1.2367975742869666,1610820.2053590107,1.474825980926704e-07,0.889481667618255,,,,,,23.383605698941174,constant,0.889481667618255,46.151595562120235,0.002514130652888403,0.5668313959435846,4.4229590837070424e+20,"{""rho_mode"": ""constant"", ""rho_const_scale"": 23.383605698941174, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.889481667618255}",0.16537122203489152,0.0,8.812536605379604,0.002132140126255007,1.2524471713949386,0.3499962985759571,0.21700076510968486,COMPLETE
16,65.60020374841046,10.538826129030275,4.595055691039031,2398094.3705861596,4.5424134838633124e-07,0.9529540472746276,0.3373324220056776,116.48632573145552,0.32546070890579887,6.899090839160354,,,blank_sat_deformed,0.9529540472746276,29.8509894617504,0.0008055867470828628,0.48707265995508275,2.4546377063717863e+19,"{""rho_mode"": ""blank_sat_deformed"", ""rho_blank_def_scale"": 6.899090839160354, ""rho_T_shift"": 116.48632573145552, ""rho_T_tau_scale"": 0.32546070890579887, ""rho_T_amp_scale"": 0.3373324220056776, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.9529540472746276}",0.19389778043659942,0.0,8.735154719780772,0.0003633965456128891,1.0490598194243124,0.38283911273231963,0.16885046492848244,COMPLETE
17,120.54049701325776,7.250018873498352,3.726174385649627,2327807.4890189623,2.875476611998133e-06,0.9843828755815194,,,,,1.8425430608013194,,blank_sat,0.9843828755815194,7606.915908381995,0.3924550467856127,0.9639837319253215,485841556340215.0,"{""rho_mode"": ""blank_sat"", ""rho_blank_scale"": 1.8425430608013194, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.9843828755815194}",0.10338046006446228,14.197894461737592,7.198708791107367,0.07419761938143896,0.6512577177165386,0.3996673443816031,0.2979320627058075,COMPLETE
18,1135.922511450333,28.30646024293933,1.4761948169268613,767493.270129874,6.927067905794102e-07,0.9558073192033216,2.7497522154788614,232.30328932110015,1.4300468116208358,0.6850793844404098,,,blank_sat_deformed,0.9558073192033216,25615.470693474523,0.32296411264331343,0.9217408389799246,11123228495104.69,"{""rho_mode"": ""blank_sat_deformed"", ""rho_blank_def_scale"": 0.6850793844404098, ""rho_T_shift"": 232.30328932110015, ""rho_T_tau_scale"": 1.4300468116208358, ""rho_T_amp_scale"": 2.7497522154788614, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.9558073192033216}",0.09375549989235989,218.18210322760535,8.652084793687555,0.2511206950288235,0.1914941516906545,0.6172144076172801,0.6686297832034992,COMPLETE
19,617.2619139227584,7.4420314420523095,1.0445804133832302,294900.7681592702,2.1966922242472276e-06,0.9561192035159372,,,,,0.2834659895730243,,blank_sat,0.9561192035159372,19156.307755437374,0.12247056687655908,0.8855269678603405,23582038778361.812,"{""rho_mode"": ""blank_sat"", ""rho_blank_scale"": 0.2834659895730243, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.9561192035159372}",0.08655527789744188,121.0971651637508,1.1508878528652626,0.2520180372406061,0.014651802532899133,0.36304394422727987,0.32769590868661846,COMPLETE
20,54.84135616591842,13.948124193608335,2.8023277184742494,2060899.473158178,1.195187936147156e-07,0.6148183707478284,,,,,2.5047551176033425,,blank_sat,0.6148183707478284,69.678008579622,0.012893712386280344,0.6371775233525818,1.1762082095601246e+20,"{""rho_mode"": ""blank_sat"", ""rho_blank_scale"": 2.5047551176033425, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.6148183707478284}",0.12169804891500564,0.0,8.574837347977189,0.005990947957244933,0.6222962773748963,0.49910647604353586,0.39898630745449615,COMPLETE
21,20308.54904557877,13.149044874869885,5.343310691336811,1330582.9039793625,2.194073384463126e-07,0.5330213745122876,,,,,2.8164403669607845,,blank_sat,0.5330213745122876,105834.74918244635,0.4040397784090396,0.9715932302436594,184705563222.31564,"{""rho_mode"": ""blank_sat"", ""rho_blank_scale"": 2.8164403669607845, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.5330213745122876}",0.10413177572247134,4051.053961850081,8.608211127139777,0.23317586661005468,0.49221896124395825,0.5944102513475074,0.5145873282019505,COMPLETE
22,52.667151705393714,4.306323371817002,2.099631768234871,1518134.3020413048,2.762765957443864e-07,0.7465954543501208,,,,,3.111623382403754,,blank_sat,0.7465954543501208,83.65568007977873,0.03210323227486172,0.6663822671885241,1.083148463348495e+20,"{""rho_mode"": ""blank_sat"", ""rho_blank_scale"": 3.111623382403754, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.7465954543501208}",0.11574334005127478,0.0,8.176931642410592,0.007055133066350426,0.6192648347339927,0.45586226046739525,0.3762397237022641,COMPLETE
23,49.29507581715641,3.735163835183308,2.3262294422148644,2486811.8490617387,1.5517429040333557e-07,0.7704783117988668,,,,,1.795606077296339,,blank_sat,0.7704783117988668,72.03403771858174,0.012513504329074197,0.6340997304741348,1.0333133987636943e+20,"{""rho_mode"": ""blank_sat"", ""rho_blank_scale"": 1.795606077296339, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.7704783117988668}",0.11613399470576653,0.0,7.142967342561173,0.0033316253325890916,0.6730703772217308,0.3666803504619324,0.2790568408968429,COMPLETE
24,812.8018582546315,1.885365548770288,2.2843889907185697,1663598.6919595103,1.1754059954649121e-07,0.7230667117540398,,,,,1.0007807441828864,,blank_sat,0.7230667117540398,21860.29460277232,0.3469274621680634,0.9292647655298345,18338413912847.84,"{""rho_mode"": ""blank_sat"", ""rho_blank_scale"": 1.0007807441828864, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.7230667117540398}",0.07827450229355291,155.0787307186537,3.205233879109087,0.14581117434818808,0.6745777014368487,0.3479100864047506,0.41202182734028053,COMPLETE
25,45.03927500907676,2.509658572991766,1.5435776655692985,2943043.540690283,6.416771204847919e-07,0.5731490614633472,,,,,1.4362682221985714,,blank_sat,0.5731490614633472,62.798416122723694,0.00560766394192472,0.6001631210473239,9.898115511907913e+19,"{""rho_mode"": ""blank_sat"", ""rho_blank_scale"": 1.4362682221985714, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.5731490614633472}",0.10453683153383629,0.0,3.0009989495188294,0.00022583582632694862,0.9398590977376702,0.36786502458857573,0.43071048502540576,COMPLETE
26,57.01417394260923,1.678618342770289,1.6144536044651707,2740429.969255894,4.439755842287687e-07,0.48662983492431666,0.5216076051266223,-63.33452874054878,1.5679015628615858,0.8202509479084821,,,blank_sat_deformed,0.48662983492431666,1952.972796974484,0.3435883335803298,0.9106242671076608,2.420139875390907e+16,"{""rho_mode"": ""blank_sat_deformed"", ""rho_blank_def_scale"": 0.8202509479084821, ""rho_T_shift"": -63.33452874054878, ""rho_T_tau_scale"": 1.5679015628615858, ""rho_T_amp_scale"": 0.5216076051266223, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.48662983492431666}",0.11984639319405542,0.11927304928012052,2.141235539309459,0.023998024275710815,1.0408804401840046,0.8788127923516982,1.1075118048534152,COMPLETE
27,209.77971090641154,1.0458199688412866,1.3527914282741496,1432195.7536022263,2.161611566070378e-06,0.46615522244173047,,,,,0.7764579692045604,,blank_sat,0.46615522244173047,10021.43435062628,0.3155064741772396,0.9087109156197521,177991379103111.3,"{""rho_mode"": ""blank_sat"", ""rho_blank_scale"": 0.7764579692045604, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.46615522244173047}",0.16078736754692746,27.406704264987162,1.9484086918417662,0.07713368325505537,1.1167365990493674,1.5718146147645478,1.805045872149949,COMPLETE
28,303.90799553174185,4.247051551083329,1.0210747136526277,1655286.5863675205,8.081622031661718e-07,0.6059524977485682,,,,,1.4204504531094404,,blank_sat,0.6059524977485682,13372.537200034434,0.3226716363497836,0.9190083859972205,77486914838207.23,"{""rho_mode"": ""blank_sat"", ""rho_blank_scale"": 1.4204504531094404, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.6059524977485682}",0.06817586950419045,52.96967965623288,5.199858049017245,0.12966344595921422,0.5793430633879922,0.28229131225442394,0.27015357608613677,COMPLETE
29,47.2723893189675,3.1893271556712355,3.719642864338313,2685127.0640426436,5.9412091906624e-07,0.29340131830938715,,,,,1.8476245848070192,,blank_sat,0.29340131830938715,57.90718473823175,0.00467665143118919,0.5936623839181766,1.153738757450209e+20,"{""rho_mode"": ""blank_sat"", ""rho_blank_scale"": 1.8476245848070192, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.29340131830938715}",0.11589234128790597,0.0,5.553285871980212,0.0005118846762437105,0.8136224300088436,0.2948170727398563,0.24905929264423027,COMPLETE
30,2450.7226141162805,8.305182097795193,2.5726566468408425,1885392.8023432563,1.078730737738241e-06,0.10381871412039956,,,,,0.604401553531332,,blank_sat,0.10381871412039956,37431.246168204845,0.3322429777524332,0.9269749681195996,3625872703095.4277,"{""rho_mode"": ""blank_sat"", ""rho_blank_scale"": 0.604401553531332, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.10381871412039956}",0.34058942612109827,484.2917448936908,3.1673752214583453,0.23830363189702874,0.44557941611916285,0.28362154288166175,0.31335229728582387,COMPLETE
31,865.3359526990114,2.864617327110466,2.994576673351047,1893446.936176274,6.611049451666093e-07,0.4189086339272359,,,,,1.6113852811999443,,blank_sat,0.4189086339272359,22498.291481925335,0.3774165597695374,0.9494439853546788,17941998511575.78,"{""rho_mode"": ""blank_sat"", ""rho_blank_scale"": 1.6113852811999443, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.4189086339272359}",0.08637227279523035,164.8962683641778,4.3051559457240725,0.12629263836476584,0.7199487507433943,0.2937121002564096,0.29695973875778403,COMPLETE
