block,component,n,min,p10,median,p90,max
C5_coalescence_capture_escape,score_total,200,2.0841084578127123,2.1071602101283,2.252680479136773,3.7870758454251208,6.7095977857952445
C5_coalescence_capture_escape,score_swd,200,0.8285156691914636,0.9106334350075362,0.9738176471090865,1.7667072698447968,3.4331179623816195
C5_coalescence_capture_escape,score_Rd,200,0.02704650740196403,0.07220152589511715,0.12639620732932846,0.2746497089247875,0.8180496549491488
C5_coalescence_capture_escape,score_Nd,200,0.3033378696237136,0.591750102866462,0.6250710992963431,0.7039122781417428,1.0435050062020481
C5_coalescence_capture_escape,score_Nd_drop,200,0.0,0.40809533862404723,0.49998559925858904,0.5415637239945776,0.5483955671939919
C5_coalescence_capture_escape,score_pressure,200,0.0,0.0,0.05542734790118594,0.12754181191199854,0.6259105941782798
C5_coalescence_capture_escape,score_partition,200,0.05864837856701375,0.07092208874241811,0.11023162504770251,0.3461790413881549,0.5172059338201307
C5_coalescence_capture_escape,score_qgb,200,0.0,0.0,0.032292413234574366,0.6111734171732011,1.111799784062762
C5_coalescence_capture_escape,score_radius_guard,200,0.0,0.0,0.0,0.0,2.073159939656875
C5_coalescence_capture_escape,score_radius_saturation,200,0.0,0.0,0.020000357224949847,0.22795605745938133,3.860034278693136
C5_coalescence_capture_escape,score_rizk_prior,200,0.08819915183482105,0.108887087513272,0.1582817569598653,0.17426153707697872,0.2065941556186422
