block,parameter,top_n,min,median,max,direction_vs_1
C5_coalescence_capture_escape,f_n,25,8.533853858817722e-08,1.931526558310945e-07,6.654641215785717e-07,near/mixed
C5_coalescence_capture_escape,K_d,25,264793.6388142397,289517.7633168261,396357.8578476665,near/mixed
C5_coalescence_capture_escape,rho_d,25,27173674747379.633,29664933773007.254,35847502458170.48,near/mixed
C5_coalescence_capture_escape,fission_rate,25,5.621195121888401e+19,6.934309570121998e+19,7.413648919185274e+19,near/mixed
C5_coalescence_capture_escape,Dv_scale,25,0.48733795462600643,0.7434491575808854,0.8336411794750238,near/mixed
C5_coalescence_capture_escape,Dg_scale,25,0.4906243093180979,0.6139464794543986,0.7660896110834859,low
C5_coalescence_capture_escape,D2_xe_scale,25,2.499981994570114,3.5708986474663478,4.610645075773969,high
C5_coalescence_capture_escape,b_scale,25,0.20005617561290165,0.21250141156088892,0.262938785997801,low
C5_coalescence_capture_escape,gb_scale,25,1.037472663024659,1.66595813442634,2.2578971676669233,high
C5_coalescence_capture_escape,gd_scale,25,1.7901933558154182,2.086759362667069,2.6224278982196614,high
C5_coalescence_capture_escape,coalescence_d_scale,25,0.34629466091341843,0.6111287520876572,0.8110916563736069,low
C5_coalescence_capture_escape,capture_scale,25,0.12950315269661156,0.6203817506034061,1.6302653434991803,low
