label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,score_rizk_gas_shape,score_highT_guard,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D2_xe_scale,family,score_swig_diag
FINAL_rank3_M7_full_M7_full_trial_00223,1.1984565635096553,0.6700793187986035,0.3008092602929787,0.0,0.1446476484485344,0.6025772203667222,0.13276225525368596,0.0,1.154457857059114,2.4449068022621852e-08,679233.533099896,42622583182552.35,6.787850359656756e+19,0.1500526198588503,2.2853722583695864,0.5134520006957554,3.496737854337196,0.6409430985150694,11.31989703418323,0.06316466946961923,2.7204352953321798,1.6476308803820332,92.8205801457119,8.121139226474107e+18,2.0094850766920843e+19,1.324841763729835e+18,-1.1809207751157218,4.630786814215777,6.025398974389011,1.7627708772230647e-05,0.01848405945384901,0.01848405945384901,3.0,30,1,1.6782161043161175,M7_full,1.985313674900574
FINAL_rank1_M7_full_M7_full_trial_00316,1.2052527099299393,0.6592844314707811,0.3090765655200444,0.0,0.14409691951466644,0.6130842219276079,0.17081391619918104,0.0,1.166125446587657,2.2902491600716358e-08,709199.8334406841,39656696537392.59,7.40941500538814e+19,0.15002769483418218,2.1277549256759043,0.6943247783071916,3.117006003292535,0.6505501092969307,11.933637494017471,0.06384443176310077,2.6111449784621907,1.6561303804360277,92.85606186312172,7.785949708799588e+18,1.9325215285182153e+19,1.2453279245149125e+18,-1.1908406141328929,4.421814885417044,6.04581487221893,1.7768043411961292e-05,0.01710372374541708,0.01710372374541708,3.0,30,1,2.5853127358528263,M7_full,1.9221861358695649
FINAL_rank2_M7_full_M7_full_trial_00213,1.2128488546832137,0.6679498517634972,0.30570687624310566,0.0,0.15089732466060402,0.6090050343302533,0.1330385478983895,0.0,1.257381184058591,2.6577817145238185e-08,706935.4892963376,42993833836011.17,6.792170077948872e+19,0.15003408883769043,2.199650566320295,0.5626010744649469,3.650759431275298,0.6463836792366594,12.15992482718024,0.05856470740843494,2.675444249835726,1.7171566509486358,92.99327189265037,7.942417484779188e+18,2.067077768302558e+19,1.1770990726063322e+18,-1.2445437985713241,4.523590237037835,6.167858980868399,1.656275380864142e-05,0.01706824530336283,0.01706824530336283,3.0,30,1,1.9722372434344362,M7_full,2.0002597647902864
FINAL_rank4_M7_full_M7_full_trial_00241,1.2256267276387953,0.6677133076876647,0.31650032541176804,0.0,0.15006944519258053,0.6153785255882613,0.1418780183029954,0.0,1.2950166453066496,2.4210695458899045e-08,679153.0069693365,42719655065755.53,6.931831904842081e+19,0.15012409981713892,2.36180756957213,0.6634123085155349,3.8453220619730923,0.6182519467389562,12.550855740931807,0.06370185291844783,2.6035997236751287,1.7949932037158722,93.72204817502688,7.550231963702024e+18,1.9689972069198954e+19,1.0959131544043826e+18,-1.2544689602166779,4.394018415146954,6.222977428191386,1.8833180234550247e-05,0.018591001044238883,0.018591001044238883,3.0,30,1,1.8220652106514992,M7_full,1.9817044953980423
