block,category,label,is_physical,reject_reason,score_total,score_swd,score_Rd,score_Nd,score_Nd_drop,score_pressure,score_partition,score_qgb,score_radius_guard,score_radius_saturation,score_rizk_prior,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,D2_xe_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,Rd_1p3_1800K,Rd_1p3_1900K,Rd_1p3_2000K,Rd_inc_1800_1900_nm,Rd_inc_1900_2000_nm,p_d_over_eq_1p3_1600K,p_b_over_eq_1p3_1600K,bulk_gas_1p3_1600K,disl_gas_1p3_1600K,qgb_gas_1p3_1600K,swD_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K
B_standard_wide,best_score_total,capture_only_v5_codex_trial_00629,True,,1.990001368772348,0.8596492437852814,0.1439977594316985,0.6327601076327963,0.4919414817742622,0.010538608026478146,0.023606450514324202,0.0,0.0,0.023504586294534707,0.2905580431106901,2.0146893552685865e-06,653389.9934409114,16459306820812.424,6.938599294788619e+19,1.4996105142504992,0.5577509485692957,0.21807279255930365,0.05268256638537385,1.6647321316820596,3.767184272381435,0.5066044228852112,2.387495871189096,162.34663142961142,208.31945254499877,261.1943168396956,45.97282111538735,52.874864294696835,1.1201037159358018,1.0012436857999567,65.7765980180074,29.6748906453847,4.3480557066678545,2.6820045045150986,85.6947854891069,1.0174374183171856e+19
B_standard_wide,best_physical,capture_only_v5_codex_trial_00629,True,,1.990001368772348,0.8596492437852814,0.1439977594316985,0.6327601076327963,0.4919414817742622,0.010538608026478146,0.023606450514324202,0.0,0.0,0.023504586294534707,0.2905580431106901,2.0146893552685865e-06,653389.9934409114,16459306820812.424,6.938599294788619e+19,1.4996105142504992,0.5577509485692957,0.21807279255930365,0.05268256638537385,1.6647321316820596,3.767184272381435,0.5066044228852112,2.387495871189096,162.34663142961142,208.31945254499877,261.1943168396956,45.97282111538735,52.874864294696835,1.1201037159358018,1.0012436857999567,65.7765980180074,29.6748906453847,4.3480557066678545,2.6820045045150986,85.6947854891069,1.0174374183171856e+19
B_standard_wide,best_radius_saturated,capture_only_v5_codex_trial_00588,True,,2.0247341437869157,0.8610440642805066,0.18945400069579427,0.6940550775093206,0.5022825383550669,0.0,0.003451750217994662,0.0,0.0,0.0011629330000994904,0.27868126544880933,1.7392536009325236e-06,796678.5135354424,18591416997770.766,6.7882432713962275e+19,1.588259711303411,0.46701902630692865,0.17840150961738596,0.06860306163954485,2.4224621864532665,4.603514920791483,0.44276373462640223,1.6240126392972682,138.62643337726826,168.25692996689318,191.38994144363696,29.630496589624926,23.133011476743775,1.0638888053653248,1.001646526253825,64.4120619326,31.183323305656835,4.186541800020637,2.674377071000099,76.7722368020776,1.4109819180044046e+19
B_standard_wide,best_partition,capture_only_v5_codex_trial_00391,True,,2.0046679665096483,0.8996240481168011,0.0906358427971095,0.6132353691542907,0.5081718692922879,0.01355162707700198,0.0,0.0,0.0,0.028618843699484118,0.3237022021212252,9.566289527805179e-07,422109.86216005613,16871854669477.29,7.446423411037336e+19,1.9048609374053203,0.2260874014991908,0.9039689508230032,0.07088261475269583,6.1128270559929465,7.548895899283558,0.36630723027621104,1.4847337984570865,182.4087327247442,236.1530117529096,298.8590090063545,53.74427902816541,62.70599725344488,1.1105564878210057,1.0020734292071447,70.13409394977926,25.927533676748265,3.649112627187326,2.6530398962618365,97.448081052982,6.844398656664415e+18
B_standard_wide,best_pressure,capture_only_v5_codex_trial_00643,True,,1.99068509394338,0.8416883473645058,0.16226885950557157,0.6466044341830132,0.489739342009342,0.0,0.03612834850188944,0.0,0.0,0.022780325344625152,0.2945707812145416,2.2672042818001444e-06,696236.5623649122,17217479404628.623,6.823688992774506e+19,1.544231137731018,0.4942799209756592,0.17739681708967303,0.050104058924265754,1.3861391720760508,3.3751126047388245,0.5463840510255591,2.699167257616573,156.0310708649738,201.08254094738408,252.6995681162419,45.051470082410276,51.61702716885782,1.1004674267828145,1.0018249103206225,65.93092350566705,29.46275400160913,4.3787459562995705,2.5949956754677315,81.80819772857613,1.13150780482808e+19
B_standard_wide,best_rizk_near,capture_only_v5_codex_trial_00036,False,,4.233147937630432,2.2061077311277697,0.5501015149458325,0.6539748919215249,0.5474469000898194,0.0,0.4240845543075779,0.5039944676187081,0.0,0.005936142972717185,0.10730373468188398,2.7537088389379455e-07,653116.0050754116,14400305366532.559,5.3071134953709355e+19,1.010721891154653,0.8095115393565874,0.11675567268932574,1.1412290395227545,1.0543300871031986,1.0155038535639014,0.4845803297565035,0.010217313826079644,52.30507505293124,65.20065534997653,79.51810729666416,12.895580297045292,14.317451946687626,0.9921312252617224,1.000052044079209,78.6647176538852,2.8782463884629266,17.267635173354453,0.12338275292514177,31.546305868525028,9.382537678690365e+18
B_standard_wide,best_low_parameter_drift,capture_only_v5_codex_trial_00036,False,,4.233147937630432,2.2061077311277697,0.5501015149458325,0.6539748919215249,0.5474469000898194,0.0,0.4240845543075779,0.5039944676187081,0.0,0.005936142972717185,0.10730373468188398,2.7537088389379455e-07,653116.0050754116,14400305366532.559,5.3071134953709355e+19,1.010721891154653,0.8095115393565874,0.11675567268932574,1.1412290395227545,1.0543300871031986,1.0155038535639014,0.4845803297565035,0.010217313826079644,52.30507505293124,65.20065534997653,79.51810729666416,12.895580297045292,14.317451946687626,0.9921312252617224,1.000052044079209,78.6647176538852,2.8782463884629266,17.267635173354453,0.12338275292514177,31.546305868525028,9.382537678690365e+18
B_standard_wide,rejected_by_radius,capture_only_v5_codex_trial_00051,False,rejected_by_radius,2.4708400321420108,0.8805166233438264,0.16611797997138877,0.46057901350708486,0.13036049544841394,0.15939769726422218,0.10030031078334517,0.002736208877047833,0.27365335776644595,0.8346347350089538,0.22639587199901462,3.035538220112818e-07,1255560.596311604,16719460611485.375,6.647046548399683e+19,0.23983038984685717,2.153052965856218,0.10705075903605572,0.1731485945756914,1.8651963191616951,4.495383976852593,4.32044514812668,0.02318197303462423,239.76359490946953,477.04812068486046,1035.0759688383862,237.28452577539093,558.0278481535257,1.5971180136480654,1.0068484795450587,47.32655500534952,45.43266402825991,7.058837371177255,2.891642265827597,82.01233755151341,1.2514640635638923e+19
B_standard_wide,rejected_by_pressure,capture_only_v5_codex_trial_00039,False,rejected_by_pressure,3.5957564996014155,0.9606214697427131,0.1858749268139609,1.0890281387033829,0.5306208802519744,0.6995024358492002,0.3611113439477876,0.5983567545211299,0.0,0.036505475188407785,0.21916149662954776,2.092640627637582e-08,101644.54173592583,8363060382423.215,5.821648248224814e+19,0.2433136729000603,2.226002587265134,0.10439881683716429,0.5368631839946401,0.11711330295709282,3.007689300239696,0.23699980797477993,0.021094623707553415,308.9864794359239,383.19037114194947,467.41334334674275,74.20389170602556,84.22297220479328,5.4631782558970485,1.0012550316833575,17.02732436041873,46.23460333551991,34.87058340945598,2.039494354713395,180.10797608635596,8.33364622822566e+17
B_standard_wide,rejected_by_partition,capture_only_v5_codex_trial_00089,False,rejected_by_partition,2.2549282584461774,0.90447444808704,0.06431174208282509,0.6164910730439119,0.512784308581446,0.31302534812282684,0.11518610180163279,0.00011948736938293585,0.0,0.015138271204355645,0.18158428215880215,1.9005369660685022e-06,233869.88903624692,26926279257308.99,7.183560207315616e+19,0.27967587645251574,1.9858132222846094,2.534796624821511,0.609074365405757,1.861443358679887,9.985238547553353,0.3233795902634209,0.04545236440132777,178.70877483502701,216.55933761937823,256.79483092381,37.85056278435121,40.2354933044318,2.2149370158286437,1.000791904248076,43.654158118787755,48.83342242530907,7.271872614212328,2.890074810675862,104.43227865156102,6.057817883781143e+18
