block,component,n,min,p10,median,p90,max
D3_Kd_rhod_coalescence_escape,score_total,250,2.1439773987644344,2.168052443925979,2.2763187003792367,3.62819214206021,12.265803966521718
D3_Kd_rhod_coalescence_escape,score_swd,250,0.832473332505743,0.9136855227617412,0.962373158774605,1.6773419004098638,2.2905569395896768
D3_Kd_rhod_coalescence_escape,score_Rd,250,0.0174560504183316,0.06870879262154543,0.15084675991988872,0.22887364430020968,0.7513035384054846
D3_Kd_rhod_coalescence_escape,score_Nd,250,0.2628751680137452,0.5813195235423615,0.6408396097709456,0.7362617502064676,1.3041742859422514
D3_Kd_rhod_coalescence_escape,score_Nd_drop,250,0.0,0.41767226372348704,0.4808444418625439,0.540742544959447,0.54901767301568
D3_Kd_rhod_coalescence_escape,score_pressure,250,0.0,0.0,0.0781780547075054,0.17396450829966767,1.0932856925530166
D3_Kd_rhod_coalescence_escape,score_partition,250,0.0824420061763314,0.09256660265301103,0.11810748674444242,0.2995897055828731,0.5489436818163342
D3_Kd_rhod_coalescence_escape,score_qgb,250,0.0022312389072010855,0.05134285407790574,0.09574686054309331,0.370059162217411,0.9468880590947
D3_Kd_rhod_coalescence_escape,score_radius_guard,250,0.0,0.0,0.0,0.0,3.6670403268636425
D3_Kd_rhod_coalescence_escape,score_radius_saturation,250,0.0,0.0,0.01477782959691142,0.16524698110707017,8.03021375517956
D3_Kd_rhod_coalescence_escape,score_rizk_prior,250,0.08294996365034303,0.12390393480020892,0.1531404255747726,0.18324318965861447,0.20238016386120738
