boundary_sink_scale,dislocation_vacancy_scale,candidate_label,family,T_K,burnup_FIMA_percent,dt_h,n_modes,bulk_vacancy_calls,dislocation_vacancy_calls,generated,matrix_percent,bulk_percent,dislocation_percent,qgb_percent,balance_sum_percent,gas_balance_rel_error,swelling_b_percent,swelling_d_percent,swelling_ig_percent,Rb_nm,Rd_nm,Nb,Nd,p_b_over_eq,p_d_over_eq,max_f_cap_step,capture_fraction_sum,Dg,Dv,g_b,g_d,b_b,b_d,dnvd_dt_final,dnvb_dt_final,partition_anchor_penalty,pressure_penalty
0.0,1.0,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,1600.0,3.2,1.0,40,4391,4391,2.628821509410849e+26,0.9761497896095745,81.3234131597881,16.199458723354027,1.5009783272483055,100.00000000000001,1.3070396086229696e-16,4.147264640138644,4.216798922158251,8.364063562296895,10.960752676075419,130.2714898921585,7.518860113222226e+21,4.553508404793175e+18,1.0006768574774814,1.4320458136034724,0.00012612912793921816,0.20850523720922204,7.33571673864993e-19,1.0287062034110958e-20,0.0015567670892646648,0.00019536164967860116,1.8602595135171917e-05,1.179555765229333e-05,2.5012819710019723e+19,6.568738343197259e+19,0.17152074902231726,0.0
0.0,1.0,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,2200.0,3.2,1.0,40,4391,4391,2.628821509410849e+26,0.00044515431394013627,3.334023444445915,95.16455307398905,1.5009783272511026,100.00000000000001,0.0,1.047580483414146,33.72284581656774,34.770426299981885,81.15494441685668,29666.888687883937,4.679008516146192e+18,3083327108732.8384,1.000111402361254,321.383637241049,0.03174757085546733,8.372683263199129,9.901183863882954e-15,7.300127043959911e-16,0.09522884556935395,2.379773911735392,1.2220361642256418e-05,1.1083775104591007e-05,5.338205752457839e+19,3.042351513190953e+20,0.25013103563886785,4.120504187225381
0.0,5.0,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,1600.0,3.2,1.0,40,4391,4391,2.628821509410849e+26,0.9848989290532584,81.24013836502091,16.273984378675237,1.5009783272505797,99.99999999999999,0.0,4.161308675495763,6.156794836869692,10.318103512365456,11.047424848654886,178.81383261699236,7.368144846560595e+21,2.570767123417982e+18,1.000726142044597,1.3139880127444306,0.00019870539734475497,0.3393160381412426,7.33571673864993e-19,1.0287062034110958e-20,0.001537398292464135,0.00019106557323266297,1.8551138800185608e-05,1.1603108213507593e-05,3.519063982422448e+19,6.8833107362129355e+19,0.169091511661392,0.0
0.0,5.0,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,2200.0,3.2,1.0,40,4391,4391,2.628821509410849e+26,0.0004459977731149178,3.1403917454115517,95.35818392956527,1.500978327250096,100.00000000000003,2.6140792172459393e-16,0.9866304721530134,37.002331366879226,37.98896183903224,81.14532475402507,66752.9838631847,4.4083432928003333e+18,296980837992.5473,1.000111976121493,656.5554901023094,0.09081461231783519,10.503478673607104,9.901183863882954e-15,7.300127043959911e-16,0.08970942107224489,2.379742924873202,1.2220495447145114e-05,1.108201063407575e-05,4.524093118663064e+19,2.960905409634016e+20,0.25114321577140736,5.47630287677203
0.0,20.0,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,1600.0,3.2,1.0,40,4391,4391,2.628821509410849e+26,0.999553106308743,81.12142844265081,16.37804012379109,1.5009783272493642,100.00000000000001,-1.3070396086229696e-16,4.185712557022711,8.55842645863521,12.744139015657922,11.192219281306778,254.0691885848399,7.127416867303246e+21,1.2458028271754524e+18,1.0008183759344884,1.3286513166129978,0.00029801466002041943,0.5374194458827077,7.33571673864993e-19,1.0287062034110958e-20,0.0015062974955198415,0.0001864659931406157,1.8466721284778746e-05,1.1449262408492222e-05,5.038994257182418e+19,7.46162177842139e+19,0.16573515120862858,0.0
0.0,20.0,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,2200.0,3.2,1.0,40,4391,4391,2.628821509410849e+26,0.0004467915726271885,2.96530467552826,95.53327020564929,1.5009783272498478,100.00000000000003,1.3070396086229696e-16,0.9314054394148098,40.005111563512756,40.936517002927566,81.12500363849362,135979.3983050417,4.1647215749122145e+18,37984597707.13058,1.0001125058067668,1233.7912908164897,0.19136075865938895,12.616046361344678,9.901183863882954e-15,7.300127043959911e-16,0.08473045393286968,2.3797365849940313,1.2220776809304063e-05,1.1081292026680518e-05,3.8129734085711454e+19,2.8849717207033043e+20,0.25270402961978694,6.833625703930848
0.5,1.0,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,1600.0,3.2,1.0,40,4391,4391,2.628821509410849e+26,0.8841003092297043,53.66250623969284,14.64918432381922,30.80420912725824,100.0,1.3070396086229696e-16,2.6064139384390685,3.8592118616075104,6.4656258000465785,10.028873440708592,122.9515307953066,6.168766446038535e+21,4.956877553244336e+18,1.0003217994813076,1.333992278138683,0.00010873509268558257,0.18668542205547942,7.33571673864993e-19,1.0287062034110958e-20,0.0011706839532239191,0.0001958865178318328,1.9203918397982513e-05,1.1837601562977509e-05,2.29210885575215e+19,3.952153758779796e+19,9.291076986979396,0.0
0.5,1.0,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,2200.0,3.2,1.0,40,4391,4391,2.628821509410849e+26,0.00019984721975840645,0.18767617636116155,42.830035863777155,56.982088112641925,100.0,0.0,0.028807562229739226,31.63474166492094,31.66354922715068,36.464637534755504,19473.850109865205,1.4184113459566863e+18,10226339679558.145,1.000032181213981,97.78933193025209,0.030390172390211974,7.343174384730928,9.901183863882954e-15,7.300127043959911e-16,0.013013031205151864,2.3798204776634755,1.356058399564729e-05,1.1085437321929737e-05,5.912451933514147e+19,3.931277492736813e+18,82.36271452975733,2.289684128128102
0.5,5.0,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,1600.0,3.2,1.0,40,4391,4391,2.628821509410849e+26,0.8901103575499263,53.483426749741895,14.709773355084868,30.916689537623313,100.0,0.0,2.6060223015210098,5.511457329831684,8.117479631352694,10.088439659251504,163.35025269448678,6.059231093447245e+21,3.018689250120159e+18,1.000339197749217,1.212761605060665,0.00016537001729220299,0.29463710914550845,7.33571673864993e-19,1.0287062034110958e-20,0.0011565864289526124,0.00019214040000823336,1.9162637248974652e-05,1.165211480872233e-05,3.134061461955496e+19,4.092511233029458e+19,9.388136250052302,0.0
0.5,5.0,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,2200.0,3.2,1.0,40,4391,4391,2.628821509410849e+26,0.00019987741219843212,0.1775933873993112,42.84554515245345,56.97666158273505,100.0,0.0,0.027239514374949,34.99397288621195,35.0212124005869,36.43274141477459,42975.91298080063,1.344730320664973e+18,1052517454795.5426,1.0000324199127058,194.58028317738624,0.08865195581800596,9.32549035960755,9.901183863882954e-15,7.300127043959911e-16,0.01232631794388958,2.379753913283103,1.3562667328339982e-05,1.1082791544448366e-05,5.1879136105364955e+19,3.8343284055248753e+18,82.33502158987964,3.283262737291849
