T,burnup,swelling_b_percent,swelling_d_percent,swelling_ig_percent,Nb,Nd,Rb_nm,Rd_nm,p_b,p_b_eq,p_d,p_d_eq,p_b_over_eq,p_d_over_eq,matrix_gas_percent,bulk_gas_percent,dislocation_gas_percent,qgb_gas_percent,f_cap_step_final,cap_raw_step_final,capture_fraction_sum,capture_raw_sum,capture_bubbles_cumulative,max_f_cap_step,candidate,grid
900.0,1.1,0.17898206693268445,0.19759653633921373,0.3765786032718982,7.526426250737311e+21,1.2836504102613529e+19,3.843356760168216,33.246657144809134,694676792.4999524,577620069.7805727,1576111447.3880901,66773630.513605274,1.2026534894534524,23.603800411405725,10.492293068885319,19.25059925522738,23.541561659278056,46.71554601660924,1.6526835943486169e-09,1.6526835943486169e-09,0.0004429908168475216,0.0004429908168475216,5.4702874386892614e+17,6.925231468018539e-07,best_rizk_near,TEMP_MAIN
950.0,1.1,0.1866316444186305,0.20933536838122713,0.39596701279985763,7.474647426774109e+21,1.2777453344164497e+19,3.906327524571398,33.94453777957412,618743791.4912897,568308721.180152,980702301.6049658,65400802.167819455,1.0887459024144552,14.995264111416688,10.441107511585937,19.44755057842263,23.54817937965377,46.56316253033767,1.9818630808549967e-09,1.9818630808549967e-09,0.00046966082265325053,0.00046966082265325053,5.991181152624233e+17,7.213765395984315e-07,best_rizk_near,TEMP_MAIN
1000.0,1.1,0.19187318773740114,0.2261431956777723,0.41801638341517344,7.429002943287178e+21,1.2693345397679819e+19,3.950618111276404,34.90649738129496,585089584.380365,561937382.3208493,659113520.5333569,63598474.970153034,1.0412006796271414,10.363668638952129,10.401973689705045,19.552025750998567,23.620593832669265,46.42540672662712,2.441455721820382e-09,2.441455721820382e-09,0.0005063689293600241,0.0005063689293600241,6.721593812178426e+17,7.61359022490819e-07,best_rizk_near,TEMP_MAIN
1050.0,1.1,0.1957184173833073,0.24821311561154724,0.4439315329948545,7.385350000835901e+21,1.258369257295694e+19,3.9846544754837434,36.11126250750645,568641856.8978225,557137391.3745655,472055103.3442999,61476665.33504689,1.0206492432591416,7.678606195889234,10.369178487091773,19.601538852309776,23.73832152399667,46.29096113660179,3.033573808848806e-09,3.033573808848806e-09,0.0005538489720803388,0.0005538489720803388,7.666701986603133e+17,8.131590194028282e-07,best_rizk_near,TEMP_MAIN
1100.0,1.1,0.19886686155001793,0.275469008958959,0.4743358705089769,7.341833108595284e+21,1.2449498398883592e+19,4.013806520752623,37.52126119979791,559283416.3545958,553090934.6332247,356213132.98145694,59166454.67162381,1.0111961367175137,6.020525227655672,10.339382509774094,19.62191425397622,23.883569429265666,46.15513380698403,3.75502845614711e-09,3.75502845614711e-09,0.0006122149786508882,0.0006122149786508882,8.821517348005484e+17,8.765918597561231e-07,best_rizk_near,TEMP_MAIN
1150.0,1.1,0.2016920742043119,0.3076364236100242,0.5093284978143361,7.298205734063435e+21,1.2292847997578273e+19,4.040744344163076,39.09298903322415,552991418.4170252,549403726.3720552,280546267.1188756,56787676.12559065,1.006530156008699,4.940266731437016,10.311170080748303,19.62812920310581,24.04288634665715,46.017814369488754,4.599780591501215e-09,4.599780591501215e-09,0.0006811238870101974,0.0006811238870101974,1.0174424157850217e+18,9.508079728594163e-07,best_rizk_near,TEMP_MAIN
1200.0,1.1,0.20438640025109692,0.3443419291450749,0.5487283293961719,7.254784933976532e+21,1.211635518890034e+19,4.066738816153073,40.785873471344075,548110122.3686494,545891954.3055402,228783607.93991193,54430610.676016524,1.004063382956305,4.2032158944841616,10.2839213816698,19.62878860742003,24.206660922167178,45.88062908874301,5.561525704596595e-09,5.561525704596595e-09,0.0007600220331763171,0.0007600220331763171,1.171176006466664e+18,1.0346758848043643e-06,best_rizk_near,TEMP_MAIN
1250.0,1.1,0.20704641582192912,0.3853458799134708,0.5923922957353999,7.211599146079006e+21,1.1922003800809138e+19,4.092441778844909,42.57332971316377,543912016.3970839,542463428.918125,191788343.3237841,52145322.31698032,1.0026703873509923,3.6779587276868977,10.25675578923276,19.628309661278372,24.36944252514265,45.74549202434622,6.639186228321139e-09,6.639186228321139e-09,0.0008486564033420048,0.0008486564033420048,1.3426845524973463e+18,1.1274247165598569e-06,best_rizk_near,TEMP_MAIN
1300.0,1.1,0.20969308496477942,0.4313767570492176,0.641069842013997,7.166663821128674e+21,1.1707308769591857e+19,4.118377529435159,44.47374344529903,540029504.6446024,539047230.161164,163795950.12559816,49917093.27843098,1.0018222419641127,3.281359938407589,10.225878752624654,19.62593979779962,24.533479103629844,45.61470234594589,7.858302878384492e-09,7.858302878384492e-09,0.0009488949926132689,0.0009488949926132689,1.5351797155123484e+18,1.2305599488129216e-06,best_rizk_near,TEMP_MAIN
1350.0,1.1,0.2122065661725285,0.48720622430925703,0.6994127904817855,7.109782171198469e+21,1.145177507194867e+19,4.1457645902940055,46.65703500336139,536150051.06468564,535486265.9586188,140061002.4431545,47581248.99792842,1.0012395931478812,2.943617609727993,10.174183756707741,19.6077806889099,24.722996002367466,45.495039552014894,9.35435894246918e-09,9.35435894246918e-09,0.001071582401786324,0.001071582401786324,1.7674301607125714e+18,1.3546029885835495e-06,best_rizk_near,TEMP_MAIN
