Time (h)	Location	Phase	Phase instance	Moles (mol/m3)	Form units (mol/m3)	Sublattice	Sites	Constituent	Site fraction
168	at grain boundary	HALITE	HALITE	6.860329473	3.430164736	1	1	BA+2	1
168	at grain boundary	HALITE	HALITE	6.860329473	3.430164736	1	1	VA	1.1e-12
168	at grain boundary	HALITE	HALITE	6.860329473	3.430164736	2	1	O-2	1
168	at grain boundary	HALITE	HALITE	6.860329473	3.430164736	2	1	VA	1.1e-12
168	at grain boundary	HCP_A3	HCP_A3	25.04559913	25.04559913	1	1	BA	6.049711701e-08
168	at grain boundary	HCP_A3	HCP_A3	25.04559913	25.04559913	1	1	CS	0.006716966794
168	at grain boundary	HCP_A3	HCP_A3	25.04559913	25.04559913	1	1	MO	0.3029651461
168	at grain boundary	HCP_A3	HCP_A3	25.04559913	25.04559913	1	1	PD	0.2614630647
168	at grain boundary	HCP_A3	HCP_A3	25.04559913	25.04559913	1	1	RH	0.08162074577
168	at grain boundary	HCP_A3	HCP_A3	25.04559913	25.04559913	1	1	RU	0.2739136853
168	at grain boundary	HCP_A3	HCP_A3	25.04559913	25.04559913	1	1	TC	0.07332033088
168	at grain boundary	HCP_A3	HCP_A3	25.04559913	25.04559913	2	0.5	O	1.100880705e-12
168	at grain boundary	HCP_A3	HCP_A3	25.04559913	25.04559913	2	0.5	VA	1
168	at grain boundary	gas	GAS	0.8919823565	0.8919823565	1	1	BA	7.154266943e-08
168	at grain boundary	gas	GAS	0.8919823565	0.8919823565	1	1	BA2	1.358466505e-17
168	at grain boundary	gas	GAS	0.8919823565	0.8919823565	1	1	BA2O	2.138097731e-10
168	at grain boundary	gas	GAS	0.8919823565	0.8919823565	1	1	BA2O2	2.621410289e-12
168	at grain boundary	gas	GAS	0.8919823565	0.8919823565	1	1	BAMOO4	5.968159187e-18
168	at grain boundary	gas	GAS	0.8919823565	0.8919823565	1	1	BAO	1.277665593e-08
168	at grain boundary	gas	GAS	0.8919823565	0.8919823565	1	1	CS	0.9901113827
168	at grain boundary	gas	GAS	0.8919823565	0.8919823565	1	1	CS2	0.009886974995
168	at grain boundary	gas	GAS	0.8919823565	0.8919823565	1	1	CS2MOO4	3.274016508e-09
168	at grain boundary	gas	GAS	0.8919823565	0.8919823565	1	1	CS2O	1.520762394e-06
168	at grain boundary	gas	GAS	0.8919823565	0.8919823565	1	1	CS2O2	6.894292936e-17
168	at grain boundary	gas	GAS	0.8919823565	0.8919823565	1	1	CSO	1.507828356e-10
168	at grain boundary	gas	GAS	0.8919823565	0.8919823565	1	1	MO	5.384815115e-18
168	at grain boundary	gas	GAS	0.8919823565	0.8919823565	1	1	MO2	1.608108407e-26
168	at grain boundary	gas	GAS	0.8919823565	0.8919823565	1	1	MO2O6	1e-30
168	at grain boundary	gas	GAS	0.8919823565	0.8919823565	1	1	MO3O9	1e-30
168	at grain boundary	gas	GAS	0.8919823565	0.8919823565	1	1	MO4O12	1e-30
168	at grain boundary	gas	GAS	0.8919823565	0.8919823565	1	1	MO5O15	1e-30
168	at grain boundary	gas	GAS	0.8919823565	0.8919823565	1	1	MOO	6.351023744e-19
168	at grain boundary	gas	GAS	0.8919823565	0.8919823565	1	1	MOO2	5.007191661e-19
168	at grain boundary	gas	GAS	0.8919823565	0.8919823565	1	1	MOO3	4.525510614e-21
168	at grain boundary	gas	GAS	0.8919823565	0.8919823565	1	1	O	1.272138929e-16
168	at grain boundary	gas	GAS	0.8919823565	0.8919823565	1	1	O2	1.246743303e-20
168	at grain boundary	gas	GAS	0.8919823565	0.8919823565	1	1	O3	1e-30
168	at grain boundary	gas	GAS	0.8919823565	0.8919823565	1	1	PD	3.358573952e-08
168	at grain boundary	gas	GAS	0.8919823565	0.8919823565	1	1	RH	3.489817837e-16
168	at grain boundary	gas	GAS	0.8919823565	0.8919823565	1	1	RU	2.945233148e-17
168	at grain boundary	gas	GAS	0.8919823565	0.8919823565	1	1	TC	2.194711414e-17
196	at grain boundary	HALITE	HALITE	8.00371766	4.00185883	1	1	BA+2	1
196	at grain boundary	HALITE	HALITE	8.00371766	4.00185883	1	1	VA	1.1e-12
196	at grain boundary	HALITE	HALITE	8.00371766	4.00185883	2	1	O-2	1
196	at grain boundary	HALITE	HALITE	8.00371766	4.00185883	2	1	VA	1.1e-12
196	at grain boundary	HCP_A3	HCP_A3	29.21986562	29.21986562	1	1	BA	5.922112059e-08
196	at grain boundary	HCP_A3	HCP_A3	29.21986562	29.21986562	1	1	CS	0.006716966559
196	at grain boundary	HCP_A3	HCP_A3	29.21986562	29.21986562	1	1	MO	0.3029651373
196	at grain boundary	HCP_A3	HCP_A3	29.21986562	29.21986562	1	1	PD	0.2614630667
196	at grain boundary	HCP_A3	HCP_A3	29.21986562	29.21986562	1	1	RH	0.08162074581
196	at grain boundary	HCP_A3	HCP_A3	29.21986562	29.21986562	1	1	RU	0.2739136926
196	at grain boundary	HCP_A3	HCP_A3	29.21986562	29.21986562	1	1	TC	0.0733203319
196	at grain boundary	HCP_A3	HCP_A3	29.21986562	29.21986562	2	0.5	O	1.100880705e-12
196	at grain boundary	HCP_A3	HCP_A3	29.21986562	29.21986562	2	0.5	VA	1
196	at grain boundary	gas	GAS	1.015812051	1.015812051	1	1	BA	7.003369544e-08
196	at grain boundary	gas	GAS	1.015812051	1.015812051	1	1	BA2	1.301765447e-17
196	at grain boundary	gas	GAS	1.015812051	1.015812051	1	1	BA2O	2.093001093e-10
196	at grain boundary	gas	GAS	1.015812051	1.015812051	1	1	BA2O2	2.621410289e-12
196	at grain boundary	gas	GAS	1.015812051	1.015812051	1	1	BAMOO4	6.362307095e-18
196	at grain boundary	gas	GAS	1.015812051	1.015812051	1	1	BAO	1.277665593e-08
196	at grain boundary	gas	GAS	1.015812051	1.015812051	1	1	CS	0.9901113515
196	at grain boundary	gas	GAS	1.015812051	1.015812051	1	1	CS2	0.009886974371
196	at grain boundary	gas	GAS	1.015812051	1.015812051	1	1	CS2MOO4	3.885003151e-09
196	at grain boundary	gas	GAS	1.015812051	1.015812051	1	1	CS2O	1.55352925e-06
196	at grain boundary	gas	GAS	1.015812051	1.015812051	1	1	CS2O2	7.194587519e-17
196	at grain boundary	gas	GAS	1.015812051	1.015812051	1	1	CSO	1.540316579e-10
196	at grain boundary	gas	GAS	1.015812051	1.015812051	1	1	MO	5.384814333e-18
196	at grain boundary	gas	GAS	1.015812051	1.015812051	1	1	MO2	1.60810794e-26
196	at grain boundary	gas	GAS	1.015812051	1.015812051	1	1	MO2O6	1e-30
196	at grain boundary	gas	GAS	1.015812051	1.015812051	1	1	MO3O9	1e-30
196	at grain boundary	gas	GAS	1.015812051	1.015812051	1	1	MO4O12	1e-30
196	at grain boundary	gas	GAS	1.015812051	1.015812051	1	1	MO5O15	1e-30
196	at grain boundary	gas	GAS	1.015812051	1.015812051	1	1	MOO	6.487864497e-19
196	at grain boundary	gas	GAS	1.015812051	1.015812051	1	1	MOO2	5.225289382e-19
196	at grain boundary	gas	GAS	1.015812051	1.015812051	1	1	MOO3	4.82438343e-21
196	at grain boundary	gas	GAS	1.015812051	1.015812051	1	1	O	1.299548943e-16
196	at grain boundary	gas	GAS	1.015812051	1.015812051	1	1	O2	1.301047759e-20
196	at grain boundary	gas	GAS	1.015812051	1.015812051	1	1	O3	1e-30
196	at grain boundary	gas	GAS	1.015812051	1.015812051	1	1	PD	3.358574201e-08
196	at grain boundary	gas	GAS	1.015812051	1.015812051	1	1	RH	3.489818152e-16
196	at grain boundary	gas	GAS	1.015812051	1.015812051	1	1	RU	2.945233346e-17
196	at grain boundary	gas	GAS	1.015812051	1.015812051	1	1	TC	2.194711423e-17
224	at grain boundary	HALITE	HALITE	9.147106188	4.573553094	1	1	BA+2	1
224	at grain boundary	HALITE	HALITE	9.147106188	4.573553094	1	1	VA	1.1e-12
224	at grain boundary	HALITE	HALITE	9.147106188	4.573553094	2	1	O-2	1
224	at grain boundary	HALITE	HALITE	9.147106188	4.573553094	2	1	VA	1.1e-12
224	at grain boundary	HCP_A3	HCP_A3	33.39413201	33.39413201	1	1	BA	5.79587471e-08
224	at grain boundary	HCP_A3	HCP_A3	33.39413201	33.39413201	1	1	CS	0.006716966212
