label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D1_Xe,D2_Xe,D2_Xe_over_Dg_unscaled,D2_Xe_scaled,D2_xe_scale,D3_Xe,Dg,Dv,Rd1900_soft_max_nm,Rd2000_max_nm,Rd_1900_2000_ratio_max,Rd_1p3_1700K,Rd_1p3_1800K,Rd_1p3_1900K,Rd_1p3_2000K,Rd_inc_1600_1700_nm,Rd_inc_1700_1800_nm,Rd_inc_1800_1900_nm,Rd_inc_1800_2000_nm,Rd_inc_1900_2000_nm,Rd_last_increment_factor_max,Rd_post1800_delta_max_nm,Rd_ratio_2000_over_1700,Rd_ratio_2000_over_1800,Rd_ratio_2000_over_1900,Rd_ratio_max,bulk_gas_1p1_1200,bulk_gas_1p1_1500,bulk_gas_1p1_1600,bulk_gas_1p1_2000,bulk_gas_1p1_2200,bulk_gas_1p3_1600K,bulk_gas_3p2_1200,bulk_gas_3p2_1500,bulk_gas_3p2_1600K,bulk_gas_3p2_1800,bulk_gas_3p2_2000,bulk_gas_3p2_2200,disl_gas_1p1_1200,disl_gas_1p1_1500,disl_gas_1p1_1600,disl_gas_1p1_2000,disl_gas_1p1_2200,disl_gas_1p3_1600K,disl_gas_3p2_1200,disl_gas_3p2_1500,disl_gas_3p2_1600K,disl_gas_3p2_1800,disl_gas_3p2_2000,disl_gas_3p2_2200,family,matrix_gas_1p1_1200,matrix_gas_1p1_1500,matrix_gas_1p1_1600,matrix_gas_1p1_2000,matrix_gas_1p1_2200,matrix_gas_3p2_1200,matrix_gas_3p2_1500,matrix_gas_3p2_1800,matrix_gas_3p2_2000,matrix_gas_3p2_2200,p_b_over_eq_1p3_1600K,p_d_over_eq_1p3_1600K,qgb_gas_1p1_1200,qgb_gas_1p1_1500,qgb_gas_1p1_1600,qgb_gas_1p1_2000,qgb_gas_1p1_2200,qgb_gas_1p3_1600K,qgb_gas_3p2_1200,qgb_gas_3p2_1500,qgb_gas_3p2_1600K,qgb_gas_3p2_1800,qgb_gas_3p2_2000,qgb_gas_3p2_2200,score_base_highT_guard,score_partition,score_qgb,score_radius_guard,score_radius_saturation,score_rizk_prior,score_swig_diag,trial_number,state,block,physical_metric,selection_category
baseline_v5_D4_diffusion_resolution_pair_trial_00199,1.9642920359469869,0.774022773763212,0.6882192917732086,0.462681933614489,0.19763870928405447,0.012281007695418318,0.04873746207082277,8.176989353325162e-07,393892.94026348816,42215835069436.64,5.593806849725141e+19,1.4512433388353332,0.8894365939726722,0.023458203026028333,0.5879956979353336,0.5670651304178016,0.8372215744868787,0.0,2.6743873945298557,1.2386271038929988,74.96081224096625,1.5157684253165445e+19,1.6195444754632321e+19,1.2580134673605534e+19,-0.10970758861051012,4.165822563678914,4.440360888174108,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.231141798746694e-105,3.539467673785333e-88,1.8859467127315373e-106,0.05836781021071451,1.0348542671991512e-19,4.739215540827204e-19,2.978080647903223e-20,700.0,800.0,1.35,103.88358944354162,143.1450979843981,193.09061411992352,279.9447228917675,28.922777202575375,39.26150854085647,49.94551613552542,136.79962490736943,86.85410877184401,0.75,350.0,2.6947925499235,1.9556710417165646,1.449810101685736,2.8,71.96462093384848,69.68636886473307,58.82225956971595,1.0972137629925163,0.08780830995707342,62.22973946126925,84.73625093850605,83.49751356997945,77.87929581036863,48.28183213742511,15.319170719826484,2.079380737062577,22.53183668731373,24.887963310902535,35.49096043919519,90.97371914007067,91.95091791917028,32.22419071506751,10.671725311984897,11.895983643015718,17.10292894258597,44.59406863657968,75.6148637482736,88.25550662547309,baseline,0.7939025181805295,0.6081457546381825,0.22982834849640385,0.0008085971345439404,6.302861782732028e-05,0.24809299319445063,0.18714447413490204,0.004060050624121637,0.0003703846451119784,3.7061423615130085e-05,1.0008432654530561,1.0777138645877238,4.709639860657274,4.817522069726217,5.456951642592458,7.928258499802267,7.961210742254826,5.357953975893431,4.343930756314626,4.419358312869939,4.949190203854974,7.120039175371074,9.065595147254802,9.665075576040733,0.027619945039496763,0.020957661898180355,0.0,0.0,0.07125298530852803,0.34784913070124357,2.0212870390226247,199,TrialState.COMPLETE,all_blocks,1.9642920359469869,best_score_total
baseline_v5_A_nominal_near_trial_00034,2.391172814587038,0.9703102414167263,0.949477905895616,0.48260201057099045,0.3520201256586453,0.0,0.08060828721198927,1.948218022244051e-07,656196.7717065101,59812650312511.43,6.01974772887519e+19,1.004467975884973,1.3709504435394704,0.5717902735448076,1.1646773158981985,1.2801024318359895,0.9913951965962751,0.0,2.075266811417696,1.0454559018637333,51.59510617780859,3.6071134330986238e+19,3.800975336426637e+19,3.1298931291256193e+19,-0.08436554286346024,2.1289485455875825,3.5056342457404215,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.3519029061967952e-105,1.0820864163324835e-86,5.850985598888264e-105,1.7455713254913547,1.11365332984191e-19,7.412911927243201e-19,2.063024865927874e-20,700.0,800.0,1.35,68.90396022602754,90.35237351482496,108.95845972178498,122.57762432273654,17.308854048218947,21.448413288797425,18.606086206960015,32.22525080791158,13.619164600951564,0.75,350.0,1.7789634140133865,1.3566619177151342,1.124994099914103,2.8,65.4689538420875,62.66095036670738,52.134205693346274,0.6240206880932014,0.04924160356634831,57.746377648288494,82.4494113250539,81.4891141450595,76.88729569550587,52.03612878561034,23.15172513037976,4.163729457992161,24.11659410964307,27.36959094937564,38.198405875035554,88.2408180915312,88.84223659480982,32.5778543753007,8.578150160697822,9.56445238472656,13.428175849182495,34.49114754096096,60.0636833589195,77.88175455013798,baseline,2.566833573022215,1.9871457763787883,0.7373443756190609,0.0015799388089777309,0.00011713934632537859,0.8884061158982602,0.6888212438266924,0.0139140521952683,0.0011052630652093169,0.00010716417973931865,1.0003251294175584,1.003757627367156,7.847618475247222,7.982312907538177,8.930044055999112,11.133581281566634,11.108404662277497,9.050378998544922,8.084032398350002,8.257612226387245,9.427240597929972,13.458809621233435,16.783486247635533,17.954408827690106,0.0,0.08419223095550502,0.011292271054978318,0.0,0.0,0.07238701033048868,1.1722618387665897,34,TrialState.COMPLETE,all_blocks,2.391172814587038,best_radius_saturated
baseline_v5_B_standard_wide_trial_00280,2.119503524034985,0.8963468036807692,0.7067892205251306,0.5381833411282946,0.20726470873789019,0.03221139532606013,0.02315494393459646,5.848912529151091e-07,1419167.7948648706,9710994018362.553,5.273815693986711e+19,0.5555615720007089,0.6113875703397684,0.05423740356928496,0.9114536183087841,3.1328715197305903,0.10813902704198981,0.0,2.412056999296117,1.3037471152286761,75.02813488180732,1.3634100960184582e+19,1.3747386309014274e+19,1.3313166709618842e+19,-0.013938766404340762,3.457463676736404,4.504272107473123,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.1373629128317485e-105,9.166836490091947e-86,4.830130787501415e-104,15.39551184131833,9.756559033875415e-20,3.221484238085479e-19,1.1393028731453871e-20,700.0,800.0,1.35,102.14268742259918,128.66886079484536,146.24296190207698,155.81363264918923,27.114552540791863,26.526173372246177,17.574101107231627,27.144771854343873,9.570670747112246,0.75,350.0,1.5254506864944235,1.2109661318726102,1.0654436331337482,2.8,75.12959793230111,71.70337994413792,59.91648404305198,0.7098244311255759,0.052563231163509666,63.59394274324361,87.29955151968181,85.54027224754468,79.82431571848082,45.36114505861491,10.56946153431508,5.5704830654521755,18.893587212390134,22.55277675748057,34.3624638302541,92.13777926736667,92.84189158048852,30.801326627126144,7.786979026363641,9.587299390095751,14.967762334579598,47.54783901073795,80.97062818482142,84.22574042686345,baseline,1.2902239416471017,0.9642359337010576,0.3464124247163161,0.0008743861523529608,6.387829765203562e-05,0.4332318105482036,0.32103708115000784,0.006244937317923864,0.0005969823825387266,7.933519725676746e-05,1.0012109517456818,1.151645449861502,4.686590913661651,4.779607364680457,5.374639701977591,7.151521915355416,7.10548131005032,5.315389714133883,4.480237643406346,4.551391281209561,5.094142470331792,7.084770993329207,8.459313298480966,10.20369717248712,0.08049863927312183,0.01378995599485056,0.0,0.0,0.0,0.2930646878157805,1.7765496531983778,280,TrialState.COMPLETE,all_blocks,2.119503524034985,best_partition_qgb
baseline_v5_A_nominal_near_trial_00139,2.082544379119206,0.8959970416566201,0.6928084995679329,0.48542056318074145,0.20547713255915825,0.0,0.09163858328314171,1.5359623505351144e-07,329797.5378164562,47631702342512.766,6.174596574067312e+19,0.7825011762112155,1.2715763181671431,0.5780342325143227,1.995254607821972,1.930291316121104,0.7006143603785089,0.0,2.5437788470529155,1.2728384259074195,74.65651366955508,1.4594446421514918e+19,1.539753744738768e+19,1.2776758690658032e+19,-0.08103057645289956,2.7434094210219317,4.139041532167454,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.394740472050625e-105,5.486999400603377e-87,2.982612397305288e-105,0.8785980612837873,1.1423003662024528e-19,6.91200966828624e-19,1.6076270434469208e-20,700.0,800.0,1.35,100.3789047944338,133.5824649714767,169.81563503145804,209.10842553880752,25.722391124878712,33.2035601770429,36.23317005998135,75.52596056733083,39.29279050734948,0.75,350.0,2.083190945020183,1.5653882834356858,1.2313849987963155,2.8,68.11143062757417,65.77653955991383,56.12192950925437,0.960927315840798,0.0779864467701205,61.35164611640972,83.97391163231224,83.09803683310687,79.01012246279119,56.83877876725684,28.46734871474344,6.215937775835105,22.552102522612536,25.28949446153109,35.16641368094162,88.64757950596207,89.53407913981306,29.94300506701466,7.962266346000627,8.887651838796407,12.331586939649736,31.042199380187142,56.159901179177695,77.01023507760142,baseline,2.210781257230068,1.7066345826362233,0.6393111133658257,0.0015373265065322388,0.00011526758850514393,0.7650255876986567,0.5915688071393661,0.012188403953068255,0.0009936555585245762,0.00010206796135394873,1.0008940664435284,1.0456007413457264,7.125685592583238,7.227331395918859,8.072345696438196,10.389955851690605,10.387819145828319,8.160724093940827,7.298796433988484,7.4227425209573505,8.435388608009877,12.106833448602963,15.371756450520351,16.773725078602116,0.003693088056336258,0.09232348653246547,0.0023511942370079966,0.0,0.01548370121672604,0.08670099789865976,1.6054638243365698,139,TrialState.COMPLETE,all_blocks,2.082544379119206,best_pressure
baseline_v5_A_nominal_near_trial_00000,3.778054653229447,2.1035859472052385,0.7259841345380514,0.5411949171573808,0.5113427352862826,0.0,0.0,1e-06,500000.0,30000000000000.0,5e+19,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25870886626603495,1.1831253032983298,34.65077044037695,1.4845130421148453e+19,1.4928678941624857e+19,1.4585792233727007e+19,-0.010091355142768606,0.26061305236042703,3.055788626779738,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.0548316844992837e-105,5.853872479899845e-87,3.0548316844992837e-105,1.0,9.25e-20,5.218480065953793e-19,2.0495206715334507e-20,700.0,800.0,1.35,45.3061323496483,58.87018369914631,75.54610206705541,96.60363863645594,10.655361909271349,13.564051349498008,16.675918367909105,37.73345493730963,21.057536569400526,0.75,350.0,2.1322420084530975,1.6409603735932765,1.2787375654498978,2.8,85.11255062867461,85.12754373484526,83.20402198649633,41.73188833437624,14.31043498082652,84.34056296031662,89.73858629686015,89.58533828783567,88.0581789399025,79.40184037771695,65.86813994259143,48.731120144015605,4.075069939862977,4.549900004663527,6.655411295573943,39.616214381731524,64.30344315602116,5.6363830956920005,1.4284043953669603,1.5842125963026008,2.30201480444103,6.255204791622078,14.005386394083821,25.39606731646813,baseline,3.1318632851513692,2.3635805711873275,0.8289964075693602,0.003708300320161184,0.0004325369112209834,1.0938310231327864,0.8230017441177128,0.015511238860942063,0.0013061511112106281,0.00016967098125178934,1.0000372209775745,1.0000195459805932,7.680516146311043,7.958975689303883,9.31157031036037,18.64818898357208,21.385689326241103,9.319650530738405,7.7391782846400945,8.007447371744021,9.35275291719056,14.327443591800035,20.12516751221355,25.872642868535014,0.0,0.3741486010822648,0.06723630651290241,0.0,0.010925553093974694,0.0,1.1273220344272452,0,TrialState.COMPLETE,all_blocks,3.778054653229447,best_rizk_near
