T_K,burnup_percent_FIMA,swelling_dislocation_percent,swelling_bulk_percent,swelling_intragranular_percent
900.0,1.1,0.22202374487747026,0.6635492401629306,0.8855729850404009
950.0,1.1,0.238482834730678,0.7183475630995991,0.9568303978302772
1000.0,1.1,0.2615927075640239,0.7731005703421653,1.034693277906189
1050.0,1.1,0.2914764892312969,0.8235082751148373,1.1149847643461341
1100.0,1.1,0.32777678035053076,0.8677825713703041,1.195559351720835
1150.0,1.1,0.3698522874683623,0.9061310443434966,1.275983331811859
1200.0,1.1,0.41698152485442913,0.9397460430524911,1.3567275679069202
1250.0,1.1,0.46872109915318416,0.9700229011712826,1.4387440003244667
1300.0,1.1,0.5261100550761247,0.9982204873440595,1.5243305424201843
1350.0,1.1,0.5959088233061692,1.025395905371676,1.6213047286778453
1400.0,1.1,0.7010792677592206,1.0519864816178548,1.7530657493770756
1450.0,1.1,0.8883602022162296,1.0762743198168445,1.9646345220330743
1500.0,1.1,1.2165421366731834,1.093662055384298,2.3102041920574816
1550.0,1.1,1.786575096809653,1.091976340365146,2.878551437174799
1600.0,1.1,2.773029006735129,1.0428511636218,3.8158801703569294
1650.0,1.1,4.325441205520566,0.9177512447450578,5.243192450265624
1700.0,1.1,6.479844435889833,0.716568128287623,7.1964125641774555
900.0,1.3,0.24480422023697643,0.8046027126425201,1.0494069328794966
950.0,1.3,0.2631602917935581,0.8728238027549696,1.1359840945485276
1000.0,1.3,0.28894563913696697,0.9425932795362502,1.231538918673217
1050.0,1.3,0.32232170966158635,1.0083381151717252,1.3306598248333115
1100.0,1.3,0.3629090099268055,1.0672347316037893,1.4301437415305949
1150.0,1.3,0.4100056155799954,1.1189211199661984,1.5289267355461937
1200.0,1.3,0.4628163789633934,1.1644755377529843,1.6272919167163775
1250.0,1.3,0.5208566886797819,1.2054844762400394,1.7263411649198215
1300.0,1.3,0.5853105788645153,1.2435715867442096,1.828882165608725
1350.0,1.3,0.663824373866532,1.2803039463656094,1.9441283202321413
1400.0,1.3,0.7824425701131081,1.316661540582162,2.09910411069527
1450.0,1.3,0.9947168352338172,1.350970461548448,2.3456872967822653
1500.0,1.3,1.3696479425978692,1.3790142049650413,2.7486621475629103
1550.0,1.3,2.0267548987287665,1.389643219395919,3.416398118124685
1600.0,1.3,3.176423288278617,1.3500330671787564,4.526456355457374
1650.0,1.3,5.0195846682217535,1.2198052444919056,6.2393899127136585
1700.0,1.3,7.6557142926477,0.9864128239091123,8.642127116556813
900.0,3.2,0.41579516599715305,2.1732548857816028,2.589050051778756
950.0,3.2,0.44916450089114807,2.37028532953191,2.8194498304230584
1000.0,3.2,0.49589658371690615,2.5926389164144856,3.088535500131392
1050.0,3.2,0.5564796824434126,2.825306151065724,3.381785833509136
1100.0,3.2,0.6304405946454499,3.0558509878181495,3.6862915824635993
1150.0,3.2,0.716704129698811,3.276182144230318,3.992886273929129
1200.0,3.2,0.8139975751036416,3.4826165301103105,4.296614105213952
1250.0,3.2,0.9216016543186298,3.6752325623753217,4.596834216693951
1300.0,3.2,1.0419353923421155,3.85785052334027,4.899785915682385
1350.0,3.2,1.189842047383429,4.039830555332688,5.229672602716116
1400.0,3.2,1.4166255291173546,4.235356327842183,5.651981856959538
1450.0,3.2,1.8335892937774656,4.444882634994328,6.278471928771793
1500.0,3.2,2.6019656498819375,4.660797486405178,7.262763136287115
1550.0,3.2,4.010510807237765,4.900473224885136,8.9109840321229
1600.0,3.2,6.590200919615527,5.10607283048744,11.696273750102968
1650.0,3.2,10.997176262415548,5.090008202003079,16.087184464418627
1700.0,3.2,17.78259659632486,4.618831231010273,22.401427827335134
