number,value,params_Dg_dislocation_scale,params_Dv_dislocation_scale,params_K_d,params_f_n,user_attrs_Dg_dislocation_scale,user_attrs_Dv_dislocation_scale,user_attrs_K_d,user_attrs_f_n,user_attrs_score_Rd,user_attrs_score_gas_partition,user_attrs_score_guard,user_attrs_score_pressure_eq,user_attrs_score_swelling_d,user_attrs_score_total,state
0,2.388787910214977,6.0,1.0,500000.0,1e-06,6.0,1.0,500000.0,1e-06,0.08042062561679562,0.23578086041089424,1.1072916474447032,1.2331578400291017,0.36927990558077395,2.388787910214977,COMPLETE
1,1.7625321820129418,4.709990851550204,17.06187486110112,1483739.6354388522,3.395623408235133e-06,4.709990851550204,17.06187486110112,1483739.6354388522,3.395623408235133e-06,1.0141740631362073,0.4437907785932933,0.0,2.7374426416212557e-06,0.28135144616861135,1.7625321820129418,COMPLETE
2,3.1222888892063883,1.9390394636700607,7.812598692098966,2022968.0856786503,2.1591280832216382e-07,1.9390394636700607,7.812598692098966,2022968.0856786503,2.1591280832216382e-07,1.4874433771028408,1.0483900505865775,0.0,7.169355081730267e-07,0.43048210017807986,3.1222888892063883,COMPLETE
3,3.0627702641971863,6.369489744115374,3.4350527411963125,4431757.693623314,1.011415866719437e-07,6.369489744115374,3.4350527411963125,4431757.693623314,1.011415866719437e-07,1.166841389901091,0.8076367285606271,0.9893465378356119,0.46315213146243944,0.06961331682978054,3.0627702641971863,COMPLETE
4,3.4844122461069307,14.169133494350776,2.4594727598854016,4894291.888472672,1.5106495666125236e-06,14.169133494350776,2.4594727598854016,4894291.888472672,1.5106495666125236e-06,1.2173098993738478,0.7192082234943216,1.2338310169276654,0.9165684442301244,0.07565495458030416,3.4844122461069307,COMPLETE
5,5.797538360516447,12.574548831417726,1.2152485126028458,1510878.7607395074,3.885875923734724e-07,12.574548831417726,1.2152485126028458,1510878.7607395074,3.885875923734724e-07,0.24449854656385017,1.788215811654471,1.498410701707173,1.598777234753806,1.014699733649308,5.797538360516447,COMPLETE
6,17.45956804720083,11.750419663136165,6.526538663902537,102591.17472945267,1.663241941060182e-07,11.750419663136165,6.526538663902537,102591.17472945267,1.663241941060182e-07,0.4076167061286837,2.527603897976542,4.964722164476662,6.123943909272938,5.439493520853256,17.45956804720083,COMPLETE
7,6.895393981755588,16.81847174154795,1.5279063302145999,1797798.2567278666,6.969362469625993e-07,16.81847174154795,1.5279063302145999,1797798.2567278666,6.969362469625993e-07,0.28683551519728884,2.1487788293492427,2.003229815766548,1.6725646507174028,1.2189651636399104,6.895393981755588,COMPLETE
8,3.2542017681190023,13.53993204156182,3.6109694491631905,3617474.0073075877,4.544676437392385e-06,13.53993204156182,3.6109694491631905,3617474.0073075877,4.544676437392385e-06,1.1088639487205563,0.37434273616256075,1.4317687584346477,1.2048719506038554,0.054179684070887184,3.2542017681190023,COMPLETE
9,2.713746241304861,1.4292806212583211,5.969166563905153,479917.0494631682,1.8176597711072702e-07,1.4292806212583211,5.969166563905153,479917.0494631682,1.8176597711072702e-07,0.4533344876500376,1.4889383288208153,0.0,0.0021009008993006484,0.34018819448764687,2.713746241304861,COMPLETE
10,1.972758365023557,3.5687209696882976,14.626636773544416,626885.882480782,5.532132579904138e-06,3.5687209696882976,14.626636773544416,626885.882480782,5.532132579904138e-06,0.5978139806249546,0.8178287205462187,0.0,2.0804363125898148e-05,0.3490639491390581,1.972758365023557,COMPLETE
11,2.154872686990247,4.4208071237460596,11.066944673361377,1139487.4984653487,7.010414971029138e-06,4.4208071237460596,11.066944673361377,1139487.4984653487,7.010414971029138e-06,0.9840649636192471,0.6780264627871019,0.0,3.737066934377052e-06,0.379982837817786,2.154872686990247,COMPLETE
12,2.082748642872482,3.7768742762910277,16.89390563255851,2111477.2568492517,1.086567467949702e-06,3.7768742762910277,16.89390563255851,2111477.2568492517,1.086567467949702e-06,1.3140437797026976,0.46782999014012694,0.0,1.1496218445771973e-06,0.31098398324055687,2.082748642872482,COMPLETE
13,14.702103023824005,16.69876492583485,12.629619762681227,581920.6022464959,1.5396626494781401e-06,16.69876492583485,12.629619762681227,581920.6022464959,1.5396626494781401e-06,0.012034476768349749,1.98947723382983,4.917663045488596,3.472155695828241,5.696381491676339,14.702103023824005,COMPLETE
14,6.322614306237472,1.1142843066129815,18.46834024949834,1369177.9762141579,3.0751607934459347e-06,1.1142843066129815,18.46834024949834,1369177.9762141579,3.0751607934459347e-06,2.541095651089316,2.451773719937487,0.0,9.5387796423288e-07,0.8481534360733447,6.322614306237472,COMPLETE
15,3.565649969807377,1.6428024191833757,6.753857374414132,514009.5496224265,1.8677779366503677e-06,1.6428024191833757,6.753857374414132,514009.5496224265,1.8677779366503677e-06,0.8266026429891176,1.6754201963282676,0.0,3.491502132310359e-06,0.5956424777506786,3.565649969807377,COMPLETE
16,5.076178716014073,13.245639761525018,16.05346271688437,2011486.830923026,5.493564980262447e-06,13.245639761525018,16.05346271688437,2011486.830923026,5.493564980262447e-06,0.5730123581348588,0.4232862199054401,3.5992187133708704,2.231730948338565,0.17871016212689114,5.076178716014073,COMPLETE
17,2.9429683355639544,4.287916885859078,8.629743374519556,4146408.9432498706,1.4855136913298603e-06,4.287916885859078,8.629743374519556,4146408.9432498706,1.4855136913298603e-06,2.142995267782723,0.48001241522096355,0.0,5.408813079951769e-07,0.4325267934786142,2.9429683355639544,COMPLETE
18,3.9417919376955326,3.362123343097454,18.680477849214782,272551.7080079373,2.6920746190885158e-06,3.362123343097454,18.680477849214782,272551.7080079373,2.6920746190885158e-06,0.11433785603474411,0.6192799638300388,3.0019188573360243,1.4495177934070855,0.13152273706958356,3.9417919376955326,COMPLETE
19,5.841905040091055,2.319404253315389,8.246259709813689,3077511.5731274593,7.459163731795517e-06,2.319404253315389,8.246259709813689,3077511.5731274593,7.459163731795517e-06,3.1076003158148615,1.7569485611223714,0.0,4.113616001812133e-08,0.7968796620323647,5.841905040091055,COMPLETE
20,2.8461330517732835,4.250629868165536,4.491402936238003,462124.32151394093,8.578719689938949e-06,4.250629868165536,4.491402936238003,462124.32151394093,8.578719689938949e-06,0.36633051192009136,0.7078917772934025,1.3314698947104113,0.6655941107559423,0.2751437271883292,2.8461330517732835,COMPLETE
21,4.572451123209081,9.170357266168356,9.60832758169632,2438270.5526844533,8.734694323092138e-07,9.170357266168356,9.60832758169632,2438270.5526844533,8.734694323092138e-07,0.680571746489304,0.4896937215122418,3.1351381976710426,1.7221462108313232,0.16058323826186144,4.572451123209081,COMPLETE
22,2.018123937153746,4.109020743404196,13.823324978896345,2034816.4952337074,1.5339101718687337e-06,4.109020743404196,13.823324978896345,2034816.4952337074,1.5339101718687337e-06,1.2806780119650654,0.44228671930534813,0.0,1.5855767106926806e-06,0.3083249588730045,2.018123937153746,COMPLETE
23,3.432210247832061,3.2630720392880024,16.43351762218237,2293006.735907418,3.226681609133051e-06,3.2630720392880024,16.43351762218237,2293006.735907418,3.226681609133051e-06,1.8979877551209507,0.8998909271962897,0.0,1.9026627725459538e-07,0.5644020068907551,3.432210247832061,COMPLETE
24,2.8299987425124824,5.117202890176651,5.158449802507118,1651269.7102885034,1.2971207268813412e-06,5.117202890176651,5.158449802507118,1651269.7102885034,1.2971207268813412e-06,0.840003735161706,0.25565242840956814,1.4370810303535186,1.0253934574758883,0.13248147771614477,2.8299987425124824,COMPLETE
25,3.3666872961176844,2.2977813961948295,11.402675260914927,334447.52263020765,9.78144002306502e-06,2.2977813961948295,11.402675260914927,334447.52263020765,9.78144002306502e-06,0.5586578803152579,1.7199784551742565,0.0,7.946048945887079e-06,0.5703044752925849,3.3666872961176844,COMPLETE
26,9.11623336359099,9.67678926809212,17.417009953579576,264952.80815783556,5.685147115291111e-06,9.67678926809212,17.417009953579576,264952.80815783556,5.685147115291111e-06,0.04451660256944665,0.3108510309234216,5.962965921974932,3.36481676951287,2.2373006790320886,9.11623336359099,COMPLETE
27,3.8542043640692385,1.951434778685915,1.0621383112681289,3151264.6963779056,2.997559443810272e-07,1.951434778685915,1.0621383112681289,3151264.6963779056,2.997559443810272e-07,2.139397902935545,1.0799548030805048,0.0,1.83136045179184e-05,0.5493575368399831,3.8542043640692385,COMPLETE
