Time (h)	Location	Phase	Phase instance	Moles (mol/m3)	Form units (mol/m3)	Sublattice	Sites	Constituent	Site fraction
56	at grain boundary	HCP_A3	HCP_A3	8.083691406	8.083691406	1	1	BA	1.041110869e-05
56	at grain boundary	HCP_A3	HCP_A3	8.083691406	8.083691406	1	1	CS	0.002265257634
56	at grain boundary	HCP_A3	HCP_A3	8.083691406	8.083691406	1	1	MO	0.284792589
56	at grain boundary	HCP_A3	HCP_A3	8.083691406	8.083691406	1	1	PD	0.2700266291
56	at grain boundary	HCP_A3	HCP_A3	8.083691406	8.083691406	1	1	RH	0.08429484351
56	at grain boundary	HCP_A3	HCP_A3	8.083691406	8.083691406	1	1	RU	0.2828877841
56	at grain boundary	HCP_A3	HCP_A3	8.083691406	8.083691406	1	1	TC	0.07572248553
56	at grain boundary	HCP_A3	HCP_A3	8.083691406	8.083691406	2	0.5	O	1.100220044e-12
56	at grain boundary	HCP_A3	HCP_A3	8.083691406	8.083691406	2	0.5	VA	1
56	at grain boundary	gas	GAS	0.05733086179	0.05733086179	1	1	BA	0.0001485158842
56	at grain boundary	gas	GAS	0.05733086179	0.05733086179	1	1	BA2	2.230142598e-11
56	at grain boundary	gas	GAS	0.05733086179	0.05733086179	1	1	BA2O	4.861770259e-06
56	at grain boundary	gas	GAS	0.05733086179	0.05733086179	1	1	BA2O2	2.018869134e-06
56	at grain boundary	gas	GAS	0.05733086179	0.05733086179	1	1	BAMOO4	9.24532626e-10
56	at grain boundary	gas	GAS	0.05733086179	0.05733086179	1	1	BAO	0.0002913661408
56	at grain boundary	gas	GAS	0.05733086179	0.05733086179	1	1	CS	0.9964493452
56	at grain boundary	gas	GAS	0.05733086179	0.05733086179	1	1	CS2	0.002710840524
56	at grain boundary	gas	GAS	0.05733086179	0.05733086179	1	1	CS2MOO4	1.911036433e-06
56	at grain boundary	gas	GAS	0.05733086179	0.05733086179	1	1	CS2O	2.059742078e-05
56	at grain boundary	gas	GAS	0.05733086179	0.05733086179	1	1	CS2O2	1.9594237e-12
56	at grain boundary	gas	GAS	0.05733086179	0.05733086179	1	1	CSO	1.522465429e-06
56	at grain boundary	gas	GAS	0.05733086179	0.05733086179	1	1	MO	4.504308856e-11
56	at grain boundary	gas	GAS	0.05733086179	0.05733086179	1	1	MO2	3.370726755e-17
56	at grain boundary	gas	GAS	0.05733086179	0.05733086179	1	1	MO2O6	2.397587412e-20
56	at grain boundary	gas	GAS	0.05733086179	0.05733086179	1	1	MO3O9	7.950674346e-29
56	at grain boundary	gas	GAS	0.05733086179	0.05733086179	1	1	MO4O12	1e-30
56	at grain boundary	gas	GAS	0.05733086179	0.05733086179	1	1	MO5O15	1e-30
56	at grain boundary	gas	GAS	0.05733086179	0.05733086179	1	1	MOO	6.388617541e-11
56	at grain boundary	gas	GAS	0.05733086179	0.05733086179	1	1	MOO2	1.022557925e-10
56	at grain boundary	gas	GAS	0.05733086179	0.05733086179	1	1	MOO3	4.21972451e-12
56	at grain boundary	gas	GAS	0.05733086179	0.05733086179	1	1	O	1.720127838e-09
56	at grain boundary	gas	GAS	0.05733086179	0.05733086179	1	1	O2	6.612499703e-12
56	at grain boundary	gas	GAS	0.05733086179	0.05733086179	1	1	O3	1.012683866e-24
56	at grain boundary	gas	GAS	0.05733086179	0.05733086179	1	1	PD	0.0003690162951
