Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Steam pressure (atm)	System pressure (Pa)	O/M ratio (/)	BA2 (gas, at grain boundary) (g/m3)	BA2O (gas, at grain boundary) (g/m3)	BA2O2 (gas, at grain boundary) (g/m3)	BAMOO4 (gas, at grain boundary) (g/m3)	BAO (gas, at grain boundary) (g/m3)	CS (gas, at grain boundary) (g/m3)	CS2 (gas, at grain boundary) (g/m3)	CS2MOO4 (gas, at grain boundary) (g/m3)	CS2O (gas, at grain boundary) (g/m3)	CS2O2 (gas, at grain boundary) (g/m3)	CSO (gas, at grain boundary) (g/m3)	HE (gas, at grain boundary) (g/m3)	MO (gas, at grain boundary) (g/m3)	MO2 (gas, at grain boundary) (g/m3)	MO2O6 (gas, at grain boundary) (g/m3)	MO3O9 (gas, at grain boundary) (g/m3)	MO4O12 (gas, at grain boundary) (g/m3)	MO5O15 (gas, at grain boundary) (g/m3)	MOO (gas, at grain boundary) (g/m3)	MOO2 (gas, at grain boundary) (g/m3)	MOO3 (gas, at grain boundary) (g/m3)	O (gas, at grain boundary) (g/m3)	O2 (gas, at grain boundary) (g/m3)	O3 (gas, at grain boundary) (g/m3)	PD (gas, at grain boundary) (g/m3)	RH (gas, at grain boundary) (g/m3)	RU (gas, at grain boundary) (g/m3)	TC (gas, at grain boundary) (g/m3)	LIQUID (liquid, at grain boundary) (g/m3)	BA2MOO5 (condensed, at grain boundary) (g/m3)	BA3MOO6 (condensed, at grain boundary) (g/m3)	BAMO207 (condensed, at grain boundary) (g/m3)	BAMO3O10 (condensed, at grain boundary) (g/m3)	BAMOO4 (condensed, at grain boundary) (g/m3)	C1_MO2 (condensed, at grain boundary) (g/m3)	CS2MO2O7_S1 (condensed, at grain boundary) (g/m3)	CS2MO2O7_S2 (condensed, at grain boundary) (g/m3)	CS2MO3O10 (condensed, at grain boundary) (g/m3)	CS2MO4O13 (condensed, at grain boundary) (g/m3)	CS2MO5O16 (condensed, at grain boundary) (g/m3)	CS2MO7O22 (condensed, at grain boundary) (g/m3)	CS2MOO4_S1 (condensed, at grain boundary) (g/m3)	CS2MOO4_S2 (condensed, at grain boundary) (g/m3)	CS2O1 (condensed, at grain boundary) (g/m3)	CS2O2 (condensed, at grain boundary) (g/m3)	CS3O (condensed, at grain boundary) (g/m3)	CS4O (condensed, at grain boundary) (g/m3)	CS7O1 (condensed, at grain boundary) (g/m3)	CS7O2 (condensed, at grain boundary) (g/m3)	CSO2 (condensed, at grain boundary) (g/m3)	CSO3 (condensed, at grain boundary) (g/m3)	HALITE (condensed, at grain boundary) (g/m3)	MO2_C11A (condensed, at grain boundary) (g/m3)	MO4O11 (condensed, at grain boundary) (g/m3)	MO8O23 (condensed, at grain boundary) (g/m3)	MO9O26 (condensed, at grain boundary) (g/m3)	MOO2 (condensed, at grain boundary) (g/m3)	MOO3 (condensed, at grain boundary) (g/m3)	PERVSKITE (condensed, at grain boundary) (g/m3)	ZRO2_TETR (condensed, at grain boundary) (g/m3)	A15_CR3SI (condensed, at grain boundary) (g/m3)	BCC_A2 (condensed, at grain boundary) (g/m3)	C14_LAVES (condensed, at grain boundary) (g/m3)	C15_LAVES (condensed, at grain boundary) (g/m3)	DIAMOND_A4 (condensed, at grain boundary) (g/m3)	DIS_SIG (condensed, at grain boundary) (g/m3)	FCC_A1 (condensed, at grain boundary) (g/m3)	HCP_A3 (condensed, at grain boundary) (g/m3)	HCP_DIS (condensed, at grain boundary) (g/m3)	MC_ETA (condensed, at grain boundary) (g/m3)	MO3TE4 (condensed, at grain boundary) (g/m3)	MOPD2 (condensed, at grain boundary) (g/m3)	MOTE2_A (condensed, at grain boundary) (g/m3)	MOTE2_B (condensed, at grain boundary) (g/m3)	ORTHORHOMBIC_A20 (condensed, at grain boundary) (g/m3)	SIGMA (condensed, at grain boundary) (g/m3)	TETRAGONAL_U (condensed, at grain boundary) (g/m3)	O (gas, matrix) (g/m3)	O2 (gas, matrix) (g/m3)	C1_MO2 (condensed, matrix) (g/m3)	PU2O3 (condensed, matrix) (g/m3)	PUO152 (condensed, matrix) (g/m3)	PUO161 (condensed, matrix) (g/m3)	U3O8_S1 (condensed, matrix) (g/m3)	U3O8_S2 (condensed, matrix) (g/m3)	U3O8_S3 (condensed, matrix) (g/m3)	U3O8_S4 (condensed, matrix) (g/m3)	U4O9_S1 (condensed, matrix) (g/m3)	U4O9_S2 (condensed, matrix) (g/m3)	U4O9_S3 (condensed, matrix) (g/m3)	UO3 (condensed, matrix) (g/m3)	
0	1955.013	3.45e+19	0	0	100000	1.975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
28	1955.013	3.45e+19	0	0	100000	1.97461358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
56	1955.013	3.45e+19	0	0	100000	1.97422716	1.346e-09	0.0003984	0.0001468	4.603e-08	0.0115	53.04	0.3108	0.0002488	0.002056	1.381e-10	5.562e-05	0	5.59e-05	7.863e-16	5.506e-19	1.536e-27	2.3e-28	2.875e-28	1.054e-09	1.895e-09	8.253e-11	0.001393	2.911e-11	3.196e-24	0.009432	1.878e-08	5.765e-09	2.415e-09	206.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	817.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
84	1955.013	3.45e+19	0	0	100000	1.97384074	1.404e-09	0.0004061	0.0001462	4.239e-08	0.01131	51.53	0.3019	0.0002211	0.001952	1.281e-10	5.28e-05	0	4.968e-05	7.689e-16	4.687e-19	1.224e-27	2.234e-28	2.793e-28	1.004e-09	1.764e-09	7.505e-11	0.001363	2.7e-11	2.897e-24	0.00915	1.819e-08	5.594e-09	2.346e-09	309.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
112	1955.013	3.45e+19	0	0	100000	1.97345432	1.352e-09	0.0003823	0.0001346	3.609e-08	0.01028	46.27	0.2711	0.0001817	0.001713	1.099e-10	4.633e-05	0	4.083e-05	6.948e-16	3.692e-19	9.029e-28	2.006e-28	2.507e-28	8.841e-10	1.518e-09	6.312e-11	0.001234	2.316e-11	2.428e-24	0.008203	1.629e-08	5.017e-09	2.106e-09	412.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
140	1955.013	3.45e+19	0	0	100000	1.9730679	1.603e-09	0.0004432	0.0001525	3.787e-08	0.01151	51.19	0.2999	0.0001842	0.001853	1.162e-10	5.011e-05	0	4.139e-05	7.737e-16	3.588e-19	8.222e-28	2.219e-28	2.774e-28	9.593e-10	1.61e-09	6.544e-11	0.001375	2.448e-11	2.51e-24	0.009062	1.798e-08	5.544e-09	2.33e-09	514.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
168	1955.013	3.45e+19	0	0	100000	1.97268148	1.846e-09	0.0004988	0.0001678	3.974e-08	0.01257	55.51	0.3252	0.0001876	0.001964	1.205e-10	5.313e-05	0	4.216e-05	8.862e-16	3.591e-19	7.905e-28	2.407e-28	3.008e-28	1.045e-09	1.715e-09	6.817e-11	0.001498	2.538e-11	2.544e-24	0.009707	1.909e-08	5.955e-09	2.524e-09	550.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
196	1955.013	3.45e+19	0	0	100000	1.97229506	2.136e-09	0.0005645	0.0001857	4.398e-08	0.01392	61.44	0.3599	0.0002031	0.002126	1.275e-10	5.751e-05	0	4.563e-05	1.121e-15	3.975e-19	8.751e-28	2.664e-28	3.329e-28	1.21e-09	1.941e-09	7.546e-11	0.001655	2.687e-11	2.633e-24	0.01042	2.004e-08	6.436e-09	2.787e-09	435.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
224	1955.013	3.45e+19	0	0	100000	1.97190864	2.495e-09	0.0006449	0.0002075	4.915e-08	0.01555	68.65	0.4022	0.000222	0.002324	1.363e-10	6.285e-05	0	4.988e-05	1.431e-15	4.442e-19	9.78e-28	2.976e-28	3.72e-28	1.413e-09	2.218e-09	8.433e-11	0.001846	2.872e-11	2.754e-24	0.01129	2.123e-08	7.019e-09	3.104e-09	254.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	483.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
252	1955.013	3.45e+19	0	0	100000	1.97152222	2.927e-09	0.0007401	0.000233	5.519e-08	0.01746	77.08	0.4516	0.0002438	0.002553	1.465e-10	6.904e-05	0	5.48e-05	1.833e-15	4.988e-19	1.098e-27	3.342e-28	4.177e-28	1.658e-09	2.545e-09	9.469e-11	0.00207	3.087e-11	2.895e-24	0.01228	2.26e-08	7.688e-09	3.471e-09	5.389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	784.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
