T,burnup,swelling_b_percent,swelling_d_percent,swelling_ig_percent,Nb,Nd,Rb_nm,Rd_nm,p_b,p_b_eq,p_d,p_d_eq,p_b_over_eq,p_d_over_eq,matrix_gas_percent,bulk_gas_percent,dislocation_gas_percent,qgb_gas_percent,f_cap_step_final,cap_raw_step_final,capture_fraction_sum,capture_raw_sum,capture_bubbles_cumulative,max_f_cap_step,candidate,grid
900.0,1.1,0.2682398780160438,0.18820214742382943,0.4564420254398733,1.0296372021302192e+23,2.174405482370504e+19,1.8390075092574865,27.44090794777809,1217649332.4535966,1207172884.7351704,893073237.9446703,80901113.19293118,1.0086784982092474,11.0390723031819,16.522512186917126,31.178900229098762,21.055466681668793,31.24312090231533,1.624835993088312e-08,1.624835993088312e-08,0.000329973463228084,0.000329973463228084,5.913085726181968e+18,2.686555745180215e-06,best_balanced,TEMP_MAIN
950.0,1.1,0.26955134065489095,0.20709968983435464,0.47665103048924556,1.0260181011653004e+23,2.1628804626108973e+19,1.844162930627851,28.380460662299065,1207799267.5848777,1203798191.108957,569269175.741595,78222831.77203934,1.003323710324099,7.277532183961149,16.492436276589732,31.11732603456954,21.21239122111185,31.177846467728873,2.0148352980405054e-08,2.0148352980405054e-08,0.00036222316807563447,0.00036222316807563447,6.823447702619529e+18,3.1706901060999777e-06,best_balanced,TEMP_MAIN
1000.0,1.1,0.2705098688121092,0.23245348654550207,0.5029633553576113,1.0218058798904374e+23,2.1475054419766297e+19,1.8488799054107135,29.564535547701354,1202499116.012968,1200726988.0013356,392668568.96759397,75089967.0457568,1.0014758792209562,5.2293080476159695,16.461612957195108,31.026677677173083,21.40769539277272,31.1040139728591,2.529706734237354e-08,2.529706734237354e-08,0.00040550226100044854,0.00040550226100044854,8.034069094773164e+18,3.8095175868202576e-06,best_balanced,TEMP_MAIN
1050.0,1.1,0.2712830201914686,0.26421104118006056,0.5354940613715292,1.0172032954912211e+23,2.128387659490161e+19,1.8534266982562777,30.94595385938406,1198674336.099707,1197781386.2768884,288808660.79364216,71737972.92167832,1.0007455031719887,4.025882653653401,16.43026499051213,30.919056760393072,21.626478940301766,31.02419930879304,3.1661350389350335e-08,3.1661350389350335e-08,0.000459859511863155,0.000459859511863155,9.538849125078952e+18,4.62918231961011e-06,best_balanced,TEMP_MAIN
1100.0,1.1,0.27198096334987815,0.30194261765402153,0.5739235810038996,1.012432118198316e+23,2.1058753569868837e+19,1.8579242135374239,32.468910397013666,1195383513.3834314,1194881892.2883816,223704199.8817668,68373098.23012061,1.00041980809843,3.271816045674199,16.398980956535354,30.80482086631735,21.85462180378231,30.94157637336498,3.9151198540670694e-08,3.9151198540670694e-08,0.000524790285169753,0.000524790285169753,1.1317639000707695e+19,5.694324729646912e-06,best_balanced,TEMP_MAIN
1150.0,1.1,0.27267980956174115,0.34499979828732413,0.6176796078490653,1.0076737279241501e+23,2.0804509915643322e+19,1.8624365198503594,34.08193527725407,1192295843.7366254,1191986935.5753236,180631982.18537447,65137146.17261201,1.0002591539823822,2.773102489118938,16.36823243583695,30.691761730243282,22.081128315697047,30.85887751822273,4.7649950804286825e-08,4.7649950804286825e-08,0.000599562677989559,0.000599562677989559,1.334375073613268e+19,7.178419017383849e-06,best_balanced,TEMP_MAIN
1200.0,1.1,0.27342787375764094,0.3926821979050444,0.6661100716626853,1.0030459500420171e+23,2.052622434452169e+19,1.8670005637594902,35.744934933216236,1189279179.590754,1189073020.7010179,150788705.50295168,62106701.38713972,1.000173377821334,2.4278975075977085,16.338147163379254,30.584881509520233,22.298880858279105,30.778090468821414,5.704423541676399e-08,5.704423541676399e-08,0.0006835846813629389,0.0006835846813629389,1.559060538787198e+19,9.468057736644438e-06,best_balanced,TEMP_MAIN
1250.0,1.1,0.27424809983600235,0.4445279401396598,0.7187760399756622,9.985752454748745e+22,2.022749674287993e+19,1.8716504400974632,37.4359999444705,1186266604.5807528,1186118920.7341502,129195036.26627022,59301207.48191491,1.0001245101515717,2.1786240407612416,16.307759103981194,30.48640091259142,22.50511056687183,30.700729416555557,6.727525241226556e-08,6.727525241226556e-08,0.000774925990763716,0.000774925990763716,1.8043693065886001e+19,1.117940389535104e-05,best_balanced,TEMP_MAIN
1300.0,1.1,0.2751298004626561,0.5012694863355424,0.7763992867981985,9.94057749785175e+22,1.99051095410141e+19,1.8764880489566749,39.17473155642966,1183173087.1041584,1183061091.8275325,112659644.21181123,56669182.19470572,1.0000946656748324,1.988023116775036,16.271224794839455,30.394657062106983,22.704727429291538,30.62939071376203,7.851692581131659e-08,7.851692581131659e-08,0.0008696119115535074,0.0008696119115535074,2.0742886220022563e+19,6.737590367699517e-06,best_balanced,TEMP_MAIN
1350.0,1.1,0.27599256283812,0.5682074289950485,0.8441999918331685,9.884730009072481e+22,1.9530819907107127e+19,1.8819784789948304,41.10543743998555,1179697258.245692,1179609663.3292577,98467606.49292544,54007453.472335085,1.0000742575439634,1.8232225398919193,16.2015018137997,30.299447069704872,22.924289701229302,30.574761415266117,9.182033982030236e-08,9.182033982030236e-08,0.000984715646353554,0.000984715646353554,2.3933600284210786e+19,3.5287568277124354e-06,best_balanced,TEMP_MAIN
1400.0,1.1,0.2766343544589209,0.6639257071228425,0.9405600615817633,9.780272286704617e+22,1.9006751386011496e+19,1.890117715283787,43.68922362078778,1174598032.8409972,1174530021.0927253,83676032.30297412,50813445.88013465,1.0000579055001153,1.6467301292724765,15.99077526804277,30.17344739807841,23.25036997544862,30.585407358430214,1.107709956999619e-07,1.107709956999619e-07,0.0011552481515647122,0.0011552481515647122,2.8440674794995237e+19,2.0868499776365436e-06,best_balanced,TEMP_MAIN
1450.0,1.1,0.2768405882491848,0.8277943707334827,1.1046349589826674,9.510222710949515e+22,1.8139251908285868e+19,1.9083154022942488,47.760789343991206,1163382149.8577895,1163329708.145222,67087837.79326499,46481643.844089836,1.0000450789764934,1.4433189587333246,15.282058810665523,29.97376657302308,23.892401544955106,30.851773071356302,1.4269239958716063e-07,1.4269239958716063e-07,0.001457553761719672,0.001457553761719672,3.5785341573597802e+19,1.6182135681444393e-06,best_balanced,TEMP_MAIN
1500.0,1.1,0.27584180365341093,1.1052267833897926,1.3810685870432036,8.77703544287091e+22,1.6752547639647932e+19,1.9576777618050105,54.004171771271196,1134039213.529954,1133996637.9109933,51933013.81238352,41107935.316600524,1.0000375447488443,1.2633330623980896,13.259843870762396,29.56079268630374,25.281429366189368,31.897934076744512,1.9520609518881133e-07,1.9520609518881133e-07,0.001994814755644679,0.001994814755644679,4.6253867169513595e+19,2.173795815568712e-06,best_balanced,TEMP_MAIN
1550.0,1.1,0.2666420587048737,1.5547702221392208,1.8214122808440945,7.134233216995545e+22,1.470968449718768e+19,2.074105838812179,63.191415297086536,1070376738.7473658,1070340750.4370044,40674671.808144845,35131354.30758985,1.0000336232273197,1.1577883235590893,9.386195727539304,28.103760461399624,28.153386912314577,34.3566568987465,2.8532262355377394e-07,2.8532262355377394e-07,0.0029373667222005414,0.0029373667222005414,5.655772044432435e+19,3.1465898255594597e-06,best_balanced,TEMP_MAIN
1600.0,1.1,0.23482467482508154,2.294113341033939,2.528938015859021,4.749425917546071e+22,1.183891227326357e+19,2.276868772909945,77.34011608182482,975055015.3222278,975023254.0467128,32238468.662804093,28704378.949357532,1.0000325748902739,1.1231202291358289,5.192798505736762,24.138128615241392,32.960767295548926,37.708305583472914,4.96845368428699e-07,4.96845368428699e-07,0.004682163365637361,0.004682163365637361,6.325359148828768e+19,4.705771852101079e-06,best_balanced,TEMP_MAIN
