label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,score_rizk_gas_shape,score_highT_guard,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,score_swig_diag
LHS_0027,1.3716577859564447,0.7961790076418406,0.6108007324035428,0.0,0.14451264137372272,0.6201935560000439,0.02931700336897011,0.0,1.645391497645597,9.560840922398859e-08,183347.3360670183,30941073560683.543,5.349177481767518e+19,0.2785283355454993,1.0892082476535752,3.9593165743016487,0.20299947182248348,0.2979520168625037,8.965605067136641,0.3857974758410653,2.450012688581448,1.0221734763179675,136.4422379345053,2.302678054177983e+18,4.621091310688132e+18,4.7518352685887066e+17,-0.9878831734778168,4.145336761675627,4.2262010760818844,0.00011348825283014058,0.03597077398602771,0.03597077398602771,12.0,22,0,1.7634519551028833
LHS_0021,1.414316110753226,1.0199730793296882,0.26136651326115745,0.0,0.1988578008506483,0.37839317510196474,0.021011776788348993,0.0,2.213384446081259,4.6985326242526694e-08,574977.7942567728,30381895982374.156,4.763851636728949e+19,0.5911018179965486,0.552338904589693,0.2328096364386405,1.5879848027821046,0.3275358986252938,8.150282044134265,2.9694156145569575,2.003727231745666,2.604228348330661,79.26782766060288,9.604154144024605e+18,1.5134225277055523e+19,1.3462292914230113e+18,-1.0508411585145851,6.7079357209814034,7.501520051761378,0.0013438712464510377,0.5764162242859391,0.5764162242859391,12.0,22,0,3.490398157060668
LHS_0009,1.4578337223178637,0.8873318790209589,0.43378379747031987,0.10943074621566463,0.1029987518977968,0.24118067372545712,0.06513223471981376,0.0,2.3448474673784254,6.340653827632808e-07,657855.6299393469,12117722473795.693,5.80901153763196e+19,2.9882240832362443,1.3880204632967426,2.585593017851899,0.23189023007914922,0.661851345433239,3.546620207269921,0.9708152407551588,2.4423775520433133,1.3247434153634943,101.38455808108309,5.595111594357736e+18,7.274951881502277e+18,1.7792037260725432e+18,-0.6116044457083116,5.7263508981401605,4.330098012274244,0.00028600614395951006,0.09888469352137962,0.09888469352137962,12.0,22,0,2.2649173999334726
LHS_0018,1.552129911697013,0.9828701084927101,0.5131031259098846,0.11369342015288615,0.09566880993838497,0.44423937573389505,0.05318173754521261,0.0,0.9506362397160179,8.373422772328089e-07,449859.40627800126,12816846821660.441,4.4237264819274875e+19,0.2173755762922914,0.9095091367499577,0.2715026402206847,0.3248138162415084,1.0683009300315338,5.661033193098701,0.8124435930082312,1.902067912252408,1.2801464608406687,106.86559372931266,3.7206918321059415e+18,5.282399091618102e+18,1.3175102109868854e+18,-0.6030772198089259,3.462937670014639,4.3966738113586645,0.00016944065866325944,0.05054497050979216,0.05054497050979216,12.0,22,0,1.5818753521616984
ANCHOR_high_gb_capture,1.6130157208697964,0.9654582423989486,0.4787150578284497,0.2495832083849583,0.09241273292776772,0.39585154699545627,0.0,0.0,0.48715740827182497,3e-07,300000.0,30000000000000.0,5e+19,0.5,1.0,1.0,2.5,1.0,2.5,2.0,2.807552691770734,2.0972097984292186,99.53549100456233,6.796814496981273e+18,8.483890947470226e+18,3.4700975555792353e+18,-0.3882533930544335,6.026800950909762,7.497128854853904,0.0007282306149092312,0.2820618498223484,0.2820618498223484,12.0,22,0,3.389327602077855
LHS_0046,1.6156707862608461,0.8986079408400084,0.4877886273103097,0.2650487239171822,0.10927149964119873,0.27413867765509337,0.06383586173857154,0.0,1.1301372050734857,5.253469945410265e-08,534899.2394952545,15709145201293.76,5.791697439547316e+19,1.5927559961283515,0.5361786885830201,3.329654211085113,2.1055077899388746,0.8614395431571007,2.5913488183021167,1.7015397143100817,2.2144957606658062,2.819767555428791,92.34927440164421,6.712522917511968e+18,7.937179346723875e+18,3.392344793696415e+18,-0.3691662066593238,6.037330771604438,9.465008781514749,0.0007106107775443749,0.25421649526726325,0.25421649526726325,12.0,22,0,3.995680903814741
LHS_0034,1.6229266168394687,0.9205031261470447,0.7107909195916334,0.0,0.19179385037070246,0.9547257187851462,0.08636385669850635,0.14648727065517772,1.584534133621144,1.1533129195417559e-07,241387.17169974477,21694259259836.094,4.0983226630355706e+19,0.20094468354940737,2.3461872005691933,0.5781944700947018,0.2612876750060478,1.273264866413112,8.483455362159539,2.7992639018140344,3.326871975710547,0.12235951276319684,169.84113235988926,1.6211337575269274e+18,3.6910243659506724e+18,3.9905657952946003e+17,-0.9661124364340329,6.073620789340232,1.0525854055382426,0.0007204893902522149,0.41901172142613813,0.41901172142613813,12.0,22,0,1.4329039230765481
LHS_0004,1.6566006898523862,0.8277483267023246,0.57471423054773,0.3359252781181833,0.169569618743556,0.3093898105577554,0.006738888897479866,0.0,0.16636618471543593,2.7057580933204017e-07,202176.44084641794,74625207060756.45,4.923014505834624e+19,0.4847457013283295,1.0258603686138261,0.8158666998802174,2.512606768841453,0.36517767610661384,1.9441640039786625,0.3499396248958138,2.625420886666678,2.1909761130021392,80.01102968845856,1.2236599560436558e+19,1.4355493247592616e+19,7.658975106342466e+18,-0.2728474612744291,5.102190688404587,8.345993933122456,0.00013021720576170275,0.05249957367696564,0.05249957367696564,12.0,22,0,3.3502994333934297
LHS_0039,1.783649210122642,0.8269842158996452,0.5953547742929823,0.4711658596893712,0.11027617478640217,0.44378423861095945,0.0761571968520687,0.0,0.0,1.0441538315345077e-08,178953.63758069725,44106318113657.74,5.9583663349523644e+19,0.31934774554575196,0.4720122795999384,2.039741039575118,0.7840117652495594,0.20793232470868286,0.7649063566511053,1.8396322735061945,2.455174453823497,1.9175615794791614,92.86261786232613,7.319324124034065e+18,7.761359234407465e+18,6.18352572022128e+18,-0.09870161365044265,5.014336667079023,7.166199303319612,0.0007161449002222313,0.2054545992958945,0.2054545992958945,12.0,22,0,2.848891446289017
LHS_0035,1.7886956846826454,0.7939613174213154,1.038209843303016,0.0,0.28262701440047616,0.7533580448343711,0.051060095681973776,0.0,2.8738998802139846,2.8828640071633514e-07,230990.65601708376,10381171754860.078,5.6238030121075515e+19,0.5536479155856855,0.7623169217081266,0.7196989991035768,1.757564241105251,4.421040793113982,9.827631082490962,0.7677673061067556,2.734232965304147,1.4249134236473984,201.5222515656159,7.975866669523936e+17,1.869487260001902e+18,1.3604890901101357e+17,-1.1380274464314803,4.553556753894025,6.162258902407959,0.00029117785330357547,0.08618433969857603,0.08618433969857603,12.0,22,0,2.5612194877464765
