label,phi,mass,capture,burnup_percent,n_points,rmse_swelling_d,bias_swelling_d
000,False,False,False,1.1,20,0.5740023118901922,0.18138044107649035
000,False,False,False,1.3,9,1.4990818539234072,0.42283084729686304
000,False,False,False,3.2,10,0.8610732974578607,-0.7150664320342317
000,False,False,False,all,39,0.9368422541861816,0.007241592996391201
001,False,False,True,1.1,20,0.517897501467167,0.0870558556508304
001,False,False,True,1.3,9,1.2859671448331071,0.22562360783289254
001,False,False,True,3.2,10,0.9179657459779936,-0.7679948281066737
001,False,False,True,all,39,0.8574615342605224,-0.10021073583472043
010,False,True,False,1.1,20,0.5740127061472061,0.18138248844587354
010,False,True,False,1.3,9,1.4991064999129897,0.4228459861954075
010,False,True,False,3.2,10,0.8610742516924991,-0.7150679154606656
010,False,True,False,all,39,0.9368548458892292,0.007245756155627722
011,False,True,True,1.1,20,0.5179027158914997,0.0870568370305278
011,False,True,True,1.3,9,1.2859855524914925,0.22563568432466305
011,False,True,True,3.2,10,0.917966574246456,-0.7679961151038766
011,False,True,True,all,39,0.8574697475091859,-0.10020777567964724
100,True,False,False,1.1,20,2.68507893472831,2.59199120031618
100,True,False,False,1.3,9,4.317507777310273,3.88983939554136
100,True,False,False,3.2,10,7.580893526546091,7.462312659360305
100,True,False,False,all,39,4.768110696601906,4.140295004097407
101,True,False,True,1.1,20,2.6844172835513564,2.591207477621708
101,True,False,True,1.3,9,4.317858476412966,3.8901048766891324
101,True,False,True,3.2,10,7.628038338006162,7.510438542943308
101,True,False,True,all,39,4.7872339005019375,4.152294330053063
110,True,True,False,1.1,20,2.684785667759996,2.5916367287712907
110,True,True,False,1.3,9,4.317343226375155,3.8895334155477213
110,True,True,False,3.2,10,7.579559331462496,7.460858788057218
110,True,True,False,all,39,4.767447715380919,4.139669825536602
111,True,True,True,1.1,20,2.6841360175249704,2.590867407839536
111,True,True,True,1.3,9,4.31770142997641,3.889813347045586
111,True,True,True,3.2,10,7.626867684189425,7.509161801482165
111,True,True,True,all,39,4.786642045179718,4.151725289615966
