label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D2_xe_scale,family,score_swig_diag,score_rizk_prior,score_partition,score_qgb,score_radius_guard,score_base_highT_guard,p_d_over_eq_1p3_1600K,p_b_over_eq_1p3_1600K,bulk_gas_1p3_1600K,disl_gas_1p3_1600K,qgb_gas_1p3_1600K,bulk_gas_3p2_1600K,disl_gas_3p2_1600K,qgb_gas_3p2_1600K,bulk_gas_1p1_1200,disl_gas_1p1_1200,qgb_gas_1p1_1200,matrix_gas_1p1_1200,bulk_gas_1p1_1500,disl_gas_1p1_1500,qgb_gas_1p1_1500,matrix_gas_1p1_1500,bulk_gas_1p1_1600,disl_gas_1p1_1600,qgb_gas_1p1_1600,matrix_gas_1p1_1600,bulk_gas_1p1_2000,disl_gas_1p1_2000,qgb_gas_1p1_2000,matrix_gas_1p1_2000,bulk_gas_1p1_2200,disl_gas_1p1_2200,qgb_gas_1p1_2200,matrix_gas_1p1_2200,bulk_gas_3p2_1200,disl_gas_3p2_1200,qgb_gas_3p2_1200,matrix_gas_3p2_1200,bulk_gas_3p2_1500,disl_gas_3p2_1500,qgb_gas_3p2_1500,matrix_gas_3p2_1500,bulk_gas_3p2_1800,disl_gas_3p2_1800,qgb_gas_3p2_1800,matrix_gas_3p2_1800,bulk_gas_3p2_2000,disl_gas_3p2_2000,qgb_gas_3p2_2000,matrix_gas_3p2_2000,bulk_gas_3p2_2200,disl_gas_3p2_2200,qgb_gas_3p2_2200,matrix_gas_3p2_2200,Rd_1p3_1800K,Rd_1p3_2000K,Rd_ratio_2000_over_1800
FINAL_rank2_capture_only_capture_only_v3_trial_00114,1.656702433810187,0.9322006750756232,0.3988117511121534,0.0020646019272691856,0.12334577066318413,0.13448584059685767,0.1469659396944595,2.2722105779981056e-07,821766.030947244,15095241088231.59,7.0135184537689874e+19,0.459280709408124,1.1962461095257224,0.2468235728178368,3.3466914932968352,5.958002753130685,6.372753271201324,0.529956996404066,2.4689562409363703,1.6747912689193982,96.79656248621603,6.498976695391438e+18,1.0689608262731352e+19,1.708196334232456e+18,-0.7964240045645652,3.1804073216463093,5.5366794625585625,2.5832673901826713e-05,0.03727031101555274,0.03727031101555274,1.0,40,1,3.1728978008994524,capture_only,1.9295742441315091,0.19270177104934383,0.11638690541302124,0.04286613708731756,1.1988238199357317,1.2177838886558001,1.3583802960230722,1.0042832271242552,62.532880560136086,29.113898379403082,8.075742144995065,79.49603620166975,11.847206018765924,8.544331297652358,69.30097660903168,22.494585711906296,7.124670014384108,1.0797676646779375,67.19824468493994,24.886112689338784,7.08728060308383,0.8283620226374506,57.37274653995653,34.32812790665604,7.970491529274382,0.3286340241130577,1.720630229209028,87.15933083211812,11.118949058296222,0.0010898803766725101,0.13812539372276267,88.60725756449682,11.254534033138016,8.300864244131716e-05,84.38789077163811,7.962518639408302,7.27893955445599,0.37065103449760683,83.70780930513808,8.768139241661398,7.239939177924748,0.28411227527576177,60.279517738104936,25.55349708742214,14.16051612525532,0.00646904921762442,30.352582748505043,49.66519051622495,19.981685917044118,0.0005408182258730659,6.812690296598747,70.59155214484801,22.595698874343473,5.8684209798242604e-05,392.69749362347665,2061.34066638696,5.249182130923911
FINAL_rank1_capture_only_capture_only_v3_trial_00111,1.6706458649722178,0.9382957259150794,0.39163624487723775,0.0,0.11577509099311489,0.18172894528439545,0.1341657103788875,2.087797565138523e-07,948134.1405986001,13850643269958.52,6.8098212873928335e+19,0.45503528676816746,1.2708164911035231,0.23142475301904586,1.9596543015219456,5.587741218056512,6.061765312458284,0.3262195297898871,2.8458248690717123,1.2831910648489586,101.84466204937725,6.431388529886816e+18,1.1164153541487112e+19,1.6676875753060646e+18,-0.8257111075774237,3.80557434018511,4.631894959085173,1.4753348674847591e-05,0.026221404857481843,0.026221404857481843,1.0,40,1,2.7448439496324895,capture_only,1.8281973724692793,0.188450941000464,0.09716058842287442,0.05901785393052511,1.1157740058948011,1.1551929767928573,1.539947832591117,1.0020255799822149,54.15108519438953,35.86036492336357,9.651533760195642,74.77782673872017,14.605564850045191,10.479765621345992,62.859425370127724,27.254394386588835,8.570057597316548,1.3161226459669,59.77452272800556,30.64938625224001,8.5582270139728,1.0178640057816408,48.0970128819582,42.04691700163381,9.457431348200588,0.3986387682074136,0.8740305125908948,87.42496506256741,11.69988901864116,0.0011154062005522098,0.07079887369551385,88.09354649894549,11.83557077248185,8.385487718612152e-05,80.95293260328616,9.708810735867587,8.885608997792676,0.4526476630535985,79.85325672761661,10.884325187623347,8.912604716393147,0.34981336836688415,53.42320580675851,30.048530918927725,16.520553546065486,0.007709728248289646,22.09121538218735,55.89329589116047,22.01486895354819,0.0006197731039909865,3.6864178669690744,72.44428425023791,23.869236626767034,6.125602597697908e-05,393.9991598801877,1986.2315721514287,5.041207632918374
FINAL_rank3_capture_only_capture_only_v3_trial_00109,1.6861561201473765,0.9316421844472921,0.41722791515010815,0.0,0.12050110776014586,0.1420996558587007,0.14058852956349216,1.3160518368640675e-07,932468.5008980135,12520915767344.512,6.911280728750188e+19,0.4112058542177556,1.2722105101458012,0.2337871743111031,3.375569031588199,5.973082701946801,6.646295756239867,0.3411033872714321,2.4082978774723443,1.8340307465507557,98.3274110896474,6.047805002873912e+18,1.0051108988681288e+19,1.5923647888157455e+18,-0.8001714165867019,3.118942308728003,6.113440201476912,1.6777756986533446e-05,0.025257815964358162,0.025257815964358162,1.0,40,1,4.717724638179463,capture_only,2.025930486975656,0.2009630532208486,0.12704831002621983,0.056869622861754746,1.170935041087867,1.1980209598143658,1.4113227672571653,1.0084645649819635,61.89898607202224,28.975362452541606,8.83624272147315,78.82216430229396,11.741080461088453,9.319682046933965,68.36807577037001,22.57296895168277,7.903409657003401,1.155545620943822,66.57619334225028,24.755265753421913,7.797241344426661,0.8712995599011483,56.722956040067004,34.202633800089146,8.731329304426378,0.343080855417464,1.9780365566930773,85.96273657434418,12.058061145038963,0.0011657239237998418,0.1670720230061937,87.59575990111436,12.237078802849611,8.927302983229803e-05,83.55179302283672,7.998042408246597,8.053804213424854,0.3963603554918143,83.05808359905437,8.721434252834067,7.922013102133807,0.29846904597775026,60.35595202641531,24.427313878881744,15.210055831500428,0.006678263202515693,31.355348405813302,47.247059921952264,21.397034340163025,0.000557332071434197,7.495915830645206,68.18858279949396,24.315440080944548,6.128891630027985e-05,393.78745688025305,2037.6251517772391,5.174428784299398
FINAL_rank4_capture_only_capture_only_v3_trial_00115,1.6991642954264035,0.9490726855130532,0.425660650481981,0.023649367936576668,0.11996260889149302,0.1263443365773369,0.14768618338587566,2.80468955363692e-07,737723.927288627,14953482413355.516,7.0251594799867585e+19,0.4321734925051344,1.1905982459589453,0.2157495439246076,3.8194621939223303,5.948206422141917,6.37905663891672,0.5452523611528345,2.307627191177746,1.8261622252638867,97.0056801707505,6.035114901477501e+18,9.611142720494543e+18,1.6739286138350625e+18,-0.7590380931669589,2.9585829440931373,5.9339092490268595,2.583195295826999e-05,0.03589637435248961,0.03589637435248961,1.0,40,1,3.0962286349115855,capture_only,1.9613601653841812,0.20344412297555864,0.1253604928565179,0.024035719363145604,1.1751752416389813,1.19033600694745,1.354005198678686,1.0058412457959547,65.5275953305598,27.080959069537634,7.159396549745403,81.46529754618919,11.001436166098218,7.439476590672935,71.7311439628356,21.03557334228151,6.325501388938395,0.9077813059445324,69.93946108832638,23.080742312035692,6.287447076408292,0.6923495232296704,60.66512073985704,31.95809687455597,7.1015499536125635,0.2752324319744352,2.2291574634303895,87.43688374158529,10.332969435728783,0.0009893592555334197,0.18063711238718883,89.3418960022564,10.47739078395942,7.610139700398121e-05,85.88218822276156,7.430361834620932,6.376266822162835,0.31118312045467583,85.33030813151335,8.112405538045897,6.320366535317019,0.2369197951237417,63.375180744767704,24.22666799356249,12.392721951605532,0.0054293100642803715,34.32571632564338,47.85716501712377,17.816656734274876,0.00046192295798523896,8.750450510634575,70.69815630936209,20.5513408188365,5.236116683956117e-05,388.0403627318446,2028.40320833694,5.227299536720278
