label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,score_rizk_gas_shape,score_highT_guard,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D1_Xe,D2_Xe,D2_Xe_over_Dg_unscaled,D2_Xe_scaled,D2_xe_scale,D3_Xe,Dg,Dv,family,score_swig_diag,trial_number,state
capture_only_trial_00235,1.1471115791787185,0.712152929190363,0.20632794914341948,0.0,0.1301825038168103,0.4517828389706573,0.20315960374243516,0.07638185408034717,0.9434870462359843,2.5745130591871103e-07,602031.5865524814,48211699494027.79,7.982328712580122e+19,0.1503145080126801,0.6216164885755083,0.1599810393467923,0.6280891144811218,2.1196212765479374,10.855637514081334,0.741504900367796,2.9579096626411516,0.35689508360745076,97.0732211827237,7.719656456395166e+18,1.960026860342865e+19,1.5049836832759777e+18,-1.1147302315748961,4.338019876161482,2.6069646020310415,0.0003928159991195361,0.07658928179650314,0.07658928179650314,12.0,22,0,4.2934800659537927e-19,3.85982032147823e-105,2.1563255996044582e-86,1.244245343087553e-104,3.223583585390921,1.4767308118273228e-19,3.5868582241864987e-19,3.0983540664439495e-21,capture_only,1.3038758837185,235,TrialState.COMPLETE
capture_only_trial_00246,1.1474596804859065,0.7105323211727724,0.208850728484617,0.0,0.1271951406678727,0.4480088984094125,0.2029944166534449,0.06399696613112858,0.9923395032709459,2.761459451540185e-07,536618.9420219699,48515787999898.48,7.979293152689809e+19,0.15028029023218004,0.7012458485152523,0.16771406843489375,0.498458202440366,1.7957127014497825,11.212270051463653,0.07360878357680811,2.8571436473925287,0.3821415306834704,99.38657769459306,6.948007166802657e+18,1.7684525204778754e+19,1.3241490730962836e+18,-1.1256565234843499,4.132564626619162,2.5283299266135275,3.731141338319443e-05,0.007126926159101037,0.007126926159101037,12.0,22,0,4.2934800659537927e-19,3.85908633580135e-105,3.659120889931908e-86,2.1111844278288863e-104,5.470684623567752,1.4761692332476147e-19,4.045942618453922e-19,3.0976326845785207e-21,capture_only,1.219122129875223,246,TrialState.COMPLETE
capture_only_trial_00248,1.147507219067781,0.7078793151747198,0.20822865582032304,0.0,0.12573404384789771,0.458622365789713,0.20392209659337487,0.06937566573865232,1.0072975091966767,2.76247766906176e-07,539366.6371819597,48364254113184.055,7.99635563435783e+19,0.15268173219460981,0.7265982164754277,0.16460327581085776,0.4922047108829424,1.7985682593293102,11.259952764133555,0.0698276536288459,2.882666168186881,0.36728518954057154,100.20950002851417,6.838786659531433e+18,1.7581700871639003e+19,1.2963054131170202e+18,-1.1323535522971713,4.1787117370564655,2.5095324184592984,3.578341366495207e-05,0.006884350608354233,0.006884350608354233,12.0,22,0,4.2934800659537927e-19,3.863210161435922e-105,3.629216771607435e-86,2.0950763840212278e-104,5.423148874827214,1.4793257923561987e-19,4.1945104407069405e-19,3.1472238137979825e-21,capture_only,1.2276873426167514,248,TrialState.COMPLETE
capture_only_trial_00265,1.1475689445049964,0.6935813909089954,0.21567594011329422,0.0,0.11962026894664567,0.5054608470366748,0.19943596150698195,0.08955594716516244,1.0488799449634882,2.7458572222586014e-07,508530.6147680582,49397338006842.9,7.914180769250573e+19,0.15005086685333094,0.7229360152179358,0.17384486454692963,0.44665945378044153,1.848492327018201,11.603078895750437,0.060624270526837006,2.9066843288387276,0.30660606401996837,103.55875250934012,6.248112337281702e+18,1.6512338436434573e+19,1.174806193610389e+18,-1.147842353856912,4.241241795448867,2.3265004579125272,3.054366371211466e-05,0.006107846304913045,0.006107846304913045,12.0,22,0,4.2934800659537927e-19,3.843308683767879e-105,3.988463688731368e-86,2.296399252682788e-104,5.9750580596910545,1.464123442311356e-19,4.1623789374700145e-19,3.0925588419259037e-21,capture_only,1.1869085620307815,265,TrialState.COMPLETE
capture_only_trial_00295,1.1486060309227963,0.7097038148423659,0.2046634811810035,0.0,0.12960436409286258,0.44882288244232044,0.20411563800308022,0.06409205694975173,1.027343553898076,2.6890967829765245e-07,525051.9821960884,49958776912221.99,7.99991996893732e+19,0.15003625489065772,0.736549590893721,0.1821558808666023,0.38295908738777634,1.5297716356373454,11.621660277297948,0.05402163991759639,2.820409538339179,0.36829199632228105,99.69761518858999,6.794683872677746e+18,1.7678838389934244e+19,1.2511163301788296e+18,-1.1501560330036957,4.069346059802855,2.3605148158288665,2.6993528156956345e-05,0.0051074784565473255,0.0051074784565473255,12.0,22,0,4.2934800659537927e-19,3.864071068584515e-105,3.958303234457444e-86,2.2853126213505834e-104,5.914261360073117,1.4799851942534042e-19,4.252443475444721e-19,3.092711488845594e-21,capture_only,1.146679380991438,295,TrialState.COMPLETE
capture_only_trial_00250,1.1487682639364234,0.6924264216469567,0.22480910496449544,0.0,0.11609898535808863,0.5052128857845916,0.20404893023248016,0.08984022880408819,1.0164313103540774,2.762009039979958e-07,495126.3593969379,48302393376876.73,7.998691273051208e+19,0.1503970585002062,0.7298632095709715,0.16276602737184087,0.4354800633611491,1.8189163844239251,11.320278724919655,0.05021597539394069,2.8939320946868223,0.30743177089473533,103.7246946961914,6.190892051124788e+18,1.5903539019017077e+19,1.206113920932402e+18,-1.1201054486427842,4.233188320937719,2.3402965230094352,2.5088564305797553e-05,0.004989756102506912,0.004989756102506912,12.0,22,0,4.2934800659537927e-19,3.863774318707096e-105,3.399972562106482e-86,1.9628850629503937e-104,5.080227003546155,1.4797578855144735e-19,4.213673980875569e-19,3.1001422660998918e-21,capture_only,1.1871452918910885,250,TrialState.COMPLETE
capture_only_trial_00252,1.1492870231578163,0.6948885193280464,0.22688736181312144,0.0,0.11589076681043722,0.4970531715488242,0.20331264930019907,0.08592264005690435,1.003433134070148,2.8355373302823024e-07,490545.70010404894,48047753253474.64,7.985142184275052e+19,0.15010628593865805,0.762195820310869,0.1639866332121352,0.4340538291652369,1.798928346165251,11.20172813464681,0.06969842084613465,2.8829508119684797,0.31644274378447285,103.42889425743775,6.220466823629186e+18,1.5798375100111276e+19,1.2252206037822623e+18,-1.110398129587061,4.212308356347267,2.3574886280865144,3.452765801831834e-05,0.006842295794183912,0.006842295794183912,12.0,22,0,4.2934800659537927e-19,3.860500482549661e-105,3.7487447405757404e-86,2.163299887273042e-104,5.60367728757359,1.4772513040908846e-19,4.398427330384867e-19,3.094076967232787e-21,capture_only,1.1859107544599692,252,TrialState.COMPLETE
capture_only_trial_00255,1.1496329872000983,0.6914116696932425,0.22649045110013066,0.0,0.11457954581118628,0.5118320882741262,0.20352611781735366,0.09456114206346898,1.0180244791352258,2.7626893735821275e-07,494743.7508622444,48116689534951.734,7.989068081392751e+19,0.15217364283267862,0.7900771196241756,0.16169532583448284,0.4224405120344194,1.7926401246334824,11.258390240210053,0.06856960222138084,2.9161392946470586,0.29434021852650616,104.26400509199873,6.142093810734323e+18,1.5783482554959466e+19,1.2041032328256952e+18,-1.117539112177783,4.278292376711123,2.313496396760579,3.4354796663323726e-05,0.006899341157905281,0.006899341157905281,12.0,22,0,4.2934800659537927e-19,3.861449373938912e-105,3.766401778595654e-86,2.1737628399523042e-104,5.6293961915521225,1.477977595057659e-19,4.5598966448448095e-19,3.1367115499914857e-21,capture_only,1.1923546512614067,255,TrialState.COMPLETE
capture_only_trial_00233,1.1500911230011746,0.7147444584835686,0.20011111734124337,0.0,0.12510007403072498,0.4864351170549586,0.17807785564183315,0.08792902406577276,1.0171698072581403,2.505360794393666e-07,598768.7433194706,47131832187853.46,7.534385893508114e+19,0.15014485596250757,0.6232752270175896,0.1580746209619,0.5960337432644497,2.1807860839954767,11.098598025511164,0.7901302931595677,3.018476984977668,0.3168418804978578,100.59975062964722,7.077967220496646e+18,1.869014332039563e+19,1.3394174905272914e+18,-1.144696665874714,4.450195148704279,2.5171508207857864,0.00040301279617117105,0.08500010589384216,0.08500010589384216,12.0,22,0,4.2934800659537927e-19,3.7499563649906706e-105,1.7564284902485744e-86,9.989408567534223e-105,2.6638732815119237,1.3938613902990012e-19,3.544779037272509e-19,3.0924540987813672e-21,capture_only,1.3108088953043073,233,TrialState.COMPLETE
capture_only_trial_00253,1.1503766416538865,0.6928476093078523,0.22873272977270567,0.0,0.11520071150311384,0.5038571597134206,0.20374500897525827,0.08777735765341002,1.0125307286641965,2.823490484341885e-07,485727.71685427916,48127136365182.43,7.993095710582117e+19,0.15006106641681644,0.7579737694185397,0.16301710339237022,0.4327229958101099,1.80165361285635,11.275000363214616,0.0773475742082819,2.881835492032477,0.3120589510816068,103.98017956239894,6.119682449734923e+18,1.5611849589026685e+19,1.200783396296458e+18,-1.1139896843414994,4.212580827047773,2.3487708748939164,3.833960131507118e-05,0.007609812330995058,0.007609812330995058,12.0,22,0,4.2934800659537927e-19,3.8624226117671375e-105,3.773972855211479e-86,2.1784136577857386e-104,5.640018912350634,1.4787227064576918e-19,4.375178293252879e-19,3.093186895132675e-21,capture_only,1.1831541438977757,253,TrialState.COMPLETE
